DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,14249.95,14251.00,14251.00,13750.00,13800.00,13782.40,13914.27,1890,580,1317,69.68
03-Aug-2016,13782.40,13782.00,13974.00,13500.00,13601.00,13562.95,13628.42,2082,410,1611,77.38
04-Aug-2016,13562.95,13598.00,13850.00,13550.00,13611.00,13632.75,13683.84,2696,700,1698,62.98
05-Aug-2016,13632.75,14100.00,14247.90,13490.00,13558.00,13541.95,13845.51,5119,2134,3046,59.50
08-Aug-2016,13541.95,13400.00,13642.00,13258.15,13310.00,13313.20,13382.48,1662,653,1163,69.98
09-Aug-2016,13313.20,13352.00,13454.45,13169.35,13180.00,13211.75,13294.06,1283,476,1083,84.41
10-Aug-2016,13211.75,13211.00,13260.00,13010.70,13100.00,13078.75,13133.57,991,315,784,79.11
11-Aug-2016,13078.75,13301.00,13387.00,13030.00,13130.00,13168.00,13157.43,1237,398,1084,87.63
12-Aug-2016,13168.00,13249.95,13249.95,13051.00,13175.00,13085.45,13158.03,672,249,548,81.55
16-Aug-2016,13085.45,13105.00,13243.10,13040.00,13210.00,13198.50,13124.53,396,224,272,68.69
17-Aug-2016,13198.50,13198.05,13198.05,13021.60,13021.60,13070.90,13091.49,627,220,399,63.64
18-Aug-2016,13070.90,13198.95,13507.95,13109.00,13300.00,13188.00,13264.68,1117,502,807,72.25
19-Aug-2016,13188.00,13340.00,13340.00,13100.00,13195.00,13187.70,13220.94,494,244,332,67.21
22-Aug-2016,13187.70,13200.00,13349.00,13055.80,13339.00,13289.50,13188.77,777,316,507,65.25
23-Aug-2016,13289.50,13489.00,13489.00,13183.15,13183.20,13200.65,13227.27,868,603,497,57.26
24-Aug-2016,13200.65,13299.00,13299.00,13150.00,13210.00,13206.20,13200.32,273,169,194,71.06
25-Aug-2016,13206.20,13320.00,13320.00,12966.60,13000.00,13022.60,13049.63,1815,504,1582,87.16
26-Aug-2016,13022.60,13180.00,13195.75,12956.00,12981.30,12991.55,13002.58,326,140,290,88.96
29-Aug-2016,12991.55,13070.00,13070.00,12861.15,12900.00,12943.90,12961.22,1832,345,1202,65.61
30-Aug-2016,12943.90,13000.00,13000.00,12900.00,12950.00,12949.10,12948.32,1162,328,1070,92.08
31-Aug-2016,12949.10,13200.00,13200.00,12858.05,12863.00,12880.80,12896.91,1701,300,1385,81.42
01-Sep-2016,12880.80,12806.00,12900.00,12800.00,12899.00,12873.60,12862.49,820,263,581,70.85
02-Sep-2016,12873.60,12999.05,13328.00,12825.00,12974.00,12983.50,13174.11,1607,468,1208,75.17
06-Sep-2016,12983.50,12983.50,13255.55,12900.00,13040.00,12998.90,13093.33,675,286,389,57.63
07-Sep-2016,12998.90,13098.95,13440.00,13050.00,13185.00,13185.70,13118.69,6958,502,6487,93.23
08-Sep-2016,13185.70,13190.00,13383.00,13100.00,13199.00,13193.20,13196.99,298,184,184,61.74
09-Sep-2016,13193.20,13194.00,13255.55,13125.55,13185.00,13182.05,13189.97,565,268,399,70.62
12-Sep-2016,13182.05,13150.00,13225.00,13000.00,13090.00,13093.35,13108.36,415,192,260,62.65
14-Sep-2016,13093.35,13092.50,13459.85,13003.05,13182.00,13189.60,13195.83,1482,386,1191,80.36
15-Sep-2016,13189.60,13321.50,13399.00,13075.00,13248.00,13214.90,13215.99,1023,604,700,68.43
16-Sep-2016,13214.90,13347.00,13450.00,13165.95,13170.00,13181.95,13229.51,2134,1277,1514,70.95
19-Sep-2016,13181.95,13313.75,13314.00,13130.60,13199.00,13161.95,13199.03,482,220,372,77.18
20-Sep-2016,13161.95,13249.95,13250.00,13182.00,13220.65,13211.05,13220.69,377,102,260,68.97
21-Sep-2016,13211.05,13270.00,13300.00,13051.05,13102.00,13099.10,13173.49,261,122,186,71.26
22-Sep-2016,13099.10,13230.05,13230.05,13100.00,13183.10,13186.00,13148.77,773,250,572,74.00
23-Sep-2016,13186.00,13225.00,13340.00,12999.95,13000.00,13023.05,13143.33,1203,346,988,82.13
26-Sep-2016,13023.05,13025.85,13077.55,12908.00,12913.10,12922.50,12992.24,398,206,288,72.36
27-Sep-2016,12922.50,12922.05,13138.00,12775.00,13100.00,13101.65,13054.65,631,243,513,81.30
28-Sep-2016,13101.65,13119.00,13500.00,13070.00,13195.00,13188.25,13223.04,2303,565,1762,76.51
29-Sep-2016,13188.25,13318.00,13320.00,12600.00,12780.00,12757.00,12926.16,2706,716,2231,82.45
30-Sep-2016,12757.00,12855.00,12987.95,12760.00,12890.00,12883.90,12888.15,591,225,431,72.93
03-Oct-2016,12883.90,12883.90,13279.95,12883.90,13215.00,13188.20,13224.13,3118,410,2419,77.58
04-Oct-2016,13188.20,13255.55,13255.55,13061.05,13200.00,13234.95,13223.54,478,182,324,67.78
05-Oct-2016,13234.95,13275.00,13286.00,13121.20,13141.00,13156.90,13182.37,255,124,176,69.02
06-Oct-2016,13156.90,13140.00,13520.00,13102.00,13160.00,13149.60,13304.27,1535,538,1129,73.55
07-Oct-2016,13149.60,13200.00,13222.20,13063.25,13180.00,13190.80,13187.06,167,118,81,48.50
10-Oct-2016,13190.80,13285.55,13285.55,13070.00,13200.00,13199.75,13196.03,287,87,265,92.33
13-Oct-2016,13199.75,13299.00,13319.55,12970.00,13088.00,13073.15,13081.84,1309,259,1146,87.55
14-Oct-2016,13073.15,13185.00,13185.00,12901.25,12966.10,12992.90,12993.58,1314,273,1122,85.39
17-Oct-2016,12992.90,13095.00,13099.00,12964.05,12980.00,12976.50,13012.25,613,130,527,85.97
18-Oct-2016,12976.50,13080.00,13085.70,12965.00,12970.00,12986.65,13014.00,274,111,249,90.88
