DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,1866.05,1866.05,1890.00,1850.00,1852.05,1856.00,1866.30,9331,927,4413,47.29
03-Aug-2016,1856.00,1855.95,1869.80,1822.20,1825.00,1827.00,1842.75,7530,1413,2439,32.39
04-Aug-2016,1827.00,1826.00,1865.00,1811.00,1825.00,1819.75,1829.00,7778,1475,2866,36.85
05-Aug-2016,1819.75,1838.95,2128.00,1825.00,2022.95,2064.80,2018.07,208912,17814,43238,20.70
08-Aug-2016,2064.80,2079.70,2155.55,2061.30,2092.00,2091.35,2102.55,112737,9964,51698,45.86
09-Aug-2016,2091.35,2101.65,2101.65,2017.00,2043.00,2041.60,2065.54,35128,4706,11434,32.55
10-Aug-2016,2041.60,2049.00,2060.15,1975.00,1995.00,1991.25,2015.52,23619,3112,7880,33.36
11-Aug-2016,1991.25,1993.35,1997.10,1942.05,1980.00,1984.35,1970.38,20268,2345,8925,44.03
12-Aug-2016,1984.35,1998.55,2006.40,1975.00,1984.00,1984.90,1989.54,13132,1982,4619,35.17
16-Aug-2016,1984.90,1988.50,2054.65,1970.00,2000.00,1997.50,2002.71,24310,2563,11496,47.29
17-Aug-2016,1997.50,2004.80,2023.80,1982.05,1982.65,1993.15,2002.69,12272,1263,6506,53.01
18-Aug-2016,1993.15,2014.90,2029.00,1992.10,1994.00,2001.85,2014.22,36464,2802,13893,38.10
19-Aug-2016,2001.85,2000.00,2024.80,2000.00,2005.00,2008.00,2010.36,13627,1369,6345,46.56
22-Aug-2016,2008.00,2019.80,2024.00,1985.00,1990.00,1988.95,2003.62,15856,1409,8642,54.50
23-Aug-2016,1988.95,2008.00,2200.00,2008.00,2170.00,2166.15,2138.01,253190,22195,42408,16.75
24-Aug-2016,2166.15,2183.50,2238.00,2085.15,2105.50,2115.25,2177.50,327169,31324,56168,17.17
25-Aug-2016,2115.25,2101.00,2131.95,2027.00,2037.00,2038.15,2066.04,69848,7587,18645,26.69
26-Aug-2016,2038.15,2050.00,2059.00,2012.00,2012.60,2022.15,2035.49,35556,3735,11095,31.20
29-Aug-2016,2022.15,2006.80,2012.95,1940.00,1942.00,1946.10,1969.35,27245,3478,12279,45.07
