DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,562.80,565.75,565.75,533.00,537.00,541.85,546.74,31713,1340,20147,63.53
03-Aug-2016,541.85,537.00,559.75,531.60,556.00,555.60,553.43,61117,3615,38337,62.73
04-Aug-2016,555.60,555.05,574.75,550.00,556.00,558.70,566.03,85949,5737,37578,43.72
05-Aug-2016,558.70,556.00,567.00,556.00,559.70,560.25,561.71,25484,2759,13512,53.02
08-Aug-2016,560.25,562.05,574.75,561.00,568.90,568.25,570.27,61300,2716,31807,51.89
09-Aug-2016,568.25,570.00,595.75,568.10,574.00,573.75,582.01,208456,7804,53866,25.84
10-Aug-2016,573.75,575.10,589.00,570.20,589.00,580.95,579.42,115601,5617,58135,50.29
11-Aug-2016,580.95,579.00,599.75,574.00,586.15,587.70,592.18,147779,8658,90231,61.06
12-Aug-2016,587.70,589.95,594.65,580.00,587.00,587.15,585.78,52254,914,44427,85.02
16-Aug-2016,587.15,588.95,588.95,579.95,580.25,584.30,585.80,18717,1276,13476,72.00
17-Aug-2016,584.30,585.00,598.00,578.20,597.50,597.55,595.77,70243,4049,49461,70.41
18-Aug-2016,597.55,596.00,613.00,592.15,603.00,602.15,605.30,95109,2954,51974,54.65
19-Aug-2016,602.15,602.90,606.05,591.05,592.10,594.05,598.36,23007,751,15997,69.53
22-Aug-2016,594.05,597.00,602.95,586.25,595.10,599.35,594.58,29745,2066,21057,70.79
23-Aug-2016,599.35,595.00,599.70,579.00,579.75,581.05,585.36,34318,993,25493,74.28
24-Aug-2016,581.05,582.85,604.75,575.00,603.00,602.30,593.26,100237,2409,78045,77.86
25-Aug-2016,602.30,604.05,609.70,590.40,592.00,593.60,603.36,44125,1507,18770,42.54
26-Aug-2016,593.60,590.00,611.10,589.35,608.70,605.75,602.86,31911,1542,20123,63.06
29-Aug-2016,605.75,613.00,619.00,607.50,616.00,616.35,615.13,54775,3635,32974,60.20
30-Aug-2016,616.35,619.95,635.00,616.25,628.00,627.75,628.59,78610,2696,49299,62.71
31-Aug-2016,627.75,630.00,630.95,615.50,619.00,619.50,624.14,30878,1711,21973,71.16
01-Sep-2016,619.50,624.95,625.05,614.05,617.00,616.05,620.77,11783,732,8268,70.17
02-Sep-2016,616.05,617.05,625.00,615.00,615.00,617.15,620.58,16020,591,12248,76.45
06-Sep-2016,617.15,630.00,630.00,616.65,620.00,621.70,622.80,24095,1492,10986,45.59
07-Sep-2016,621.70,619.95,625.75,619.00,620.00,620.05,620.89,21834,544,16508,75.61
08-Sep-2016,620.05,610.15,629.95,610.15,620.50,622.25,621.66,28508,2027,19901,69.81
09-Sep-2016,622.25,620.00,628.85,606.00,607.00,607.55,614.63,35960,4592,25005,69.54
12-Sep-2016,607.55,592.25,608.00,592.25,596.15,596.10,599.84,19825,2268,14450,72.89
14-Sep-2016,596.10,602.65,604.80,593.20,594.15,596.05,598.63,23354,2257,14416,61.73
15-Sep-2016,596.05,595.90,600.00,592.00,600.00,595.35,595.22,22517,1260,14779,65.63
16-Sep-2016,595.35,601.05,606.10,578.05,595.00,588.35,589.95,114098,8648,77031,67.51
19-Sep-2016,588.35,590.05,600.50,590.05,596.60,597.20,595.59,16578,843,10656,64.28
20-Sep-2016,597.20,596.60,623.00,596.60,620.10,619.70,613.35,96029,3035,56961,59.32
21-Sep-2016,619.70,626.00,629.00,613.20,615.35,617.20,619.77,70075,3637,33789,48.22
22-Sep-2016,617.20,627.75,627.75,616.35,619.50,620.30,619.52,43903,1802,31810,72.46
23-Sep-2016,620.30,624.00,630.00,620.50,625.00,625.80,625.95,102407,2910,77142,75.33
26-Sep-2016,625.80,631.95,633.00,622.15,626.10,626.05,627.84,38575,2690,25168,65.24
27-Sep-2016,626.05,628.95,629.95,605.30,607.15,610.00,617.57,54585,3818,37959,69.54
