DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,27.50,27.50,27.60,26.90,27.00,27.00,27.17,4168401,12730,1360174,32.63
03-Aug-2016,27.00,27.00,27.10,26.25,26.45,26.40,26.66,4508686,12396,1536576,34.08
04-Aug-2016,26.40,26.80,26.90,26.15,26.40,26.30,26.48,4244962,11183,1282668,30.22
05-Aug-2016,26.30,26.45,27.40,26.20,27.25,27.10,26.61,12228314,17437,6256903,51.17
08-Aug-2016,27.10,27.40,28.30,27.20,27.85,28.00,27.86,7083263,9437,2198989,31.04
09-Aug-2016,28.00,28.00,28.60,27.30,27.55,27.60,27.92,11446142,14622,2198886,19.21
10-Aug-2016,27.60,27.50,27.85,26.75,26.85,26.85,27.15,7402189,14938,2478370,33.48
11-Aug-2016,26.85,26.80,27.35,26.50,27.20,27.15,26.89,3742856,10752,1242842,33.21
12-Aug-2016,27.15,27.45,27.45,26.60,26.80,26.85,26.96,2837263,9950,831069,29.29
16-Aug-2016,26.85,27.15,27.25,26.40,27.15,27.10,26.96,3928164,11587,1681878,42.82
17-Aug-2016,27.10,27.00,27.95,26.85,27.70,27.75,27.40,4258276,8617,2006430,47.12
18-Aug-2016,27.75,27.80,28.05,27.50,27.55,27.55,27.74,3391984,9684,1332429,39.28
19-Aug-2016,27.55,27.60,28.20,27.50,27.95,28.00,27.96,4525020,6245,1298210,28.69
22-Aug-2016,28.00,28.10,28.35,27.60,28.20,28.20,28.01,4146704,8830,1884067,45.44
23-Aug-2016,28.20,28.15,28.35,27.75,28.00,27.90,28.02,2779301,8600,924880,33.28
24-Aug-2016,27.90,27.95,28.15,27.75,28.05,28.05,28.01,1899071,8649,691779,36.43
25-Aug-2016,28.05,28.05,28.35,26.95,27.50,27.35,27.63,21019064,12946,6337808,30.15
26-Aug-2016,27.35,27.50,27.65,26.75,27.15,27.10,27.09,3597960,8414,965146,26.82
29-Aug-2016,27.10,27.05,27.30,26.75,27.10,27.15,27.04,1938931,8185,513393,26.48
30-Aug-2016,27.15,27.30,27.70,27.20,27.55,27.55,27.48,2361839,8467,852037,36.08
31-Aug-2016,27.55,27.60,28.10,27.25,27.75,27.65,27.73,5261945,11157,1971438,37.47
01-Sep-2016,27.65,27.80,27.85,26.60,26.90,26.90,27.27,4420180,9416,1550028,35.07
02-Sep-2016,26.90,27.00,27.35,26.80,27.15,27.20,27.11,2426508,7764,736063,30.33
06-Sep-2016,27.20,27.20,27.60,27.00,27.30,27.10,27.25,3321212,8224,1288692,38.80
07-Sep-2016,27.10,27.30,27.70,27.10,27.40,27.40,27.42,3648468,9920,1217587,33.37
08-Sep-2016,27.40,27.45,27.85,27.30,27.75,27.70,27.66,3216834,9704,1038057,32.27
09-Sep-2016,27.70,28.10,29.35,27.80,28.95,28.85,28.80,16223977,30569,4448572,27.42
12-Sep-2016,28.85,28.20,28.70,27.10,27.50,27.40,27.92,6097334,11141,2216154,36.35
14-Sep-2016,27.40,27.50,27.85,27.20,27.70,27.70,27.63,3297873,11279,940832,28.53
15-Sep-2016,27.70,27.75,27.90,27.35,27.45,27.50,27.54,2113966,6178,660301,31.24
16-Sep-2016,27.50,27.75,28.05,27.10,27.60,27.65,27.67,7968511,12808,3746346,47.01
19-Sep-2016,27.65,27.65,27.90,27.45,27.70,27.65,27.64,2503703,8926,631526,25.22
20-Sep-2016,27.65,28.00,28.20,27.70,27.80,27.85,27.96,3299753,11839,842456,25.53
21-Sep-2016,27.85,27.75,28.10,27.50,27.55,27.65,27.79,2047289,7536,593106,28.97
22-Sep-2016,27.65,28.00,28.05,27.55,27.90,27.90,27.81,2858814,8087,810030,28.33
