DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,1784.40,1785.80,1830.00,1785.80,1820.50,1825.10,1818.41,178834,9852,65817,36.80
03-Aug-2016,1825.10,1825.00,1844.00,1802.00,1832.20,1823.45,1825.22,193978,12766,69670,35.92
04-Aug-2016,1823.45,1830.00,1839.80,1804.15,1811.50,1810.35,1820.77,96313,8834,19854,20.61
05-Aug-2016,1810.35,1806.50,1831.90,1806.50,1826.25,1827.65,1822.21,65739,3867,22641,34.44
08-Aug-2016,1827.65,1835.15,1885.15,1823.00,1880.00,1877.85,1860.17,155108,10936,38864,25.06
09-Aug-2016,1877.85,1878.00,1885.00,1857.45,1860.75,1864.00,1866.86,59161,5147,7491,12.66
10-Aug-2016,1864.00,1858.90,1869.80,1821.60,1842.20,1841.65,1843.82,64071,6577,14013,21.87
11-Aug-2016,1841.65,1841.00,1912.75,1817.40,1905.00,1902.90,1887.86,227270,13695,34136,15.02
12-Aug-2016,1902.90,1908.95,1917.60,1888.45,1908.95,1904.55,1903.13,116220,7236,40781,35.09
16-Aug-2016,1904.55,1907.90,1961.00,1905.00,1958.00,1955.05,1940.29,170667,19556,69755,40.87
17-Aug-2016,1955.05,1955.00,1970.00,1926.00,1940.00,1933.35,1944.62,147425,9869,29105,19.74
18-Aug-2016,1933.35,1944.70,1979.75,1933.35,1970.00,1969.85,1970.05,147934,14956,65639,44.37
19-Aug-2016,1969.85,1978.90,1994.95,1958.50,1969.95,1970.00,1979.37,122045,8661,44819,36.72
22-Aug-2016,1970.00,1971.80,2000.00,1962.10,1978.00,1978.45,1983.49,105973,9082,25909,24.45
23-Aug-2016,1978.45,1979.80,1991.95,1970.00,1980.00,1978.80,1981.85,66839,5313,9228,13.81
24-Aug-2016,1978.80,1978.80,2009.95,1978.00,1998.55,2000.15,1999.94,124623,10047,62924,50.49
25-Aug-2016,2000.15,2001.00,2005.50,1945.00,1984.00,1974.45,1973.60,126758,12563,48468,38.24
26-Aug-2016,1974.45,1982.00,1986.95,1955.25,1964.00,1969.95,1967.46,54389,5290,17075,31.39
29-Aug-2016,1969.95,1969.00,1980.00,1926.60,1949.90,1935.40,1939.03,105912,10255,35291,33.32
30-Aug-2016,1935.40,1954.50,1981.80,1922.30,1934.00,1932.20,1946.56,228349,13920,103034,45.12
31-Aug-2016,1932.20,1932.20,1936.65,1891.00,1895.10,1901.30,1905.24,229660,15958,117631,51.22
01-Sep-2016,1901.30,1916.40,1946.30,1891.10,1935.50,1935.45,1919.06,173000,12848,61886,35.77
02-Sep-2016,1935.45,1950.00,1950.00,1914.10,1924.40,1926.55,1931.32,94829,7621,32392,34.16
06-Sep-2016,1926.55,1939.00,1954.80,1925.60,1940.10,1941.55,1940.84,89066,6789,38483,43.21
07-Sep-2016,1941.55,1952.00,1997.00,1932.20,1969.95,1969.00,1970.77,171412,8877,60896,35.53
08-Sep-2016,1969.00,1960.00,1977.80,1932.05,1965.00,1962.90,1955.34,144301,8685,65275,45.24
09-Sep-2016,1962.90,1962.95,2003.00,1940.00,1947.90,1947.25,1972.38,193076,15470,60279,31.22
12-Sep-2016,1947.25,1825.00,1920.45,1825.00,1903.05,1909.75,1905.00,95768,7707,14533,15.18
14-Sep-2016,1909.75,1929.50,1944.55,1910.05,1934.95,1930.10,1927.75,131928,14193,24799,18.80
15-Sep-2016,1930.10,1931.05,1964.50,1931.05,1942.05,1947.05,1950.83,61970,5720,10401,16.78
16-Sep-2016,1947.05,1957.90,1964.00,1931.90,1964.00,1957.60,1953.62,103004,7823,44552,43.25
19-Sep-2016,1957.60,1955.10,1989.90,1955.10,1977.70,1977.05,1977.94,56113,4431,18073,32.21
20-Sep-2016,1977.05,1988.00,2002.00,1928.00,1968.10,1973.60,1977.95,126687,6431,73859,58.30
21-Sep-2016,1973.60,1975.00,1984.55,1958.05,1959.00,1965.55,1971.50,55202,4009,28229,51.14
22-Sep-2016,1965.55,1983.85,2048.95,1962.20,2046.00,2041.70,2016.69,452171,21669,144597,31.98
23-Sep-2016,2041.70,2052.00,2070.90,2035.50,2038.25,2043.85,2056.03,261450,19272,81569,31.20
26-Sep-2016,2043.85,2051.55,2059.05,2020.15,2041.25,2044.00,2045.30,163474,11150,87288,53.40
27-Sep-2016,2044.00,2049.00,2091.00,2047.05,2062.20,2064.15,2075.12,216312,13120,64982,30.04
28-Sep-2016,2064.15,2067.50,2086.00,2052.00,2075.00,2074.90,2076.00,108284,5404,34898,32.23
29-Sep-2016,2074.90,2075.00,2095.90,1965.80,2033.00,2004.95,2035.71,170434,10810,77087,45.23
30-Sep-2016,2004.95,2010.00,2038.00,2000.70,2013.00,2007.10,2018.94,72764,6178,28159,38.70
03-Oct-2016,2007.10,2014.00,2103.50,2014.00,2100.50,2093.05,2072.93,145402,11761,68433,47.06
04-Oct-2016,2093.05,2112.80,2125.00,2029.05,2035.10,2036.50,2071.12,263052,21005,147224,55.97
05-Oct-2016,2036.50,2034.70,2044.95,1966.00,1998.00,2002.15,2005.04,192841,17436,95239,49.39
06-Oct-2016,2002.15,2016.50,2021.75,1954.65,1958.10,1965.50,1986.95,137543,9335,66199,48.13
07-Oct-2016,1965.50,1950.20,1985.00,1950.00,1967.00,1965.35,1964.15,122129,11750,46384,37.98
10-Oct-2016,1965.35,1980.00,1993.65,1948.35,1966.00,1956.25,1971.94,125569,13133,41644,33.16
13-Oct-2016,1956.25,1948.50,1948.50,1908.95,1940.00,1931.65,1932.50,84143,8097,28999,34.46
14-Oct-2016,1931.65,1940.00,1951.95,1922.00,1944.90,1941.95,1935.58,65448,6462,13278,20.29
17-Oct-2016,1941.95,1945.00,1951.20,1890.25,1900.00,1899.60,1915.75,101047,8758,35293,34.93
18-Oct-2016,1899.60,1900.00,1934.95,1891.65,1927.00,1928.00,1911.16,68352,7806,18994,27.79
19-Oct-2016,1928.00,1931.00,1953.00,1919.10,1942.15,1944.95,1934.25,57084,4255,20159,35.31
20-Oct-2016,1944.95,1964.80,1984.40,1944.50,1973.35,1971.65,1966.41,195640,16402,82467,42.15
21-Oct-2016,1971.65,1973.70,1989.80,1960.10,1979.00,1983.15,1978.77,127444,12382,53628,42.08
24-Oct-2016,1983.15,1984.90,1991.90,1959.25,1960.00,1967.25,1973.62,89031,12891,38702,43.47
25-Oct-2016,1967.25,1968.00,2004.00,1961.25,2001.95,1996.50,1986.79,101771,9104,28115,27.63
26-Oct-2016,1996.50,2003.00,2014.00,1913.20,1962.00,1971.30,1976.04,354197,20704,60291,17.02
27-Oct-2016,1971.30,1982.90,1990.00,1936.25,1972.15,1977.00,1971.97,123754,12334,48025,38.81
28-Oct-2016,1977.00,1989.40,2049.95,1971.05,2048.05,2041.60,2023.05,145557,16909,48306,33.19
30-Oct-2016,2041.60,2055.00,2060.10,2040.00,2051.50,2052.65,2051.29,20629,1959,5860,28.41
01-Nov-2016,2052.65,2053.90,2053.90,1990.95,2005.00,1998.95,2011.45,102351,11003,36928,36.08
02-Nov-2016,1998.95,1997.85,1997.90,1935.50,1961.15,1957.85,1963.50,150186,11546,42196,28.10
03-Nov-2016,1957.85,1963.95,1975.00,1935.00,1939.30,1946.90,1954.86,51042,5204,14730,28.86
04-Nov-2016,1946.90,1942.00,1942.00,1852.00,1873.50,1876.85,1880.11,135203,15486,45103,33.36
