DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,1661.75,1671.00,1676.95,1628.00,1635.00,1636.50,1652.03,7581,900,3866,51.00
03-Aug-2016,1636.50,1636.00,1647.65,1589.90,1607.80,1606.95,1604.56,6388,658,3504,54.85
04-Aug-2016,1606.95,1640.00,1670.00,1592.40,1621.25,1621.70,1618.23,3399,472,1484,43.66
05-Aug-2016,1621.70,1650.00,1650.00,1616.00,1630.00,1636.30,1634.67,3022,456,1570,51.95
08-Aug-2016,1636.30,1650.00,1665.05,1625.00,1629.75,1628.25,1633.86,2622,335,1906,72.69
09-Aug-2016,1628.25,1628.00,1630.05,1605.00,1605.00,1610.75,1620.20,2186,348,1535,70.22
10-Aug-2016,1610.75,1614.95,1620.00,1597.00,1610.00,1607.70,1613.95,5023,328,3471,69.10
11-Aug-2016,1607.70,1608.00,1632.00,1605.00,1605.00,1607.55,1615.97,2162,278,1486,68.73
12-Aug-2016,1607.55,1624.00,1625.05,1604.00,1609.90,1608.50,1613.93,3759,392,2862,76.14
16-Aug-2016,1608.50,1628.90,1628.90,1600.00,1600.00,1602.20,1615.80,29102,587,25581,87.90
17-Aug-2016,1602.20,1603.00,1625.00,1596.10,1614.90,1609.80,1611.38,10981,556,8417,76.65
18-Aug-2016,1609.80,1610.00,1640.00,1601.00,1638.00,1632.00,1624.42,11544,881,8048,69.72
19-Aug-2016,1632.00,1632.00,1659.95,1619.70,1622.00,1623.40,1642.21,7729,611,4175,54.02
22-Aug-2016,1623.40,1639.00,1653.30,1627.00,1641.75,1641.65,1645.12,8255,605,5952,72.10
23-Aug-2016,1641.65,1645.00,1649.00,1621.30,1628.00,1626.05,1632.45,3133,439,2277,72.68
24-Aug-2016,1626.05,1631.00,1650.90,1615.00,1635.00,1635.80,1643.43,5115,615,2679,52.38
25-Aug-2016,1635.80,1635.00,1686.00,1621.00,1629.90,1625.70,1646.06,13587,1172,4320,31.80
26-Aug-2016,1625.70,1627.00,1670.00,1627.00,1646.90,1646.30,1648.02,4637,704,1790,38.60
29-Aug-2016,1646.30,1646.00,1650.00,1624.00,1625.10,1631.50,1641.24,4575,1069,2317,50.64
30-Aug-2016,1631.50,1635.00,1719.00,1630.00,1687.00,1698.90,1683.68,23495,2292,11697,49.79
31-Aug-2016,1698.90,1668.05,1745.00,1654.00,1694.00,1720.00,1703.83,23858,2887,11985,50.23
01-Sep-2016,1720.00,1723.05,1723.05,1690.00,1691.95,1692.10,1697.12,6205,715,5171,83.34
02-Sep-2016,1692.10,1692.00,1699.65,1661.05,1670.00,1665.05,1678.87,9465,2453,6844,72.31
06-Sep-2016,1665.05,1670.00,1728.50,1656.00,1656.00,1666.30,1671.63,12311,2254,6461,52.48
07-Sep-2016,1666.30,1671.00,1684.00,1658.00,1660.00,1659.65,1665.50,8719,695,7276,83.45
08-Sep-2016,1659.65,1660.00,1675.95,1655.00,1660.00,1660.45,1665.62,4116,385,2675,64.99
09-Sep-2016,1660.45,1662.00,1679.95,1652.05,1653.25,1655.20,1658.43,2665,294,1560,58.54
12-Sep-2016,1655.20,1656.00,1669.90,1594.00,1598.00,1612.40,1629.34,8030,876,5862,73.00
14-Sep-2016,1612.40,1622.00,1665.00,1616.00,1637.00,1637.60,1641.57,5612,670,1894,33.75
15-Sep-2016,1637.60,1640.00,1686.00,1625.00,1656.00,1652.30,1662.90,8185,969,2509,30.65
16-Sep-2016,1652.30,1669.45,1700.00,1580.05,1600.00,1592.90,1626.37,35216,5782,21089,59.88
19-Sep-2016,1592.90,1602.00,1663.40,1602.00,1645.00,1652.40,1646.10,20202,1230,11804,58.43
20-Sep-2016,1652.40,1645.00,1652.00,1627.95,1644.00,1640.70,1642.94,3913,772,1943,49.65
21-Sep-2016,1640.70,1640.00,1654.00,1634.00,1653.00,1647.35,1644.82,8806,767,5732,65.09
22-Sep-2016,1647.35,1652.00,1675.00,1645.00,1647.00,1654.45,1664.90,27791,3124,17790,64.01
