DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,75.50,75.50,78.35,75.00,75.95,75.90,76.64,4453489,14809,543870,12.21
03-Aug-2016,75.90,76.65,77.95,74.75,75.70,75.45,76.59,4173168,13196,578350,13.86
04-Aug-2016,75.45,76.50,78.90,74.65,78.50,77.80,76.67,5009531,20606,710832,14.19
05-Aug-2016,77.80,79.10,80.60,78.50,78.65,79.05,79.77,5192373,23826,979918,18.87
08-Aug-2016,79.05,79.90,79.90,76.25,77.35,77.50,77.82,3173217,12442,699428,22.04
09-Aug-2016,77.50,77.70,79.55,76.75,78.10,78.00,78.14,3764783,13857,343388,9.12
10-Aug-2016,78.00,78.65,78.65,75.00,75.20,75.30,76.28,3715761,16682,763451,20.55
11-Aug-2016,75.30,75.00,75.30,71.85,73.05,73.25,73.42,3337866,16647,515612,15.45
12-Aug-2016,73.25,72.50,76.40,71.45,75.15,75.45,74.20,7179819,30086,719038,10.01
16-Aug-2016,75.45,74.95,74.95,73.00,73.95,74.00,73.80,5629559,24594,617945,10.98
17-Aug-2016,74.00,74.35,76.25,73.90,75.05,75.25,75.19,3912431,17226,375617,9.60
18-Aug-2016,75.25,75.95,76.90,75.80,76.85,76.55,76.40,2967405,12317,560809,18.90
19-Aug-2016,76.55,77.10,79.65,77.00,79.05,79.05,78.23,4363153,15622,1111487,25.47
22-Aug-2016,79.05,79.50,80.05,77.90,79.25,79.30,79.13,4348955,16785,509255,11.71
23-Aug-2016,79.30,79.40,81.70,78.10,80.50,80.45,80.28,7114977,25507,792621,11.14
24-Aug-2016,80.45,80.95,82.15,80.20,81.20,81.55,81.31,4639629,16038,1566846,33.77
25-Aug-2016,81.55,81.60,81.95,78.85,79.30,79.35,80.47,3850065,13129,1145168,29.74
26-Aug-2016,79.35,79.50,80.35,77.50,78.10,78.15,78.70,3477243,12793,507354,14.59
29-Aug-2016,78.15,77.90,79.10,77.05,78.90,78.75,78.00,2936484,13438,296567,10.10
30-Aug-2016,78.75,79.15,84.60,78.90,84.35,84.00,81.75,8059345,29360,2296541,28.50
31-Aug-2016,84.00,85.00,86.55,83.70,84.20,84.15,85.43,8863857,39438,1915655,21.61
01-Sep-2016,84.15,84.25,84.70,81.75,82.10,82.05,83.43,3510819,14604,517057,14.73
02-Sep-2016,82.05,82.45,84.80,82.10,84.45,84.40,83.50,3716131,17457,537165,14.45
06-Sep-2016,84.40,85.10,86.00,84.55,84.80,84.90,85.24,4003239,17079,981841,24.53
07-Sep-2016,84.90,85.05,88.40,84.25,86.60,86.45,86.66,8160985,31561,1359183,16.65
08-Sep-2016,86.45,86.90,87.90,85.90,86.80,86.75,86.91,3655577,16761,521397,14.26
09-Sep-2016,86.75,87.00,87.00,84.75,85.50,85.40,85.72,4146945,16820,652225,15.73
12-Sep-2016,85.40,83.25,83.85,79.90,81.10,80.65,81.75,4235728,20768,889909,21.01
14-Sep-2016,80.65,80.90,83.60,80.45,83.35,83.20,82.24,4391678,21753,504820,11.49
15-Sep-2016,83.20,83.40,83.65,81.15,82.25,82.15,82.10,4276294,15116,348108,8.14
16-Sep-2016,82.15,83.25,84.40,80.30,81.45,80.90,82.09,4907260,21652,1143949,23.31
19-Sep-2016,80.90,81.55,82.50,80.65,81.10,81.15,81.40,3014945,12496,465622,15.44
20-Sep-2016,81.15,81.45,81.70,79.50,79.85,80.10,80.35,3883048,23632,448394,11.55
21-Sep-2016,80.10,80.00,81.35,79.30,80.00,80.00,80.36,3514168,17518,370957,10.56
22-Sep-2016,80.00,82.00,82.70,80.65,82.20,82.45,81.73,3630669,18604,593020,16.33
23-Sep-2016,82.45,82.50,83.00,81.05,81.45,81.35,81.86,4225832,20992,849265,20.10
26-Sep-2016,81.35,81.00,81.75,80.25,80.55,80.75,81.11,2669529,13403,231969,8.69
27-Sep-2016,80.75,81.00,81.50,79.30,79.65,79.60,80.23,3586786,17356,371058,10.35
28-Sep-2016,79.60,79.60,82.10,79.40,81.70,81.70,81.18,5843505,22168,586154,10.03
