DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,1544.35,1533.00,1569.90,1530.00,1551.25,1559.70,1542.70,29461,3985,22604,76.73
03-Aug-2016,1559.70,1540.00,1566.25,1506.00,1515.05,1521.40,1531.93,20098,2711,13851,68.92
04-Aug-2016,1521.40,1534.70,1541.55,1465.00,1494.00,1493.35,1500.78,43889,5606,27751,63.23
05-Aug-2016,1493.35,1513.00,1532.50,1500.00,1521.80,1524.95,1518.01,11516,1430,6933,60.20
08-Aug-2016,1524.95,1519.00,1605.90,1519.00,1579.00,1579.50,1577.93,58468,4663,27731,47.43
09-Aug-2016,1579.50,1595.00,1619.00,1575.00,1600.00,1588.35,1595.57,47855,3716,25565,53.42
10-Aug-2016,1588.35,1590.00,1602.00,1526.20,1538.00,1554.75,1555.24,36609,3466,23133,63.19
11-Aug-2016,1554.75,1568.00,1600.00,1546.00,1585.10,1594.60,1587.73,25953,3319,17916,69.03
12-Aug-2016,1594.60,1615.00,1626.00,1533.30,1555.00,1557.95,1594.05,258494,17491,79062,30.59
16-Aug-2016,1557.95,1578.40,1582.00,1530.00,1541.00,1541.50,1551.31,35828,3741,18231,50.88
17-Aug-2016,1541.50,1550.00,1570.00,1528.00,1540.00,1534.00,1543.02,31753,4040,21553,67.88
18-Aug-2016,1534.00,1539.85,1557.00,1535.05,1535.05,1543.75,1545.51,16935,3835,11557,68.24
19-Aug-2016,1543.75,1549.85,1555.00,1530.00,1534.05,1538.25,1541.35,16254,3292,10525,64.75
22-Aug-2016,1538.25,1532.00,1552.00,1510.00,1523.85,1522.45,1530.62,31038,3675,23353,75.24
23-Aug-2016,1522.45,1529.95,1529.95,1486.15,1510.00,1504.25,1509.06,23193,3070,18446,79.53
24-Aug-2016,1504.25,1510.00,1550.00,1510.00,1535.00,1533.30,1532.64,23180,1869,15688,67.68
25-Aug-2016,1533.30,1544.70,1551.00,1525.10,1538.00,1540.25,1541.17,20620,2984,11597,56.24
26-Aug-2016,1540.25,1531.10,1555.00,1528.40,1540.00,1542.90,1542.30,13360,2916,8704,65.15
29-Aug-2016,1542.90,1549.80,1549.80,1528.00,1540.00,1541.80,1539.57,12326,2561,9067,73.56
30-Aug-2016,1541.80,1548.00,1561.70,1538.15,1561.70,1557.20,1553.25,29959,8742,22084,73.71
31-Aug-2016,1557.20,1559.95,1567.50,1534.20,1548.95,1547.75,1554.50,19368,2152,12753,65.85
01-Sep-2016,1547.75,1554.50,1585.00,1535.10,1565.10,1569.85,1562.62,20749,2994,12684,61.13
02-Sep-2016,1569.85,1576.80,1658.50,1548.60,1625.00,1636.50,1634.67,184668,11166,56788,30.75
06-Sep-2016,1636.50,1640.00,1668.90,1625.10,1642.00,1644.75,1647.96,54267,4027,19849,36.58
07-Sep-2016,1644.75,1646.00,1669.90,1607.15,1618.50,1616.90,1632.20,64412,5801,42065,65.31
08-Sep-2016,1616.90,1603.10,1660.00,1603.10,1639.85,1635.90,1633.70,48396,2664,37996,78.51
09-Sep-2016,1635.90,1646.00,1670.00,1590.10,1592.55,1602.85,1629.32,50054,4600,24443,48.83
12-Sep-2016,1602.85,1585.00,1624.95,1580.15,1616.00,1616.35,1606.94,36268,5998,18434,50.83
14-Sep-2016,1616.35,1616.00,1644.60,1601.15,1624.00,1624.30,1625.33,18535,3199,12461,67.23
15-Sep-2016,1624.30,1633.85,1633.85,1607.10,1630.00,1622.35,1621.96,12672,1989,8552,67.49
16-Sep-2016,1622.35,1634.70,1761.00,1625.05,1702.00,1682.10,1662.91,191449,15241,140420,73.35
19-Sep-2016,1682.10,1705.00,1832.00,1684.05,1731.40,1729.70,1769.32,195331,15842,43417,22.23
20-Sep-2016,1729.70,1735.00,1760.30,1691.00,1696.00,1697.70,1716.82,49338,6088,18480,37.46
21-Sep-2016,1697.70,1708.00,1727.90,1679.00,1686.25,1694.75,1703.78,42421,5185,22485,53.00
22-Sep-2016,1694.75,1720.00,1750.00,1701.05,1733.00,1739.55,1731.41,88724,7290,58568,66.01
23-Sep-2016,1739.55,1740.00,1774.00,1717.95,1755.00,1762.20,1747.52,45549,8526,18474,40.56
26-Sep-2016,1762.20,1765.55,1850.30,1755.60,1828.00,1829.00,1820.30,174164,15565,86559,49.70
27-Sep-2016,1829.00,1845.00,1851.90,1792.50,1805.00,1807.20,1824.95,66962,8068,27195,40.61
28-Sep-2016,1807.20,1808.00,1852.60,1790.00,1839.90,1844.85,1823.53,46047,4585,18084,39.27
29-Sep-2016,1844.85,1855.00,1856.00,1762.25,1815.00,1812.45,1816.54,52384,6290,23248,44.38
30-Sep-2016,1812.45,1694.30,1765.00,1647.00,1661.95,1661.25,1701.66,557779,32213,233270,41.82
03-Oct-2016,1661.25,1700.00,1720.00,1665.00,1673.00,1678.45,1681.33,83486,8616,39375,47.16
04-Oct-2016,1678.45,1693.10,1697.80,1655.65,1669.15,1671.20,1673.02,63604,5408,41362,65.03
05-Oct-2016,1671.20,1666.25,1696.35,1660.10,1669.00,1668.30,1671.87,31351,3111,17229,54.96
06-Oct-2016,1668.30,1682.80,1682.80,1650.00,1663.80,1663.85,1663.29,24012,2405,14665,61.07
07-Oct-2016,1663.85,1677.90,1679.45,1650.00,1658.00,1658.75,1662.98,19760,2492,11291,57.14
10-Oct-2016,1658.75,1672.65,1710.00,1640.00,1691.00,1695.60,1667.17,105868,3533,83138,78.53
13-Oct-2016,1695.60,1695.00,1695.00,1662.00,1671.00,1669.95,1669.56,76837,2701,68895,89.66
14-Oct-2016,1669.95,1678.80,1714.65,1669.45,1695.00,1696.65,1697.59,41448,4678,26518,63.98
17-Oct-2016,1696.65,1702.00,1750.00,1682.00,1730.00,1734.40,1716.42,52247,7050,23528,45.03
18-Oct-2016,1734.40,1743.80,1763.00,1734.00,1747.00,1747.50,1746.87,33304,4171,18399,55.25
19-Oct-2016,1747.50,1735.40,1752.00,1671.75,1675.00,1684.15,1692.66,127255,13040,97434,76.57
20-Oct-2016,1684.15,1699.80,1703.50,1645.00,1645.20,1654.10,1676.11,52111,3545,41402,79.45
21-Oct-2016,1654.10,1655.00,1675.00,1645.00,1658.00,1659.00,1660.54,29686,3343,17374,58.53
24-Oct-2016,1659.00,1671.70,1680.00,1664.00,1676.80,1675.10,1673.58,19346,3000,13194,68.20
