DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,212.60,217.00,218.75,201.40,206.40,205.25,212.69,1079312,21874,485743,45.00
03-Aug-2016,205.25,205.80,208.00,191.45,196.00,196.00,199.74,1061490,14203,312606,29.45
04-Aug-2016,196.00,200.75,208.80,187.15,188.65,189.90,197.16,1091100,13483,297620,27.28
05-Aug-2016,189.90,191.00,192.00,185.10,186.40,186.80,186.83,503759,6188,185546,36.83
08-Aug-2016,186.80,188.40,196.00,186.50,191.90,192.10,191.68,494330,6554,153784,31.11
09-Aug-2016,192.10,192.60,193.20,186.00,187.80,187.55,188.53,273580,5185,122970,44.95
10-Aug-2016,187.55,187.05,191.75,183.90,186.90,187.05,187.44,326937,4449,144171,44.10
11-Aug-2016,187.05,187.80,190.95,186.10,186.90,186.65,187.79,177177,4263,79623,44.94
12-Aug-2016,186.65,187.85,190.95,187.85,189.00,188.80,189.64,225805,3507,131740,58.34
16-Aug-2016,188.80,188.80,188.80,181.40,182.55,182.55,184.06,111997,2236,64941,57.98
17-Aug-2016,182.55,184.50,187.25,182.05,184.80,184.80,184.87,189004,2658,70774,37.45
18-Aug-2016,184.80,185.80,187.20,183.00,184.10,184.15,185.43,129985,2533,56447,43.43
19-Aug-2016,184.15,185.00,191.90,185.00,191.60,191.05,188.97,205324,3009,122850,59.83
22-Aug-2016,191.05,191.95,196.50,191.15,195.90,195.70,194.25,416517,5595,202506,48.62
23-Aug-2016,195.70,188.30,192.85,182.20,190.00,190.15,187.98,653194,7717,234886,35.96
24-Aug-2016,190.15,190.95,193.70,188.00,189.50,189.65,190.85,259467,5817,150338,57.94
25-Aug-2016,189.65,189.95,195.00,187.00,190.90,191.50,191.91,563629,9751,157663,27.97
26-Aug-2016,191.50,193.45,196.00,188.15,189.00,189.85,191.83,164286,4977,75633,46.04
29-Aug-2016,189.85,190.90,190.90,182.40,186.10,185.95,186.83,121326,2137,54818,45.18
30-Aug-2016,185.95,186.90,189.40,186.55,187.30,187.30,187.95,96714,2104,55757,57.65
31-Aug-2016,187.30,187.30,188.50,184.00,185.00,184.80,185.97,83326,1427,47214,56.66
01-Sep-2016,184.80,184.70,187.45,181.00,181.20,181.65,184.08,137687,2520,63527,46.14
02-Sep-2016,181.65,182.85,185.95,182.80,185.00,184.40,184.42,137240,2482,74409,54.22
06-Sep-2016,184.40,185.00,190.85,184.55,188.30,188.25,188.74,239334,6938,144736,60.47
07-Sep-2016,188.25,188.30,194.65,185.30,187.40,186.60,187.64,601267,4899,442015,73.51
08-Sep-2016,186.60,187.00,190.90,186.10,188.45,188.35,188.70,132332,2069,58237,44.01
09-Sep-2016,188.35,190.00,195.80,189.65,193.00,192.70,194.01,497871,6897,193204,38.81
12-Sep-2016,192.70,188.85,195.00,186.00,188.50,187.80,191.71,328262,5243,108572,33.07
14-Sep-2016,187.80,188.50,193.45,188.00,192.80,191.90,191.03,114380,2183,55404,48.44
15-Sep-2016,191.90,193.50,193.50,189.05,191.00,190.10,191.10,76898,1427,41218,53.60
16-Sep-2016,190.10,191.00,196.00,190.50,194.50,194.60,193.75,212552,3133,137729,64.80
19-Sep-2016,194.60,194.95,194.95,192.10,192.15,192.85,193.27,70941,1158,38829,54.73
20-Sep-2016,192.85,193.65,194.00,191.50,192.25,192.70,192.68,69912,1624,36764,52.59
21-Sep-2016,192.70,193.40,194.45,192.10,193.50,193.75,193.64,94830,1266,50457,53.21
22-Sep-2016,193.75,196.00,196.50,192.50,193.05,193.70,194.04,85343,1507,46720,54.74
23-Sep-2016,193.70,195.00,195.20,192.40,193.20,193.25,193.74,73190,1663,39111,53.44
26-Sep-2016,193.25,192.20,192.40,190.00,191.40,191.10,191.36,32836,863,21236,64.67
27-Sep-2016,191.10,192.80,192.80,189.30,190.00,189.95,190.81,48570,1437,29934,61.63
28-Sep-2016,189.95,190.55,194.50,190.05,190.50,190.70,191.80,317448,2454,251504,79.23
29-Sep-2016,190.70,191.40,193.00,170.00,178.55,177.50,183.72,166308,2920,84921,51.06
