DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,923.65,930.00,941.45,917.15,926.00,921.95,931.13,321159,11209,69176,21.54
03-Aug-2016,921.95,923.00,931.15,911.20,917.25,913.85,920.47,167397,6370,34101,20.37
04-Aug-2016,913.85,928.50,941.75,874.70,878.90,877.40,907.27,679619,21835,204981,30.16
05-Aug-2016,877.40,882.00,909.30,877.50,907.00,901.80,891.93,364087,12310,105616,29.01
08-Aug-2016,901.80,915.00,938.00,905.00,932.75,930.60,927.90,845040,23657,268331,31.75
09-Aug-2016,930.60,934.00,934.00,913.50,920.45,919.15,920.71,187459,8803,44498,23.74
10-Aug-2016,919.15,920.00,929.90,902.20,906.00,908.00,918.46,210667,11345,56018,26.59
11-Aug-2016,908.00,905.00,917.00,897.05,910.00,907.45,908.56,160926,6863,28404,17.65
12-Aug-2016,907.45,912.00,923.25,908.55,910.10,911.00,916.26,127638,5593,27726,21.72
16-Aug-2016,911.00,910.10,916.05,895.05,904.35,904.00,903.11,213285,9445,78314,36.72
17-Aug-2016,904.00,902.00,931.90,900.00,931.80,928.65,919.93,345901,12618,93955,27.16
18-Aug-2016,928.65,932.00,935.80,917.00,919.50,918.80,926.13,158355,5002,45384,28.66
19-Aug-2016,918.80,924.30,930.80,917.25,924.05,920.70,925.05,171855,7017,43526,25.33
22-Aug-2016,920.70,923.00,923.00,889.20,894.00,894.00,900.82,191171,6846,64269,33.62
23-Aug-2016,894.00,893.00,904.00,885.55,890.00,887.90,895.05,323506,10088,118604,36.66
24-Aug-2016,887.90,890.45,897.20,886.20,893.00,891.60,891.00,177903,5976,50908,28.62
25-Aug-2016,891.60,892.95,896.90,881.10,885.00,883.25,890.24,164761,7544,35684,21.66
26-Aug-2016,883.25,887.85,906.95,879.80,902.30,903.20,898.44,207278,7918,67136,32.39
29-Aug-2016,903.20,906.00,925.00,906.00,923.80,920.85,915.61,295818,9689,83220,28.13
30-Aug-2016,920.85,925.00,929.30,914.00,927.00,926.05,922.78,340041,10786,150185,44.17
31-Aug-2016,926.05,930.00,964.90,923.00,957.00,956.35,951.82,1056310,33747,452150,42.80
01-Sep-2016,956.35,961.85,983.40,960.00,968.30,969.80,973.82,1094794,30882,438542,40.06
02-Sep-2016,969.80,970.60,1002.35,970.60,1002.35,998.00,988.92,750669,26476,310951,41.42
06-Sep-2016,998.00,999.00,1079.70,997.05,1039.70,1037.20,1048.04,1351729,40276,237202,17.55
07-Sep-2016,1037.20,1040.15,1051.40,1011.25,1023.00,1017.10,1028.19,557325,19720,189880,34.07
08-Sep-2016,1017.10,1020.00,1046.80,1017.20,1027.00,1026.70,1031.52,854739,14941,618824,72.40
09-Sep-2016,1026.70,1026.70,1031.10,1008.60,1025.30,1019.20,1018.05,287753,10319,134978,46.91
12-Sep-2016,1019.20,1014.70,1014.70,978.65,992.70,985.20,991.50,310980,11365,78779,25.33
14-Sep-2016,985.20,989.10,1011.50,980.00,1001.60,1000.00,997.71,573198,19412,219039,38.21
15-Sep-2016,1000.00,1010.60,1048.80,1005.10,1045.50,1038.80,1027.40,517437,21689,145601,28.14
16-Sep-2016,1038.80,1054.70,1062.80,997.15,1004.10,1003.40,1035.30,803846,29177,187464,23.32
19-Sep-2016,1003.40,1010.00,1018.00,999.05,1009.00,1003.40,1008.14,286641,11742,54877,19.14
20-Sep-2016,1003.40,1008.70,1013.00,989.90,990.05,991.60,997.19,245695,11586,55988,22.79
21-Sep-2016,991.60,999.10,1006.00,989.10,990.00,990.65,996.30,240116,10254,77484,32.27
22-Sep-2016,990.65,1006.00,1039.00,998.05,1031.00,1032.65,1026.16,724987,22351,230338,31.77
23-Sep-2016,1032.65,1036.65,1038.45,1018.00,1022.00,1023.30,1027.70,332696,16933,92885,27.92
26-Sep-2016,1023.30,1021.95,1045.00,1004.10,1021.45,1017.20,1030.56,510037,17844,94368,18.50
27-Sep-2016,1017.20,1022.00,1031.00,1004.00,1012.95,1010.65,1015.40,278934,13192,80214,28.76
28-Sep-2016,1010.65,1013.05,1035.80,1011.45,1030.00,1028.00,1028.42,746000,16789,499403,66.94
29-Sep-2016,1028.00,1040.00,1042.00,973.00,1000.00,998.45,1007.26,493089,15293,221457,44.91
30-Sep-2016,998.45,1000.00,1014.90,995.00,1011.00,1010.80,1006.92,295128,11195,59877,20.29
03-Oct-2016,1010.80,1014.70,1035.00,1010.35,1031.00,1029.80,1028.02,304153,8933,84121,27.66
04-Oct-2016,1029.80,1039.00,1073.70,1036.55,1062.75,1063.70,1060.85,908935,25072,223683,24.61
05-Oct-2016,1063.70,1073.80,1073.95,1047.60,1054.00,1054.95,1057.09,296728,12507,61118,20.60
06-Oct-2016,1054.95,1064.45,1065.70,1034.10,1043.05,1040.60,1050.71,167459,7937,30930,18.47
