DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,1373.60,1374.90,1388.90,1356.00,1357.10,1361.50,1375.58,147724,15528,53938,36.51
03-Aug-2016,1361.50,1360.00,1368.00,1336.55,1342.10,1340.20,1347.44,82995,11155,29406,35.43
04-Aug-2016,1340.20,1341.00,1365.05,1337.00,1357.00,1358.50,1353.34,151809,17310,55138,36.32
05-Aug-2016,1358.50,1368.00,1368.00,1342.50,1354.10,1362.45,1353.09,133991,11565,71269,53.19
08-Aug-2016,1362.45,1362.45,1410.00,1360.00,1404.00,1405.35,1396.34,221666,14227,74964,33.82
09-Aug-2016,1405.35,1406.90,1443.00,1384.00,1394.00,1402.35,1423.48,268271,16397,72666,27.09
10-Aug-2016,1402.35,1406.50,1410.70,1373.60,1385.00,1380.45,1387.83,122331,12884,39461,32.26
11-Aug-2016,1380.45,1383.00,1392.00,1365.90,1377.00,1382.65,1378.83,131800,11859,66527,50.48
12-Aug-2016,1382.65,1384.30,1423.00,1379.20,1416.90,1415.70,1409.10,316873,31104,171213,54.03
16-Aug-2016,1415.70,1424.60,1432.95,1400.00,1406.00,1412.20,1419.82,221890,24333,98768,44.51
17-Aug-2016,1412.20,1414.90,1422.85,1403.40,1410.75,1412.55,1412.24,141459,19965,57759,40.83
18-Aug-2016,1412.55,1413.00,1417.45,1395.20,1399.80,1399.75,1403.89,109024,14061,44309,40.64
19-Aug-2016,1399.75,1395.00,1405.70,1387.05,1394.00,1392.85,1396.18,82979,8671,27075,32.63
22-Aug-2016,1392.85,1396.55,1404.80,1370.00,1370.05,1373.80,1380.31,156224,11543,68191,43.65
23-Aug-2016,1373.80,1375.00,1375.00,1348.10,1353.70,1353.90,1355.08,172803,12881,91561,52.99
24-Aug-2016,1353.90,1345.00,1365.00,1345.00,1364.00,1357.95,1357.82,165437,18547,93778,56.69
