DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,162.95,164.00,164.50,159.50,161.05,161.45,162.45,1116580,15484,254870,22.83
03-Aug-2016,161.45,161.45,162.45,155.10,155.85,156.00,158.20,1628289,15173,515242,31.64
04-Aug-2016,156.00,158.40,163.40,154.25,163.00,161.05,159.20,2653327,18440,583078,21.98
05-Aug-2016,161.05,162.75,176.70,161.75,174.35,174.95,171.90,9551847,56874,2081802,21.79
08-Aug-2016,174.95,175.00,183.25,175.00,180.35,181.00,179.65,5224830,40419,951049,18.20
09-Aug-2016,181.00,180.55,190.30,176.15,182.60,182.55,183.74,13871309,84472,1404594,10.13
10-Aug-2016,182.55,182.80,186.00,171.55,172.15,172.60,177.37,7900943,61360,1872250,23.70
11-Aug-2016,172.60,171.00,173.90,166.25,168.35,169.00,170.77,4213420,33713,1149532,27.28
12-Aug-2016,169.00,168.50,174.20,168.50,169.55,170.40,171.67,2657868,20554,636851,23.96
16-Aug-2016,170.40,170.05,173.40,170.05,172.50,172.75,171.97,2063622,21737,775129,37.56
17-Aug-2016,172.75,172.75,177.00,170.75,175.50,175.65,175.45,2395507,17771,691857,28.88
18-Aug-2016,175.65,175.50,178.50,175.35,178.35,177.35,176.85,1624689,15926,700666,43.13
19-Aug-2016,177.35,177.40,178.80,174.50,175.35,175.50,176.74,1333543,15692,247126,18.53
22-Aug-2016,175.50,175.95,176.25,168.45,169.55,170.80,173.53,3146195,22056,571442,18.16
23-Aug-2016,170.80,169.50,173.90,168.10,172.40,172.50,171.43,2343873,18949,424392,18.11
24-Aug-2016,172.50,172.60,174.80,171.00,174.00,174.15,173.11,2411252,38027,747726,31.01
25-Aug-2016,174.15,174.60,176.70,172.60,173.20,173.80,175.10,1979466,15728,779013,39.35
26-Aug-2016,173.80,173.50,177.30,171.40,176.80,176.70,174.72,1629274,17134,340179,20.88
29-Aug-2016,176.70,178.60,185.70,178.60,184.25,184.20,183.69,4846688,36373,766336,15.81
30-Aug-2016,184.20,185.00,186.40,183.45,184.30,185.00,185.17,2381932,19018,533084,22.38
31-Aug-2016,185.00,184.85,186.20,181.15,182.70,183.05,183.83,2079953,18707,553809,26.63
01-Sep-2016,183.05,184.30,188.75,182.00,186.15,186.10,186.30,4992181,25218,1634065,32.73
02-Sep-2016,186.10,186.95,195.90,186.65,195.45,194.50,192.82,6293256,46714,1029290,16.36
06-Sep-2016,194.50,196.45,203.95,196.25,202.55,202.45,201.02,6547672,45963,1897043,28.97
07-Sep-2016,202.45,203.75,207.70,203.00,206.45,206.00,205.81,3457581,28018,564070,16.31
08-Sep-2016,206.00,206.50,210.50,204.70,208.00,207.75,207.24,2817238,29682,745540,26.46
09-Sep-2016,207.75,209.50,215.90,208.50,213.25,212.85,212.35,4866480,41462,1364636,28.04
12-Sep-2016,212.85,209.80,210.00,201.80,204.40,203.70,205.73,1937247,26758,335537,17.32
14-Sep-2016,203.70,205.00,214.85,203.00,214.45,213.25,210.88,5335005,39753,978190,18.34
15-Sep-2016,213.25,214.80,219.90,213.60,213.80,215.50,216.97,4719164,36533,1156540,24.51
16-Sep-2016,215.50,216.00,217.95,208.25,213.95,213.45,214.59,3749895,32322,910430,24.28
19-Sep-2016,213.45,215.20,222.20,214.45,222.05,221.35,218.82,5757699,55477,1233486,21.42
20-Sep-2016,221.35,222.85,223.70,216.05,216.40,217.25,219.55,5620605,52199,1945303,34.61
21-Sep-2016,217.25,216.50,219.50,213.20,214.05,215.10,215.84,3723720,33451,1153681,30.98
22-Sep-2016,215.10,218.00,218.70,212.80,215.75,215.70,215.09,2828200,26778,518341,18.33
23-Sep-2016,215.70,216.00,223.00,213.90,220.85,221.00,220.18,4590732,53174,1092626,23.80
26-Sep-2016,221.00,221.00,221.75,215.60,216.20,216.25,218.25,2195480,21930,252361,11.49
27-Sep-2016,216.25,217.60,219.85,214.05,215.20,215.25,216.83,2597505,26670,349532,13.46
28-Sep-2016,215.25,214.00,221.65,210.60,220.80,220.45,216.31,6489227,51396,1205713,18.58
29-Sep-2016,220.45,221.70,225.00,207.80,211.50,210.50,217.81,7063592,56967,1348662,19.09
30-Sep-2016,210.50,210.00,221.40,210.00,220.45,219.95,217.31,3633516,31081,692981,19.07
03-Oct-2016,219.95,222.00,225.65,220.45,223.85,223.85,223.55,2873544,21491,471090,16.39
04-Oct-2016,223.85,224.10,225.90,219.30,221.15,220.60,221.88,2607046,28709,736864,28.26
05-Oct-2016,220.60,222.65,233.35,221.80,229.15,229.45,229.39,7048803,50213,982516,13.94
06-Oct-2016,229.45,230.95,234.75,225.05,229.40,227.50,230.47,4734834,41185,813788,17.19
07-Oct-2016,227.50,230.10,231.00,222.65,223.75,223.80,225.60,2240468,20062,271337,12.11
10-Oct-2016,223.80,224.10,228.90,223.10,223.80,223.70,225.78,2038308,21348,293263,14.39
13-Oct-2016,223.70,223.30,224.65,215.00,222.40,223.30,220.43,3176077,29994,369309,11.63
14-Oct-2016,223.30,222.75,223.65,215.60,216.90,216.75,218.27,3257357,36014,740479,22.73
17-Oct-2016,216.75,216.75,216.75,208.20,209.55,209.50,211.03,3341161,26697,424260,12.70
18-Oct-2016,209.50,210.50,220.90,206.10,219.00,219.70,213.39,5967957,42743,512111,8.58
19-Oct-2016,219.70,220.20,220.60,211.20,211.50,211.75,213.97,4508177,40947,738842,16.39
20-Oct-2016,211.75,212.00,215.15,210.45,212.30,212.30,212.75,3409691,30548,322220,9.45
21-Oct-2016,212.30,214.00,215.30,209.70,212.55,212.95,212.99,2446018,21369,220641,9.02
