DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,176.75,176.95,182.80,175.00,181.00,179.80,180.16,304730,2321,216922,71.18
03-Aug-2016,179.80,179.05,181.00,175.15,177.95,178.20,177.99,68618,725,53446,77.89
04-Aug-2016,178.20,179.00,182.90,177.35,182.00,182.10,181.42,112845,583,95500,84.63
05-Aug-2016,182.10,182.00,185.70,181.95,183.85,183.60,184.02,78570,871,64420,81.99
08-Aug-2016,183.60,183.95,188.70,183.00,186.15,186.60,186.41,53416,669,36139,67.66
09-Aug-2016,186.60,187.90,189.00,182.50,186.50,186.95,185.96,88647,754,75465,85.13
10-Aug-2016,186.95,188.60,190.00,184.00,188.35,188.10,187.37,49705,436,42335,85.17
11-Aug-2016,188.10,188.05,191.40,182.20,189.00,190.55,188.25,65393,999,45992,70.33
12-Aug-2016,190.55,191.00,199.50,191.00,193.00,192.80,194.67,156466,1282,101249,64.71
16-Aug-2016,192.80,193.15,194.75,188.15,191.20,190.55,190.39,25185,405,16010,63.57
17-Aug-2016,190.55,190.00,193.00,185.90,190.50,191.00,190.79,157918,706,146881,93.01
18-Aug-2016,191.00,192.80,194.45,189.05,191.50,191.00,191.67,111627,738,81557,73.06
19-Aug-2016,191.00,191.00,195.00,189.70,195.00,194.55,193.09,41816,294,37741,90.25
22-Aug-2016,194.55,194.00,197.00,191.00,191.80,192.05,193.68,20763,345,17864,86.04
23-Aug-2016,192.05,192.05,192.95,187.00,187.55,187.95,188.83,31761,458,28284,89.05
24-Aug-2016,187.95,187.30,189.00,186.20,188.80,188.15,187.68,68902,630,62960,91.38
25-Aug-2016,188.15,188.95,191.00,186.20,187.00,186.70,187.83,52976,367,45829,86.51
26-Aug-2016,186.70,188.00,189.65,185.40,187.60,188.15,187.80,31859,443,27197,85.37
29-Aug-2016,188.15,187.60,189.80,185.00,188.90,188.80,187.34,15070,381,10783,71.55
30-Aug-2016,188.80,188.90,193.00,185.55,193.00,191.75,189.27,28613,688,21674,75.75
31-Aug-2016,191.75,191.20,199.00,189.00,197.05,196.20,194.88,51605,1385,40063,77.63
01-Sep-2016,196.20,197.90,207.00,195.35,202.00,201.70,202.66,125390,1625,65007,51.84
02-Sep-2016,201.70,204.50,205.40,200.00,200.20,201.00,203.20,23484,538,15120,64.38
06-Sep-2016,201.00,202.95,205.00,199.00,200.90,200.30,202.05,26799,622,17530,65.41
07-Sep-2016,200.30,201.00,201.95,197.40,200.40,199.25,198.95,27430,286,18017,65.68
08-Sep-2016,199.25,199.90,200.95,195.55,197.05,197.75,197.74,22766,473,17029,74.80
09-Sep-2016,197.75,197.00,199.00,195.00,195.00,195.45,196.50,14605,384,10856,74.33
12-Sep-2016,195.45,193.90,193.90,187.00,189.00,187.85,190.40,19098,662,13453,70.44
14-Sep-2016,187.85,189.00,193.90,187.00,192.80,192.45,190.58,24567,383,16946,68.98
15-Sep-2016,192.45,191.35,193.90,189.00,189.50,190.95,190.45,17936,188,13691,76.33
16-Sep-2016,190.95,191.90,194.90,189.55,194.00,192.80,191.53,61194,366,53909,88.10
19-Sep-2016,192.80,192.80,194.95,188.15,190.00,190.40,191.25,13787,337,10556,76.56
20-Sep-2016,190.40,190.00,192.80,188.55,188.65,188.95,190.12,8169,196,5746,70.34
21-Sep-2016,188.95,189.00,192.50,187.35,188.35,187.80,189.67,10972,218,7350,66.99
22-Sep-2016,187.80,189.95,203.80,187.75,200.75,200.25,199.44,148174,2152,57046,38.50
23-Sep-2016,200.25,201.00,206.90,200.40,205.25,204.60,204.92,98022,2448,50149,51.16
26-Sep-2016,204.60,205.95,205.95,197.30,197.40,198.40,200.31,35768,1036,25034,69.99
27-Sep-2016,198.40,197.50,200.85,196.05,196.20,197.10,197.81,32354,571,15001,46.37
28-Sep-2016,197.10,198.60,198.60,193.10,195.00,194.60,195.23,17930,649,12486,69.64
29-Sep-2016,194.60,196.70,198.00,180.00,185.00,184.95,187.19,75849,1073,49280,64.97
30-Sep-2016,184.95,187.00,189.00,185.15,187.20,187.20,186.81,27145,706,20573,75.79
03-Oct-2016,187.20,187.95,200.95,187.95,197.10,198.65,194.75,77329,1611,52971,68.50
04-Oct-2016,198.65,198.05,201.00,198.00,198.00,198.00,198.71,19393,561,13106,67.58
05-Oct-2016,198.00,199.95,201.00,198.00,201.00,200.30,199.10,21679,438,18493,85.30
06-Oct-2016,200.30,201.00,204.70,198.00,201.00,200.50,200.48,36211,688,19109,52.77
07-Oct-2016,200.50,201.00,203.25,199.05,203.00,201.40,200.29,13559,349,9392,69.27
10-Oct-2016,201.40,203.90,208.00,201.30,202.75,203.30,205.16,44431,840,21978,49.47
13-Oct-2016,203.30,203.30,203.30,191.00,197.00,196.30,196.35,46633,846,36042,77.29
14-Oct-2016,196.30,196.45,202.90,195.00,201.20,201.00,199.50,18441,527,13124,71.17
17-Oct-2016,201.00,200.30,201.00,188.50,190.00,189.40,192.78,46294,564,41939,90.59
18-Oct-2016,189.40,191.00,198.50,178.00,197.50,197.30,194.44,57534,965,32901,57.19
19-Oct-2016,197.30,197.90,199.00,193.00,195.00,195.30,194.91,81597,1028,57038,69.90
20-Oct-2016,195.30,196.10,203.20,195.30,200.40,200.30,200.39,63631,713,52765,82.92
21-Oct-2016,200.30,200.10,202.00,199.10,200.75,200.45,200.21,19938,429,18013,90.35
24-Oct-2016,200.45,201.00,205.00,199.50,200.00,200.00,202.32,27562,508,18697,67.84
25-Oct-2016,200.00,201.45,204.00,200.00,200.00,200.10,201.13,33200,343,25857,77.88
26-Oct-2016,200.10,200.05,202.00,195.00,195.00,195.30,198.15,13721,295,9455,68.91
27-Oct-2016,195.30,195.20,196.85,193.00,193.85,194.50,194.55,6184,142,3454,55.85
28-Oct-2016,194.50,194.00,197.00,193.05,197.00,196.25,195.90,5542,111,2705,48.81
30-Oct-2016,196.25,197.00,197.00,193.00,193.40,194.70,195.07,4904,99,3102,63.25
01-Nov-2016,194.70,196.95,197.00,192.10,192.85,193.00,193.97,23981,276,19671,82.03
02-Nov-2016,193.00,192.05,194.00,185.50,190.00,190.15,189.80,57600,668,44622,77.47
