DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,158.35,159.00,159.95,151.65,151.80,152.55,155.55,90857,1054,65968,72.61
03-Aug-2016,152.55,152.50,156.25,147.35,154.00,154.55,152.33,168686,1802,117866,69.87
04-Aug-2016,154.55,158.00,159.25,154.50,155.95,155.50,156.18,74280,1157,32808,44.17
05-Aug-2016,155.50,155.60,157.70,152.55,155.90,155.40,154.93,61542,1431,32220,52.35
08-Aug-2016,155.40,156.00,159.90,156.00,157.95,157.80,157.86,73737,1684,30534,41.41
09-Aug-2016,157.80,158.40,162.00,155.05,158.95,156.20,158.20,160769,2728,67579,42.03
10-Aug-2016,156.20,158.40,164.40,156.00,160.40,160.15,160.06,161620,3203,36308,22.47
11-Aug-2016,160.15,160.75,160.95,154.85,155.95,155.75,158.20,89031,2046,50610,56.85
12-Aug-2016,155.75,157.00,161.00,153.35,154.90,154.60,155.66,89735,3948,54883,61.16
16-Aug-2016,154.60,155.00,157.65,150.55,151.00,151.75,153.94,53294,1348,33334,62.55
17-Aug-2016,151.75,152.40,154.90,150.50,151.00,150.75,151.73,53910,1344,28957,53.71
18-Aug-2016,150.75,151.90,153.20,150.30,151.00,150.90,152.21,135000,2560,104481,77.39
19-Aug-2016,150.90,152.60,152.60,150.00,150.15,150.40,150.91,76843,4764,52131,67.84
22-Aug-2016,150.40,150.80,151.40,146.80,147.50,148.20,148.06,72625,1972,56226,77.42
23-Aug-2016,148.20,148.00,150.35,147.00,147.50,148.30,148.30,58137,1914,36650,63.04
24-Aug-2016,148.30,148.95,154.40,148.25,153.60,153.45,152.80,85150,1472,40602,47.68
25-Aug-2016,153.45,154.00,154.90,153.00,154.40,154.05,153.83,42748,922,16366,38.28
26-Aug-2016,154.05,155.25,155.25,153.00,155.25,154.90,153.92,51221,902,32477,63.41
29-Aug-2016,154.90,156.70,159.00,155.05,155.70,155.75,157.10,106441,1678,56530,53.11
30-Aug-2016,155.75,158.00,159.00,153.00,156.85,156.10,156.54,407470,6424,145110,35.61
31-Aug-2016,156.10,157.20,161.00,156.00,160.00,159.15,158.35,301654,3565,188475,62.48
01-Sep-2016,159.15,160.00,161.20,157.20,157.90,157.85,159.26,130524,2355,80714,61.84
02-Sep-2016,157.85,157.85,159.95,157.85,158.00,158.80,158.90,56789,832,39169,68.97
06-Sep-2016,158.80,165.00,168.80,160.00,164.10,163.50,165.24,434768,7095,129343,29.75
07-Sep-2016,163.50,164.85,167.80,163.50,164.60,164.75,165.86,131549,1558,81581,62.02
08-Sep-2016,164.75,164.00,173.40,162.20,173.20,172.25,170.54,524529,4709,328096,62.55
09-Sep-2016,172.25,173.40,176.00,170.05,170.70,171.75,174.08,210065,2629,112791,53.69
12-Sep-2016,171.75,167.90,169.05,162.35,163.00,163.70,165.87,70708,1501,40062,56.66
14-Sep-2016,163.70,162.00,167.00,161.00,164.00,164.10,163.17,117758,2050,66778,56.71
15-Sep-2016,164.10,164.00,170.00,162.10,167.50,168.00,166.02,96004,1243,51317,53.45
16-Sep-2016,168.00,167.10,170.95,165.55,168.60,168.10,168.11,117631,1690,76091,64.69
19-Sep-2016,168.10,169.00,172.45,167.10,168.00,169.45,169.84,393794,1718,349762,88.82
20-Sep-2016,169.45,169.90,169.90,164.10,167.25,167.15,166.39,78218,1267,50317,64.33
21-Sep-2016,167.15,168.45,169.95,165.65,168.95,168.20,167.82,605290,2585,514005,84.92
22-Sep-2016,168.20,169.50,174.00,169.00,174.00,173.35,171.47,307855,3512,239087,77.66
23-Sep-2016,173.35,173.05,178.60,169.55,173.10,173.75,173.85,478635,5517,197925,41.35
26-Sep-2016,173.75,173.40,176.00,172.00,173.55,175.10,174.07,122448,1797,60301,49.25
27-Sep-2016,175.10,176.00,177.50,168.10,172.00,170.50,173.19,370596,4107,103173,27.84
28-Sep-2016,170.50,171.40,175.00,170.80,171.30,171.80,172.92,346033,900,318881,92.15
29-Sep-2016,171.80,172.95,176.35,162.55,168.00,168.10,169.67,643104,14075,472432,73.46
30-Sep-2016,168.10,165.00,172.00,163.65,171.50,170.45,168.61,71041,1529,33457,47.10
03-Oct-2016,170.45,170.60,175.85,170.60,175.00,175.40,174.53,107388,2097,74976,69.82
04-Oct-2016,175.40,175.00,176.45,172.00,172.40,173.40,174.52,98004,2647,52312,53.38
05-Oct-2016,173.40,173.65,174.45,171.05,171.80,172.30,172.54,35151,1515,15436,43.91
06-Oct-2016,172.30,171.05,176.70,170.10,175.10,176.30,173.50,394087,5562,325857,82.69
07-Oct-2016,176.30,175.90,176.00,171.45,172.50,173.45,172.97,53455,771,22944,42.92
10-Oct-2016,173.45,173.30,175.00,170.00,170.60,170.90,171.78,29959,565,19070,63.65
13-Oct-2016,170.90,168.10,171.75,164.00,167.00,166.00,166.71,749533,2254,718223,95.82
14-Oct-2016,166.00,166.10,168.60,165.00,166.20,167.00,167.26,987511,1480,953082,96.51
17-Oct-2016,167.00,170.00,170.00,161.30,161.75,162.50,164.81,38044,1014,23698,62.29
18-Oct-2016,162.50,164.15,165.75,162.50,165.15,165.15,164.86,196494,3319,179010,91.10
19-Oct-2016,165.15,165.55,168.45,164.90,165.05,165.20,165.34,1084926,3447,985802,90.86
20-Oct-2016,165.20,172.00,172.45,165.25,165.50,166.50,169.23,208348,3647,81226,38.99
21-Oct-2016,166.50,167.60,167.60,164.10,165.20,165.25,165.81,45811,4118,36398,79.45
24-Oct-2016,165.25,165.80,166.00,163.70,164.50,164.85,165.03,79846,1053,52677,65.97
25-Oct-2016,164.85,165.20,168.25,164.10,165.80,167.15,165.95,51795,901,25879,49.96
26-Oct-2016,167.15,165.15,166.20,161.50,162.00,161.95,163.40,45651,608,35757,78.33
27-Oct-2016,161.95,162.00,163.90,159.10,160.10,161.05,161.10,79845,1889,54415,68.15
28-Oct-2016,161.05,160.45,162.40,158.10,161.00,161.15,161.33,24054,432,15433,64.16
30-Oct-2016,161.15,161.15,163.95,161.15,163.50,162.90,163.01,9411,229,6783,72.08
01-Nov-2016,162.90,163.70,168.40,161.55,165.50,167.05,164.65,41322,889,23940,57.94
02-Nov-2016,167.05,163.05,164.60,160.10,161.10,160.60,162.01,31714,1043,18160,57.26
03-Nov-2016,160.60,160.05,162.85,157.20,162.00,161.35,161.00,45282,1963,31965,70.59
04-Nov-2016,161.35,160.00,161.80,155.70,158.00,157.20,158.21,85292,1206,66787,78.30
07-Nov-2016,157.20,159.10,161.85,158.60,160.00,159.75,159.45,42812,811,26628,62.20
08-Nov-2016,159.75,161.20,161.40,153.90,155.50,156.70,156.92,61493,1074,44967,73.13
09-Nov-2016,156.70,149.50,161.00,130.10,155.00,156.60,150.76,186993,6288,128697,68.82
10-Nov-2016,156.60,156.00,166.00,156.00,162.00,161.80,162.51,182310,2641,161505,88.59
11-Nov-2016,161.80,159.90,161.80,155.55,159.00,159.50,158.55,35839,823,20855,58.19
15-Nov-2016,159.50,156.55,156.60,143.95,152.00,151.50,149.36,65655,1760,33042,50.33
16-Nov-2016,151.50,153.05,156.10,150.00,152.00,152.80,152.76,64753,988,54044,83.46
17-Nov-2016,152.80,153.00,153.95,147.05,150.40,150.20,151.72,68787,1693,40816,59.34
18-Nov-2016,150.20,150.60,152.60,147.05,150.00,150.00,149.36,83643,2991,52820,63.15
21-Nov-2016,150.00,151.00,151.50,143.00,144.90,144.25,144.50,150072,1333,129974,86.61
22-Nov-2016,144.25,146.10,146.35,142.20,144.00,143.70,144.14,32138,942,21636,67.32
23-Nov-2016,143.70,145.15,145.40,140.30,141.10,141.05,142.05,64840,3307,45082,69.53
24-Nov-2016,141.05,143.00,143.40,138.50,139.00,139.40,140.80,47758,1453,21488,44.99
25-Nov-2016,139.40,141.00,141.00,136.50,137.00,137.65,138.35,54261,972,35439,65.31
28-Nov-2016,137.65,142.00,142.00,138.00,138.20,138.30,139.38,30677,565,19825,64.62
29-Nov-2016,138.30,138.70,146.60,138.70,141.00,140.80,141.43,188012,4215,127382,67.75
30-Nov-2016,140.80,142.90,147.90,142.00,145.15,146.50,144.58,71986,1100,39204,54.46
01-Dec-2016,146.50,147.80,148.80,142.65,143.20,143.25,145.76,46090,989,27469,59.60
02-Dec-2016,143.25,143.10,145.45,141.00,143.00,142.55,142.88,44855,930,22655,50.51
05-Dec-2016,142.55,149.40,151.35,141.00,145.00,144.30,146.75,276448,5696,63056,22.81
