DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,1120.90,1129.70,1142.50,1118.65,1126.00,1123.35,1129.27,832931,31560,356998,42.86
03-Aug-2016,1123.35,1132.45,1147.15,1124.05,1145.00,1143.40,1138.45,1130691,44398,548977,48.55
04-Aug-2016,1143.40,1152.05,1154.60,1116.70,1126.05,1127.30,1135.25,1075876,36191,450983,41.92
05-Aug-2016,1127.30,1131.00,1145.30,1128.75,1140.90,1143.35,1136.57,543090,20318,300327,55.30
08-Aug-2016,1143.35,1153.00,1153.00,1136.00,1148.00,1148.35,1142.84,407801,25727,181710,44.56
09-Aug-2016,1148.35,1153.60,1154.95,1134.00,1143.90,1146.50,1142.43,541100,26310,246216,45.50
10-Aug-2016,1146.50,1142.10,1148.45,1128.10,1132.00,1129.95,1137.27,788849,24271,464366,58.87
11-Aug-2016,1129.95,1130.00,1147.50,1118.60,1146.00,1145.10,1133.09,651399,36883,279192,42.86
12-Aug-2016,1145.10,1143.00,1161.25,1125.40,1137.10,1137.50,1142.61,795382,36285,262598,33.02
16-Aug-2016,1137.50,1135.50,1147.80,1126.90,1129.80,1129.65,1136.48,921462,55486,503116,54.60
17-Aug-2016,1129.65,1115.00,1127.70,1108.15,1114.90,1113.55,1117.01,742834,67049,454857,61.23
18-Aug-2016,1113.55,1119.75,1119.75,1102.55,1105.10,1107.35,1108.74,1263890,73227,927807,73.41
19-Aug-2016,1107.35,1101.35,1126.90,1101.35,1115.70,1113.50,1115.23,864966,30843,402870,46.58
22-Aug-2016,1113.50,1121.00,1121.00,1105.00,1113.15,1113.90,1109.66,827995,43096,488612,59.01
23-Aug-2016,1113.90,1112.70,1129.65,1108.15,1129.05,1126.25,1121.39,684493,25722,360119,52.61
24-Aug-2016,1126.25,1130.00,1130.20,1115.60,1120.55,1118.85,1121.79,417969,19894,196553,47.03
25-Aug-2016,1118.85,1120.10,1126.50,1102.80,1105.20,1105.90,1111.53,554850,29180,343832,61.97
26-Aug-2016,1105.90,1106.25,1127.55,1091.05,1123.00,1123.30,1106.85,869672,32355,408408,46.96
29-Aug-2016,1123.30,1123.30,1124.65,1104.15,1108.55,1111.85,1110.88,452947,22356,178899,39.50
30-Aug-2016,1111.85,1115.00,1148.00,1110.00,1145.20,1146.20,1132.87,674826,29140,291003,43.12
31-Aug-2016,1146.20,1157.00,1173.90,1149.00,1160.00,1157.90,1160.06,1668417,61859,1012786,60.70
01-Sep-2016,1157.90,1159.85,1164.05,1142.00,1160.95,1156.95,1152.56,621894,36809,275307,44.27
02-Sep-2016,1156.95,1158.95,1172.00,1151.30,1164.55,1167.55,1165.41,710106,28373,291611,41.07
06-Sep-2016,1167.55,1175.00,1213.90,1170.60,1212.00,1204.15,1192.73,1131704,42833,669715,59.18
07-Sep-2016,1204.15,1208.00,1209.00,1170.70,1178.50,1177.20,1180.00,1092266,69578,703166,64.38
08-Sep-2016,1177.20,1179.00,1190.00,1171.00,1180.00,1182.60,1179.15,888245,44034,563388,63.43
09-Sep-2016,1182.60,1181.90,1181.90,1168.00,1168.20,1171.75,1173.86,575102,46935,357332,62.13
12-Sep-2016,1171.75,1156.35,1163.00,1137.00,1155.00,1154.60,1154.11,465079,27396,178536,38.39
14-Sep-2016,1154.60,1150.10,1178.95,1150.10,1165.00,1163.60,1168.36,704633,41248,366051,51.95
15-Sep-2016,1163.60,1170.00,1175.50,1160.00,1173.70,1173.55,1169.18,616127,26879,256492,41.63
16-Sep-2016,1173.55,1173.60,1181.25,1152.00,1157.00,1155.15,1164.43,1136226,51487,760226,66.91
19-Sep-2016,1155.15,1157.20,1172.00,1157.20,1161.00,1163.60,1166.75,550698,33040,293683,53.33
20-Sep-2016,1163.60,1164.00,1173.70,1162.60,1163.30,1165.05,1168.64,966451,30753,730780,75.61
21-Sep-2016,1165.05,1165.90,1176.00,1165.90,1170.00,1170.60,1171.32,615798,43647,349686,56.79
22-Sep-2016,1170.60,1182.30,1197.00,1175.00,1189.00,1192.00,1185.30,913747,34622,532178,58.24
23-Sep-2016,1192.00,1201.00,1203.50,1185.00,1192.00,1191.20,1195.93,668223,27537,293118,43.87
26-Sep-2016,1191.20,1195.00,1195.00,1174.90,1181.50,1183.00,1181.17,817715,26415,500476,61.20
27-Sep-2016,1183.00,1184.20,1203.00,1184.20,1195.90,1192.55,1194.51,532323,23009,228643,42.95
28-Sep-2016,1192.55,1193.00,1201.00,1188.10,1193.50,1193.50,1194.02,566690,18339,307357,54.24
29-Sep-2016,1193.50,1194.35,1203.35,1160.00,1185.00,1167.35,1175.49,1125599,32981,635208,56.43
30-Sep-2016,1167.35,1167.00,1179.95,1156.00,1160.00,1160.70,1162.28,478253,29959,270507,56.56
03-Oct-2016,1160.70,1170.00,1199.00,1165.40,1197.00,1193.00,1184.48,747111,41443,399397,53.46
04-Oct-2016,1193.00,1202.00,1203.00,1179.40,1184.75,1192.55,1193.75,503642,29233,240343,47.72
05-Oct-2016,1192.55,1188.00,1224.00,1185.00,1206.25,1208.75,1210.09,1080751,35729,455406,42.14
06-Oct-2016,1208.75,1210.10,1222.40,1201.70,1210.00,1209.50,1214.51,746006,45096,383369,51.39
07-Oct-2016,1209.50,1208.00,1210.00,1180.80,1183.00,1184.60,1190.80,873434,37252,496295,56.82
10-Oct-2016,1184.60,1189.00,1219.00,1189.00,1211.00,1212.65,1208.44,570180,22870,226077,39.65
13-Oct-2016,1212.65,1227.00,1227.30,1208.85,1214.00,1216.60,1215.80,1391322,73168,929475,66.81
14-Oct-2016,1216.60,1216.10,1220.00,1202.25,1205.00,1205.75,1209.69,354200,18491,171637,48.46
17-Oct-2016,1205.75,1208.10,1208.40,1178.50,1185.00,1182.30,1187.98,365921,20706,132678,36.26
18-Oct-2016,1182.30,1186.40,1193.35,1165.55,1175.00,1174.50,1173.59,1339044,52459,908217,67.83
19-Oct-2016,1174.50,1180.00,1184.15,1163.25,1171.20,1169.30,1170.42,1201677,37338,794584,66.12
20-Oct-2016,1169.30,1175.00,1177.00,1163.25,1165.25,1165.75,1169.47,448785,20653,240231,53.53
21-Oct-2016,1165.75,1172.90,1172.90,1144.40,1153.70,1153.50,1153.52,948987,50350,593466,62.54
24-Oct-2016,1153.50,1161.15,1162.00,1124.10,1130.00,1127.50,1134.02,1287073,57422,837682,65.08
25-Oct-2016,1127.50,1131.95,1158.30,1117.10,1153.15,1139.75,1133.17,3014876,99461,1633872,54.19
26-Oct-2016,1139.75,1153.30,1157.00,1113.90,1119.55,1123.10,1122.56,1323248,59133,730578,55.21
27-Oct-2016,1123.10,1133.00,1134.40,1081.00,1085.00,1085.45,1090.37,1764517,49435,878452,49.78
28-Oct-2016,1085.45,1081.00,1096.95,1066.05,1070.10,1069.90,1076.22,1732990,53609,1019103,58.81
30-Oct-2016,1069.90,1080.00,1085.00,1070.00,1076.00,1075.75,1076.40,149226,4095,90032,60.33
01-Nov-2016,1075.75,1077.10,1088.20,1072.00,1076.50,1076.70,1080.35,983171,73492,679039,69.07
02-Nov-2016,1076.70,1067.90,1083.35,1055.35,1060.00,1062.75,1069.62,872573,41941,472005,54.09
03-Nov-2016,1062.75,1058.30,1075.00,1033.45,1033.70,1037.15,1045.55,1075107,39037,628153,58.43
04-Nov-2016,1037.15,1039.20,1054.80,1035.10,1042.15,1043.05,1045.25,976222,42934,494765,50.68
07-Nov-2016,1043.05,1048.00,1059.60,1027.90,1037.15,1037.35,1043.79,829767,36837,351570,42.37
08-Nov-2016,1037.35,1044.75,1060.00,1040.00,1054.20,1057.00,1049.70,780312,23796,422301,54.12
09-Nov-2016,1057.00,999.00,1058.10,952.00,1055.00,1050.95,1024.49,2005884,68000,1036037,51.65
10-Nov-2016,1050.95,1056.00,1060.00,1008.00,1010.25,1011.30,1026.75,1719037,58652,970678,56.47
11-Nov-2016,1011.30,1000.00,1004.95,958.00,969.00,962.30,972.74,2665967,88176,1606055,60.24
