DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
10-Jul-2017,525.00,530.00,547.00,523.70,536.75,541.65,536.18,10585689,99367,2662019,25.15
11-Jul-2017,541.65,537.00,574.65,532.40,571.00,567.25,563.07,14286312,217405,2849214,19.94
12-Jul-2017,567.25,576.45,642.70,575.00,639.00,629.55,609.10,17774578,264493,3114132,17.52
13-Jul-2017,629.55,652.00,698.95,630.10,690.35,691.15,671.36,21875197,316633,2779166,12.70
14-Jul-2017,691.15,697.80,725.50,561.10,597.00,598.80,641.53,33648384,563696,4358690,12.95
17-Jul-2017,598.80,590.00,613.70,562.35,595.00,596.10,591.92,11510790,203465,828334,7.20
18-Jul-2017,596.10,590.00,603.00,581.10,585.50,588.90,591.78,3549898,64378,413271,11.64
19-Jul-2017,588.90,591.95,601.50,584.10,585.10,586.95,592.22,1791992,33680,314210,17.53
20-Jul-2017,586.95,588.00,598.95,577.10,582.50,582.60,586.32,3055040,49613,547121,17.91
21-Jul-2017,582.60,584.00,595.00,580.20,582.95,583.45,586.44,1438938,27315,413833,28.76
24-Jul-2017,583.45,586.50,590.95,576.00,590.95,586.40,585.64,1489789,21600,491492,32.99
25-Jul-2017,586.40,589.95,612.00,588.95,599.65,602.05,604.12,3090370,54822,638705,20.67
26-Jul-2017,602.05,602.30,607.00,592.00,596.00,595.00,598.52,1063010,19900,219992,20.70
27-Jul-2017,595.00,597.90,598.45,580.00,581.65,581.85,586.80,849208,15000,271114,31.93
28-Jul-2017,581.85,578.00,598.75,570.00,587.25,588.50,586.90,2331948,39710,371690,15.94
31-Jul-2017,588.50,590.00,595.00,578.15,590.00,590.60,588.06,1050079,18460,318870,30.37
01-Aug-2017,590.60,592.00,592.50,583.00,585.40,585.90,586.73,422157,7496,129053,30.57
02-Aug-2017,585.90,582.20,589.90,580.00,580.00,582.00,585.21,465458,8381,126867,27.26
03-Aug-2017,582.00,582.00,585.50,548.10,561.00,558.50,569.16,740392,14106,330570,44.65
04-Aug-2017,558.50,560.40,560.40,541.75,555.60,554.30,552.38,701556,14206,214380,30.56
07-Aug-2017,554.30,550.00,581.45,496.25,551.00,551.40,547.23,7352471,116052,1648683,22.42
08-Aug-2017,551.40,553.45,578.30,548.55,570.40,568.35,565.64,2371678,51437,647756,27.31
09-Aug-2017,568.35,565.00,565.00,541.00,546.10,549.90,551.64,1387103,29030,650924,46.93
10-Aug-2017,549.90,515.00,550.70,502.00,548.55,542.80,533.97,3199711,60262,1169067,36.54
11-Aug-2017,542.80,532.00,547.85,525.15,540.50,541.50,538.75,839237,17305,312141,37.19
14-Aug-2017,541.50,545.20,555.00,537.00,540.00,540.40,544.65,588097,17021,175213,29.79
16-Aug-2017,540.40,545.10,551.80,540.30,543.90,544.10,546.46,487988,15151,181620,37.22
17-Aug-2017,544.10,546.40,552.50,542.10,543.40,543.50,546.41,325873,7307,114830,35.24
18-Aug-2017,543.50,541.40,549.00,535.00,536.00,537.75,539.70,286880,8239,84092,29.31
21-Aug-2017,537.75,540.75,546.50,537.35,541.00,540.20,541.37,537489,9097,253988,47.25
22-Aug-2017,540.20,542.80,544.25,527.70,528.25,529.50,532.47,471540,7460,319243,67.70
23-Aug-2017,529.50,531.80,533.00,522.00,525.00,525.25,527.13,255288,5895,105821,41.45
24-Aug-2017,525.25,526.75,535.00,524.05,530.90,532.85,529.42,486024,14312,245961,50.61
28-Aug-2017,532.85,533.25,541.25,528.00,535.50,537.95,536.66,500688,10747,211805,42.30
29-Aug-2017,537.95,531.00,558.80,531.00,548.00,544.80,547.17,824901,19342,217248,26.34
30-Aug-2017,544.80,550.00,557.75,548.45,550.00,550.85,552.28,356147,9729,126750,35.59
31-Aug-2017,550.85,549.80,556.45,546.00,547.00,549.45,550.63,290104,6638,152460,52.55
01-Sep-2017,549.45,551.00,570.00,547.55,551.00,552.30,557.83,882994,24844,304989,34.54
04-Sep-2017,552.30,555.75,564.30,542.05,555.60,557.00,556.97,591385,11750,219548,37.12
05-Sep-2017,557.00,560.10,576.50,553.15,572.00,573.15,568.33,994612,14892,340510,34.24
06-Sep-2017,573.15,568.00,578.00,563.60,566.90,567.85,571.00,578677,12355,159602,27.58
07-Sep-2017,567.85,571.25,576.00,555.00,557.00,558.70,567.30,407726,8875,154933,38.00
08-Sep-2017,558.70,561.00,565.50,550.00,554.00,554.35,556.83,415958,8850,117002,28.13
11-Sep-2017,554.35,558.75,564.90,551.00,557.30,558.60,557.95,348502,8786,123882,35.55
12-Sep-2017,558.60,560.00,560.45,551.05,554.15,555.65,555.48,234107,6092,93848,40.09
13-Sep-2017,555.65,556.90,560.00,551.05,557.25,557.50,555.55,238299,5030,121956,51.18
14-Sep-2017,557.50,559.00,564.30,552.70,553.90,554.10,557.58,179895,5041,58182,32.34
15-Sep-2017,554.10,551.80,572.00,550.45,564.90,567.25,562.45,504402,11468,268526,53.24
18-Sep-2017,567.25,569.00,576.00,559.00,559.60,562.70,568.94,411976,9898,107211,26.02
19-Sep-2017,562.70,562.80,562.80,551.00,552.50,553.05,555.68,465633,13252,277254,59.54
20-Sep-2017,553.05,556.80,558.00,546.35,547.50,549.90,551.40,607148,7462,360754,59.42
21-Sep-2017,549.90,551.20,560.80,546.00,553.75,553.70,551.37,493229,5077,328621,66.63
22-Sep-2017,553.70,551.90,551.90,541.00,546.35,545.95,545.92,284570,5750,174479,61.31
25-Sep-2017,545.95,549.60,557.50,528.50,557.20,553.50,546.48,448008,6736,306812,68.48
26-Sep-2017,553.50,556.10,563.60,544.65,560.00,560.10,550.90,562972,7902,392975,69.80
27-Sep-2017,560.10,560.90,563.40,551.65,557.80,558.65,557.14,419121,8292,280241,66.86
28-Sep-2017,558.65,556.00,559.80,550.10,555.00,557.15,553.04,379248,6764,267133,70.44
29-Sep-2017,557.15,558.95,577.90,550.10,567.00,568.60,564.89,396142,8775,168728,42.59
03-Oct-2017,568.60,569.20,573.35,557.55,566.00,562.55,564.38,535457,5374,417164,77.91
04-Oct-2017,562.55,567.90,572.85,560.10,563.00,563.30,565.85,166260,4448,54340,32.68
05-Oct-2017,563.30,562.00,590.00,562.00,588.00,585.75,578.77,867437,14301,410922,47.37
