DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,609.20,615.70,616.90,591.00,591.00,592.10,599.80,18466,976,13649,73.91
03-Aug-2016,592.10,593.00,598.30,570.05,578.00,578.25,580.19,39958,1846,25567,63.98
04-Aug-2016,578.25,578.85,590.00,565.00,579.00,580.95,577.66,26648,1530,14060,52.76
05-Aug-2016,580.95,585.00,598.40,581.00,581.00,585.70,590.73,19149,1070,10609,55.40
08-Aug-2016,585.70,585.95,623.00,585.95,616.10,616.30,611.54,98397,3624,34790,35.36
09-Aug-2016,616.30,618.30,628.70,611.10,613.60,614.10,619.21,32279,1775,15697,48.63
10-Aug-2016,614.10,614.00,615.25,589.95,596.70,595.55,601.01,24384,1158,14456,59.28
11-Aug-2016,595.55,599.95,599.95,586.00,592.50,592.40,591.65,17339,1162,7630,44.00
12-Aug-2016,592.40,597.75,606.05,585.00,596.00,598.65,601.00,31445,1858,14538,46.23
16-Aug-2016,598.65,609.95,609.95,553.00,581.00,578.20,581.30,41368,2191,25717,62.17
17-Aug-2016,578.20,581.00,584.35,561.00,564.20,564.55,567.81,21322,1636,12953,60.75
18-Aug-2016,564.55,569.95,578.00,560.00,564.00,565.95,565.88,31031,1520,17384,56.02
19-Aug-2016,565.95,571.00,588.00,566.50,585.00,585.10,579.23,47551,1719,25249,53.10
22-Aug-2016,585.10,589.90,589.90,572.55,574.50,576.30,581.45,19127,1161,12002,62.75
23-Aug-2016,576.30,578.15,579.05,564.60,568.00,566.25,570.17,18508,838,12045,65.08
24-Aug-2016,566.25,574.80,574.80,560.50,562.50,564.05,566.40,13824,676,10188,73.70
25-Aug-2016,564.05,567.80,573.00,552.65,555.10,555.65,561.06,12663,799,9021,71.24
26-Aug-2016,555.65,560.05,560.05,530.10,535.00,535.75,538.78,42188,2203,28965,68.66
29-Aug-2016,535.75,535.00,546.40,522.00,537.00,540.40,538.62,19277,1083,14019,72.72
30-Aug-2016,540.40,541.05,551.00,541.00,549.10,549.55,548.18,16799,973,9506,56.59
31-Aug-2016,549.55,550.05,559.00,540.40,546.40,549.15,548.51,15145,1096,8678,57.30
01-Sep-2016,549.15,555.00,555.00,540.40,545.20,543.35,545.00,11822,703,6825,57.73
02-Sep-2016,543.35,543.05,546.90,535.00,536.00,537.20,539.68,13198,755,8577,64.99
06-Sep-2016,537.20,546.90,547.85,537.20,540.00,540.95,541.94,11606,890,7287,62.79
07-Sep-2016,540.95,546.80,553.00,535.00,553.00,550.45,545.71,16387,1270,12352,75.38
08-Sep-2016,550.45,553.05,573.50,553.05,559.00,560.20,561.15,14952,1350,8982,60.07
09-Sep-2016,560.20,562.00,584.60,562.00,573.10,574.95,576.97,41805,3752,24614,58.88
12-Sep-2016,574.95,565.00,572.35,551.80,553.85,553.55,556.93,27950,2201,20029,71.66
14-Sep-2016,553.55,563.75,575.90,556.00,559.75,562.05,563.80,15841,1550,8804,55.58
15-Sep-2016,562.05,562.05,572.80,550.00,555.00,553.50,555.41,19396,1419,13507,69.64
16-Sep-2016,553.50,559.40,562.85,535.15,539.65,543.35,548.80,19603,1817,14683,74.90
19-Sep-2016,543.35,545.15,558.00,544.00,550.75,548.25,547.61,13311,1500,8437,63.38
20-Sep-2016,548.25,548.00,553.80,535.20,538.00,539.15,541.99,15400,1230,10661,69.23
21-Sep-2016,539.15,540.05,549.50,535.00,535.30,536.85,541.74,11657,1327,7005,60.09
22-Sep-2016,536.85,538.00,551.55,538.00,547.80,544.05,547.33,15354,1191,9202,59.93
23-Sep-2016,544.05,548.05,554.40,544.00,552.95,551.30,548.30,32859,977,28609,87.07
26-Sep-2016,551.30,551.00,555.35,540.70,550.00,549.75,551.07,34925,815,32108,91.93
27-Sep-2016,549.75,555.80,555.80,545.65,546.25,548.30,551.08,12042,942,8200,68.10
28-Sep-2016,548.30,551.50,551.55,540.15,549.40,548.80,548.69,10358,879,7531,72.71
29-Sep-2016,548.80,552.35,555.00,477.55,524.00,521.15,527.06,40763,2603,28334,69.51
30-Sep-2016,521.15,529.90,535.20,520.00,524.80,524.35,524.95,23010,1079,16914,73.51
03-Oct-2016,524.35,526.00,547.00,526.00,533.05,533.90,533.08,14604,1022,9454,64.74
04-Oct-2016,533.90,530.05,538.50,525.25,531.00,530.55,530.49,15804,750,10660,67.45
05-Oct-2016,530.55,532.55,540.00,526.45,539.60,538.50,534.84,14127,777,10736,76.00
06-Oct-2016,538.50,541.60,554.10,541.00,546.90,546.15,548.86,21243,1257,12833,60.41
07-Oct-2016,546.15,546.00,567.50,544.00,560.00,561.10,554.93,20949,1120,14143,67.51
10-Oct-2016,561.10,561.10,566.00,545.60,550.45,551.50,555.59,14168,1051,8477,59.83
13-Oct-2016,551.50,555.50,555.50,538.25,540.00,539.95,545.32,21200,1566,15919,75.09
14-Oct-2016,539.95,544.80,549.90,536.00,549.00,546.90,544.73,10286,1028,7437,72.30
17-Oct-2016,546.90,547.00,555.00,547.00,553.50,553.80,551.42,11037,1010,7300,66.14
18-Oct-2016,553.80,553.80,624.90,552.00,578.80,575.05,592.26,88763,5123,38764,43.67
19-Oct-2016,575.05,577.60,608.00,577.00,600.00,601.35,597.53,66259,3135,32008,48.31
20-Oct-2016,601.35,605.00,628.00,602.50,607.00,608.20,619.27,123004,4276,63320,51.48
21-Oct-2016,608.20,610.95,620.00,601.00,605.00,603.30,608.78,25361,1194,14034,55.34
24-Oct-2016,603.30,607.95,624.85,598.10,609.00,609.00,613.05,31912,1492,18587,58.24
