DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,377.50,377.95,385.50,375.90,385.00,383.90,380.74,112252,3879,91274,81.31
03-Aug-2016,383.90,384.00,391.00,380.30,388.00,388.75,383.23,139915,3021,124766,89.17
04-Aug-2016,388.75,391.35,395.30,387.50,389.90,390.80,390.49,211672,3981,179955,85.02
05-Aug-2016,390.80,390.95,398.00,390.95,397.00,396.90,394.83,79162,5612,67694,85.51
08-Aug-2016,396.90,399.45,399.45,393.85,394.70,394.85,395.72,20467,1408,14206,69.41
09-Aug-2016,394.85,396.90,396.90,389.00,391.00,391.00,390.77,24171,1678,17344,71.76
10-Aug-2016,391.00,388.25,391.75,385.70,386.20,387.15,387.37,42087,1114,36393,86.47
11-Aug-2016,387.15,385.55,393.00,385.55,392.05,390.50,387.20,133850,935,127245,95.07
12-Aug-2016,390.50,391.00,395.00,388.50,391.00,392.95,390.19,229166,2318,219323,95.70
16-Aug-2016,392.95,394.20,399.25,390.00,390.05,393.10,395.64,70982,4118,42531,59.92
17-Aug-2016,393.10,396.10,404.00,391.15,402.00,400.20,399.69,68219,3136,51107,74.92
18-Aug-2016,400.20,400.00,403.00,394.20,401.50,400.55,400.36,50092,2035,32552,64.98
19-Aug-2016,400.55,400.10,406.25,399.10,404.00,404.30,401.59,53293,1629,44110,82.77
22-Aug-2016,404.30,406.00,406.10,396.25,400.00,398.30,400.78,21587,1991,11604,53.75
23-Aug-2016,398.30,398.85,405.00,398.85,402.00,402.65,402.73,23786,1392,14801,62.23
24-Aug-2016,402.65,403.00,403.95,396.50,399.00,397.40,399.57,15012,686,8327,55.47
25-Aug-2016,397.40,397.05,404.00,397.00,399.00,398.75,399.30,34628,731,30855,89.10
26-Aug-2016,398.75,396.05,403.50,396.05,399.80,400.00,401.35,35112,972,25595,72.90
29-Aug-2016,400.00,395.50,402.05,395.50,398.25,399.40,399.41,34030,2965,21899,64.35
30-Aug-2016,399.40,400.65,404.00,396.55,403.50,400.60,400.74,65394,2065,54182,82.85
31-Aug-2016,400.60,404.00,404.00,398.30,398.50,400.00,400.04,56114,1535,50155,89.38
01-Sep-2016,400.00,401.10,412.00,400.30,402.15,402.55,406.96,167397,4059,82243,49.13
02-Sep-2016,402.55,405.45,411.00,403.20,408.40,408.50,408.02,113579,3409,90778,79.92
06-Sep-2016,408.50,411.00,412.00,404.00,406.75,405.25,406.88,46296,2327,29868,64.52
07-Sep-2016,405.25,407.20,410.05,403.10,407.40,406.15,407.20,37560,1897,22360,59.53
08-Sep-2016,406.15,403.05,410.00,403.05,409.40,408.50,408.20,30198,1253,22195,73.50
09-Sep-2016,408.50,409.00,410.00,405.10,407.50,406.45,407.01,34107,2613,23846,69.92
12-Sep-2016,406.45,404.95,404.95,400.00,401.40,400.50,401.63,37569,1986,29377,78.19
14-Sep-2016,400.50,398.60,404.30,396.55,397.10,398.65,400.10,55957,3650,31718,56.68
15-Sep-2016,398.65,401.95,401.95,394.30,395.00,395.00,397.16,54586,3396,38871,71.21
16-Sep-2016,395.00,398.75,409.00,397.00,408.00,405.40,401.83,54678,1488,33572,61.40
19-Sep-2016,405.40,405.40,409.00,396.35,396.80,397.50,399.03,153164,2751,136747,89.28
20-Sep-2016,397.50,395.55,399.00,394.30,398.75,398.55,397.09,29736,2746,16716,56.21
21-Sep-2016,398.55,398.00,399.90,391.55,395.00,396.85,395.76,116845,5409,93195,79.76
22-Sep-2016,396.85,400.65,406.00,396.85,399.00,399.50,400.87,39923,2897,13817,34.61
23-Sep-2016,399.50,396.50,400.85,395.00,397.00,396.10,396.84,24600,1625,13984,56.85
26-Sep-2016,396.10,394.55,403.40,394.55,396.00,396.50,399.74,416974,1202,402620,96.56
27-Sep-2016,396.50,396.35,399.85,392.20,395.00,394.85,395.00,70217,4385,43010,61.25
28-Sep-2016,394.85,393.05,397.00,392.00,393.60,392.75,392.89,205874,2983,186485,90.58
29-Sep-2016,392.75,397.40,398.00,377.10,387.30,387.40,390.26,624047,3510,583699,93.53
30-Sep-2016,387.40,382.10,388.60,376.10,387.50,386.60,384.57,23632,2175,14895,63.03
03-Oct-2016,386.60,390.15,396.00,385.20,395.00,394.90,393.66,31197,1117,22711,72.80
04-Oct-2016,394.90,395.00,398.90,391.50,397.35,394.20,393.62,19694,1031,11632,59.06
05-Oct-2016,394.20,397.65,400.15,393.30,397.00,396.95,398.55,56894,1081,44895,78.91
06-Oct-2016,396.95,398.65,401.90,396.55,401.90,397.70,398.05,64444,2034,55977,86.86
07-Oct-2016,397.70,398.05,404.00,398.05,400.00,400.75,401.04,27418,2035,18366,66.99
10-Oct-2016,400.75,400.15,419.80,395.10,397.00,398.30,407.06,146364,5388,52805,36.08
13-Oct-2016,398.30,397.00,406.50,396.15,402.75,399.80,402.06,57435,3799,34163,59.48
14-Oct-2016,399.80,405.00,416.05,392.10,400.00,398.60,404.96,605552,11957,205178,33.88
17-Oct-2016,398.60,400.30,404.00,396.15,400.05,401.10,399.99,52542,1792,32782,62.39
18-Oct-2016,401.10,403.25,408.00,400.05,401.70,401.95,404.84,74167,2720,47332,63.82
19-Oct-2016,401.95,405.85,407.50,399.85,406.00,403.20,404.15,86130,4483,66120,76.77
20-Oct-2016,403.20,406.00,408.20,404.00,404.20,404.55,405.88,47866,1798,32393,67.67
