DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,271.40,270.70,272.00,263.10,267.00,265.45,266.11,255985,4397,162904,63.64
03-Aug-2016,265.45,265.00,278.00,258.00,274.00,271.85,265.88,475222,8357,269179,56.64
04-Aug-2016,271.85,275.25,278.70,262.55,268.50,268.30,270.46,239904,6686,92203,38.43
05-Aug-2016,268.30,268.80,279.10,267.30,272.95,272.50,274.05,280960,4856,142956,50.88
08-Aug-2016,272.50,273.70,279.70,273.00,274.85,273.85,275.94,130206,4306,51587,39.62
09-Aug-2016,273.85,273.85,276.50,270.00,272.00,271.85,273.27,78792,3091,49103,62.32
10-Aug-2016,271.85,272.70,282.00,270.05,275.00,274.85,275.42,254042,3432,143134,56.34
11-Aug-2016,274.85,274.00,277.55,264.55,265.55,267.75,270.70,142666,3819,68132,47.76
12-Aug-2016,267.75,265.50,270.45,247.50,252.00,253.85,255.73,571232,10780,217400,38.06
16-Aug-2016,253.85,253.85,253.85,242.60,244.50,244.60,246.33,171782,2767,107173,62.39
17-Aug-2016,244.60,248.10,254.30,246.00,249.45,249.15,251.19,145978,4637,61772,42.32
18-Aug-2016,249.15,250.95,259.00,250.90,254.65,253.70,254.63,106213,3518,46897,44.15
19-Aug-2016,253.70,254.30,265.00,253.85,260.00,260.25,260.69,227224,3572,105293,46.34
22-Aug-2016,260.25,262.90,268.25,261.00,261.40,261.90,263.93,114927,3013,51758,45.04
23-Aug-2016,261.90,263.00,264.90,253.95,255.30,258.15,259.23,113298,2793,51647,45.59
24-Aug-2016,258.15,261.80,261.80,249.50,250.10,250.85,253.04,141134,2851,100653,71.32
25-Aug-2016,250.85,252.95,263.00,250.00,253.50,253.60,256.56,289960,5235,83607,28.83
26-Aug-2016,253.60,256.45,264.00,253.70,260.00,261.15,262.03,448457,7532,148891,33.20
29-Aug-2016,261.15,262.00,263.60,258.65,261.00,260.35,261.22,108816,5369,59694,54.86
30-Aug-2016,260.35,260.65,268.00,260.65,265.25,264.95,264.87,157422,4273,92588,58.82
31-Aug-2016,264.95,265.00,271.75,261.25,267.55,266.70,268.47,337676,6402,138367,40.98
01-Sep-2016,266.70,266.70,269.00,262.35,266.80,266.65,267.26,60328,2229,32903,54.54
02-Sep-2016,266.65,264.00,271.90,264.00,269.00,268.75,269.70,116007,1941,59366,51.17
06-Sep-2016,268.75,269.95,274.35,269.00,271.75,272.30,271.34,86795,3043,62853,72.42
07-Sep-2016,272.30,272.40,273.40,270.50,272.95,272.55,272.48,81014,2740,67638,83.49
08-Sep-2016,272.55,272.00,275.00,271.95,272.80,272.65,273.11,73448,1446,56368,76.75
