DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,1838.70,1849.80,1865.10,1770.75,1784.00,1788.20,1843.90,64464,8083,47604,73.85
03-Aug-2016,1788.20,1790.10,1809.90,1773.95,1785.00,1781.60,1784.45,16869,2565,9723,57.64
04-Aug-2016,1781.60,1808.70,1815.00,1782.00,1800.00,1801.40,1798.74,16566,3181,13515,81.58
05-Aug-2016,1801.40,1805.10,1817.75,1798.00,1803.10,1800.80,1802.72,31359,4625,27047,86.25
08-Aug-2016,1800.80,1810.05,1825.00,1799.00,1807.00,1818.30,1807.97,22205,3978,19344,87.12
09-Aug-2016,1818.30,1806.65,1824.00,1778.30,1810.05,1808.25,1801.15,11301,2602,6497,57.49
10-Aug-2016,1808.25,1797.15,1820.00,1776.35,1819.00,1798.20,1791.64,9609,1718,5886,61.26
11-Aug-2016,1798.20,1800.05,1824.90,1800.00,1811.95,1814.60,1804.57,46244,3115,43443,93.94
12-Aug-2016,1814.60,1814.00,1827.95,1800.00,1822.00,1816.45,1810.63,20033,4459,15852,79.13
16-Aug-2016,1816.45,1816.00,1816.00,1800.00,1800.00,1808.90,1808.86,30209,4588,26114,86.44
17-Aug-2016,1808.90,1809.90,1818.00,1785.00,1797.65,1797.40,1808.81,46212,3311,42470,91.90
18-Aug-2016,1797.40,1804.15,1833.85,1787.00,1800.00,1791.75,1797.14,32983,2822,28829,87.41
19-Aug-2016,1791.75,1800.90,1824.75,1790.35,1805.00,1810.20,1807.49,13936,2597,10994,78.89
22-Aug-2016,1810.20,1809.90,1816.00,1782.10,1790.10,1790.60,1793.92,10867,1676,6278,57.77
23-Aug-2016,1790.60,1792.15,1802.95,1770.10,1792.00,1785.45,1780.69,9658,1322,7651,79.22
24-Aug-2016,1785.45,1790.95,1795.00,1766.15,1790.00,1780.85,1777.94,7416,1668,3606,48.62
25-Aug-2016,1780.85,1840.00,1894.85,1795.00,1799.00,1798.25,1828.33,56126,9761,23876,42.54
26-Aug-2016,1798.25,1812.25,1824.05,1796.00,1800.10,1806.90,1804.38,14116,2854,8314,58.90
29-Aug-2016,1806.90,1810.00,1810.00,1782.05,1782.25,1791.25,1796.91,12475,2240,9833,78.82
30-Aug-2016,1791.25,1790.00,1806.35,1789.05,1800.00,1799.85,1798.33,48347,3261,43730,90.45
