DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,11226.25,11300.00,11770.00,10800.00,10950.00,10944.10,11304.33,409818,61607,109408,26.70
03-Aug-2016,10944.10,10950.00,10950.00,9940.00,9990.00,10005.60,10277.56,544614,84553,239407,43.96
04-Aug-2016,10005.60,10125.00,10317.60,9723.45,10125.00,9969.70,9909.62,380687,45218,142671,37.48
05-Aug-2016,9969.70,10200.00,10262.20,9815.15,10130.00,10094.70,10019.27,268126,35527,124423,46.40
08-Aug-2016,10094.70,10267.00,10281.35,9973.00,10007.00,10034.35,10081.58,165696,20449,82046,49.52
09-Aug-2016,10034.35,10100.00,10260.00,9910.00,10185.00,10179.80,10129.56,144047,20426,35732,24.81
10-Aug-2016,10179.80,10150.00,10270.00,9900.00,9920.00,9998.30,10059.95,114472,18012,35684,31.17
11-Aug-2016,9998.30,10049.90,10075.50,9849.00,10010.00,10007.30,9973.35,89010,16813,27762,31.19
12-Aug-2016,10007.30,10021.00,10199.00,9981.60,10110.00,10154.40,10130.63,79754,13691,30908,38.75
16-Aug-2016,10154.40,10160.10,10325.00,10020.45,10188.00,10203.60,10208.13,90636,15845,33890,37.39
17-Aug-2016,10203.60,10200.00,10250.00,10134.25,10175.00,10208.80,10203.59,39552,7916,15568,39.36
18-Aug-2016,10208.80,10234.35,10293.45,10069.00,10135.00,10134.55,10192.88,61883,9585,21831,35.28
19-Aug-2016,10134.55,10200.00,10240.00,10125.10,10150.00,10183.10,10182.02,40676,5908,18369,45.16
22-Aug-2016,10183.10,10167.90,10232.00,10121.10,10155.00,10166.15,10182.31,49427,8566,23959,48.47
23-Aug-2016,10166.15,10239.50,10239.50,9915.00,10050.00,10040.65,10021.20,66954,13359,22136,33.06
24-Aug-2016,10040.65,10129.00,10149.00,10026.50,10035.00,10053.60,10068.62,43754,9258,24877,56.86
25-Aug-2016,10053.60,10060.00,10342.00,10026.05,10300.00,10289.65,10210.61,125453,20734,75412,60.11
26-Aug-2016,10289.65,10355.55,10620.00,10347.45,10508.00,10480.90,10519.22,91624,17106,24838,27.11
29-Aug-2016,10480.90,10578.00,10807.65,10418.15,10740.20,10743.60,10663.08,106460,16268,44174,41.49
30-Aug-2016,10743.60,10872.00,10940.00,10705.55,10740.00,10777.40,10820.42,139423,17116,67561,48.46
31-Aug-2016,10777.40,11000.00,11162.95,10811.05,11050.00,11011.10,10969.48,191009,32649,82603,43.25
01-Sep-2016,11011.10,11030.50,11260.00,11000.00,11170.00,11160.85,11142.54,129191,22753,60110,46.53
02-Sep-2016,11160.85,11229.00,11280.00,11079.00,11147.00,11139.80,11181.30,100160,14646,57623,57.53
06-Sep-2016,11139.80,11201.00,11299.00,11176.10,11260.00,11265.85,11243.26,75534,11669,37825,50.08
07-Sep-2016,11265.85,11295.00,11740.00,11294.00,11386.70,11393.30,11490.73,251934,32842,124811,49.54
08-Sep-2016,11393.30,1153.90,1173.60,1080.00,1162.85,1162.80,1141.11,1604933,40573,446778,27.84
09-Sep-2016,1162.80,1171.00,1183.90,1144.55,1151.00,1153.55,1160.81,758416,24327,234480,30.92
12-Sep-2016,1153.55,1124.80,1133.85,1050.00,1093.00,1094.40,1103.16,1034612,40553,415689,40.18
14-Sep-2016,1094.40,1103.00,1108.00,1068.00,1103.00,1101.05,1085.75,1049761,58594,474363,45.19
15-Sep-2016,1101.05,1108.90,1113.00,1085.00,1096.00,1099.00,1096.79,661551,20435,229984,34.76
16-Sep-2016,1099.00,1109.00,1117.10,1080.70,1085.10,1087.85,1099.27,803966,28872,442383,55.03
19-Sep-2016,1087.85,1096.50,1096.50,1072.20,1081.00,1075.90,1080.80,824883,30674,480265,58.22
20-Sep-2016,1075.90,1050.05,1088.95,1050.05,1075.00,1075.05,1077.24,597126,22101,286009,47.90
21-Sep-2016,1075.05,1084.90,1084.90,1066.05,1074.00,1070.25,1074.10,722885,32104,445278,61.60
22-Sep-2016,1070.25,1083.25,1132.20,1070.75,1131.00,1127.95,1108.08,1363628,35739,590136,43.28
23-Sep-2016,1127.95,1138.40,1144.50,1118.30,1125.50,1126.50,1133.09,1160432,33851,427269,36.82
26-Sep-2016,1126.50,1118.00,1139.85,1115.55,1119.00,1122.80,1127.79,648551,16352,290151,44.74
27-Sep-2016,1122.80,1130.00,1130.00,1091.85,1101.80,1098.60,1112.31,905372,22757,453498,50.09
28-Sep-2016,1098.60,1105.00,1113.90,1092.05,1104.70,1106.10,1105.35,875357,21997,496959,56.77
29-Sep-2016,1106.10,1120.00,1123.00,1011.20,1041.90,1037.15,1066.16,1550065,35260,779392,50.28
30-Sep-2016,1037.15,1039.95,1066.05,1020.55,1065.10,1055.90,1041.01,1151711,43074,499685,43.39
03-Oct-2016,1055.90,1069.00,1090.00,1068.30,1086.10,1086.70,1082.75,881426,33348,386736,43.88
04-Oct-2016,1086.70,1092.00,1096.35,1072.00,1082.20,1083.75,1084.45,490022,18623,154343,31.50
05-Oct-2016,1083.75,1090.00,1093.85,1068.30,1074.00,1074.25,1075.96,729161,30130,335473,46.01
06-Oct-2016,1074.25,1076.05,1105.00,1066.00,1080.70,1077.25,1088.08,1182671,31708,461822,39.05
07-Oct-2016,1077.25,1086.70,1090.00,1076.00,1081.00,1082.50,1082.17,606885,36308,320785,52.86
10-Oct-2016,1082.50,1085.15,1092.65,1072.50,1075.00,1073.95,1078.36,382402,14196,204219,53.40
13-Oct-2016,1073.95,1085.00,1085.00,1040.20,1054.90,1053.95,1055.14,969024,39233,553645,57.13
14-Oct-2016,1053.95,1061.80,1069.80,1040.10,1065.00,1061.30,1053.87,819460,29022,517011,63.09
17-Oct-2016,1061.30,1064.70,1085.00,1051.05,1080.10,1078.85,1065.39,920879,25353,532577,57.83
18-Oct-2016,1078.85,1089.00,1121.00,1085.10,1116.50,1117.35,1105.99,1356207,32467,499614,36.84
19-Oct-2016,1117.35,1123.30,1129.95,1111.25,1116.75,1118.85,1120.69,648141,18751,217983,33.63
20-Oct-2016,1118.85,1123.50,1135.00,1117.60,1123.00,1121.40,1127.25,535999,15898,186072,34.71
21-Oct-2016,1121.40,1126.00,1139.00,1115.30,1132.00,1134.30,1127.87,466028,19830,201611,43.26
24-Oct-2016,1134.30,1136.50,1142.15,1125.20,1126.60,1128.95,1131.24,399832,10448,159654,39.93
25-Oct-2016,1128.95,1128.00,1145.00,1115.10,1144.00,1141.70,1129.51,417201,20188,195468,46.85
26-Oct-2016,1141.70,1140.00,1163.30,1125.05,1147.00,1148.40,1149.33,971690,29648,381976,39.31
27-Oct-2016,1148.40,1150.95,1162.00,1098.00,1103.00,1104.80,1126.22,2014635,42810,687018,34.10
28-Oct-2016,1104.80,1105.10,1107.00,1052.70,1070.50,1072.55,1078.85,1452433,36813,880123,60.60
30-Oct-2016,1072.55,1082.80,1083.30,1075.00,1080.40,1080.40,1079.68,92004,3119,47218,51.32
01-Nov-2016,1080.40,1087.00,1089.95,1056.30,1061.35,1060.80,1074.52,903775,27748,616282,68.19
02-Nov-2016,1060.80,1048.00,1050.00,1015.60,1018.50,1019.85,1030.03,1329886,36355,750418,56.43
03-Nov-2016,1019.85,1029.80,1046.15,1015.00,1029.85,1030.85,1035.63,968028,47251,392215,40.52
04-Nov-2016,1030.85,1035.00,1036.20,970.10,990.00,993.15,993.57,1666744,51854,703763,42.22
07-Nov-2016,993.15,1009.80,1028.40,985.20,988.65,990.40,1011.25,1063258,30833,472317,44.42
08-Nov-2016,990.40,996.70,1001.90,972.00,982.25,983.70,982.90,960336,52248,407004,42.38
09-Nov-2016,983.70,920.00,934.50,836.15,932.00,929.15,897.02,3384855,68307,1569151,46.36
10-Nov-2016,929.15,950.00,979.30,923.90,930.00,929.20,948.47,1753921,52870,792843,45.20
11-Nov-2016,929.20,920.00,920.00,850.00,865.00,858.10,871.59,2780607,74528,1558260,56.04
15-Nov-2016,858.10,868.60,868.60,762.30,812.25,815.05,800.72,4368353,91497,2246150,51.42
16-Nov-2016,815.05,827.00,942.70,803.55,894.55,899.80,895.11,7757348,114202,3305584,42.61
17-Nov-2016,899.80,903.50,903.50,860.00,877.00,871.15,874.44,1929384,49055,820820,42.54
18-Nov-2016,871.15,872.00,901.45,865.00,878.00,878.40,880.88,1647276,41501,748422,45.43
21-Nov-2016,878.40,891.45,891.45,815.50,834.00,832.20,835.89,2076791,51015,729237,35.11
22-Nov-2016,832.20,850.05,863.00,830.25,861.85,858.00,848.15,1434086,32332,515147,35.92
23-Nov-2016,858.00,871.00,871.45,844.50,850.00,850.25,852.56,1161595,35744,506038,43.56
24-Nov-2016,850.25,847.50,850.85,816.15,821.10,820.70,830.86,1613090,34463,701275,43.47
25-Nov-2016,820.70,831.00,884.00,823.25,873.80,877.90,855.08,1623036,41675,485039,29.88
28-Nov-2016,877.90,876.20,899.00,857.80,884.00,879.25,883.09,1818863,42908,660754,36.33
29-Nov-2016,879.25,884.50,926.30,883.90,909.50,907.25,913.35,2546446,84869,1000680,39.30
30-Nov-2016,907.25,910.00,927.85,909.05,918.70,919.80,919.60,1775315,66527,830323,46.77
01-Dec-2016,919.80,926.00,929.90,910.00,913.10,914.20,917.36,997475,22889,458959,46.01
02-Dec-2016,914.20,904.00,910.00,880.00,887.00,886.50,889.19,1818221,35497,896985,49.33
05-Dec-2016,886.50,887.00,907.80,885.00,904.00,902.25,897.76,797813,22600,188756,23.66
06-Dec-2016,902.25,903.30,923.90,893.30,899.75,898.05,910.27,878434,21750,274431,31.24
07-Dec-2016,898.05,906.70,910.75,875.65,900.60,891.05,898.29,888028,21625,272187,30.65
08-Dec-2016,891.05,908.00,915.90,904.10,910.30,911.55,910.19,1001920,24235,550581,54.95
09-Dec-2016,911.55,913.80,917.70,891.55,897.50,896.35,901.19,651767,14905,277763,42.62
12-Dec-2016,896.35,896.75,896.75,834.00,843.45,843.60,855.51,2395425,67418,1294106,54.02
13-Dec-2016,843.60,820.00,843.40,805.00,839.95,836.75,829.98,2913971,70788,919649,31.56
14-Dec-2016,836.75,839.70,857.85,832.80,847.00,848.75,849.16,1423592,48349,507742,35.67
15-Dec-2016,848.75,835.10,866.90,831.05,856.20,853.80,855.07,833495,22737,148155,17.78
16-Dec-2016,853.80,860.90,863.00,848.00,848.95,850.80,855.29,626459,22325,246680,39.38
19-Dec-2016,850.80,853.20,853.20,818.90,825.00,822.90,832.40,808312,20569,307081,37.99
20-Dec-2016,822.90,825.00,829.50,786.30,804.20,805.80,807.81,2029604,57032,640623,31.56
21-Dec-2016,805.80,811.00,814.80,783.05,784.80,788.60,796.32,1608265,50479,716220,44.53
22-Dec-2016,788.60,784.80,784.80,760.50,766.55,765.40,768.25,1836222,67412,698164,38.02
23-Dec-2016,765.40,776.70,827.90,761.30,815.00,808.95,793.69,3365297,61762,1058185,31.44
26-Dec-2016,808.95,810.00,821.30,782.05,806.70,810.00,808.17,2133916,48560,420784,19.72
27-Dec-2016,810.00,811.00,827.90,799.35,807.25,809.75,815.55,3505564,60581,2072700,59.13
28-Dec-2016,809.75,816.35,840.90,811.00,820.35,820.20,824.67,2124609,43058,531012,24.99
29-Dec-2016,820.20,820.00,839.75,816.25,835.00,833.35,832.14,1594084,31811,514947,32.30
30-Dec-2016,833.35,840.00,854.70,833.00,843.60,842.20,846.51,842564,22529,210773,25.02
02-Jan-2017,842.20,852.00,873.90,842.00,870.50,870.05,860.91,949967,23737,190329,20.04
03-Jan-2017,870.05,870.00,889.00,859.25,880.55,884.00,873.63,1260264,39554,291855,23.16
04-Jan-2017,884.00,887.10,891.00,868.00,871.00,871.90,875.73,971428,37925,354998,36.54
05-Jan-2017,871.90,883.35,903.00,875.05,900.30,899.75,887.42,1423447,35763,719046,50.51
06-Jan-2017,899.75,911.00,914.90,875.90,878.10,878.45,889.25,4040625,43203,708397,17.53
09-Jan-2017,878.45,887.80,893.75,875.10,879.80,878.25,883.86,615381,18859,186386,30.29
10-Jan-2017,878.25,884.70,901.95,880.05,899.90,899.75,893.73,1147293,30582,512697,44.69
11-Jan-2017,899.75,905.00,909.50,891.00,893.00,896.15,900.01,2005189,39421,1314327,65.55
12-Jan-2017,896.15,902.50,909.95,886.00,892.00,891.20,896.73,737750,20053,210931,28.59
13-Jan-2017,891.20,893.20,905.50,888.10,898.95,900.05,899.38,821185,24353,298428,36.34
16-Jan-2017,900.05,900.00,920.10,894.45,918.50,917.70,909.82,1117504,28713,497159,44.49
17-Jan-2017,917.70,923.90,924.60,910.50,913.50,914.35,916.26,849554,23247,363164,42.75
18-Jan-2017,914.35,918.70,938.00,915.00,930.05,930.35,930.90,1525144,32879,620073,40.66
19-Jan-2017,930.35,929.80,932.30,916.00,926.00,926.30,923.37,598997,18891,225425,37.63
20-Jan-2017,926.30,924.80,930.00,904.00,905.90,907.70,915.20,697857,20295,247168,35.42
23-Jan-2017,907.70,909.40,931.70,905.15,928.95,929.65,920.56,829648,16203,408849,49.28
24-Jan-2017,929.65,934.95,934.95,921.00,928.10,929.75,928.64,826288,22205,484222,58.60
25-Jan-2017,929.75,931.20,1006.00,931.20,1000.00,999.85,979.49,3874946,65441,1535568,39.63
27-Jan-2017,999.85,1000.00,1020.00,991.35,997.00,995.85,1002.51,1386916,31245,574971,41.46
30-Jan-2017,995.85,990.00,1059.00,989.15,1054.30,1054.80,1034.82,4866384,103050,1263764,25.97
31-Jan-2017,1054.80,1058.90,1072.00,1030.75,1034.15,1036.90,1054.00,2304584,61746,749152,32.51
01-Feb-2017,1036.90,1039.00,1069.90,1025.00,1062.05,1066.15,1052.79,1860379,41256,607543,32.66
02-Feb-2017,1066.15,1067.40,1083.95,1050.00,1052.50,1054.15,1063.42,1681729,40810,552057,32.83
03-Feb-2017,1054.15,1055.30,1068.00,1042.30,1045.00,1047.35,1052.82,903079,27796,382615,42.37
06-Feb-2017,1047.35,1056.00,1085.50,1050.10,1068.30,1073.70,1071.55,1218063,28078,425290,34.92
07-Feb-2017,1073.70,1070.00,1075.00,1052.40,1063.45,1060.95,1063.07,658786,26886,262099,39.79
08-Feb-2017,1060.95,1060.00,1069.40,1025.00,1048.05,1049.45,1046.51,1046297,30588,505903,48.35
09-Feb-2017,1049.45,1058.00,1061.65,1026.00,1039.55,1040.85,1039.56,916871,34270,363206,39.61
10-Feb-2017,1040.85,1045.20,1059.00,1038.00,1057.70,1055.45,1049.00,643391,15490,280923,43.66
13-Feb-2017,1055.45,1057.00,1070.00,1043.25,1060.00,1058.95,1058.16,484476,12659,112824,23.29
14-Feb-2017,1058.95,1064.00,1069.00,1055.00,1059.75,1059.50,1061.45,438100,13746,119038,27.17
15-Feb-2017,1059.50,1060.30,1065.00,1029.00,1042.20,1040.40,1046.17,679204,19416,304543,44.84
16-Feb-2017,1040.40,1040.90,1106.00,1035.00,1100.00,1094.35,1073.20,1035007,29510,482944,46.66
17-Feb-2017,1094.35,1110.00,1118.00,1081.10,1084.90,1089.50,1099.06,1408853,48949,467219,33.16
20-Feb-2017,1089.50,1092.95,1109.50,1035.00,1092.55,1095.90,1096.14,617565,18624,156404,25.33
21-Feb-2017,1095.90,1092.20,1105.95,1085.00,1095.00,1095.90,1096.32,335482,9603,107633,32.08
22-Feb-2017,1095.90,1095.00,1104.15,1065.00,1080.00,1076.25,1083.94,1000632,28733,515648,51.53
23-Feb-2017,1076.25,1083.00,1099.00,1066.50,1068.30,1068.20,1077.55,1196177,24527,539452,45.10
27-Feb-2017,1068.20,1070.85,1104.00,1069.00,1092.00,1091.60,1091.68,1223440,29342,465981,38.09
28-Feb-2017,1091.60,1097.75,1119.00,1096.00,1113.10,1108.20,1111.05,1257475,45439,564609,44.90
01-Mar-2017,1108.20,1120.00,1128.90,1070.60,1072.20,1075.85,1088.99,2045087,38793,1158996,56.67
02-Mar-2017,1075.85,1083.00,1089.60,1019.10,1048.00,1048.75,1051.04,2587153,61519,1180121,45.61
03-Mar-2017,1048.75,1047.50,1056.90,1024.15,1050.00,1046.25,1036.32,1185751,36861,483247,40.75
06-Mar-2017,1046.25,1054.00,1056.00,1026.40,1035.45,1033.95,1035.95,1176084,46870,656348,55.81
07-Mar-2017,1033.95,1034.90,1055.80,1022.40,1053.00,1052.40,1042.29,1534634,35600,723770,47.16
08-Mar-2017,1052.40,1057.75,1084.00,1049.00,1080.00,1081.20,1067.85,1763414,50368,737056,41.80
09-Mar-2017,1081.20,1074.70,1095.00,1068.00,1083.00,1087.20,1085.40,1391444,48723,657350,47.24
10-Mar-2017,1087.20,1092.50,1100.00,1085.10,1089.35,1094.50,1092.62,748405,19392,306316,40.93
14-Mar-2017,1094.50,1112.00,1135.45,1103.40,1125.15,1126.70,1122.96,1254682,60517,532250,42.42
15-Mar-2017,1126.70,1129.00,1143.20,1124.25,1128.30,1134.55,1136.73,781510,19496,373598,47.80
16-Mar-2017,1134.55,1139.70,1178.00,1130.85,1171.95,1163.50,1153.28,1234503,39472,577772,46.80
17-Mar-2017,1163.50,1170.00,1183.70,1151.30,1156.40,1159.30,1164.34,822826,28053,349651,42.49
20-Mar-2017,1159.30,1165.00,1192.30,1142.75,1180.00,1172.55,1161.57,978371,18337,442155,45.19
21-Mar-2017,1172.55,1172.05,1184.95,1146.00,1170.00,1174.55,1171.63,2284752,45223,1621247,70.96
22-Mar-2017,1174.55,1155.10,1167.95,1150.00,1157.00,1159.70,1158.89,691551,25081,292294,42.27
23-Mar-2017,1159.70,1161.50,1191.70,1161.50,1183.10,1185.75,1178.62,873741,32531,328763,37.63
24-Mar-2017,1185.75,1190.40,1198.00,1170.55,1180.00,1177.05,1187.12,668010,28163,259814,38.89
27-Mar-2017,1177.05,1177.00,1189.00,1171.00,1186.00,1185.00,1180.61,479265,17727,112361,23.44
28-Mar-2017,1185.00,1194.00,1206.00,1186.75,1194.40,1194.75,1197.21,809959,26190,212508,26.24
29-Mar-2017,1194.75,1199.40,1205.00,1172.00,1178.05,1180.75,1186.22,632607,33201,293490,46.39
30-Mar-2017,1180.75,1180.00,1190.10,1173.00,1183.00,1181.05,1181.29,657966,23257,323705,49.20
31-Mar-2017,1181.05,1188.00,1188.00,1167.50,1173.95,1171.10,1172.43,474585,20201,233165,49.13
03-Apr-2017,1171.10,1170.05,1189.00,1162.00,1179.00,1181.75,1175.95,473642,14759,163546,34.53
05-Apr-2017,1181.75,1190.00,1190.00,1165.00,1172.00,1173.10,1173.42,680777,30794,394512,57.95
06-Apr-2017,1173.10,1177.80,1204.05,1165.75,1198.50,1198.10,1184.75,856876,17910,382961,44.69
07-Apr-2017,1198.10,1198.00,1224.00,1192.20,1206.15,1201.60,1213.48,1099961,28908,302318,27.48
10-Apr-2017,1201.60,1201.70,1252.00,1190.00,1246.00,1240.75,1222.67,1046689,37907,424337,40.54
11-Apr-2017,1240.75,1246.00,1274.00,1242.00,1255.00,1255.95,1255.30,1142967,32063,325281,28.46
12-Apr-2017,1255.95,1260.00,1278.00,1248.00,1270.00,1266.20,1264.47,1062045,37846,380418,35.82
13-Apr-2017,1266.20,1267.80,1292.00,1261.00,1276.00,1273.90,1271.49,613348,20584,252946,41.24
17-Apr-2017,1273.90,1274.90,1282.00,1246.55,1250.00,1259.55,1266.17,609476,10065,324006,53.16
18-Apr-2017,1259.55,1254.40,1270.70,1229.90,1239.00,1236.05,1255.76,583708,25028,150163,25.73
19-Apr-2017,1236.05,1237.80,1252.50,1217.55,1250.00,1242.95,1235.27,777297,20346,363317,46.74
20-Apr-2017,1242.95,1253.00,1258.50,1243.00,1249.65,1252.00,1251.47,443637,11027,193273,43.57
21-Apr-2017,1252.00,1252.00,1259.90,1236.30,1245.05,1246.95,1248.90,380126,14916,111800,29.41
24-Apr-2017,1246.95,1251.10,1275.00,1242.10,1274.00,1271.75,1261.03,475488,15427,106870,22.48
25-Apr-2017,1271.75,1279.00,1349.00,1276.00,1341.90,1341.70,1322.06,2092724,72505,685086,32.74
26-Apr-2017,1341.70,1345.00,1349.90,1301.55,1310.70,1309.70,1324.14,1207320,32774,684256,56.68
27-Apr-2017,1309.70,1315.00,1315.85,1278.05,1285.55,1285.70,1289.24,1627631,27877,900125,55.30
28-Apr-2017,1285.70,1278.05,1295.00,1268.75,1275.00,1276.20,1279.10,1183154,24511,785857,66.42
02-May-2017,1276.20,1281.90,1286.15,1257.00,1269.90,1268.60,1273.02,708574,22397,307326,43.37
03-May-2017,1268.60,1270.00,1282.80,1260.00,1270.80,1270.10,1270.59,1086778,35650,691635,63.64
04-May-2017,1270.10,1271.25,1311.90,1271.25,1296.10,1296.55,1298.28,1121302,38619,447503,39.91
05-May-2017,1296.55,1295.00,1303.00,1264.90,1270.05,1274.25,1281.57,467205,17223,149496,32.00
08-May-2017,1274.25,1270.25,1286.35,1260.50,1275.50,1272.00,1271.70,471627,26857,197965,41.97
09-May-2017,1272.00,1275.00,1292.90,1264.50,1292.45,1286.10,1277.38,567703,31870,310520,54.70
10-May-2017,1286.10,1295.00,1331.00,1293.55,1328.00,1327.00,1317.76,1302185,43567,581820,44.68
11-May-2017,1327.00,1334.95,1344.90,1318.45,1333.75,1339.70,1331.68,672768,16795,180370,26.81
12-May-2017,1339.70,1332.00,1339.00,1305.00,1313.30,1314.75,1318.85,438863,13744,97958,22.32
15-May-2017,1314.75,1323.00,1348.50,1317.65,1332.00,1332.95,1335.96,634195,16701,188623,29.74
16-May-2017,1332.95,1337.40,1358.80,1327.20,1346.00,1347.75,1344.96,788530,22552,274106,34.76
17-May-2017,1347.75,1350.00,1374.00,1297.50,1320.00,1324.80,1343.51,2408302,67508,468034,19.43
18-May-2017,1324.80,1299.00,1343.00,1296.05,1310.70,1314.55,1325.97,1210985,34422,305579,25.23
19-May-2017,1314.55,1324.00,1333.90,1265.55,1288.00,1289.15,1295.81,1167010,32394,346261,29.67
22-May-2017,1289.15,1299.00,1304.00,1237.35,1240.00,1242.15,1264.99,873873,39772,391500,44.80
23-May-2017,1242.15,1249.90,1265.00,1190.55,1230.70,1233.75,1231.01,1348383,60446,466036,34.56
24-May-2017,1233.75,1234.00,1254.90,1210.00,1225.00,1224.35,1231.39,787101,42989,266289,33.83
25-May-2017,1224.35,1230.00,1268.00,1228.25,1263.00,1258.85,1250.15,905807,38094,349445,38.58
26-May-2017,1258.85,1261.70,1326.70,1261.70,1314.85,1317.80,1305.26,1306793,40302,456603,34.94
29-May-2017,1317.80,1319.40,1333.00,1301.90,1309.95,1307.45,1318.58,652289,24119,192661,29.54
30-May-2017,1307.45,1305.20,1324.90,1303.70,1322.35,1321.55,1317.44,513005,25635,204921,39.95
31-May-2017,1321.55,1323.00,1334.90,1316.10,1329.40,1326.95,1326.64,726284,42248,356399,49.07
01-Jun-2017,1326.95,1334.00,1339.00,1320.25,1323.80,1327.35,1329.35,387968,12771,156031,40.22
02-Jun-2017,1327.35,1332.40,1365.00,1318.00,1362.00,1361.25,1346.17,668081,21491,198882,29.77
05-Jun-2017,1361.25,1368.55,1372.65,1348.05,1361.75,1363.10,1361.85,570009,16609,161674,28.36
06-Jun-2017,1363.10,1363.40,1367.90,1325.00,1333.65,1336.65,1342.10,601678,22461,242587,40.32
07-Jun-2017,1336.65,1341.10,1360.00,1335.10,1341.30,1343.15,1346.68,550988,15482,219513,39.84
08-Jun-2017,1343.15,1344.90,1372.00,1344.70,1360.00,1361.70,1360.76,570819,19214,220896,38.70
09-Jun-2017,1361.70,1358.00,1382.00,1343.70,1370.00,1376.85,1367.45,530582,23351,178831,33.70
12-Jun-2017,1376.85,1369.95,1383.00,1356.55,1369.00,1364.95,1367.40,370028,14815,103847,28.06
13-Jun-2017,1364.95,1374.00,1380.00,1361.00,1362.00,1371.50,1373.62,435644,22238,190154,43.65
14-Jun-2017,1371.50,1374.20,1375.00,1354.00,1360.00,1361.00,1365.29,634727,29134,339284,53.45
15-Jun-2017,1361.00,1361.10,1413.00,1352.20,1409.30,1405.25,1386.17,1569774,46282,740293,47.16
16-Jun-2017,1405.25,1415.00,1424.85,1403.30,1406.00,1410.30,1415.04,824516,36654,332550,40.33
19-Jun-2017,1410.30,1405.20,1421.70,1395.60,1400.10,1399.85,1405.58,426223,20625,170557,40.02
20-Jun-2017,1399.85,1407.70,1432.90,1395.05,1411.50,1409.60,1418.20,781161,38166,294753,37.73
21-Jun-2017,1409.60,1404.80,1426.00,1401.00,1419.90,1416.65,1416.69,449181,23993,170175,37.89
22-Jun-2017,1416.65,1419.00,1427.00,1395.30,1400.00,1401.80,1410.93,477586,31890,240623,50.38
23-Jun-2017,1401.80,1405.00,1415.50,1366.00,1400.00,1400.75,1391.87,620781,27030,213449,34.38
27-Jun-2017,1400.75,1400.00,1400.00,1336.75,1341.00,1349.95,1361.84,1053829,37982,522564,49.59
28-Jun-2017,1349.95,1341.00,1377.00,1313.90,1371.00,1372.35,1353.90,998218,30259,430604,43.14
29-Jun-2017,1372.35,1379.00,1394.85,1366.50,1369.65,1376.30,1381.08,726869,17813,296476,40.79
30-Jun-2017,1376.30,1367.60,1380.00,1352.50,1373.55,1373.10,1364.00,496260,31246,216431,43.61
03-Jul-2017,1373.10,1380.00,1390.00,1366.50,1384.00,1387.15,1380.67,446514,18913,193216,43.27
04-Jul-2017,1387.15,1390.00,1408.75,1376.55,1378.00,1379.55,1388.07,704342,23191,350690,49.79
05-Jul-2017,1379.55,1375.00,1407.00,1370.10,1399.00,1398.55,1391.60,643929,25001,298889,46.42
06-Jul-2017,1398.55,1398.90,1413.50,1392.35,1397.50,1399.30,1404.77,418130,25318,178634,42.72
07-Jul-2017,1399.30,1398.50,1403.60,1387.40,1393.00,1391.70,1395.07,202005,8185,75611,37.43
10-Jul-2017,1391.70,1451.55,1451.55,1395.10,1411.55,1412.80,1410.24,150018,3910,96462,64.30
11-Jul-2017,1412.80,1419.40,1431.00,1409.60,1422.00,1419.20,1422.27,665556,28991,319337,47.98
