DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,726.25,731.05,732.00,723.10,728.85,726.35,727.75,51555,539,50111,97.20
03-Aug-2016,726.35,720.50,729.50,707.00,720.00,712.50,715.54,6040,815,4079,67.53
04-Aug-2016,712.50,721.55,721.55,706.25,715.00,713.75,712.81,4677,621,3246,69.40
05-Aug-2016,713.75,724.00,740.00,712.95,735.00,738.65,735.72,28913,2704,17175,59.40
08-Aug-2016,738.65,748.85,749.55,721.10,721.65,733.30,740.49,8149,635,5742,70.46
09-Aug-2016,733.30,733.85,742.00,721.05,736.00,734.45,730.94,10512,1101,5496,52.28
10-Aug-2016,734.45,730.05,730.25,717.40,727.90,724.40,725.39,12340,496,10079,81.68
11-Aug-2016,724.40,714.05,741.00,714.05,726.15,729.45,728.81,346113,3991,330833,95.59
12-Aug-2016,729.45,729.85,737.90,721.20,721.20,731.20,732.37,17549,2629,12291,70.04
16-Aug-2016,731.20,728.95,744.00,722.30,744.00,743.20,735.33,266879,2905,257715,96.57
17-Aug-2016,743.20,740.00,752.55,731.05,749.00,746.35,742.65,62042,5710,31544,50.84
18-Aug-2016,746.35,746.25,772.95,744.95,764.00,761.30,753.49,48408,3593,42581,87.96
19-Aug-2016,761.30,766.25,766.25,740.00,743.55,748.25,744.85,52259,2086,47319,90.55
22-Aug-2016,748.25,746.05,765.00,746.05,749.00,749.05,750.76,26456,1316,21718,82.09
23-Aug-2016,749.05,749.00,750.00,740.00,740.05,745.25,745.09,6164,483,4704,76.31
24-Aug-2016,745.25,745.00,766.00,740.25,751.05,750.10,752.08,18047,1548,9931,55.03
25-Aug-2016,750.10,763.00,770.00,748.25,763.60,766.60,758.88,37989,2149,32974,86.80
26-Aug-2016,766.60,768.00,789.00,753.00,785.00,784.40,777.80,25148,2767,18480,73.48
29-Aug-2016,784.40,793.90,842.00,789.00,829.20,833.80,828.91,133870,8329,54652,40.82
30-Aug-2016,833.80,835.00,849.25,806.65,845.00,846.20,836.80,111872,7008,57833,51.70
31-Aug-2016,846.20,850.00,884.80,833.70,873.05,877.65,868.45,73397,7096,36237,49.37
01-Sep-2016,877.65,861.00,874.00,811.00,814.00,823.05,843.29,46871,3833,24819,52.95
02-Sep-2016,823.05,815.10,874.40,815.10,834.00,840.80,847.84,96786,4812,34018,35.15
06-Sep-2016,840.80,848.00,884.90,840.30,881.90,879.70,861.93,92738,12115,47646,51.38
07-Sep-2016,879.70,870.65,904.95,870.00,899.30,889.70,888.43,57228,4593,33243,58.09
08-Sep-2016,889.70,892.00,902.80,865.00,869.55,873.80,880.32,30713,7245,23792,77.47
09-Sep-2016,873.80,875.00,909.60,867.05,890.00,893.15,896.16,69279,4578,26128,37.71
12-Sep-2016,893.15,899.80,919.00,876.00,880.00,887.75,903.94,218725,8627,53955,24.67
14-Sep-2016,887.75,870.25,906.70,870.25,883.90,885.25,890.54,76913,5250,40034,52.05
15-Sep-2016,885.25,884.00,908.10,871.10,878.95,876.35,887.53,31131,2364,13388,43.01
16-Sep-2016,876.35,880.00,887.60,819.15,825.00,828.40,830.17,820143,14735,717109,87.44
19-Sep-2016,828.40,834.95,860.00,834.95,845.00,847.45,844.70,44707,2907,21733,48.61
20-Sep-2016,847.45,853.95,854.00,825.05,825.95,831.70,842.20,37028,4665,20329,54.90
21-Sep-2016,831.70,827.05,839.00,815.05,825.45,825.20,824.59,57485,4945,43956,76.47
22-Sep-2016,825.20,844.00,844.00,823.20,835.90,837.25,835.09,56130,5684,36220,64.53
23-Sep-2016,837.25,836.00,864.00,834.55,851.25,852.20,852.52,80431,3955,51875,64.50
26-Sep-2016,852.20,851.25,858.45,842.55,852.00,851.10,853.62,31915,6235,24647,77.23
27-Sep-2016,851.10,860.50,862.40,845.75,855.95,855.80,856.08,27320,3002,20878,76.42
28-Sep-2016,855.80,860.00,899.90,855.00,895.00,891.65,880.32,269764,6187,230907,85.60
29-Sep-2016,891.65,898.60,954.90,856.65,914.00,913.75,923.11,253386,9610,98122,38.72
30-Sep-2016,913.75,909.90,1034.50,905.15,1022.20,1013.90,977.42,205483,12085,64411,31.35
03-Oct-2016,1013.90,1022.00,1044.00,983.55,1025.00,1014.25,1009.47,102273,5818,27610,27.00
04-Oct-2016,1014.25,1015.40,1111.00,1015.40,1087.05,1096.65,1078.59,231898,14506,61154,26.37
05-Oct-2016,1096.65,1096.00,1204.80,1052.60,1140.00,1145.30,1154.37,433036,24125,112179,25.91
06-Oct-2016,1145.30,1146.55,1184.00,1123.00,1146.50,1146.50,1153.78,164002,9144,33733,20.57
07-Oct-2016,1146.50,1149.95,1157.00,1112.05,1115.00,1116.95,1127.70,65041,4926,28669,44.08
10-Oct-2016,1116.95,1130.30,1140.00,1090.25,1105.00,1102.65,1115.94,48760,4741,22178,45.48
13-Oct-2016,1102.65,1107.70,1107.70,1040.00,1063.10,1073.25,1060.46,103892,8608,46191,44.46
14-Oct-2016,1073.25,1065.75,1119.00,1050.00,1103.90,1104.45,1090.36,106747,6588,38374,35.95
17-Oct-2016,1104.45,1105.00,1115.00,1075.05,1076.00,1078.75,1090.13,61714,4386,28360,45.95
18-Oct-2016,1078.75,1088.95,1088.95,1052.00,1052.85,1063.40,1066.44,56351,3718,23692,42.04
19-Oct-2016,1063.40,1074.40,1074.40,1048.10,1067.00,1059.55,1057.84,41026,2558,24871,60.62
20-Oct-2016,1059.55,1060.00,1077.85,1025.50,1043.00,1037.35,1052.32,39620,3086,21082,53.21
21-Oct-2016,1037.35,1040.00,1072.00,1038.95,1047.00,1046.40,1050.34,73357,6737,34076,46.45
24-Oct-2016,1046.40,1047.00,1108.00,1045.00,1089.00,1088.40,1091.69,122230,7588,62415,51.06
25-Oct-2016,1088.40,1084.00,1098.40,1080.10,1090.00,1088.45,1090.46,31891,2017,20386,63.92
26-Oct-2016,1088.45,1098.80,1098.80,1061.65,1085.00,1080.75,1084.03,25138,1465,17246,68.61
27-Oct-2016,1080.75,1079.00,1088.00,1055.00,1058.40,1062.50,1066.43,14801,1313,10486,70.85
28-Oct-2016,1062.50,1053.05,1079.95,1053.00,1060.25,1061.80,1065.57,7633,689,4074,53.37
30-Oct-2016,1061.80,1069.75,1074.00,1055.05,1068.00,1064.00,1063.51,1978,325,1059,53.54
01-Nov-2016,1064.00,1077.95,1090.00,1036.50,1044.85,1048.55,1064.44,31177,2813,13508,43.33
02-Nov-2016,1048.55,1048.00,1060.00,1010.50,1010.55,1019.05,1030.59,23239,2236,12307,52.96
03-Nov-2016,1019.05,1021.00,1070.00,1012.05,1037.00,1046.60,1055.16,42500,3933,10688,25.15
04-Nov-2016,1046.60,1041.50,1055.00,986.05,994.00,990.60,997.42,47497,3965,32961,69.40
07-Nov-2016,990.60,1008.70,1033.85,993.00,1006.95,1005.85,1011.56,22189,3285,7847,35.36
08-Nov-2016,1005.85,1010.05,1034.75,1004.40,1010.00,1014.40,1023.25,25256,1752,10871,43.04
09-Nov-2016,1014.40,986.00,1044.00,812.00,1025.00,1022.95,991.03,43300,1830,24935,57.59
10-Nov-2016,1022.95,1045.00,1058.00,1030.00,1038.00,1035.00,1039.15,18098,1786,8386,46.34
11-Nov-2016,1035.00,1054.90,1054.90,983.10,1000.05,998.30,995.44,498035,5978,479379,96.25
15-Nov-2016,998.30,1000.05,1028.00,915.90,967.60,964.45,952.75,31389,3951,19537,62.24
16-Nov-2016,964.45,965.00,1001.65,926.85,985.00,993.55,974.39,28372,2965,16748,59.03
17-Nov-2016,993.55,984.95,996.00,950.00,980.90,964.55,968.90,20057,3204,12078,60.22
18-Nov-2016,964.55,990.00,994.00,946.05,990.00,984.55,972.71,31346,1770,23273,74.25
21-Nov-2016,984.55,991.30,992.00,955.00,960.00,962.45,973.28,24257,3394,16788,69.21
22-Nov-2016,962.45,950.00,981.00,915.05,966.90,966.35,944.27,24933,2551,11926,47.83
23-Nov-2016,966.35,980.00,981.00,918.45,927.15,927.30,929.04,39499,4959,20024,50.69
24-Nov-2016,927.30,938.60,946.00,902.00,927.50,924.25,920.09,64137,13725,43207,67.37
25-Nov-2016,924.25,925.00,936.00,905.25,935.00,926.20,918.16,29087,7721,13534,46.53
28-Nov-2016,926.20,945.00,945.00,916.25,927.90,925.55,931.00,19124,4171,10563,55.23
29-Nov-2016,925.55,934.95,935.00,911.95,927.00,925.55,921.91,42285,5747,29553,69.89
30-Nov-2016,925.55,930.05,1008.00,930.05,989.05,992.75,990.73,286490,15472,62332,21.76
01-Dec-2016,992.75,1061.50,1191.30,1061.50,1191.30,1190.30,1139.04,886590,30237,272255,30.71
02-Dec-2016,1190.30,1201.00,1285.75,1200.95,1223.00,1217.00,1241.72,837774,43092,109445,13.06
05-Dec-2016,1217.00,1224.50,1249.00,1201.00,1205.00,1212.90,1220.24,217395,13582,51161,23.53
06-Dec-2016,1212.90,1210.00,1267.90,1190.10,1229.50,1230.30,1240.16,244663,15871,39254,16.04
07-Dec-2016,1230.30,1234.00,1248.00,1188.50,1192.25,1199.65,1212.25,95121,9727,36922,38.82
08-Dec-2016,1199.65,1203.00,1230.00,1195.10,1199.10,1200.15,1212.13,95789,8818,54443,56.84
09-Dec-2016,1200.15,1205.00,1214.00,1160.00,1169.00,1167.65,1179.45,68516,6112,31329,45.73
12-Dec-2016,1167.65,1170.00,1210.05,1166.30,1186.50,1191.00,1192.59,50556,6908,17641,34.89
13-Dec-2016,1191.00,1182.00,1210.00,1178.40,1183.15,1193.25,1197.47,69643,8604,29811,42.81
14-Dec-2016,1193.25,1190.65,1198.85,1140.00,1140.00,1156.85,1173.88,34190,5407,23677,69.25
15-Dec-2016,1156.85,1141.00,1165.00,1130.10,1141.55,1147.95,1152.77,41272,4178,26374,63.90
16-Dec-2016,1147.95,1149.00,1155.25,1095.25,1099.85,1103.85,1113.89,78868,4493,56023,71.03
19-Dec-2016,1103.85,1097.00,1144.90,1097.00,1126.40,1130.80,1130.16,56500,6484,34386,60.86
20-Dec-2016,1130.80,1138.95,1138.95,1108.85,1117.30,1118.25,1118.46,23641,4199,12030,50.89
21-Dec-2016,1118.25,1127.95,1128.00,1081.05,1089.95,1088.50,1100.19,23818,3395,11625,48.81
22-Dec-2016,1088.50,1094.00,1094.00,1046.20,1046.20,1050.55,1053.72,54125,7792,34238,63.26
23-Dec-2016,1050.55,1059.80,1060.00,1001.60,1055.00,1048.95,1032.90,94718,3095,80574,85.07
26-Dec-2016,1048.95,1035.00,1085.00,1028.30,1084.75,1083.40,1065.27,100973,3979,65609,64.98
27-Dec-2016,1083.40,1085.00,1127.00,1050.15,1060.00,1068.30,1096.85,125894,10190,36177,28.74
28-Dec-2016,1068.30,1068.95,1084.00,1068.00,1069.00,1076.55,1076.99,25053,3985,11561,46.15
29-Dec-2016,1076.55,1079.60,1084.00,1068.05,1080.00,1078.25,1076.68,11725,1482,6051,51.61
30-Dec-2016,1078.25,1090.00,1120.90,1068.70,1100.00,1102.50,1103.44,51346,5420,28472,55.45
02-Jan-2017,1102.50,1109.95,1120.00,1080.05,1088.90,1087.55,1097.11,50827,2154,39626,77.96
03-Jan-2017,1087.55,1087.00,1110.05,1087.00,1097.50,1097.05,1097.73,32300,3831,20762,64.28
04-Jan-2017,1097.05,1100.05,1110.00,1086.00,1090.00,1090.30,1099.80,16392,3171,11220,68.45
05-Jan-2017,1090.30,1105.90,1105.90,1096.00,1100.00,1102.55,1101.08,18195,2441,14640,80.46
06-Jan-2017,1102.55,1092.85,1104.40,1090.00,1090.00,1096.30,1098.50,23422,4008,15278,65.23
09-Jan-2017,1096.30,1106.00,1109.80,1086.00,1090.10,1089.70,1091.14,7835,1372,4761,60.77
10-Jan-2017,1089.70,1108.95,1108.95,1065.00,1094.20,1087.35,1087.63,24509,4857,15470,63.12
11-Jan-2017,1087.35,1092.00,1125.00,1084.25,1097.15,1101.75,1106.28,104752,7499,63880,60.98
12-Jan-2017,1101.75,1106.40,1120.00,1096.00,1098.45,1100.35,1110.62,57098,5947,34638,60.66
13-Jan-2017,1100.35,1107.45,1107.45,1072.00,1081.00,1079.50,1081.17,70389,8009,57109,81.13
