DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,14.70,14.75,15.10,14.65,14.80,14.80,14.85,509516,673,314745,61.77
03-Aug-2016,14.80,14.85,14.85,14.30,14.55,14.55,14.60,375915,545,269844,71.78
04-Aug-2016,14.55,14.60,14.70,14.35,14.35,14.40,14.45,251228,473,154955,61.68
05-Aug-2016,14.40,14.35,14.50,14.20,14.45,14.40,14.38,538938,613,325866,60.46
08-Aug-2016,14.40,14.50,14.95,14.45,14.55,14.55,14.64,330908,529,173511,52.43
09-Aug-2016,14.55,14.60,14.70,14.30,14.35,14.35,14.43,198251,376,114300,57.65
10-Aug-2016,14.35,14.50,14.50,14.05,14.10,14.10,14.18,293747,564,208082,70.84
11-Aug-2016,14.10,14.20,14.25,13.45,13.65,13.65,13.78,800945,1333,492612,61.50
12-Aug-2016,13.65,13.75,13.85,13.60,13.75,13.70,13.71,440829,618,193074,43.80
16-Aug-2016,13.70,13.80,13.80,13.45,13.55,13.50,13.52,304877,505,211400,69.34
17-Aug-2016,13.50,13.35,13.80,13.35,13.55,13.50,13.61,349446,572,175544,50.23
18-Aug-2016,13.50,13.50,14.45,13.50,14.00,14.00,14.14,781166,1150,448200,57.38
19-Aug-2016,14.00,14.15,14.15,13.65,14.00,13.95,13.95,329633,458,170542,51.74
22-Aug-2016,13.95,14.00,14.20,13.90,13.90,13.95,14.00,388940,493,229315,58.96
23-Aug-2016,13.95,13.95,14.20,13.60,14.05,14.00,14.01,266144,484,109113,41.00
24-Aug-2016,14.00,14.00,14.15,13.85,14.05,14.00,14.03,293631,336,194801,66.34
25-Aug-2016,14.00,13.85,15.05,13.85,14.40,14.35,14.61,2679717,3621,1092120,40.76
26-Aug-2016,14.35,14.40,14.55,14.05,14.10,14.10,14.30,581579,847,244465,42.03
29-Aug-2016,14.10,14.25,14.45,13.95,14.10,14.10,14.22,552132,1050,306698,55.55
30-Aug-2016,14.10,14.25,14.60,14.15,14.35,14.30,14.38,451976,612,261078,57.76
31-Aug-2016,14.30,14.40,14.50,14.25,14.40,14.35,14.36,412831,505,222225,53.83
01-Sep-2016,14.35,14.50,14.50,13.70,13.85,13.85,14.12,532713,687,370843,69.61
02-Sep-2016,13.85,13.25,13.45,13.15,13.15,13.20,13.25,1292954,1833,745630,57.67
06-Sep-2016,13.20,13.30,13.30,13.05,13.15,13.15,13.19,434430,644,274828,63.26
07-Sep-2016,13.15,13.15,13.70,13.10,13.65,13.55,13.40,516058,682,335902,65.09
08-Sep-2016,13.55,13.60,14.05,13.45,13.85,13.70,13.80,795593,1117,384287,48.30
09-Sep-2016,13.70,13.65,13.80,13.45,13.45,13.55,13.58,398607,556,228726,57.38
12-Sep-2016,13.55,13.40,13.40,12.95,13.20,13.15,13.14,478506,836,334452,69.90
14-Sep-2016,13.15,13.20,13.20,12.80,13.05,13.00,12.99,919266,920,599654,65.23
15-Sep-2016,13.00,13.05,13.30,12.65,13.00,13.00,13.04,1315879,1277,569397,43.27
16-Sep-2016,13.00,13.15,13.30,12.90,13.10,13.05,13.16,515048,750,257313,49.96
19-Sep-2016,13.05,13.00,13.60,13.00,13.55,13.50,13.27,428123,616,288087,67.29
20-Sep-2016,13.50,13.50,14.05,13.25,14.05,13.85,13.68,832943,1221,563138,67.61
21-Sep-2016,13.85,13.85,14.35,13.80,13.80,13.85,14.04,980577,1133,564087,57.53
22-Sep-2016,13.85,14.00,14.30,13.75,14.00,14.00,14.02,692853,990,301871,43.57
23-Sep-2016,14.00,14.10,14.10,13.60,13.70,13.65,13.82,403865,687,259306,64.21
26-Sep-2016,13.65,14.20,14.20,13.85,14.00,13.90,13.97,387737,551,262872,67.80
