DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,625.05,630.95,634.00,615.10,620.50,620.40,625.21,37279,2885,24544,65.84
03-Aug-2016,620.40,620.50,625.90,615.70,617.00,618.75,621.09,16298,1229,12328,75.64
04-Aug-2016,618.75,625.00,634.90,614.10,624.90,619.60,623.01,37965,1777,19369,51.02
05-Aug-2016,619.60,620.00,632.00,619.00,625.00,624.25,624.09,41636,1593,23531,56.52
08-Aug-2016,624.25,624.00,679.75,622.55,673.00,674.30,663.06,201262,5209,89612,44.53
09-Aug-2016,674.30,674.00,674.30,653.35,665.00,665.40,664.11,79007,2904,32141,40.68
10-Aug-2016,665.40,665.40,671.50,646.00,651.90,652.15,658.03,45197,3323,25785,57.05
11-Aug-2016,652.15,649.95,673.00,635.10,664.00,659.20,655.02,78039,3477,37762,48.39
12-Aug-2016,659.20,659.00,669.80,648.00,655.00,651.80,657.03,24862,1757,13700,55.10
16-Aug-2016,651.80,654.95,668.90,652.00,658.00,658.05,661.18,40794,1012,17791,43.61
17-Aug-2016,658.05,662.50,676.95,659.00,667.00,667.50,668.31,70391,1750,35518,50.46
18-Aug-2016,667.50,669.00,675.00,663.00,668.75,666.95,669.25,24471,1041,16667,68.11
19-Aug-2016,666.95,673.80,698.90,666.20,690.00,692.15,689.93,103321,4881,44513,43.08
22-Aug-2016,692.15,696.85,704.00,686.55,688.10,689.75,693.71,35972,1227,19773,54.97
23-Aug-2016,689.75,699.70,699.70,688.00,698.00,693.50,692.49,40097,1131,26798,66.83
24-Aug-2016,693.50,686.25,716.25,686.25,700.05,700.55,706.04,52166,2245,27937,53.55
25-Aug-2016,700.55,701.10,715.70,698.00,706.00,706.25,709.27,35415,1426,23513,66.39
26-Aug-2016,706.25,706.00,713.85,687.65,690.15,693.70,695.99,32533,1279,19378,59.56
29-Aug-2016,693.70,695.00,696.00,685.00,691.50,689.45,690.01,17470,836,10688,61.18
30-Aug-2016,689.45,703.50,703.50,685.90,687.30,688.70,690.44,30895,1360,17165,55.56
31-Aug-2016,688.70,688.05,713.85,685.00,694.00,695.10,704.03,66777,2360,32749,49.04
01-Sep-2016,695.10,703.00,703.00,687.00,692.45,689.55,694.16,26249,1664,19238,73.29
02-Sep-2016,689.55,693.80,702.00,688.00,698.00,697.05,695.50,24225,1098,14977,61.82
06-Sep-2016,697.05,695.00,707.00,695.00,697.00,697.30,701.25,25221,1134,15938,63.19
07-Sep-2016,697.30,699.00,721.25,697.00,708.00,711.70,712.53,63620,2402,28415,44.66
08-Sep-2016,711.70,715.50,726.00,712.00,720.00,721.05,720.54,48300,2101,26227,54.30
09-Sep-2016,721.05,722.00,747.20,718.00,728.00,728.50,734.17,95372,3623,43409,45.52
12-Sep-2016,728.50,719.00,732.00,710.00,720.50,719.25,719.73,40142,2282,22574,56.24
14-Sep-2016,719.25,705.75,707.50,689.00,702.70,702.85,698.60,30921,1587,15655,50.63
15-Sep-2016,702.85,703.00,714.40,700.00,705.60,706.20,705.64,23095,890,15038,65.11
16-Sep-2016,706.20,706.00,711.90,688.50,689.00,692.50,702.76,18986,766,13363,70.38
19-Sep-2016,692.50,693.50,696.00,685.00,687.95,689.35,689.72,16987,825,11475,67.55
20-Sep-2016,689.35,691.10,696.00,674.60,679.90,677.70,682.94,21055,1485,12566,59.68
