DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,147.50,148.60,152.40,146.30,151.00,151.15,149.35,9587249,56230,2626518,27.40
03-Aug-2016,151.15,150.50,154.90,148.00,149.10,148.85,151.58,6650715,36404,1000791,15.05
04-Aug-2016,148.85,151.00,157.35,146.55,157.00,155.75,152.18,11938778,56727,3238712,27.13
05-Aug-2016,155.75,157.70,159.70,156.25,156.85,157.65,158.10,8486062,46314,2107879,24.84
08-Aug-2016,157.65,158.80,159.75,154.65,156.70,157.50,157.64,5309988,25483,975654,18.37
09-Aug-2016,157.50,157.25,160.55,156.30,158.65,158.45,158.38,7446960,32112,877375,11.78
10-Aug-2016,158.45,159.00,161.25,155.35,160.05,160.40,158.76,11504484,53006,3352661,29.14
11-Aug-2016,160.40,153.00,153.15,145.00,145.60,145.95,148.02,38489351,156074,7831473,20.35
12-Aug-2016,145.95,147.00,152.20,144.55,149.45,149.60,148.95,22293971,92966,7115748,31.92
16-Aug-2016,149.60,150.00,151.40,147.10,149.40,149.55,149.14,7165689,33105,1503846,20.99
17-Aug-2016,149.55,149.50,152.40,149.15,151.20,151.35,151.20,6673777,32161,975397,14.62
18-Aug-2016,151.35,152.15,154.90,151.85,154.50,154.50,153.61,6548857,29584,1409434,21.52
19-Aug-2016,154.50,155.95,162.80,155.10,160.90,161.65,159.20,14267416,80168,4058920,28.45
22-Aug-2016,161.65,160.95,162.35,157.70,160.30,160.05,160.32,8026440,35807,1027314,12.80
23-Aug-2016,160.05,160.30,165.00,158.35,164.20,164.30,162.42,15115837,69033,3292880,21.78
24-Aug-2016,164.30,164.30,165.25,162.35,163.20,163.15,163.72,6766596,33014,1000406,14.78
25-Aug-2016,163.15,163.95,164.80,161.40,162.35,161.95,162.57,10027674,47929,4986735,49.73
26-Aug-2016,161.95,161.75,163.20,157.60,158.50,158.30,159.83,5393070,26301,668858,12.40
29-Aug-2016,158.30,158.40,160.70,157.10,160.40,160.05,159.00,4125681,25030,544036,13.19
30-Aug-2016,160.05,161.00,164.75,160.55,164.40,164.15,162.62,6148036,32746,1239436,20.16
31-Aug-2016,164.15,164.50,165.70,161.90,162.15,162.95,164.32,8047620,35968,2689724,33.42
01-Sep-2016,162.95,163.50,164.25,160.60,161.70,161.25,162.65,6466506,30703,2092491,32.36
02-Sep-2016,161.25,161.70,166.90,161.15,166.40,166.35,164.62,8185748,41360,1846608,22.56
06-Sep-2016,166.35,168.00,170.90,167.60,169.45,169.50,169.73,9021719,48440,2645310,29.32
07-Sep-2016,169.50,171.25,177.65,170.50,175.10,174.80,174.38,16469703,76772,4332468,26.31
08-Sep-2016,174.80,175.50,177.45,173.30,174.60,174.75,175.59,6806480,32148,1502056,22.07
09-Sep-2016,174.75,174.60,174.85,171.25,171.95,171.95,172.71,7304893,60062,2065104,28.27
12-Sep-2016,171.95,167.95,167.95,161.15,162.10,161.75,163.50,8733499,70976,2893502,33.13
14-Sep-2016,161.75,162.00,168.70,161.75,168.55,168.30,166.49,7533651,52377,1469659,19.51
15-Sep-2016,168.30,168.35,168.90,164.15,166.65,166.60,166.13,5395997,33157,692184,12.83
16-Sep-2016,166.60,168.25,171.35,164.15,164.80,164.75,167.32,11408056,44542,4738928,41.54
19-Sep-2016,164.75,166.95,167.90,165.40,166.30,166.45,166.49,3003890,18420,432425,14.40
20-Sep-2016,166.45,167.15,168.35,165.35,165.95,166.70,166.94,3272265,21274,490527,14.99
21-Sep-2016,166.70,166.25,168.30,163.90,164.00,164.35,165.93,4207634,26652,1347911,32.03
22-Sep-2016,164.35,167.10,170.00,166.65,169.60,169.45,168.43,5591092,31480,1737621,31.08
23-Sep-2016,169.45,169.95,172.40,168.20,169.10,169.15,170.13,6444029,33858,1322977,20.53
26-Sep-2016,169.15,168.50,169.40,165.50,165.65,166.35,167.51,5315511,30576,1633378,30.73
