DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,407.35,405.05,412.60,399.15,400.05,400.45,404.12,26137,1350,21018,80.41
03-Aug-2016,400.45,397.50,401.80,395.95,398.00,397.95,398.29,10097,336,5818,57.62
04-Aug-2016,397.95,399.00,403.80,396.15,403.00,399.70,399.57,9233,457,4740,51.34
05-Aug-2016,399.70,400.25,411.90,400.25,406.50,404.30,407.19,22355,881,8901,39.82
08-Aug-2016,404.30,398.60,485.15,395.00,485.15,485.15,461.35,1242931,29639,229474,18.46
09-Aug-2016,485.15,504.00,517.35,475.05,479.00,483.05,495.93,1070616,28116,174736,16.32
10-Aug-2016,483.05,479.20,480.00,446.20,447.55,449.15,462.62,328109,10430,60881,18.56
11-Aug-2016,449.15,449.15,511.00,445.55,482.00,487.15,490.50,1289886,34722,114279,8.86
12-Aug-2016,487.15,479.00,489.95,468.65,474.50,472.40,479.74,208609,6251,44074,21.13
16-Aug-2016,472.40,474.80,510.95,472.50,491.00,491.20,495.64,311976,8699,60329,19.34
17-Aug-2016,491.20,492.75,511.00,488.60,501.50,502.30,502.41,240230,7202,51184,21.31
18-Aug-2016,502.30,503.30,513.70,500.00,504.90,504.15,507.40,163130,3976,51113,31.33
19-Aug-2016,504.15,506.00,512.40,489.05,492.30,493.40,501.13,97158,3419,30910,31.81
22-Aug-2016,493.40,487.00,507.05,487.00,497.00,497.25,498.80,85488,2887,24898,29.12
23-Aug-2016,497.25,499.30,505.30,487.50,493.20,493.20,495.94,51428,1755,15322,29.79
24-Aug-2016,493.20,495.75,528.00,493.85,509.20,508.10,516.54,522270,11487,171932,32.92
25-Aug-2016,508.10,511.25,518.10,498.10,502.70,501.90,511.65,192335,4865,73893,38.42
26-Aug-2016,501.90,501.00,505.35,488.50,493.00,492.10,495.16,55456,2045,24490,44.16
29-Aug-2016,492.10,491.00,497.00,479.10,483.85,483.10,485.45,54096,1924,24260,44.85
30-Aug-2016,483.10,486.35,500.00,482.60,490.50,491.30,492.87,74301,2844,23548,31.69
31-Aug-2016,491.30,494.00,509.50,490.20,503.95,502.10,502.95,118640,3700,50615,42.66
01-Sep-2016,502.10,505.00,508.70,488.35,495.00,493.30,499.13,56925,1806,21121,37.10
02-Sep-2016,493.30,495.00,503.70,488.00,500.35,498.00,494.83,63387,2124,26629,42.01
06-Sep-2016,498.00,495.00,518.00,495.00,510.00,509.40,509.93,173512,5626,63864,36.81
07-Sep-2016,509.40,510.50,598.00,507.00,582.20,587.15,561.69,1067882,25957,239426,22.42
08-Sep-2016,587.15,583.80,607.80,569.65,585.00,581.70,588.56,376702,9261,96055,25.50
09-Sep-2016,581.70,582.00,588.85,560.00,562.10,563.05,571.90,133881,4172,44991,33.61
12-Sep-2016,563.05,555.00,558.00,528.95,535.00,534.30,542.64,121450,3718,41487,34.16
14-Sep-2016,534.30,537.40,613.70,532.05,582.00,582.75,587.27,801728,23053,133058,16.60
15-Sep-2016,582.75,586.00,591.65,555.00,557.50,559.80,569.57,220349,6865,71613,32.50
16-Sep-2016,559.80,564.00,577.00,543.80,553.00,551.20,560.11,154602,4334,58247,37.68
19-Sep-2016,551.20,556.00,596.50,555.30,569.00,571.20,578.74,375884,11035,75116,19.98
20-Sep-2016,571.20,573.70,575.90,555.05,562.90,561.75,562.69,103168,3470,35664,34.57
21-Sep-2016,561.75,559.15,586.00,554.00,573.00,577.40,574.15,238280,7249,44543,18.69
22-Sep-2016,577.40,573.20,585.90,565.50,576.00,577.55,579.93,240307,6957,70273,29.24
23-Sep-2016,577.55,584.05,635.60,584.05,607.45,608.15,617.40,1236092,29632,290878,23.53
26-Sep-2016,608.15,609.00,624.00,590.50,610.00,608.05,608.84,345930,9370,93433,27.01
27-Sep-2016,608.05,614.90,625.95,603.00,606.20,607.35,611.94,192225,5364,54277,28.24
28-Sep-2016,607.35,609.00,619.90,601.55,615.00,614.35,612.14,154446,5676,40680,26.34
29-Sep-2016,614.35,618.95,623.00,511.50,562.00,558.10,578.91,217616,6493,90990,41.81
30-Sep-2016,558.10,564.90,581.75,560.05,570.30,570.85,571.13,192538,4853,79142,41.10
03-Oct-2016,570.85,575.05,614.90,574.00,603.00,602.80,597.94,266349,7823,81167,30.47
04-Oct-2016,602.80,607.70,620.00,603.05,615.00,614.45,613.02,231420,5721,88834,38.39
05-Oct-2016,614.45,617.95,674.00,616.00,652.20,655.95,655.34,1276719,31909,196812,15.42
06-Oct-2016,655.95,656.35,661.80,622.10,633.00,630.80,641.54,283880,7828,97560,34.37
07-Oct-2016,630.80,635.00,657.00,620.00,644.00,649.95,639.70,233219,6843,53544,22.96
10-Oct-2016,649.95,653.20,666.20,635.00,655.00,651.15,655.84,305187,7971,56200,18.41
13-Oct-2016,651.15,651.90,651.90,621.00,630.70,632.65,633.67,105767,3674,37036,35.02
14-Oct-2016,632.65,638.95,647.95,628.00,632.00,633.65,636.66,103407,3176,25265,24.43
17-Oct-2016,633.65,637.95,646.90,624.20,628.00,627.95,635.38,128412,3810,37240,29.00
18-Oct-2016,627.95,632.85,650.75,630.45,639.00,641.75,641.28,153660,3938,43996,28.63
19-Oct-2016,641.75,642.10,652.00,635.25,643.50,644.00,644.97,124508,3131,31307,25.14
20-Oct-2016,644.00,643.95,655.00,638.10,640.20,640.35,647.38,86925,2400,24029,27.64
21-Oct-2016,640.35,640.35,647.00,627.25,630.00,629.95,637.40,85921,3106,27181,31.63
24-Oct-2016,629.95,625.10,643.00,625.00,628.00,627.70,634.75,68692,2143,23979,34.91
25-Oct-2016,627.70,628.05,641.00,624.50,626.20,626.25,631.92,58045,1721,20774,35.79
26-Oct-2016,626.25,627.00,630.20,597.95,610.00,607.80,613.91,77561,3007,40660,52.42
27-Oct-2016,607.80,607.70,610.00,588.50,600.00,597.20,598.25,57695,2410,21009,36.41
28-Oct-2016,597.20,602.50,618.75,600.10,604.00,605.45,608.94,75423,2623,28530,37.83
30-Oct-2016,605.45,609.00,609.00,598.00,601.10,602.00,602.36,20357,888,12519,61.50
01-Nov-2016,602.00,607.00,626.00,601.40,610.00,611.20,615.52,137217,4035,36463,26.57
02-Nov-2016,611.20,600.00,604.00,590.00,593.75,591.90,596.32,52807,1988,19250,36.45
03-Nov-2016,591.90,596.00,610.00,575.25,583.00,581.65,597.66,92766,3182,28049,30.24
04-Nov-2016,581.65,586.70,595.00,548.15,566.20,564.65,567.94,137889,4070,64708,46.93
07-Nov-2016,564.65,573.95,590.00,573.90,575.55,576.60,580.83,66150,2435,27365,41.37
08-Nov-2016,576.60,582.60,583.75,554.00,560.00,559.30,564.87,65177,2622,30974,47.52
09-Nov-2016,559.30,510.00,550.00,492.00,541.00,540.70,523.35,120765,3975,55450,45.92
10-Nov-2016,540.70,551.00,570.00,548.35,550.00,550.95,559.81,52203,1917,24669,47.26
11-Nov-2016,550.95,551.00,551.00,523.60,532.65,529.70,531.13,72292,1969,37049,51.25
15-Nov-2016,529.70,534.00,535.50,485.00,494.00,496.20,503.93,53498,1937,27102,50.66
16-Nov-2016,496.20,510.85,511.20,480.50,482.00,483.45,496.64,46012,1440,23721,51.55
17-Nov-2016,483.45,485.00,501.90,473.05,494.95,490.30,487.72,62518,2266,21079,33.72
