DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,1240.70,1254.95,1256.05,1230.00,1239.80,1239.55,1243.96,275717,13794,107387,38.95
03-Aug-2016,1239.55,1239.00,1251.95,1222.75,1235.95,1236.55,1238.04,369220,17511,135391,36.67
04-Aug-2016,1236.55,1243.80,1244.80,1227.00,1232.00,1230.95,1234.74,124754,8948,55285,44.32
05-Aug-2016,1230.95,1238.40,1267.00,1236.60,1260.20,1259.35,1251.94,426199,11472,228119,53.52
08-Aug-2016,1259.35,1240.00,1252.00,1227.00,1240.00,1242.35,1240.61,477966,25063,212534,44.47
09-Aug-2016,1242.35,1244.90,1256.00,1238.50,1239.00,1241.65,1247.96,262854,12324,147183,55.99
10-Aug-2016,1241.65,1242.00,1247.00,1230.00,1231.50,1231.90,1236.89,169964,8475,78664,46.28
11-Aug-2016,1231.90,1231.90,1233.60,1201.55,1210.00,1211.10,1214.12,242084,15123,122119,50.44
12-Aug-2016,1211.10,1215.00,1232.00,1210.60,1227.00,1228.75,1225.13,104243,4878,39448,37.84
16-Aug-2016,1228.75,1230.90,1242.90,1218.05,1236.00,1235.80,1232.10,139063,6471,51694,37.17
17-Aug-2016,1235.80,1238.00,1248.40,1232.25,1242.00,1240.45,1240.99,133342,5793,43894,32.92
18-Aug-2016,1240.45,1232.00,1242.50,1221.60,1227.90,1225.95,1231.47,111359,5383,35826,32.17
19-Aug-2016,1225.95,1230.00,1239.80,1225.20,1226.60,1229.60,1230.01,81408,4111,27199,33.41
22-Aug-2016,1229.60,1229.00,1237.00,1220.05,1223.50,1222.40,1227.52,119078,4991,74336,62.43
23-Aug-2016,1222.40,1223.40,1224.35,1212.40,1216.70,1220.60,1218.82,121425,5665,57897,47.68
24-Aug-2016,1220.60,1221.95,1233.15,1218.45,1226.20,1228.00,1226.53,98851,4639,46239,46.78
25-Aug-2016,1228.00,1227.00,1231.60,1201.00,1209.00,1205.80,1213.11,197736,9833,125407,63.42
26-Aug-2016,1205.80,1209.10,1225.80,1207.00,1219.45,1219.20,1218.09,99070,5261,29070,29.34
29-Aug-2016,1219.20,1221.05,1229.00,1210.10,1216.00,1214.90,1216.45,75927,5686,18996,25.02
30-Aug-2016,1214.90,1216.15,1225.60,1216.05,1218.00,1218.95,1221.06,89674,5900,31250,34.85
31-Aug-2016,1218.95,1223.75,1243.00,1212.55,1220.00,1220.45,1231.71,163176,7868,50598,31.01
01-Sep-2016,1220.45,1221.80,1234.00,1215.75,1225.20,1224.80,1225.61,85439,7482,27535,32.23
02-Sep-2016,1224.80,1225.00,1233.00,1212.50,1220.00,1219.00,1219.93,116195,5629,43478,37.42
06-Sep-2016,1219.00,1219.85,1227.60,1210.60,1215.00,1213.25,1216.91,102159,5027,54465,53.31
07-Sep-2016,1213.25,1224.00,1224.00,1205.10,1214.00,1209.95,1212.48,229595,6892,141179,61.49
08-Sep-2016,1209.95,1210.00,1213.25,1200.00,1202.20,1202.65,1202.71,370549,7143,150295,40.56
