DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,521.15,522.00,526.80,512.00,516.95,515.80,519.77,158403,4119,42024,26.53
03-Aug-2016,515.80,516.70,529.80,513.10,522.00,519.85,521.34,326787,8703,55157,16.88
04-Aug-2016,519.85,525.90,527.70,516.50,521.50,521.00,522.12,193727,7870,32233,16.64
05-Aug-2016,521.00,526.00,555.00,520.00,542.70,543.35,537.10,1119158,22772,202885,18.13
08-Aug-2016,543.35,549.60,565.00,538.55,540.80,544.00,553.76,1183473,28211,227847,19.25
09-Aug-2016,544.00,545.00,545.00,525.90,531.35,529.85,533.92,227193,7776,59680,26.27
10-Aug-2016,529.85,531.00,536.50,516.25,523.00,521.75,525.02,248192,7918,65594,26.43
11-Aug-2016,521.75,521.00,523.95,514.40,519.35,520.10,519.04,207602,7689,37899,18.26
12-Aug-2016,520.10,523.00,526.90,516.10,518.70,518.85,521.21,178999,7081,40607,22.69
16-Aug-2016,518.85,520.00,522.50,509.60,516.00,515.65,516.20,193637,6680,43020,22.22
17-Aug-2016,515.65,517.40,612.00,517.10,580.20,583.15,583.35,6273688,140790,610201,9.73
18-Aug-2016,583.15,582.00,593.80,571.00,576.55,575.55,581.49,1552123,35922,202800,13.07
19-Aug-2016,575.55,577.60,611.95,572.00,601.00,601.85,594.62,2060446,43184,269632,13.09
22-Aug-2016,601.85,604.00,608.70,585.00,592.00,591.50,598.48,1025377,22543,161104,15.71
23-Aug-2016,591.50,592.30,595.70,571.95,580.10,580.90,583.84,518459,14091,88080,16.99
24-Aug-2016,580.90,580.00,643.95,574.05,621.20,624.70,624.87,5611079,112079,419778,7.48
25-Aug-2016,624.70,622.90,634.00,613.65,620.00,618.20,625.33,1411579,31071,194284,13.76
26-Aug-2016,618.20,621.00,628.45,607.55,622.00,617.75,618.60,861063,19944,178635,20.75
29-Aug-2016,617.75,616.00,637.10,606.00,611.00,613.45,624.24,1618458,35900,218566,13.50
30-Aug-2016,613.45,614.85,619.50,602.00,606.20,606.30,610.42,533707,15611,111200,20.84
31-Aug-2016,606.30,608.85,632.20,605.20,615.00,613.50,619.88,1348614,30407,163853,12.15
01-Sep-2016,613.50,614.85,627.40,607.00,612.00,611.05,617.80,675884,16576,97760,14.46
02-Sep-2016,611.05,613.70,625.00,609.00,612.85,613.60,616.63,631993,14131,97673,15.45
06-Sep-2016,613.60,619.40,623.40,606.60,609.00,609.25,613.15,400124,9562,106344,26.58
07-Sep-2016,609.25,612.00,639.55,609.00,621.40,619.70,626.85,1607518,32028,234514,14.59
08-Sep-2016,619.70,623.50,628.60,612.40,614.90,617.65,620.64,555162,12293,132236,23.82
09-Sep-2016,617.65,617.75,623.10,601.00,603.70,604.70,612.02,444380,10926,133828,30.12
12-Sep-2016,604.70,591.00,594.85,565.55,567.30,568.85,581.77,372514,11059,130733,35.09
14-Sep-2016,568.85,571.50,581.80,568.00,573.05,573.75,574.10,404773,11112,75672,18.69
15-Sep-2016,573.75,576.00,588.75,568.20,569.10,571.80,578.94,448877,11000,89150,19.86
16-Sep-2016,571.80,573.30,588.35,561.60,584.50,581.50,578.92,708117,15134,150799,21.30
19-Sep-2016,581.50,594.00,633.75,587.25,595.00,598.35,611.12,3701071,70957,359396,9.71
20-Sep-2016,598.35,599.50,604.95,582.70,585.95,585.20,591.93,510095,14085,109088,21.39
21-Sep-2016,585.20,588.70,595.50,581.20,584.95,584.25,588.23,303638,8299,63315,20.85
22-Sep-2016,584.25,590.10,598.00,585.95,587.00,589.25,591.44,415532,10485,65879,15.85
23-Sep-2016,589.25,590.80,596.75,581.20,584.60,584.40,588.49,435217,10820,114349,26.27
26-Sep-2016,584.40,583.00,588.35,572.55,576.40,576.10,580.02,241489,8005,62560,25.91
27-Sep-2016,576.10,579.90,586.75,573.00,576.50,577.45,579.69,252985,8653,47949,18.95
28-Sep-2016,577.45,579.00,586.90,575.20,579.35,578.90,580.60,266438,6784,49645,18.63
29-Sep-2016,578.90,584.40,585.30,525.60,535.55,535.25,554.14,492265,11751,159824,32.47
30-Sep-2016,535.25,537.00,554.80,534.15,554.00,549.30,546.54,361470,9584,71803,19.86
03-Oct-2016,549.30,559.00,592.80,558.80,591.50,589.20,579.01,669643,17111,162339,24.24
04-Oct-2016,589.20,594.50,608.70,587.00,605.50,604.70,598.47,1050995,22179,155440,14.79
05-Oct-2016,604.70,608.80,618.10,584.00,588.85,592.55,605.29,1150592,25678,258617,22.48
06-Oct-2016,592.55,592.50,593.35,560.00,577.00,575.60,582.31,408951,10883,115249,28.18
07-Oct-2016,575.60,579.00,586.00,572.80,576.35,575.90,578.62,313066,8335,72875,23.28
10-Oct-2016,575.90,580.00,585.00,568.55,574.85,574.10,577.79,244759,5581,63934,26.12
13-Oct-2016,574.10,571.90,572.90,548.20,557.50,558.80,559.92,278880,8078,87355,31.32
14-Oct-2016,558.80,561.30,564.80,553.05,563.15,558.90,558.99,205067,6146,54581,26.62
17-Oct-2016,558.90,562.05,572.80,555.50,558.00,559.25,563.62,333444,9133,58679,17.60
18-Oct-2016,559.25,562.90,572.00,560.75,566.00,566.85,565.44,220187,5980,47145,21.41
19-Oct-2016,566.85,569.50,577.00,565.10,567.00,567.90,570.62,287918,7427,73130,25.40
20-Oct-2016,567.90,572.00,584.30,570.25,576.15,575.05,577.35,398731,8913,91695,23.00
21-Oct-2016,575.05,578.00,585.00,568.00,569.00,570.70,576.29,352894,7722,82261,23.31
24-Oct-2016,570.70,574.70,576.65,565.55,572.00,569.55,571.48,218625,5687,43949,20.10
25-Oct-2016,569.55,571.00,572.90,563.00,570.45,568.60,568.49,195275,5330,44970,23.03
26-Oct-2016,568.60,568.45,568.80,553.00,559.00,560.15,561.90,183425,5250,54145,29.52
27-Oct-2016,560.15,557.50,557.50,546.30,551.50,549.65,551.55,145445,5055,38924,26.76
28-Oct-2016,549.65,551.00,559.60,549.10,552.00,552.15,552.90,173953,5031,44967,25.85
30-Oct-2016,552.15,554.00,554.90,547.00,548.00,551.30,552.53,26857,811,15912,59.25
01-Nov-2016,551.30,555.00,566.05,550.10,552.00,554.85,558.14,243488,7258,53026,21.78
02-Nov-2016,554.85,549.90,549.90,537.95,541.95,540.95,543.09,132543,4091,41789,31.53
03-Nov-2016,540.95,543.40,547.65,522.30,522.50,524.70,534.52,190525,6448,63176,33.16
04-Nov-2016,524.70,526.90,529.00,504.25,510.20,508.00,513.43,187942,6460,55708,29.64
07-Nov-2016,508.00,517.90,521.65,508.00,513.80,513.75,516.71,112454,4448,29326,26.08
08-Nov-2016,513.75,519.95,519.95,506.35,511.00,511.25,512.42,120184,3928,29475,24.52
09-Nov-2016,511.25,430.30,488.95,430.00,484.50,483.10,471.04,280844,9223,71482,25.45
10-Nov-2016,483.10,499.00,516.25,492.00,503.00,502.20,506.27,266991,7414,58323,21.84
11-Nov-2016,502.20,499.80,500.80,478.00,482.80,481.75,489.59,189697,6435,54758,28.87
15-Nov-2016,481.75,478.00,478.00,401.00,447.00,449.70,456.15,177764,5490,73449,41.32
16-Nov-2016,449.70,460.00,465.00,446.10,450.00,450.80,453.65,121387,3565,48086,39.61
17-Nov-2016,450.80,449.20,455.00,433.05,435.00,436.05,442.06,80476,3490,29157,36.23
18-Nov-2016,436.05,436.10,445.00,430.20,434.40,436.00,438.49,175206,5672,38444,21.94
21-Nov-2016,436.00,438.00,439.40,395.00,395.80,398.50,409.66,263998,8004,93860,35.55
22-Nov-2016,398.50,401.10,408.95,390.40,402.00,399.95,398.94,212399,5851,61935,29.16
23-Nov-2016,399.95,405.45,417.95,399.55,415.60,416.25,410.07,374227,9800,73955,19.76
24-Nov-2016,416.25,411.00,422.00,405.55,416.25,417.35,414.35,285544,8543,50553,17.70
25-Nov-2016,417.35,419.25,431.00,419.25,426.70,425.25,425.14,277930,7836,53368,19.20
28-Nov-2016,425.25,425.65,435.50,422.30,429.00,428.80,430.45,175833,5362,38993,22.18
29-Nov-2016,428.80,430.00,447.70,429.00,444.10,442.85,440.96,364186,9943,68089,18.70
30-Nov-2016,442.85,447.70,455.00,445.20,447.90,449.75,449.74,223158,6391,52620,23.58
01-Dec-2016,449.75,452.40,454.90,438.55,444.50,442.35,446.47,147011,4795,42460,28.88
02-Dec-2016,442.35,439.90,439.90,425.65,426.70,427.65,431.56,133864,3825,40206,30.03
05-Dec-2016,427.65,427.80,427.80,395.55,413.00,414.20,414.27,395934,10156,65843,16.63
06-Dec-2016,414.20,416.00,424.40,405.00,409.90,410.10,416.47,322609,7605,102888,31.89
07-Dec-2016,410.10,414.55,418.00,400.00,405.50,404.35,409.92,233996,6947,69962,29.90
08-Dec-2016,404.35,409.80,415.50,407.00,409.00,409.70,410.74,257288,6748,84313,32.77
09-Dec-2016,409.70,411.95,413.60,405.55,405.55,406.65,409.28,216685,4841,82383,38.02
12-Dec-2016,406.65,406.80,422.00,404.55,411.10,410.90,414.29,355947,9395,76057,21.37
13-Dec-2016,410.90,412.00,418.00,406.10,407.50,407.75,411.29,242124,6283,57458,23.73
14-Dec-2016,407.75,410.65,411.70,401.00,402.20,402.90,406.14,164610,5097,54240,32.95
