DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,122.70,123.30,123.30,120.55,122.65,122.30,122.21,81679,1453,33420,40.92
03-Aug-2016,122.30,125.15,126.75,119.10,119.80,120.05,122.51,321082,4749,117132,36.48
04-Aug-2016,120.05,121.40,122.55,119.40,119.75,120.00,120.72,76856,1258,36289,47.22
05-Aug-2016,120.00,121.05,122.45,120.60,121.60,121.30,121.29,97143,1472,41475,42.69
08-Aug-2016,121.30,122.55,122.55,120.65,120.95,120.95,121.44,81751,1240,41980,51.35
09-Aug-2016,120.95,120.85,122.40,120.00,120.40,120.30,120.85,92465,1421,35285,38.16
10-Aug-2016,120.30,120.40,127.40,112.25,116.15,116.20,117.19,1108882,11571,143533,12.94
11-Aug-2016,116.20,116.40,117.05,113.00,113.85,113.75,114.72,139860,2398,55472,39.66
12-Aug-2016,113.75,114.40,115.50,113.00,113.45,113.50,114.13,86948,1323,43697,50.26
16-Aug-2016,113.50,113.55,115.80,112.05,113.50,113.35,113.76,105672,2283,39625,37.50
17-Aug-2016,113.35,113.35,114.60,113.05,113.90,113.50,113.66,59562,1042,28003,47.01
18-Aug-2016,113.50,114.75,115.45,113.25,114.45,114.20,114.33,82055,1410,39567,48.22
19-Aug-2016,114.20,114.85,116.35,114.35,114.90,114.95,115.24,88534,1142,33391,37.72
22-Aug-2016,114.95,115.50,116.70,114.30,114.50,114.65,115.18,101595,1541,51454,50.65
23-Aug-2016,114.65,114.50,114.90,111.50,113.40,113.40,113.49,81833,1068,43767,53.48
24-Aug-2016,113.40,113.50,115.35,112.60,114.40,114.25,114.21,81723,1187,35100,42.95
25-Aug-2016,114.25,113.90,115.70,113.75,115.45,115.10,115.06,126952,1397,87430,68.87
26-Aug-2016,115.10,115.20,117.10,113.50,113.50,113.85,115.02,90092,1291,42800,47.51
29-Aug-2016,113.85,113.85,114.25,112.50,114.25,113.95,113.46,93677,1346,44391,47.39
30-Aug-2016,113.95,114.70,117.25,114.00,114.75,114.90,115.57,140451,2005,53987,38.44
31-Aug-2016,114.90,115.55,117.25,114.60,116.30,116.05,115.98,115225,1533,50334,43.68
01-Sep-2016,116.05,115.95,116.55,113.25,113.70,113.75,114.87,132698,1664,67703,51.02
