DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,749.75,752.00,759.00,725.10,727.05,728.25,739.19,729262,20658,351264,48.17
03-Aug-2016,728.25,726.00,735.00,719.00,725.05,725.10,727.03,829504,21449,447606,53.96
04-Aug-2016,725.10,723.60,731.30,716.00,724.95,724.45,722.99,891427,16548,325829,36.55
05-Aug-2016,724.45,721.40,824.40,719.10,821.40,814.30,785.14,9820299,171910,2295040,23.37
08-Aug-2016,814.30,815.10,845.00,791.80,822.05,825.65,823.00,4323506,90477,708765,16.39
09-Aug-2016,825.65,816.30,830.90,808.50,820.55,822.95,821.18,1184923,30192,246665,20.82
10-Aug-2016,822.95,824.00,846.00,810.50,823.25,822.25,829.03,1669932,36700,392004,23.47
11-Aug-2016,822.25,825.00,829.85,803.05,804.70,810.25,819.40,868778,20585,323262,37.21
12-Aug-2016,810.25,812.00,826.50,805.35,823.90,823.85,821.18,1041230,26751,399740,38.39
16-Aug-2016,823.85,824.80,842.80,810.65,840.65,840.25,830.76,1348838,34871,407829,30.24
17-Aug-2016,840.25,844.30,852.50,836.05,844.05,847.60,846.22,1282448,34493,323336,25.21
18-Aug-2016,847.60,848.55,852.85,836.50,839.75,840.15,843.07,507278,15712,148426,29.26
19-Aug-2016,840.15,841.10,855.00,837.30,840.05,839.55,845.92,774092,16637,161876,20.91
22-Aug-2016,839.55,845.70,847.90,830.00,830.05,833.70,837.46,412592,10490,99076,24.01
23-Aug-2016,833.70,835.00,872.20,827.50,869.30,861.50,849.95,1233083,27624,341872,27.72
24-Aug-2016,861.50,870.00,872.25,853.55,856.25,855.90,862.01,848483,19799,272808,32.15
25-Aug-2016,855.90,859.00,872.00,850.00,851.00,851.70,855.39,2047074,28828,1042747,50.94
26-Aug-2016,851.70,853.50,862.60,847.40,856.00,857.35,856.08,541538,13427,181213,33.46
29-Aug-2016,857.35,857.00,859.85,850.00,853.25,854.35,855.05,408888,11685,159443,38.99
30-Aug-2016,854.35,855.35,870.40,855.35,859.95,859.85,863.54,586554,15425,192132,32.76
31-Aug-2016,859.85,861.00,869.45,846.70,850.60,850.30,858.69,914199,26900,438250,47.94
01-Sep-2016,850.30,851.80,868.00,841.25,864.00,857.60,855.81,707598,15138,288592,40.78
02-Sep-2016,857.60,859.00,883.00,859.00,871.00,873.15,875.89,1655264,34634,506550,30.60
06-Sep-2016,873.15,875.00,877.35,863.00,870.00,871.65,869.19,582486,14861,267141,45.86
07-Sep-2016,871.65,891.00,907.85,878.15,890.00,888.00,893.17,2309066,45855,749057,32.44
08-Sep-2016,888.00,894.00,896.00,871.90,878.60,878.70,885.55,758403,16139,346076,45.63
09-Sep-2016,878.70,880.20,880.25,858.05,863.50,861.75,868.03,538099,25424,180907,33.62
12-Sep-2016,861.75,849.00,859.00,827.10,849.00,846.20,845.66,838308,16949,334138,39.86
14-Sep-2016,846.20,846.20,865.00,846.00,858.70,860.95,858.48,465381,16420,115581,24.84
15-Sep-2016,860.95,864.40,876.00,855.90,873.00,869.90,867.99,569261,14083,133873,23.52
16-Sep-2016,869.90,878.70,884.00,865.50,875.90,875.35,876.54,794447,20194,317919,40.02
19-Sep-2016,875.35,875.90,907.20,874.60,903.65,904.15,893.19,1156752,33991,410447,35.48
20-Sep-2016,904.15,909.85,909.85,887.10,893.70,892.55,894.90,730448,20057,205433,28.12
21-Sep-2016,892.55,890.00,906.80,890.00,900.00,901.05,901.14,765285,17563,346819,45.32
22-Sep-2016,901.05,914.90,927.25,899.10,925.00,924.85,914.69,995352,22880,343972,34.56
23-Sep-2016,924.85,928.65,969.20,924.30,942.00,943.15,952.12,1820346,46518,343459,18.87
26-Sep-2016,943.15,939.65,960.90,933.50,940.00,938.70,946.66,1044559,24273,349147,33.43
27-Sep-2016,938.70,943.45,957.40,942.05,951.90,947.40,949.91,789101,25827,282421,35.79
28-Sep-2016,947.40,954.85,959.30,939.05,941.30,943.45,945.81,844061,23025,451140,53.45
29-Sep-2016,943.45,938.00,944.10,855.60,904.90,898.40,905.37,2291218,35755,652598,28.48
30-Sep-2016,898.40,898.00,924.80,890.25,911.05,910.80,912.52,851916,16611,274892,32.27
03-Oct-2016,910.80,923.00,944.00,912.20,941.10,940.55,929.69,772262,20249,217978,28.23
04-Oct-2016,940.55,944.65,948.10,921.00,922.50,924.40,930.19,770794,17212,292444,37.94
05-Oct-2016,924.40,917.80,936.65,881.00,922.95,925.05,917.88,1252289,28991,314081,25.08
06-Oct-2016,925.05,926.00,944.00,914.00,935.00,930.85,929.42,882691,17767,212108,24.03
07-Oct-2016,930.85,951.85,959.50,938.15,957.00,956.50,949.57,1213929,26904,280795,23.13
10-Oct-2016,956.50,966.00,978.00,932.35,940.20,936.85,956.75,1328453,34867,339162,25.53
13-Oct-2016,936.85,933.90,936.80,903.25,912.95,913.85,918.62,902204,21834,283549,31.43
14-Oct-2016,913.85,921.95,925.50,913.05,916.00,916.20,918.20,371219,8998,107816,29.04
17-Oct-2016,916.20,922.25,922.25,884.10,887.95,889.70,900.33,496503,15108,141168,28.43
18-Oct-2016,889.70,895.00,912.00,885.00,910.65,905.25,896.35,639361,14777,171427,26.81
19-Oct-2016,905.25,914.50,917.95,895.50,901.00,901.40,907.77,523617,12188,132861,25.37
20-Oct-2016,901.40,904.00,907.00,891.20,893.15,894.05,896.92,325735,9827,111850,34.34
21-Oct-2016,894.05,894.00,899.00,882.70,889.00,889.65,888.54,556154,14612,254659,45.79
24-Oct-2016,889.65,897.80,898.50,883.55,885.60,886.75,889.25,407404,7531,157323,38.62
25-Oct-2016,886.75,887.75,888.80,871.65,877.05,876.30,876.95,439198,13689,143617,32.70
26-Oct-2016,876.30,878.00,887.70,868.25,873.90,871.85,877.80,550314,14369,191739,34.84
27-Oct-2016,871.85,872.10,878.05,853.00,859.90,856.40,862.95,689730,10191,258519,37.48
28-Oct-2016,856.40,859.90,888.70,858.00,887.00,884.90,875.50,622388,14627,247641,39.79
30-Oct-2016,884.90,887.00,889.45,881.00,882.00,884.20,885.01,59632,1813,26179,43.90
01-Nov-2016,884.20,885.90,886.00,864.25,867.50,866.70,874.68,316703,11950,121194,38.27
02-Nov-2016,866.70,859.95,869.90,850.00,854.00,853.55,857.69,493871,15877,200088,40.51
03-Nov-2016,853.55,853.60,868.85,848.05,850.10,850.10,858.48,433102,12718,162036,37.41
04-Nov-2016,850.10,845.00,852.20,826.50,831.20,833.95,838.63,545272,16314,126627,23.22
07-Nov-2016,833.95,838.00,873.80,837.70,855.65,858.65,861.29,613289,15973,172718,28.16
08-Nov-2016,858.65,863.80,878.50,841.50,842.00,849.60,856.38,2574461,56857,217436,8.45
09-Nov-2016,849.60,789.90,892.40,764.65,877.00,877.70,838.54,1686321,31650,672623,39.89
10-Nov-2016,877.70,888.50,904.00,876.00,877.60,880.85,892.20,689354,19036,196564,28.51
11-Nov-2016,880.85,870.00,896.40,856.80,866.00,862.85,877.12,701502,21981,243399,34.70
15-Nov-2016,862.85,862.85,902.25,844.00,892.15,892.50,882.06,1409789,37068,457884,32.48
16-Nov-2016,892.50,904.00,924.00,893.00,896.85,901.50,908.06,1372200,36040,550748,40.14
17-Nov-2016,901.50,904.00,915.95,893.10,903.00,899.75,906.80,487633,13971,122371,25.09
18-Nov-2016,899.75,903.00,923.40,900.00,905.00,906.85,912.57,810817,28664,168149,20.74
21-Nov-2016,906.85,908.80,913.70,855.65,856.20,858.00,875.69,506146,12568,95768,18.92
22-Nov-2016,858.00,858.10,881.00,845.05,881.00,876.45,863.84,643364,15889,103269,16.05
23-Nov-2016,876.45,876.45,903.60,871.25,903.00,897.90,886.88,404572,11524,70228,17.36
24-Nov-2016,897.90,896.95,919.00,887.50,914.90,913.75,909.38,1112713,18760,586747,52.73
25-Nov-2016,913.75,921.95,932.00,905.50,905.55,909.85,919.71,992442,32232,358733,36.15
28-Nov-2016,909.85,906.00,924.00,895.55,907.70,908.80,913.57,555197,11183,271186,48.85
29-Nov-2016,908.80,906.00,918.35,896.40,902.90,901.35,908.82,541009,19804,290861,53.76
30-Nov-2016,901.35,892.80,911.00,878.80,901.00,903.50,888.66,4521416,48878,2500062,55.29
01-Dec-2016,903.50,908.00,911.00,895.50,899.95,897.80,903.23,420264,16443,143217,34.08
02-Dec-2016,897.80,880.00,906.75,869.20,871.25,872.95,889.93,790966,17933,381580,48.24
05-Dec-2016,872.95,865.00,877.45,860.40,875.00,873.30,869.09,363333,11414,102122,28.11
06-Dec-2016,873.30,895.15,907.90,891.50,898.40,896.80,899.21,907142,30432,196098,21.62
07-Dec-2016,896.80,903.00,925.90,898.55,925.00,915.25,911.49,1212287,39517,589796,48.65
08-Dec-2016,915.25,930.00,970.70,926.40,968.70,963.50,952.99,2168378,59126,807051,37.22
09-Dec-2016,963.50,967.00,971.90,948.20,962.00,960.60,958.76,820060,21148,255968,31.21
12-Dec-2016,960.60,963.00,973.05,949.00,965.00,968.10,964.20,907041,28202,350635,38.66
13-Dec-2016,968.10,960.00,1003.95,952.55,1000.00,999.05,989.18,2258821,55011,580325,25.69
14-Dec-2016,999.05,1005.00,1008.45,971.00,975.00,974.25,986.37,986598,34854,162349,16.46
15-Dec-2016,974.25,967.00,994.50,964.55,976.45,975.40,981.65,813483,29438,244188,30.02
16-Dec-2016,975.40,983.00,990.25,966.65,969.10,969.75,975.16,722347,21555,195569,27.07
19-Dec-2016,969.75,974.00,978.65,956.00,967.00,967.25,966.05,862968,26901,330545,38.30
20-Dec-2016,967.25,972.00,972.00,942.75,948.00,949.90,954.17,820097,19533,390901,47.67
