DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,42.95,42.95,42.95,41.05,41.25,41.20,41.97,164785,1132,109761,66.61
03-Aug-2016,41.20,42.70,43.40,42.00,42.15,42.20,42.59,526817,3534,114645,21.76
04-Aug-2016,42.20,43.15,43.15,41.55,42.30,42.20,42.09,175910,1253,71858,40.85
05-Aug-2016,42.20,43.00,43.10,42.05,42.05,42.25,42.56,198864,1385,75418,37.92
08-Aug-2016,42.25,42.45,42.70,41.80,42.30,42.10,42.21,125672,808,61929,49.28
09-Aug-2016,42.10,42.00,42.40,41.60,41.75,41.70,41.90,79202,567,46998,59.34
10-Aug-2016,41.70,41.50,42.35,41.05,41.50,41.50,41.68,104830,570,58053,55.38
11-Aug-2016,41.50,41.50,42.00,40.50,41.10,41.15,41.28,103597,698,48228,46.55
12-Aug-2016,41.15,41.65,41.75,40.35,40.50,40.60,40.92,129246,935,67306,52.08
16-Aug-2016,40.60,40.90,40.90,39.90,40.15,40.10,40.22,86225,555,48808,56.61
17-Aug-2016,40.10,40.10,41.25,39.60,40.30,40.35,40.45,119801,864,51393,42.90
18-Aug-2016,40.35,41.85,43.50,41.50,42.30,41.95,42.41,744120,4548,175313,23.56
19-Aug-2016,41.95,42.20,44.60,41.35,43.45,43.55,43.16,575726,2915,275666,47.88
22-Aug-2016,43.55,43.80,43.80,41.90,42.25,42.15,42.60,326239,1871,145313,44.54
23-Aug-2016,42.15,42.10,42.90,41.65,41.80,41.85,42.16,161664,872,72808,45.04
24-Aug-2016,41.85,42.05,42.60,41.70,41.70,41.85,42.04,112592,702,55445,49.24
25-Aug-2016,41.85,42.10,42.50,41.25,41.60,41.45,41.82,98126,588,59040,60.17
26-Aug-2016,41.45,42.75,42.95,41.55,41.60,41.70,42.04,179926,1281,55831,31.03
29-Aug-2016,41.70,41.95,41.95,41.05,41.40,41.40,41.38,73695,542,30341,41.17
30-Aug-2016,41.40,41.40,42.35,41.20,41.50,41.40,41.53,140942,975,57584,40.86
31-Aug-2016,41.40,41.10,41.90,41.10,41.50,41.45,41.61,72830,1063,34550,47.44
01-Sep-2016,41.45,41.10,41.85,40.15,40.35,40.45,40.99,141357,893,67941,48.06
02-Sep-2016,40.45,40.45,43.70,40.20,42.10,42.00,42.38,896319,5240,184063,20.54
06-Sep-2016,42.00,41.20,44.00,41.10,41.75,41.80,42.62,551381,2381,137499,24.94
07-Sep-2016,41.80,41.80,42.35,41.70,41.95,41.90,42.02,158872,834,72403,45.57
08-Sep-2016,41.90,41.90,43.60,41.70,42.75,42.65,42.84,471709,2417,180547,38.28
09-Sep-2016,42.65,43.00,43.10,41.95,42.30,42.20,42.38,174957,1234,82733,47.29
12-Sep-2016,42.20,42.90,43.80,41.40,41.55,41.75,42.51,554172,2944,184417,33.28
14-Sep-2016,41.75,42.25,42.35,41.15,41.20,41.55,41.79,150624,1011,82035,54.46
15-Sep-2016,41.55,41.80,42.50,41.30,41.65,42.00,41.82,179725,868,56984,31.71
16-Sep-2016,42.00,42.25,42.45,41.15,41.55,41.75,41.70,224225,1189,112484,50.17
19-Sep-2016,41.75,41.95,42.15,41.20,41.40,41.50,41.60,103040,686,62463,60.62
20-Sep-2016,41.50,41.25,42.35,40.80,41.10,41.30,41.42,193642,1169,75521,39.00
21-Sep-2016,41.30,41.50,42.35,41.25,41.90,41.85,41.87,161401,885,106083,65.73
22-Sep-2016,41.85,42.35,42.50,41.55,41.55,41.75,41.96,88699,452,63375,71.45
23-Sep-2016,41.75,41.60,41.95,41.30,41.50,41.45,41.72,73481,427,49272,67.05
26-Sep-2016,41.45,41.40,41.95,40.95,41.05,41.05,41.47,123523,626,57820,46.81
