DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,558.65,556.45,570.00,541.00,555.00,550.40,559.72,73564,1437,56419,76.69
03-Aug-2016,550.40,551.90,560.00,542.00,550.00,549.20,549.52,28784,967,19759,68.65
04-Aug-2016,549.20,552.80,560.00,547.40,550.25,551.75,554.67,22900,814,14640,63.93
05-Aug-2016,551.75,557.35,596.00,551.15,578.00,579.45,582.26,186573,3994,112999,60.57
08-Aug-2016,579.45,587.70,609.00,581.40,608.70,599.55,593.68,240354,3866,153273,63.77
09-Aug-2016,599.55,608.00,618.00,588.00,601.00,602.05,606.29,210188,4552,94810,45.11
10-Aug-2016,602.05,602.05,653.80,592.50,602.00,600.85,623.63,1047583,21314,279624,26.69
11-Aug-2016,600.85,607.00,627.70,601.50,625.90,625.55,619.28,251097,6669,120958,48.17
12-Aug-2016,625.55,627.70,640.00,618.30,632.00,635.90,630.74,165494,3451,104171,62.95
16-Aug-2016,635.90,640.00,642.90,628.00,628.10,634.30,635.38,118335,1717,97660,82.53
17-Aug-2016,634.30,617.00,666.60,617.00,652.10,653.50,653.37,202295,5508,61693,30.50
18-Aug-2016,653.50,653.05,680.00,653.05,678.00,676.65,670.29,153814,4514,79305,51.56
19-Aug-2016,676.65,680.00,684.00,668.95,675.95,673.10,678.51,94011,2365,61176,65.07
22-Aug-2016,673.10,679.00,696.80,676.05,683.00,681.40,688.20,92718,3028,53877,58.11
23-Aug-2016,681.40,683.00,688.75,654.35,658.00,660.80,665.18,93723,2945,55669,59.40
24-Aug-2016,660.80,660.50,668.00,651.00,656.00,655.45,658.99,37466,1349,24698,65.92
25-Aug-2016,655.45,660.60,664.00,650.10,650.30,656.95,657.18,381689,2292,353989,92.74
26-Aug-2016,656.95,657.00,662.70,646.25,648.00,651.85,657.57,125437,2685,51297,40.89
29-Aug-2016,651.85,654.50,668.00,650.50,660.00,661.25,662.17,132528,5986,64721,48.84
30-Aug-2016,661.25,663.90,670.00,652.50,657.90,655.60,662.46,82962,1396,65510,78.96
31-Aug-2016,655.60,661.90,664.60,653.20,654.95,655.60,658.04,37331,1054,28846,77.27
01-Sep-2016,655.60,655.00,665.95,651.00,652.00,652.05,655.66,40949,1259,23265,56.81
02-Sep-2016,652.05,658.55,665.00,650.10,653.10,654.70,657.33,27266,986,19690,72.21
06-Sep-2016,654.70,655.10,664.25,655.10,655.10,658.65,661.34,45973,1134,35296,76.78
07-Sep-2016,658.65,658.90,661.65,648.00,650.00,649.25,651.51,85217,2019,73341,86.06
08-Sep-2016,649.25,641.00,653.50,636.25,643.00,644.35,644.97,66060,1611,48559,73.51
09-Sep-2016,644.35,653.00,653.00,636.00,636.85,638.10,644.91,47388,1156,38267,80.75
12-Sep-2016,638.10,635.00,635.00,615.10,633.00,628.45,625.67,33819,1285,23162,68.49
14-Sep-2016,628.45,616.00,651.00,612.25,648.00,649.20,639.62,42669,1807,24405,57.20
15-Sep-2016,649.20,626.10,651.60,626.10,639.00,640.80,643.20,24292,1090,17749,73.07
16-Sep-2016,640.80,641.00,652.00,634.00,639.00,639.40,646.97,35636,872,25521,71.62
19-Sep-2016,639.40,648.90,661.30,639.05,660.00,655.20,651.34,166372,4040,145907,87.70
20-Sep-2016,655.20,655.20,663.95,643.00,650.00,650.55,655.38,64342,3040,49305,76.63
21-Sep-2016,650.55,650.00,666.00,650.00,663.00,660.60,659.39,72595,1664,54313,74.82
22-Sep-2016,660.60,668.95,668.95,647.20,665.00,664.45,660.84,140533,3616,116071,82.59
23-Sep-2016,664.45,667.35,684.75,664.10,679.00,679.70,673.32,189131,4009,153686,81.26
26-Sep-2016,679.70,681.00,692.00,674.25,690.00,689.85,688.04,119154,3211,87944,73.81
27-Sep-2016,689.85,687.00,708.00,687.00,701.90,702.75,701.05,133973,4790,76848,57.36
28-Sep-2016,702.75,692.00,724.80,692.00,723.80,721.05,717.68,108657,4116,65734,60.50
29-Sep-2016,721.05,729.00,738.00,666.50,720.00,716.85,706.58,173631,6569,114750,66.09
30-Sep-2016,716.85,701.40,723.00,690.10,702.00,703.15,702.01,82393,9330,52882,64.18
03-Oct-2016,703.15,712.70,731.90,706.10,717.10,720.25,723.82,345491,5013,304237,88.06
04-Oct-2016,720.25,721.00,735.45,716.10,719.00,720.85,725.80,36976,1546,19260,52.09
05-Oct-2016,720.85,726.00,729.50,708.00,718.00,720.20,718.83,32514,1551,17966,55.26
06-Oct-2016,720.20,725.00,729.00,716.45,725.00,727.20,724.89,53145,2315,35521,66.84
07-Oct-2016,727.20,722.25,750.80,715.65,745.00,739.35,734.30,134043,3449,100325,74.85
10-Oct-2016,739.35,749.90,752.45,741.00,746.00,746.65,747.22,53118,1992,34504,64.96
13-Oct-2016,746.65,752.00,755.00,732.50,750.00,748.00,748.92,284818,5473,251954,88.46
14-Oct-2016,748.00,749.00,755.80,738.90,744.00,744.15,744.45,27801,938,19809,71.25
17-Oct-2016,744.15,746.05,752.00,735.10,736.00,740.45,748.88,250763,1144,242896,96.86
18-Oct-2016,740.45,740.00,750.85,740.00,748.30,746.95,746.37,145719,942,116926,80.24
19-Oct-2016,746.95,754.50,754.50,742.30,748.00,747.35,747.65,26014,753,19976,76.79
20-Oct-2016,747.35,750.70,753.50,735.00,739.00,741.45,745.53,35166,1182,26058,74.10
21-Oct-2016,741.45,740.00,747.50,725.50,729.00,728.65,736.88,51209,1027,40635,79.35
24-Oct-2016,728.65,739.00,747.90,724.40,747.00,746.30,740.10,131346,7597,111646,85.00
25-Oct-2016,746.30,750.00,752.00,731.90,742.00,744.60,741.39,74942,1863,62089,82.85
26-Oct-2016,744.60,737.00,749.50,736.40,740.05,743.95,744.80,71344,1328,61981,86.88
27-Oct-2016,743.95,742.05,753.00,739.30,752.00,751.05,747.76,42731,1580,31017,72.59
28-Oct-2016,751.05,749.00,780.55,745.00,779.00,776.50,771.70,149194,5423,81169,54.41
30-Oct-2016,776.50,782.00,797.70,782.00,794.00,793.90,791.41,34214,1131,24865,72.67
01-Nov-2016,793.90,795.10,803.95,780.00,790.50,787.45,795.66,47994,2363,32598,67.92
02-Nov-2016,787.45,790.00,795.50,778.60,788.50,789.10,789.09,273737,2341,257287,93.99
03-Nov-2016,789.10,795.95,802.35,770.00,776.50,778.15,793.67,109446,1824,94514,86.36
04-Nov-2016,778.15,781.00,783.00,735.00,764.00,768.10,763.60,67047,2900,45089,67.25
07-Nov-2016,768.10,768.00,789.50,768.00,774.00,776.10,781.05,43649,2218,20465,46.89
08-Nov-2016,776.10,789.00,789.00,761.70,780.00,779.15,775.48,23251,1126,16525,71.07
09-Nov-2016,779.15,700.00,776.95,698.55,765.00,766.40,736.78,132787,2938,91251,68.72
10-Nov-2016,766.40,772.20,782.00,747.45,749.00,758.25,765.24,35070,1211,28844,82.25
11-Nov-2016,758.25,750.00,772.25,720.10,761.00,759.65,744.89,88492,2133,62069,70.14
15-Nov-2016,759.65,760.00,760.00,678.00,713.00,713.95,708.58,97351,2783,69667,71.56
16-Nov-2016,713.95,719.50,719.50,675.00,681.75,685.15,694.40,25277,1772,12724,50.34
17-Nov-2016,685.15,680.00,686.90,650.10,673.05,674.15,668.88,45608,1915,30634,67.17
18-Nov-2016,674.15,679.40,679.40,648.85,679.00,674.30,666.15,66740,1382,55748,83.53
21-Nov-2016,674.30,675.00,698.80,629.95,676.00,652.55,649.21,66102,4153,45195,68.37
22-Nov-2016,652.55,684.90,684.90,647.10,655.00,658.70,659.24,141618,6813,22204,15.68
23-Nov-2016,658.70,671.40,677.00,663.95,667.00,667.05,667.94,69822,1889,51371,73.57
24-Nov-2016,667.05,659.00,666.65,654.00,662.00,661.00,660.45,34506,870,29361,85.09
25-Nov-2016,661.00,665.00,676.50,662.45,675.00,675.15,673.81,30775,1062,22673,73.67
28-Nov-2016,675.15,662.25,695.00,652.10,658.00,662.80,679.54,49433,2562,27695,56.03
29-Nov-2016,662.80,673.65,679.50,658.00,660.50,665.65,670.98,38314,3689,24896,64.98
30-Nov-2016,665.65,677.80,677.80,660.65,666.00,667.55,669.05,41328,1231,30380,73.51
01-Dec-2016,667.55,668.70,679.00,655.70,668.95,665.30,669.38,29946,1690,16620,55.50
02-Dec-2016,665.30,664.95,685.00,649.45,685.00,664.10,660.19,26329,1373,17100,64.95
05-Dec-2016,664.10,673.80,673.80,650.00,650.00,656.80,658.52,24141,1762,13613,56.39
06-Dec-2016,656.80,657.00,662.00,635.10,661.00,651.20,648.99,35657,2405,19768,55.44
07-Dec-2016,651.20,658.55,662.05,652.00,653.20,656.45,658.16,7406,335,4945,66.77
08-Dec-2016,656.45,657.75,662.50,643.10,643.10,652.05,655.36,20301,936,14506,71.45
09-Dec-2016,652.05,642.40,653.05,636.00,636.50,640.45,646.19,19416,733,14014,72.18
12-Dec-2016,640.45,640.00,644.00,635.05,638.00,637.15,640.37,9955,355,7708,77.43
13-Dec-2016,637.15,647.00,647.00,608.80,616.00,615.60,617.15,43589,2498,31912,73.21
14-Dec-2016,615.60,610.10,630.05,610.10,625.30,628.65,624.82,15985,800,11096,69.42
15-Dec-2016,628.65,628.65,630.60,610.00,615.70,620.85,619.71,23924,1229,15621,65.29
16-Dec-2016,620.85,628.50,628.50,610.80,613.30,621.30,619.78,20933,2478,12680,60.57
19-Dec-2016,621.30,627.95,628.00,608.00,618.00,625.50,620.93,21883,1644,15010,68.59
20-Dec-2016,625.50,615.25,624.80,610.05,610.05,614.20,615.46,13435,2339,6509,48.45
21-Dec-2016,614.20,614.40,627.00,611.10,627.00,623.95,621.89,25068,1424,19104,76.21
22-Dec-2016,623.95,623.00,633.00,613.10,633.00,627.40,622.68,23782,1863,15544,65.36
23-Dec-2016,627.40,628.55,644.85,612.20,636.20,641.10,629.18,47815,2791,35357,73.95
26-Dec-2016,641.10,629.95,639.00,617.00,624.00,629.40,628.39,27352,753,21419,78.31
27-Dec-2016,629.40,630.00,636.95,619.00,627.00,628.35,627.58,14650,1039,6613,45.14
28-Dec-2016,628.35,628.00,638.80,614.70,614.70,620.30,623.51,20775,1038,13756,66.21
29-Dec-2016,620.30,622.00,639.85,613.00,624.00,622.25,624.83,21467,1369,8907,41.49
30-Dec-2016,622.25,620.00,648.85,620.00,627.30,630.60,636.45,53034,1715,42047,79.28
02-Jan-2017,630.60,631.85,677.65,630.10,662.20,670.35,653.54,38634,2045,24255,62.78
03-Jan-2017,670.35,661.05,677.40,660.10,665.80,667.35,669.83,23173,1172,15228,65.71
04-Jan-2017,667.35,666.00,678.40,662.10,678.40,675.35,673.21,35489,1101,28392,80.00
05-Jan-2017,675.35,668.00,684.40,665.10,673.00,681.30,677.10,21054,2554,15346,72.89
06-Jan-2017,681.30,680.00,703.80,676.00,702.00,700.50,694.21,58463,2313,39366,67.33
09-Jan-2017,700.50,702.90,707.15,692.10,695.00,696.70,697.68,27906,3184,20767,74.42
10-Jan-2017,696.70,694.10,704.05,694.10,704.00,700.35,700.47,40467,1698,36325,89.76
11-Jan-2017,700.35,700.00,715.00,697.15,707.00,705.35,704.69,27379,2520,20481,74.81
12-Jan-2017,705.35,706.95,709.00,698.00,698.00,700.60,703.79,26307,1195,20045,76.20
13-Jan-2017,700.60,698.10,705.00,676.25,677.50,681.55,686.03,16936,1961,8864,52.34
16-Jan-2017,681.55,678.15,700.00,673.25,685.50,694.10,688.25,17906,1983,11882,66.36
17-Jan-2017,694.10,694.95,700.00,692.85,694.30,695.15,696.14,19391,2217,16906,87.18
18-Jan-2017,695.15,695.00,704.00,694.70,698.00,695.35,699.09,22809,2118,18079,79.26
19-Jan-2017,695.35,695.35,702.00,695.00,696.20,700.25,700.03,31849,1304,28303,88.87
20-Jan-2017,700.25,695.10,706.00,690.05,701.00,702.10,699.84,50200,2005,43015,85.69
23-Jan-2017,702.10,704.95,715.00,677.10,708.05,706.05,699.54,94363,3709,49194,52.13
24-Jan-2017,706.05,715.00,722.50,698.50,715.90,719.10,712.34,62483,3855,51725,82.78
