DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,594.60,596.55,599.70,577.15,580.00,579.35,587.56,2678667,55511,1429121,53.35
03-Aug-2016,579.35,580.00,583.05,567.75,574.65,572.90,575.69,2845673,49890,1750070,61.50
04-Aug-2016,572.90,574.25,578.10,558.00,572.50,569.30,564.58,2484156,52550,1358828,54.70
05-Aug-2016,569.30,575.80,587.80,573.55,587.30,586.55,580.68,2765680,59177,1526012,55.18
08-Aug-2016,586.55,593.10,617.70,589.00,604.50,606.75,606.70,8163556,150711,4852605,59.44
09-Aug-2016,606.75,608.95,613.75,592.40,597.10,595.65,601.84,4917268,87912,3120426,63.46
10-Aug-2016,595.65,597.55,604.50,578.40,586.50,583.55,586.70,4158402,100823,2303051,55.38
11-Aug-2016,583.55,589.00,600.00,581.00,596.25,596.85,590.29,4216107,84222,2226873,52.82
12-Aug-2016,596.85,589.20,594.50,574.95,579.65,579.95,585.23,3005776,104349,1675931,55.76
16-Aug-2016,579.95,580.00,602.50,578.20,596.00,596.40,594.73,3269381,86269,1603410,49.04
17-Aug-2016,596.40,596.00,598.80,583.55,587.00,587.35,590.54,1957059,87710,894840,45.72
18-Aug-2016,587.35,588.10,596.90,585.00,587.20,587.10,589.23,2535376,78380,1154690,45.54
19-Aug-2016,587.10,589.00,595.10,581.30,593.25,593.20,589.17,2603708,65935,1276501,49.03
22-Aug-2016,593.20,595.00,605.40,593.75,595.80,597.50,600.88,3289487,59632,1443274,43.88
23-Aug-2016,597.50,601.00,602.10,571.50,576.00,576.10,581.76,3760023,81579,1987731,52.86
24-Aug-2016,576.10,580.00,585.90,575.05,581.25,581.75,581.89,3660572,63910,1967020,53.74
25-Aug-2016,581.75,587.00,600.00,581.10,595.60,598.25,591.84,5646779,86121,3129626,55.42
26-Aug-2016,598.25,597.90,601.95,593.10,594.70,595.75,598.52,3074469,68936,1772682,57.66
29-Aug-2016,595.75,596.95,601.80,593.90,597.50,598.80,598.23,2451442,58655,1490843,60.81
30-Aug-2016,598.80,602.80,611.35,601.50,607.50,608.25,608.40,2978395,80951,1612140,54.13
31-Aug-2016,608.25,609.00,609.95,597.60,601.05,602.60,603.53,9920847,138215,6643205,66.96
01-Sep-2016,602.60,600.30,606.95,583.50,588.45,586.80,591.13,3724608,89297,1771688,47.57
02-Sep-2016,586.80,590.00,591.00,581.30,586.05,586.75,585.99,2598224,76413,1514998,58.31
06-Sep-2016,586.75,592.50,599.90,588.75,598.55,598.60,595.94,2275751,96295,1412701,62.08
07-Sep-2016,598.60,599.90,599.95,587.05,590.00,589.80,591.28,1646553,57921,941727,57.19
