DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,189.85,190.00,190.00,183.15,183.15,183.85,187.68,11413,113,7939,69.56
03-Aug-2016,183.85,187.90,190.00,182.50,187.45,189.45,188.17,44319,418,33598,75.81
04-Aug-2016,189.45,189.95,190.00,183.00,183.20,184.40,185.21,9965,335,5528,55.47
05-Aug-2016,184.40,184.00,189.00,182.15,188.00,187.05,187.55,15820,244,10063,63.61
08-Aug-2016,187.05,185.50,186.00,183.15,183.50,185.80,185.54,19819,80,18518,93.44
09-Aug-2016,185.80,185.80,186.00,181.00,182.00,181.90,184.43,104622,179,65537,62.64
10-Aug-2016,181.90,184.45,184.45,178.25,179.95,179.70,182.79,159652,411,114279,71.58
11-Aug-2016,179.70,178.20,179.95,175.65,177.00,178.15,178.23,2067,51,1759,85.10
12-Aug-2016,178.15,180.05,180.05,173.10,174.30,175.20,176.20,6129,123,3601,58.75
16-Aug-2016,175.20,174.00,176.00,172.25,176.00,175.40,174.66,25151,74,18956,75.37
17-Aug-2016,175.40,172.50,174.00,170.35,170.60,171.90,172.30,8706,64,8336,95.75
18-Aug-2016,171.90,172.15,175.00,170.20,175.00,173.55,172.73,3834,102,2640,68.86
19-Aug-2016,173.55,174.00,180.00,170.50,170.55,170.80,173.06,22667,179,12474,55.03
22-Aug-2016,170.80,171.00,173.95,168.10,168.10,168.85,170.40,5030,69,2757,54.81
23-Aug-2016,168.85,168.75,169.00,167.15,167.15,167.25,168.26,450,15,397,88.22
24-Aug-2016,167.25,167.50,170.00,166.25,167.55,167.50,167.72,10320,49,6181,59.89
25-Aug-2016,167.50,167.50,171.80,166.25,171.00,169.15,169.10,28950,314,14700,50.78
26-Aug-2016,169.15,169.50,173.00,165.20,165.20,166.00,166.50,12260,84,7025,57.30
29-Aug-2016,166.00,170.95,170.95,161.00,166.00,165.25,164.78,2493,120,1389,55.72
30-Aug-2016,165.25,165.05,168.90,162.00,162.05,163.45,163.81,5015,104,4360,86.94
31-Aug-2016,163.45,162.15,165.55,162.15,162.75,163.25,163.54,3702,97,3030,81.85
01-Sep-2016,163.25,167.00,167.00,163.00,164.75,163.50,163.86,817,35,626,76.62
02-Sep-2016,163.50,163.45,163.95,161.20,162.00,162.80,162.74,4653,52,4028,86.57
06-Sep-2016,162.80,160.00,163.55,158.80,159.60,159.55,160.70,8729,161,6886,78.89
07-Sep-2016,159.55,160.15,160.80,155.05,157.00,157.20,158.73,45360,229,24995,55.10
08-Sep-2016,157.20,158.50,159.80,157.45,158.00,158.45,159.20,11839,112,7543,63.71
09-Sep-2016,158.45,155.40,158.70,155.10,158.00,157.60,156.80,68832,93,67968,98.74
12-Sep-2016,157.60,155.00,161.00,149.60,157.00,157.45,155.67,12555,324,8198,65.30
14-Sep-2016,157.45,155.05,162.20,154.05,159.00,159.80,160.00,41262,279,22238,53.89
15-Sep-2016,159.80,157.05,163.75,157.05,158.90,159.55,160.52,12457,175,4903,39.36
16-Sep-2016,159.55,159.55,169.00,159.55,163.15,163.85,163.31,23524,412,13793,58.63
19-Sep-2016,163.85,164.50,165.00,161.50,162.90,162.75,163.71,10182,303,6721,66.01
20-Sep-2016,162.75,162.55,164.90,162.05,162.10,162.70,162.71,53247,106,52486,98.57
21-Sep-2016,162.70,162.05,168.40,162.00,164.20,164.90,164.93,25489,246,9379,36.80
22-Sep-2016,164.90,164.85,166.50,160.95,161.50,162.00,163.65,14907,335,7493,50.26
23-Sep-2016,162.00,162.00,165.00,161.55,162.55,162.40,162.78,11504,154,6301,54.77
26-Sep-2016,162.40,161.05,162.90,157.50,158.30,158.10,160.82,3087,195,1170,37.90
27-Sep-2016,158.10,161.85,162.00,155.20,156.50,156.70,157.80,2309,102,1600,69.29
28-Sep-2016,156.70,156.50,159.40,155.10,159.00,158.50,157.91,27667,66,27489,99.36
29-Sep-2016,158.50,159.00,162.45,149.00,159.00,157.85,156.98,18705,332,7434,39.74
30-Sep-2016,157.85,155.10,168.00,155.10,162.00,166.25,165.18,50293,450,25876,51.45
03-Oct-2016,166.25,166.95,166.95,162.00,163.45,164.55,164.13,23654,369,12163,51.42
04-Oct-2016,164.55,164.00,164.00,161.50,163.40,163.15,163.27,11271,134,651,5.78
05-Oct-2016,163.15,163.00,167.60,161.65,161.95,162.20,164.21,8637,156,3692,42.75
06-Oct-2016,162.20,160.00,164.00,160.00,161.00,160.40,161.65,21778,80,18037,82.82
07-Oct-2016,160.40,161.10,163.75,160.00,160.00,160.90,162.02,5010,77,1029,20.54
10-Oct-2016,160.90,158.05,163.35,156.90,157.60,158.25,158.26,5345,175,3319,62.10
13-Oct-2016,158.25,159.95,159.95,154.30,155.10,155.05,155.57,3746,91,3238,86.44
14-Oct-2016,155.05,158.00,159.20,153.05,153.05,154.20,156.78,3076,104,1903,61.87
