DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,168.40,167.50,169.85,165.25,166.05,166.75,167.02,16337,417,11766,72.02
03-Aug-2016,166.75,166.00,168.70,164.25,164.60,164.90,165.50,13148,262,7840,59.63
04-Aug-2016,164.90,164.50,174.50,158.65,161.80,165.40,163.90,259300,4945,27556,10.63
05-Aug-2016,165.40,164.00,169.75,161.20,161.25,162.70,163.53,20503,707,11767,57.39
08-Aug-2016,162.70,162.40,165.00,160.15,163.30,163.70,162.48,33070,480,25655,77.58
09-Aug-2016,163.70,165.90,165.90,160.55,161.00,161.50,162.37,10630,318,6110,57.48
10-Aug-2016,161.50,161.50,161.50,159.10,159.60,159.85,160.19,15741,322,11281,71.67
11-Aug-2016,159.85,160.00,160.95,156.10,158.00,158.40,157.85,14788,472,9567,64.69
12-Aug-2016,158.40,158.50,161.00,157.15,158.00,158.35,158.53,15146,849,9969,65.82
16-Aug-2016,158.35,158.00,161.00,156.00,160.00,159.85,159.36,18686,1114,12566,67.25
17-Aug-2016,159.85,160.00,168.40,159.10,166.00,166.25,164.54,52308,1511,24947,47.69
18-Aug-2016,166.25,166.90,169.20,164.40,167.95,167.40,166.79,43222,528,32546,75.30
19-Aug-2016,167.40,168.10,173.75,166.10,171.00,171.65,170.07,60108,1174,44158,73.46
22-Aug-2016,171.65,172.35,175.50,170.00,175.00,174.95,173.83,62411,2774,50769,81.35
23-Aug-2016,174.95,175.00,177.45,171.15,171.40,171.95,176.80,305445,681,289075,94.64
24-Aug-2016,171.95,172.00,173.75,170.15,170.95,171.40,171.96,7435,314,3773,50.75
25-Aug-2016,171.40,172.00,172.50,168.10,170.00,170.40,170.41,28909,594,23744,82.13
26-Aug-2016,170.40,170.45,174.00,169.00,170.00,169.85,170.00,67364,504,61367,91.10
29-Aug-2016,169.85,170.00,172.00,170.00,171.50,170.30,170.27,9669,386,4959,51.29
30-Aug-2016,170.30,170.00,174.00,170.00,170.00,170.05,171.21,9829,309,7446,75.76
31-Aug-2016,170.05,170.00,175.00,170.00,170.00,170.35,171.23,21139,447,14551,68.83
01-Sep-2016,170.35,171.10,172.10,170.00,171.30,171.25,171.06,13198,405,10758,81.51
02-Sep-2016,171.25,170.00,172.90,170.00,171.00,171.05,170.72,7326,209,4980,67.98
06-Sep-2016,171.05,170.55,172.85,170.00,171.00,170.95,171.06,12742,620,9267,72.73
07-Sep-2016,170.95,170.40,174.00,170.05,171.00,171.00,171.06,24611,3030,20528,83.41
08-Sep-2016,171.00,171.65,181.80,171.00,177.00,177.95,177.95,140926,1923,77092,54.70
09-Sep-2016,177.95,179.70,179.70,173.20,174.35,174.25,175.66,19502,486,12684,65.04
12-Sep-2016,174.25,173.00,173.65,173.00,173.00,173.00,173.03,32194,372,30384,94.38
14-Sep-2016,173.00,173.00,177.00,173.00,173.10,174.70,175.11,31385,663,26290,83.77
