DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,243.55,245.70,254.40,244.00,254.20,253.00,250.78,5250249,36186,883748,16.83
03-Aug-2016,253.00,254.00,257.60,249.10,251.60,251.65,254.46,4337844,29444,453848,10.46
04-Aug-2016,251.65,254.90,259.90,250.85,258.35,257.20,255.37,5301910,37426,790571,14.91
05-Aug-2016,257.20,259.45,262.15,256.60,257.80,259.25,260.04,3101405,22963,494553,15.95
08-Aug-2016,259.25,260.90,260.95,252.90,257.65,257.90,258.04,3224290,21043,288090,8.93
09-Aug-2016,257.90,257.85,265.00,256.10,261.35,261.40,260.94,5264744,36778,621839,11.81
10-Aug-2016,261.40,261.50,264.25,249.00,250.35,250.05,254.57,4971163,31265,822841,16.55
11-Aug-2016,250.05,250.30,250.30,242.60,248.95,247.20,245.85,4294248,27488,575978,13.41
12-Aug-2016,247.20,248.90,260.45,246.45,255.10,255.80,254.33,5135028,35910,702045,13.67
16-Aug-2016,255.80,257.00,258.70,251.20,252.85,254.15,254.22,3011175,23395,534746,17.76
17-Aug-2016,254.15,255.65,262.00,253.50,259.35,260.05,258.53,3947869,28093,510758,12.94
18-Aug-2016,260.05,262.30,268.40,260.50,264.25,264.65,265.19,3759476,28412,738926,19.66
19-Aug-2016,264.65,265.00,268.10,261.75,266.60,266.30,265.56,3807307,23818,459552,12.07
22-Aug-2016,266.30,267.00,271.00,264.60,266.60,267.40,267.69,3705621,40919,707919,19.10
23-Aug-2016,267.40,267.55,268.35,261.60,265.90,265.45,265.00,2953266,23456,301621,10.21
24-Aug-2016,265.45,265.95,272.00,265.00,271.10,271.05,269.22,4100069,31085,867957,21.17
25-Aug-2016,271.05,271.10,274.90,269.15,269.50,270.55,272.31,4271628,32579,789431,18.48
26-Aug-2016,270.55,270.10,272.25,267.10,267.95,268.35,269.21,2468834,18984,238753,9.67
29-Aug-2016,268.35,267.90,274.90,267.00,274.45,273.60,271.03,2686310,19819,457278,17.02
30-Aug-2016,273.60,274.45,281.75,273.70,280.75,280.60,277.36,3787614,25631,677716,17.89
31-Aug-2016,280.60,281.00,284.05,279.50,279.80,280.55,282.00,3466916,26994,493854,14.24
01-Sep-2016,280.55,280.00,283.45,275.60,277.35,277.45,280.34,2780959,26003,332987,11.97
02-Sep-2016,277.45,278.80,282.40,277.20,282.35,281.55,279.82,1912227,12469,231786,12.12
06-Sep-2016,281.55,284.00,287.80,283.25,287.00,287.25,285.89,2433330,28627,356104,14.63
07-Sep-2016,287.25,288.00,314.50,286.50,306.55,306.70,304.65,11999403,98368,1186971,9.89
08-Sep-2016,306.70,308.00,315.75,305.05,310.45,309.85,311.01,5144950,45660,564789,10.98
09-Sep-2016,309.85,310.40,316.90,306.50,310.25,311.20,311.13,5448412,54098,450273,8.26
12-Sep-2016,311.20,301.50,307.70,295.50,296.75,297.00,301.68,5016455,63247,749345,14.94
14-Sep-2016,297.00,298.00,312.40,297.40,311.70,311.40,307.12,5650680,45262,844686,14.95
15-Sep-2016,311.40,311.65,313.75,302.70,304.10,304.50,306.69,4995883,34686,867566,17.37
