DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,750.10,754.90,758.60,721.55,731.95,729.20,739.92,278219,7827,156840,56.37
03-Aug-2016,729.20,731.40,733.00,670.00,675.00,683.20,695.50,590165,17699,253670,42.98
04-Aug-2016,683.20,690.00,722.00,672.00,685.00,682.45,696.71,738687,21954,266225,36.04
05-Aug-2016,682.45,696.00,720.00,692.35,716.00,714.30,710.72,403609,13674,166592,41.28
08-Aug-2016,714.30,720.75,756.00,714.70,727.00,722.15,732.40,481337,20320,197054,40.94
09-Aug-2016,722.15,728.55,732.00,712.25,720.00,718.70,720.25,216653,10809,91329,42.15
10-Aug-2016,718.70,722.00,725.40,693.25,695.00,697.65,706.58,200359,8342,89695,44.77
11-Aug-2016,697.65,703.60,703.60,667.65,674.00,674.60,681.86,217029,9467,121891,56.16
12-Aug-2016,674.60,677.00,689.95,663.00,680.50,678.40,678.29,196423,5865,91662,46.67
16-Aug-2016,678.40,683.70,715.00,678.05,697.20,695.50,699.68,248527,8868,102834,41.38
17-Aug-2016,695.50,700.30,719.95,696.15,713.80,711.85,709.86,191543,6061,65899,34.40
18-Aug-2016,711.85,719.75,722.80,710.25,717.20,719.40,716.40,149890,5172,81731,54.53
19-Aug-2016,719.40,719.40,749.00,714.50,730.00,731.30,733.64,327632,9427,117553,35.88
22-Aug-2016,731.30,730.00,743.00,720.05,725.00,725.20,729.47,148390,5042,66725,44.97
23-Aug-2016,725.20,725.00,729.40,714.05,717.80,718.75,720.22,75833,3134,29534,38.95
24-Aug-2016,718.75,719.00,727.00,716.95,722.55,721.00,721.75,68248,2426,31549,46.23
25-Aug-2016,721.00,727.60,728.00,704.00,708.50,709.95,710.18,158458,4559,86610,54.66
26-Aug-2016,709.95,710.05,716.00,689.00,689.05,691.15,698.18,165342,4911,99262,60.03
29-Aug-2016,691.15,690.00,708.00,679.90,688.00,684.25,689.72,166722,5842,96810,58.07
30-Aug-2016,684.25,686.60,704.75,686.60,692.00,691.20,696.24,163005,5023,90609,55.59
31-Aug-2016,691.20,690.00,705.00,690.00,703.00,699.90,700.78,138403,5324,56671,40.95
01-Sep-2016,699.90,705.50,711.00,700.00,708.25,706.70,706.64,170693,6418,79638,46.66
02-Sep-2016,706.70,711.00,715.00,702.30,706.00,706.25,710.17,146750,4875,39697,27.05
06-Sep-2016,706.25,709.95,716.00,706.00,707.00,709.30,710.85,101086,3586,46271,45.77
07-Sep-2016,709.30,714.00,714.00,683.00,692.85,691.45,694.92,160582,6662,85677,53.35
08-Sep-2016,691.45,691.95,704.90,689.00,695.80,694.40,696.61,99427,5029,35474,35.68
09-Sep-2016,694.40,698.10,698.60,685.65,688.00,689.05,690.04,63787,3046,35415,55.52
12-Sep-2016,689.05,679.95,686.40,625.15,664.90,664.90,673.15,181138,5058,113498,62.66
14-Sep-2016,664.90,665.10,685.00,664.00,675.00,675.50,673.44,135699,4553,73432,54.11
15-Sep-2016,675.50,680.80,687.00,676.00,677.00,680.15,680.06,74827,2720,38230,51.09
16-Sep-2016,680.15,680.15,698.90,680.00,696.00,692.05,690.96,112341,4105,53053,47.22
19-Sep-2016,692.05,695.15,702.40,686.10,688.95,688.10,690.95,71612,1991,44463,62.09
20-Sep-2016,688.10,688.95,693.50,673.85,680.15,680.45,681.49,55475,2861,30098,54.26
21-Sep-2016,680.45,678.00,684.65,665.10,672.00,670.50,672.11,91867,3251,56011,60.97
22-Sep-2016,670.50,679.70,722.05,674.60,717.25,717.15,708.51,505632,13077,164482,32.53
23-Sep-2016,717.15,718.00,732.35,705.00,705.25,707.35,718.25,360831,9099,159399,44.18
26-Sep-2016,707.35,704.00,709.85,687.20,698.40,697.80,698.92,124931,5460,60526,48.45
27-Sep-2016,697.80,707.00,718.20,691.25,694.95,694.80,705.53,154106,5719,65543,42.53
28-Sep-2016,694.80,691.65,711.00,691.65,705.00,707.10,703.32,144900,5404,80680,55.68
29-Sep-2016,707.10,708.20,714.00,658.00,679.00,673.90,688.98,315170,9105,174738,55.44
30-Sep-2016,673.90,671.10,700.00,671.10,693.00,693.30,689.41,112404,3975,45394,40.38
03-Oct-2016,693.30,699.70,729.00,697.25,725.50,725.80,717.38,369931,8483,229747,62.11
04-Oct-2016,725.80,734.35,746.00,728.00,738.00,740.20,738.76,347082,11294,164315,47.34
05-Oct-2016,740.20,746.40,746.40,727.00,733.20,735.85,740.07,132095,4444,67014,50.73
06-Oct-2016,735.85,739.70,771.00,728.00,744.00,740.70,752.61,357251,12779,115248,32.26
07-Oct-2016,740.70,744.70,755.00,735.60,741.00,741.40,745.05,104204,3568,28703,27.55
10-Oct-2016,741.40,739.00,765.00,739.00,754.00,757.05,757.34,186518,6552,72077,38.64
13-Oct-2016,757.05,757.00,771.00,732.20,743.00,742.10,753.72,251481,7750,94870,37.72
14-Oct-2016,742.10,742.50,757.40,742.50,753.10,753.35,751.36,100009,3036,36418,36.41
17-Oct-2016,753.35,755.00,777.20,743.00,756.00,755.05,764.37,253714,6979,85161,33.57
18-Oct-2016,755.05,757.00,767.00,756.00,761.20,761.55,760.67,132209,2760,82083,62.09
19-Oct-2016,761.55,760.55,791.00,755.95,764.85,763.85,771.98,166013,5164,61914,37.29
20-Oct-2016,763.85,769.00,773.00,758.65,764.20,764.30,768.06,109769,2984,48192,43.90
21-Oct-2016,764.30,766.00,771.00,761.90,768.75,766.85,766.54,70588,2828,24401,34.57
24-Oct-2016,766.85,770.00,777.45,758.70,759.50,761.55,766.90,56240,2643,26350,46.85
25-Oct-2016,761.55,763.95,766.70,750.90,751.10,752.40,757.37,58215,2715,32552,55.92
26-Oct-2016,752.40,752.00,752.20,734.50,737.00,738.30,742.89,64967,2795,29909,46.04
27-Oct-2016,738.30,738.00,744.70,726.30,728.00,729.35,733.49,56995,2595,30874,54.17
28-Oct-2016,729.35,729.00,730.00,700.20,705.50,704.20,714.67,143177,5204,82260,57.45
30-Oct-2016,704.20,705.50,717.40,705.50,713.70,711.35,712.09,32635,1519,16705,51.19
01-Nov-2016,711.35,704.50,721.00,703.95,716.00,715.90,713.74,103797,3940,49568,47.75
02-Nov-2016,715.90,715.50,715.50,699.00,708.00,705.10,704.77,61251,3145,38637,63.08
03-Nov-2016,705.10,705.00,714.45,685.15,691.00,690.75,700.51,48289,3551,29822,61.76
04-Nov-2016,690.75,691.00,695.55,647.10,660.70,659.55,667.49,173197,6924,104900,60.57
