DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,1218.60,1230.00,1265.00,1225.00,1242.00,1234.20,1243.57,21928,1751,9465,43.16
03-Aug-2016,1234.20,1236.00,1272.00,1205.05,1227.10,1225.15,1244.96,22548,1807,7171,31.80
04-Aug-2016,1225.15,1227.25,1250.00,1211.00,1222.70,1225.60,1227.04,6710,654,4151,61.86
05-Aug-2016,1225.60,1242.00,1250.00,1172.60,1201.00,1198.25,1206.55,15524,1340,7960,51.28
08-Aug-2016,1198.25,1234.00,1277.00,1210.00,1239.95,1239.85,1238.53,33861,2709,14134,41.74
09-Aug-2016,1239.85,1240.05,1248.45,1200.00,1210.00,1203.75,1216.64,7014,827,4549,64.86
10-Aug-2016,1203.75,1215.95,1216.00,1179.75,1181.00,1182.30,1189.15,4759,637,3557,74.74
11-Aug-2016,1182.30,1186.80,1205.00,1160.00,1161.00,1167.65,1182.75,5860,902,2849,48.62
12-Aug-2016,1167.65,1170.00,1185.00,1130.00,1141.50,1134.15,1145.13,6726,790,4914,73.06
16-Aug-2016,1134.15,1134.15,1152.90,1100.00,1125.70,1121.50,1117.00,8557,781,4235,49.49
17-Aug-2016,1121.50,1106.05,1185.00,1106.05,1168.20,1174.15,1160.96,7384,831,2759,37.36
18-Aug-2016,1174.15,1169.05,1225.00,1160.00,1190.00,1193.80,1197.66,7031,726,4250,60.45
19-Aug-2016,1193.80,1193.00,1245.00,1192.95,1216.35,1220.40,1211.76,8331,819,4553,54.65
22-Aug-2016,1220.40,1220.00,1235.00,1205.00,1225.00,1221.35,1222.96,8194,625,4974,60.70
23-Aug-2016,1221.35,1221.05,1225.00,1205.05,1224.00,1217.50,1215.00,3626,379,2554,70.44
24-Aug-2016,1217.50,1219.95,1257.50,1219.95,1245.00,1240.65,1244.01,25940,1954,9879,38.08
25-Aug-2016,1240.65,1247.05,1254.00,1220.10,1222.55,1227.25,1237.39,5679,603,3847,67.74
26-Aug-2016,1227.25,1222.65,1236.00,1221.95,1231.90,1229.30,1229.88,5063,506,3167,62.55
29-Aug-2016,1229.30,1230.05,1247.95,1201.60,1222.25,1222.05,1229.75,5027,658,3046,60.59
30-Aug-2016,1222.05,1235.00,1235.00,1201.75,1206.50,1209.75,1218.30,3612,518,2657,73.56
31-Aug-2016,1209.75,1221.00,1221.05,1200.00,1203.00,1205.20,1209.77,3741,502,2782,74.37
01-Sep-2016,1205.20,1209.25,1218.00,1181.00,1187.00,1188.00,1196.62,8274,780,4952,59.85
02-Sep-2016,1188.00,1188.00,1241.35,1180.00,1230.00,1229.20,1225.67,12908,1097,7063,54.72
06-Sep-2016,1229.20,1229.00,1339.00,1229.00,1313.00,1305.50,1289.83,37159,3037,22506,60.57
07-Sep-2016,1305.50,1318.80,1369.85,1306.20,1325.00,1325.95,1337.44,28782,2263,14608,50.75
08-Sep-2016,1325.95,1328.05,1370.00,1300.95,1315.60,1321.70,1331.85,14869,1220,8057,54.19
09-Sep-2016,1321.70,1327.70,1353.90,1300.00,1306.00,1311.95,1320.43,19027,1205,11288,59.33
12-Sep-2016,1311.95,1251.00,1335.20,1251.00,1307.00,1297.40,1300.72,21299,1855,11421,53.62
14-Sep-2016,1297.40,1298.00,1314.95,1290.00,1298.00,1295.75,1301.71,5824,545,4157,71.38
15-Sep-2016,1295.75,1295.00,1305.00,1275.10,1293.50,1295.95,1289.38,5113,535,3321,64.95
16-Sep-2016,1295.95,1299.90,1340.00,1299.90,1330.50,1333.15,1324.35,10944,978,8647,79.01
19-Sep-2016,1333.15,1333.00,1365.00,1305.00,1320.00,1325.55,1345.16,10892,1033,6816,62.58
20-Sep-2016,1325.55,1340.00,1340.00,1305.00,1308.00,1312.55,1320.67,2915,575,1368,46.93
21-Sep-2016,1312.55,1312.05,1338.85,1302.00,1306.10,1309.15,1325.06,5090,515,3304,64.91
22-Sep-2016,1309.15,1319.95,1330.90,1310.00,1310.00,1311.70,1315.69,2072,328,1223,59.03
