DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,258.80,259.00,261.00,253.00,255.85,255.20,255.43,245130,3539,204410,83.39
03-Aug-2016,255.20,255.00,260.05,246.15,258.50,258.00,253.59,314011,4643,218975,69.73
04-Aug-2016,258.00,261.00,265.30,255.00,260.05,259.50,261.43,296810,4671,216297,72.87
05-Aug-2016,259.50,259.50,265.00,258.65,262.00,262.00,262.96,163142,3875,90008,55.17
08-Aug-2016,262.00,264.65,265.30,260.00,261.25,261.00,262.99,145173,3313,75634,52.10
09-Aug-2016,261.00,263.70,265.05,258.10,259.90,259.55,262.92,161384,3034,85639,53.07
10-Aug-2016,259.55,260.10,265.50,258.20,263.50,262.70,263.31,224442,6026,132680,59.12
11-Aug-2016,262.70,260.10,267.00,260.10,267.00,265.10,264.31,123030,4262,90985,73.95
12-Aug-2016,265.10,268.10,268.90,255.40,265.50,264.80,264.80,230033,10194,114532,49.79
16-Aug-2016,264.80,264.80,266.50,261.95,265.00,264.75,264.03,65839,2043,43945,66.75
17-Aug-2016,264.75,267.85,268.90,264.00,268.90,267.70,266.61,111615,2734,74251,66.52
18-Aug-2016,267.70,268.00,269.00,266.75,268.25,268.45,267.99,91528,1820,68763,75.13
19-Aug-2016,268.45,268.50,274.80,267.90,274.80,272.65,270.96,123156,1847,94770,76.95
22-Aug-2016,272.65,272.25,278.40,272.25,276.35,276.10,275.87,116194,2864,78235,67.33
23-Aug-2016,276.10,276.10,286.00,273.90,279.00,280.45,281.54,271046,4302,151778,56.00
24-Aug-2016,280.45,280.35,282.00,276.50,281.00,280.80,279.96,49010,1172,24766,50.53
25-Aug-2016,280.80,279.60,286.00,279.05,280.00,280.90,283.15,60338,2007,33293,55.18
26-Aug-2016,280.90,282.55,284.10,276.00,276.60,277.65,280.65,45168,1011,17451,38.64
29-Aug-2016,277.65,278.20,279.80,271.50,273.80,273.30,274.27,29919,1398,15456,51.66
30-Aug-2016,273.30,280.40,280.40,271.00,272.00,272.15,274.37,40467,1084,19047,47.07
31-Aug-2016,272.15,272.15,274.00,270.15,274.00,272.55,272.46,69794,3635,50473,72.32
01-Sep-2016,272.55,279.40,279.40,270.25,272.00,271.55,272.74,23855,752,10027,42.03
02-Sep-2016,271.55,271.60,274.45,269.05,269.95,269.95,271.52,29806,3220,15723,52.75
06-Sep-2016,269.95,274.75,274.75,265.25,270.00,269.45,268.25,44605,1411,24156,54.16
07-Sep-2016,269.45,271.65,273.85,263.80,265.90,268.95,265.98,176464,1835,120695,68.40
08-Sep-2016,268.95,267.35,271.25,266.15,270.00,269.75,269.40,94554,1156,70308,74.36
09-Sep-2016,269.75,269.80,271.50,263.85,265.80,265.05,267.30,31471,763,21753,69.12
12-Sep-2016,265.05,260.00,260.00,255.50,257.05,256.80,258.49,42145,1296,30935,73.40
14-Sep-2016,256.80,254.00,256.95,249.00,249.90,250.20,250.92,80809,2006,61601,76.23
15-Sep-2016,250.20,250.00,264.65,250.00,263.50,261.75,259.40,75784,1869,32497,42.88
16-Sep-2016,261.75,260.75,263.95,259.10,260.00,260.10,261.02,44477,1020,34459,77.48
19-Sep-2016,260.10,259.95,263.70,256.25,262.50,262.80,261.49,80722,1777,50230,62.23
20-Sep-2016,262.80,264.30,267.50,260.50,265.05,265.80,264.09,57985,1316,26916,46.42
21-Sep-2016,265.80,268.95,270.95,265.05,267.50,268.50,268.97,156053,1000,139536,89.42
22-Sep-2016,268.50,270.00,270.50,264.00,270.00,269.85,268.82,155745,1257,125137,80.35
23-Sep-2016,269.85,271.00,271.00,265.00,266.35,266.45,268.11,28995,698,15198,52.42
26-Sep-2016,266.45,266.40,270.00,254.95,256.85,258.05,260.85,124054,2174,93098,75.05
27-Sep-2016,258.05,258.00,269.95,257.85,269.80,268.30,264.90,91551,1523,73837,80.65
28-Sep-2016,268.30,268.25,269.90,266.65,269.90,268.35,267.99,97245,935,90351,92.91
29-Sep-2016,268.35,268.95,270.00,241.15,253.05,253.80,260.30,117805,1500,87798,74.53
30-Sep-2016,253.80,257.95,265.85,254.20,259.75,261.30,261.26,79794,1245,53458,67.00
03-Oct-2016,261.30,263.95,268.20,243.00,263.00,261.05,260.86,981313,9666,471079,48.00
04-Oct-2016,261.05,243.00,259.50,242.10,245.00,246.00,250.71,945162,8762,687131,72.70
05-Oct-2016,246.00,247.95,251.00,238.00,240.30,241.70,242.76,690193,6630,588956,85.33
06-Oct-2016,241.70,242.05,244.25,232.30,235.50,234.65,238.73,236220,3544,202191,85.59
07-Oct-2016,234.65,236.00,244.60,236.00,242.25,243.35,240.56,164887,2814,88202,53.49
10-Oct-2016,243.35,248.40,249.50,241.75,247.50,248.20,244.85,136460,3284,87944,64.45
13-Oct-2016,248.20,244.10,247.80,238.30,245.00,245.30,245.59,113371,1181,92330,81.44
14-Oct-2016,245.30,246.00,248.00,244.90,246.40,245.80,246.45,43339,776,37030,85.44
17-Oct-2016,245.80,248.40,248.40,244.00,244.75,245.00,245.21,115092,2997,108035,93.87
18-Oct-2016,245.00,249.90,249.90,244.50,245.00,245.45,246.09,54835,958,40993,74.76
19-Oct-2016,245.45,248.40,251.00,245.10,249.25,249.30,248.41,179668,2167,152138,84.68
