DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
30-Jun-2017,149.00,250.00,269.95,250.00,260.70,261.60,261.35,50326065,430398,14714605,29.24
03-Jul-2017,261.60,262.00,264.70,243.15,264.10,262.15,256.59,14445613,132512,3285294,22.74
04-Jul-2017,262.15,263.50,270.90,263.00,264.00,265.30,266.51,4484530,43062,1293119,28.84
05-Jul-2017,265.30,265.90,266.50,262.15,264.25,263.95,264.05,1877748,21014,773332,41.18
06-Jul-2017,263.95,264.40,298.40,262.40,291.20,293.90,283.39,17400331,136440,3519235,20.23
07-Jul-2017,293.90,290.10,344.80,290.00,330.90,331.15,324.32,38221190,349610,3659317,9.57
10-Jul-2017,331.15,355.00,366.00,334.90,355.00,354.15,353.81,8928724,94184,2011214,22.53
11-Jul-2017,354.15,357.70,386.40,357.70,385.50,381.70,377.27,23411261,245963,2253824,9.63
12-Jul-2017,381.70,393.15,409.00,390.60,408.70,403.95,400.21,17877965,189143,2409027,13.47
13-Jul-2017,403.95,417.00,444.30,408.40,444.30,444.30,426.08,15896817,171606,2554428,16.07
14-Jul-2017,444.30,471.15,486.00,399.90,399.90,399.90,436.02,31052454,385255,7316302,23.56
17-Jul-2017,399.90,388.50,396.80,370.00,379.00,381.55,383.27,15705997,206909,2156847,13.73
18-Jul-2017,381.55,375.00,392.00,371.00,381.35,382.35,386.04,5308410,71043,917128,17.28
19-Jul-2017,382.35,385.80,389.70,376.40,378.60,379.00,383.72,2577313,38502,604492,23.45
20-Jul-2017,379.00,381.90,384.70,363.40,373.00,373.60,374.43,6222337,85920,989556,15.90
21-Jul-2017,373.60,374.70,381.45,368.25,369.65,370.35,374.53,2469984,36168,515257,20.86
24-Jul-2017,370.35,371.80,376.00,362.50,362.75,363.85,369.23,2293565,37149,635144,27.69
25-Jul-2017,363.85,365.75,374.50,363.10,364.50,363.70,367.99,2760857,38809,562416,20.37
26-Jul-2017,363.70,365.20,367.00,355.00,355.75,355.70,360.43,1931369,28037,573891,29.71
27-Jul-2017,355.70,356.30,359.80,343.00,343.90,344.15,350.80,2850106,41678,708553,24.86
28-Jul-2017,344.15,340.00,378.55,337.50,373.00,373.55,364.45,10446183,128723,1715682,16.42
31-Jul-2017,373.55,370.00,370.00,338.00,339.70,339.60,349.11,7912135,143450,3540158,44.74
01-Aug-2017,339.60,342.50,348.00,335.65,336.60,337.30,340.63,2889107,52667,952188,32.96
02-Aug-2017,337.30,337.00,347.85,336.20,336.65,337.45,342.11,3677085,53609,890917,24.23
03-Aug-2017,337.45,337.40,342.70,325.10,327.00,327.10,333.45,2552070,40219,815092,31.94
04-Aug-2017,327.10,327.80,328.35,309.40,311.00,311.70,317.42,3544659,54803,1503558,42.42
07-Aug-2017,311.70,312.70,338.60,308.05,334.00,333.35,329.41,7715813,99188,1484068,19.23
08-Aug-2017,333.35,335.50,336.25,322.10,325.25,325.75,328.83,2688517,39189,605825,22.53
09-Aug-2017,325.75,322.90,326.95,317.50,317.90,319.45,321.63,1582568,26149,496436,31.37
10-Aug-2017,319.45,316.75,321.00,298.00,304.90,301.25,310.66,2718480,47325,1239423,45.59
11-Aug-2017,301.25,296.90,311.00,291.10,305.50,304.55,304.17,2949441,50746,880782,29.86
14-Aug-2017,304.55,312.00,319.80,310.60,316.50,316.00,315.77,1513613,24548,514602,34.00
16-Aug-2017,316.00,319.65,331.00,315.20,325.45,326.25,325.14,2758656,41413,659630,23.91
