DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,863.65,864.20,872.25,852.35,857.30,858.05,862.71,261535,6240,70325,26.89
03-Aug-2016,858.05,859.95,867.00,843.20,845.45,848.85,850.37,384258,11494,57144,14.87
04-Aug-2016,848.85,850.30,862.00,844.35,860.25,857.60,853.93,341476,11688,101101,29.61
05-Aug-2016,857.60,866.80,918.80,858.00,908.90,908.35,898.79,1694222,41409,353323,20.85
08-Aug-2016,908.35,915.00,930.80,908.20,911.15,913.95,921.54,829870,20891,159513,19.22
09-Aug-2016,913.95,917.00,923.35,891.60,907.10,907.80,908.63,735379,19051,121104,16.47
10-Aug-2016,907.80,911.00,913.70,874.10,878.90,881.00,887.81,481795,13030,117190,24.32
11-Aug-2016,881.00,882.00,890.90,872.00,882.00,883.65,883.02,259203,7068,32407,12.50
12-Aug-2016,883.65,887.00,897.90,874.30,876.15,876.50,886.47,356125,8131,75838,21.30
16-Aug-2016,876.50,879.50,883.95,860.10,875.20,877.40,873.90,339604,12994,100375,29.56
17-Aug-2016,877.40,878.00,904.85,874.05,886.00,886.45,893.09,688256,17873,157420,22.87
18-Aug-2016,886.45,890.00,893.05,865.65,867.50,868.75,876.71,459463,13349,159308,34.67
19-Aug-2016,868.75,874.00,876.45,861.80,861.80,865.00,868.54,341827,9690,93703,27.41
22-Aug-2016,865.00,864.90,866.00,841.00,845.00,845.90,852.25,395381,11010,138347,34.99
23-Aug-2016,845.90,843.00,859.30,834.65,858.00,853.40,845.50,466433,15988,115583,24.78
24-Aug-2016,853.40,858.00,871.80,856.90,868.00,868.95,865.20,504075,20074,156811,31.11
25-Aug-2016,868.95,869.50,874.00,855.50,857.00,859.60,865.35,471559,20837,167006,35.42
26-Aug-2016,859.60,860.00,869.50,850.55,865.25,866.50,859.82,317672,13871,78781,24.80
29-Aug-2016,866.50,878.00,903.70,875.00,901.45,898.65,895.56,1288170,31892,306362,23.78
30-Aug-2016,898.65,907.00,918.00,901.90,907.60,908.05,909.45,626487,16771,151732,24.22
31-Aug-2016,908.05,909.00,910.35,890.00,893.00,893.20,899.13,500209,16101,121060,24.20
01-Sep-2016,893.20,896.75,910.90,885.25,893.15,891.30,898.48,487057,15668,109841,22.55
02-Sep-2016,891.30,897.00,956.00,894.50,952.70,952.70,936.16,2641419,60205,445554,16.87
06-Sep-2016,952.70,961.60,981.00,947.55,970.00,969.55,965.53,2471373,53218,730913,29.58
07-Sep-2016,969.55,975.95,1021.00,974.00,1016.00,1015.95,1008.71,2214787,45859,454000,20.50
08-Sep-2016,1015.95,1021.50,1039.50,1018.05,1031.00,1031.00,1030.83,921378,21785,203992,22.14
09-Sep-2016,1031.00,1034.00,1057.00,1027.05,1033.80,1035.90,1041.95,966825,26568,232186,24.02
12-Sep-2016,1035.90,1019.00,1022.00,988.00,992.00,990.20,1005.02,625656,19262,106220,16.98
14-Sep-2016,990.20,996.65,1053.85,990.20,1047.00,1045.15,1029.74,1495258,38160,275289,18.41
15-Sep-2016,1045.15,1049.45,1093.00,1047.00,1057.60,1064.45,1075.48,1736720,40743,198120,11.41
16-Sep-2016,1064.45,1072.80,1084.00,1041.25,1065.05,1065.00,1067.92,1323140,34850,308520,23.32
19-Sep-2016,1065.00,1073.00,1139.40,1065.20,1139.00,1128.90,1110.44,2279881,50078,547236,24.00
20-Sep-2016,1128.90,1141.00,1153.80,1114.30,1145.95,1139.35,1133.06,1738716,40460,357951,20.59
21-Sep-2016,1139.35,1149.00,1174.40,1145.45,1172.50,1166.65,1158.95,1628927,33099,139695,8.58
22-Sep-2016,1166.65,1181.95,1192.00,1160.00,1188.20,1180.15,1173.34,1326174,29846,230208,17.36
23-Sep-2016,1180.15,1181.00,1204.45,1166.05,1179.05,1183.15,1186.54,1718986,36637,419266,24.39
26-Sep-2016,1183.15,1185.00,1198.35,1177.00,1184.00,1188.00,1188.24,983521,22382,157175,15.98
27-Sep-2016,1188.00,1192.00,1208.95,1182.25,1197.10,1194.40,1194.59,925574,20762,142718,15.42
28-Sep-2016,1194.40,1199.00,1262.15,1183.00,1261.00,1255.80,1223.65,1523501,33315,293262,19.25
29-Sep-2016,1255.80,1270.00,1309.70,1201.80,1221.05,1229.70,1268.09,3549895,75960,369043,10.40
30-Sep-2016,1229.70,1235.00,1332.90,1211.00,1330.00,1326.40,1288.61,2125499,54006,232623,10.94
03-Oct-2016,1326.40,1346.00,1375.75,1339.65,1364.95,1365.15,1361.10,1709415,42561,146615,8.58
04-Oct-2016,1365.15,1374.00,1385.00,1363.00,1373.45,1369.90,1372.46,1017225,26303,70258,6.91
05-Oct-2016,1369.90,1380.00,1409.75,1372.70,1393.80,1398.10,1395.94,1467705,40836,114200,7.78
