DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,97.65,97.65,98.40,96.45,96.60,96.85,97.11,174362,1397,82216,47.15
03-Aug-2016,96.85,96.85,97.90,85.60,96.50,96.70,96.05,904001,2036,529695,58.59
04-Aug-2016,96.70,96.85,97.90,96.15,97.20,97.55,96.94,1050788,1283,252074,23.99
05-Aug-2016,97.55,97.80,98.95,97.55,97.95,97.90,98.11,590529,1573,349575,59.20
08-Aug-2016,97.90,97.55,98.30,96.75,97.35,97.15,97.20,963281,1716,695690,72.22
09-Aug-2016,97.15,97.15,98.40,97.15,97.90,97.85,97.89,835732,1307,608362,72.79
10-Aug-2016,97.85,97.95,98.80,96.30,96.50,96.90,97.48,216025,841,143434,66.40
11-Aug-2016,96.90,97.00,100.45,96.80,98.90,99.45,98.01,1316926,2175,658922,50.03
12-Aug-2016,99.45,99.15,100.70,94.00,96.75,97.50,97.27,2544210,15442,313594,12.33
16-Aug-2016,97.50,96.50,105.30,96.50,101.45,102.10,102.44,2813751,13481,531614,18.89
17-Aug-2016,102.10,104.95,110.40,103.90,104.75,105.50,107.41,3819315,25195,616887,16.15
18-Aug-2016,105.50,105.50,106.50,99.70,100.90,100.70,102.85,1516205,5200,612266,40.38
19-Aug-2016,100.70,101.70,102.90,100.35,101.00,101.30,101.49,452870,3045,156059,34.46
22-Aug-2016,101.30,101.30,105.20,99.55,104.20,104.20,103.14,1490800,6831,490848,32.93
23-Aug-2016,104.20,106.30,107.95,104.55,104.80,105.30,106.13,1611114,9466,452623,28.09
24-Aug-2016,105.30,105.20,105.80,103.25,103.90,104.65,104.29,884604,3351,371448,41.99
25-Aug-2016,104.65,104.80,104.80,101.00,101.50,101.45,102.67,392152,2594,226412,57.74
26-Aug-2016,101.45,101.90,102.30,100.00,101.10,100.80,100.72,381276,1769,224198,58.80
29-Aug-2016,100.80,102.90,108.80,101.50,106.50,107.70,105.99,2976117,15382,751427,25.25
30-Aug-2016,107.70,107.90,111.75,105.75,109.15,109.65,108.89,5636808,14263,1176332,20.87
31-Aug-2016,109.65,111.70,112.00,106.75,106.90,108.05,109.41,2188835,11460,676694,30.92
01-Sep-2016,108.05,107.20,108.50,105.80,106.10,106.25,107.13,749976,3934,234257,31.24
02-Sep-2016,106.25,106.25,108.00,104.65,105.35,105.30,105.77,764613,3420,283887,37.13
06-Sep-2016,105.30,105.90,106.90,105.50,105.60,105.85,106.08,410625,2590,270458,65.86
07-Sep-2016,105.85,108.05,109.40,104.50,105.00,105.50,107.04,2544131,10017,1046081,41.12
08-Sep-2016,105.50,106.00,107.80,105.60,105.95,106.55,106.52,2038813,4687,662590,32.50
09-Sep-2016,106.55,106.80,108.15,104.55,107.35,107.60,106.49,1306569,5957,551195,42.19
12-Sep-2016,107.60,106.30,107.90,104.30,104.40,104.75,105.85,1106498,6034,578214,52.26
14-Sep-2016,104.75,104.95,106.15,104.20,104.65,104.80,104.99,780764,2425,484013,61.99
15-Sep-2016,104.80,106.75,108.40,104.00,104.50,104.70,106.09,1264713,7398,578086,45.71
16-Sep-2016,104.70,106.00,106.80,97.85,98.55,100.35,102.30,1315558,7060,856105,65.08
19-Sep-2016,100.35,100.60,100.70,97.65,98.00,98.50,99.19,1950945,4734,1260929,64.63
20-Sep-2016,98.50,98.70,99.85,98.20,98.40,98.65,98.91,1138128,2830,786054,69.07
21-Sep-2016,98.65,98.95,99.15,95.65,95.75,96.50,97.83,1031070,2834,540432,52.41
22-Sep-2016,96.50,101.75,102.50,99.00,99.25,99.55,100.19,1873147,9784,836122,44.64
23-Sep-2016,99.55,99.95,100.25,97.50,98.10,97.90,98.39,383034,3161,175018,45.69
26-Sep-2016,97.90,98.00,98.65,97.00,97.80,98.00,97.93,809626,2103,323231,39.92
27-Sep-2016,98.00,97.95,98.60,96.65,97.00,96.85,97.28,487759,1808,249101,51.07
28-Sep-2016,96.85,98.65,99.70,97.55,97.95,97.80,98.48,1866088,6177,1148284,61.53
29-Sep-2016,97.80,98.95,99.15,91.45,92.45,92.40,94.84,791311,4320,345485,43.66
30-Sep-2016,92.40,92.00,93.90,90.80,91.50,91.70,91.92,629561,3353,338112,53.71
03-Oct-2016,91.70,94.40,96.45,92.70,96.00,95.80,94.45,961995,3466,531786,55.28
04-Oct-2016,95.80,96.25,96.75,93.35,93.45,94.55,95.23,699558,4780,400291,57.22
05-Oct-2016,94.55,94.75,95.00,93.50,93.80,93.95,94.23,346392,2568,142135,41.03
06-Oct-2016,93.95,94.25,96.00,94.10,94.70,94.65,94.90,681561,3455,359579,52.76
07-Oct-2016,94.65,95.40,95.90,94.00,94.05,94.35,94.83,387369,2826,199397,51.47
10-Oct-2016,94.35,94.50,97.60,93.35,94.10,94.25,95.01,663526,4130,152706,23.01
13-Oct-2016,94.25,93.95,94.35,92.30,92.70,92.55,93.24,478066,2210,319840,66.90
14-Oct-2016,92.55,92.70,93.70,92.05,93.20,92.90,92.77,757869,1959,330455,43.60
17-Oct-2016,92.90,92.55,93.60,90.60,92.25,92.25,92.44,296237,1521,178004,60.09
18-Oct-2016,92.25,94.50,95.25,91.30,91.90,92.25,92.86,2196629,16545,1096307,49.91
19-Oct-2016,92.25,92.75,92.75,88.10,89.55,89.95,90.34,1949641,6487,1222976,62.73
20-Oct-2016,89.95,90.25,91.60,90.00,91.00,91.00,90.75,756576,4285,450727,59.57
21-Oct-2016,91.00,91.00,93.05,90.15,91.50,91.60,91.72,1113486,3192,559141,50.22
24-Oct-2016,91.60,92.00,92.60,91.60,91.80,91.90,91.90,1002539,2858,536371,53.50
25-Oct-2016,91.90,92.00,92.40,91.10,91.20,91.25,91.51,165561,1008,89115,53.83
26-Oct-2016,91.25,91.20,91.25,90.50,91.00,90.95,90.74,361189,1894,178788,49.50
27-Oct-2016,90.95,90.90,91.40,90.50,90.60,90.60,90.67,211905,1483,111546,52.64
28-Oct-2016,90.60,90.60,91.75,90.00,91.30,91.45,90.99,437095,2286,226235,51.76
30-Oct-2016,91.45,92.05,93.15,91.85,92.60,92.70,92.53,141019,765,115691,82.04
01-Nov-2016,92.70,92.00,93.00,91.15,91.20,91.30,91.69,164122,1208,66654,40.61
02-Nov-2016,91.30,90.85,93.40,90.05,91.00,91.60,91.12,931049,4081,396871,42.63
03-Nov-2016,91.60,91.50,92.35,91.10,91.15,91.25,91.48,610015,2909,391235,64.14
04-Nov-2016,91.25,91.50,92.00,87.10,88.35,88.50,89.17,684086,3600,354239,51.78
07-Nov-2016,88.50,88.00,88.70,85.90,88.40,87.75,87.67,977684,3280,340819,34.86
08-Nov-2016,87.75,87.90,91.00,87.75,89.70,89.95,89.65,751310,2788,270853,36.05
09-Nov-2016,89.95,85.00,89.55,81.30,88.00,88.05,87.19,849567,3248,524986,61.79
10-Nov-2016,88.05,90.00,96.00,89.80,93.95,94.00,93.62,975003,7045,340579,34.93
11-Nov-2016,94.00,92.60,95.40,90.60,91.40,91.15,93.54,536912,3780,205926,38.35
15-Nov-2016,91.15,92.00,94.00,89.00,89.45,89.70,91.00,611867,2838,218608,35.73
16-Nov-2016,89.70,90.50,91.90,81.10,87.50,87.30,86.93,472798,3937,143953,30.45
17-Nov-2016,87.30,87.90,88.75,82.30,82.80,82.80,85.71,594455,3333,239002,40.21
18-Nov-2016,82.80,83.60,84.95,81.60,82.50,82.45,83.16,592440,3063,227020,38.32
21-Nov-2016,82.45,82.90,83.70,78.80,78.85,79.15,80.80,818782,2866,426782,52.12
22-Nov-2016,79.15,80.00,81.40,77.70,79.75,79.25,79.34,276112,2262,122042,44.20
23-Nov-2016,79.25,79.90,80.40,77.60,77.70,77.95,78.60,286036,1970,168795,59.01
24-Nov-2016,77.95,77.70,78.40,76.40,77.25,77.35,77.34,279259,1927,109110,39.07
25-Nov-2016,77.35,78.10,79.00,77.55,78.50,78.40,78.50,333888,2095,225085,67.41
28-Nov-2016,78.40,77.00,81.40,76.50,81.25,81.25,79.82,486669,2728,178517,36.68
29-Nov-2016,81.25,81.80,83.45,80.55,83.00,83.10,82.27,499716,3322,222142,44.45
30-Nov-2016,83.10,83.15,84.60,83.15,83.55,84.25,84.06,265904,1858,118112,44.42
01-Dec-2016,84.25,84.45,85.60,84.15,85.10,85.20,84.66,371781,2173,174939,47.05
02-Dec-2016,85.20,85.00,85.25,84.30,84.70,84.85,84.77,426635,1480,122623,28.74
05-Dec-2016,84.85,85.00,86.50,85.00,86.20,86.35,85.73,193557,2130,149543,77.26
06-Dec-2016,86.35,86.55,89.55,86.25,86.90,86.75,87.15,216219,2680,77014,35.62
07-Dec-2016,86.75,88.00,88.35,85.20,86.85,86.70,86.90,208949,2158,91081,43.59
08-Dec-2016,86.70,86.95,87.50,86.55,86.75,86.80,86.90,99225,1351,62408,62.90
09-Dec-2016,86.80,87.15,87.75,86.10,86.85,87.15,87.28,136819,2110,77290,56.49
12-Dec-2016,87.15,87.90,88.90,86.60,86.80,86.90,87.42,223563,1498,132383,59.22
13-Dec-2016,86.90,87.30,87.60,85.10,86.10,86.05,86.48,229331,1634,186133,81.16
14-Dec-2016,86.05,86.45,86.65,84.10,85.00,85.10,85.27,142963,924,110941,77.60
15-Dec-2016,85.10,84.90,85.55,84.15,85.05,85.25,85.11,97254,1043,56084,57.67
16-Dec-2016,85.25,85.05,86.35,82.00,82.60,83.15,84.11,366197,3290,169307,46.23
19-Dec-2016,83.15,83.00,83.05,81.55,82.00,82.00,82.42,513185,2305,416262,81.11
20-Dec-2016,82.00,82.00,82.70,81.75,82.50,82.25,82.25,525293,2040,353903,67.37
21-Dec-2016,82.25,82.50,83.45,81.85,82.70,82.40,82.46,1630571,1569,1407227,86.30
22-Dec-2016,82.40,82.15,82.75,81.50,82.40,82.60,82.24,148798,1096,89449,60.11
23-Dec-2016,82.60,82.60,83.45,82.10,82.80,83.05,83.08,134242,897,80603,60.04
26-Dec-2016,83.05,82.95,82.95,81.70,82.20,82.20,82.17,140259,858,87711,62.54
27-Dec-2016,82.20,82.20,83.00,81.55,82.80,82.85,82.45,86131,543,30836,35.80
28-Dec-2016,82.85,82.90,83.40,82.30,82.80,82.80,82.88,57186,804,26048,45.55
29-Dec-2016,82.80,82.80,82.95,81.90,82.45,82.60,82.25,99548,799,62852,63.14
30-Dec-2016,82.60,82.50,84.20,82.50,83.65,83.50,83.33,74325,926,35047,47.15
02-Jan-2017,83.50,83.25,85.90,80.00,84.40,84.60,83.16,135605,1446,29361,21.65
03-Jan-2017,84.60,84.50,84.80,81.60,83.85,84.00,83.73,127610,1267,50129,39.28
04-Jan-2017,84.00,84.00,84.95,83.30,83.90,83.75,83.70,145307,899,118678,81.67
05-Jan-2017,83.75,84.85,84.85,83.15,83.65,83.75,83.92,86299,843,48878,56.64
06-Jan-2017,83.75,84.00,84.70,83.10,83.10,83.45,83.87,83905,980,41913,49.95
09-Jan-2017,83.45,83.60,84.25,83.25,83.50,83.35,83.62,42886,570,16078,37.49
10-Jan-2017,83.35,83.60,83.85,82.75,83.25,83.20,83.16,48481,548,23304,48.07
11-Jan-2017,83.20,83.25,84.55,83.20,83.40,83.80,83.88,140237,1348,74236,52.94
12-Jan-2017,83.80,83.80,84.65,83.70,84.20,83.95,84.13,62760,836,25072,39.95
13-Jan-2017,83.95,84.30,84.30,83.05,83.50,83.45,83.41,409424,698,223517,54.59
16-Jan-2017,83.45,83.55,84.00,82.80,83.00,83.15,83.25,97304,979,49868,51.25
17-Jan-2017,83.15,83.40,83.90,82.90,82.95,83.15,83.47,41538,504,18622,44.83
18-Jan-2017,83.15,83.40,84.25,82.80,83.45,83.50,83.62,90316,898,40083,44.38
19-Jan-2017,83.50,83.45,83.90,83.15,83.40,83.50,83.51,48079,481,26177,54.45
20-Jan-2017,83.50,83.25,84.20,83.00,83.00,83.20,83.64,131387,791,93833,71.42
23-Jan-2017,83.20,83.10,84.65,82.75,83.25,83.25,83.27,88855,883,39602,44.57
24-Jan-2017,83.25,83.60,83.70,83.00,83.00,83.10,83.24,63801,529,36024,56.46
25-Jan-2017,83.10,83.35,83.45,83.00,83.05,83.15,83.17,62046,560,29707,47.88
27-Jan-2017,83.15,83.55,84.75,83.15,83.70,84.00,84.12,146299,1407,66084,45.17
30-Jan-2017,84.00,84.40,84.60,83.00,83.15,83.65,83.87,292668,1344,210153,71.81
31-Jan-2017,83.65,83.25,84.80,83.00,83.05,83.25,83.99,132140,997,77723,58.82
01-Feb-2017,83.25,83.10,84.50,83.10,83.65,83.70,83.75,99429,1154,41900,42.14
02-Feb-2017,83.70,83.70,87.50,83.70,86.70,86.35,86.39,555539,3633,229505,41.31
03-Feb-2017,86.35,87.85,89.20,87.45,88.45,88.55,88.57,865437,4080,440286,50.87
06-Feb-2017,88.55,88.00,91.00,87.00,88.85,89.15,89.17,711221,4767,346798,48.76
07-Feb-2017,89.15,90.00,93.30,88.55,92.25,92.05,91.35,1350071,6787,526569,39.00
08-Feb-2017,92.05,93.15,93.15,90.50,91.00,91.45,92.14,397168,2991,204677,51.53
09-Feb-2017,91.45,91.70,92.50,87.00,90.00,90.00,90.30,234377,2275,106387,45.39
10-Feb-2017,90.00,90.40,91.00,89.10,89.30,89.55,89.70,378165,1095,278342,73.60
13-Feb-2017,89.55,90.10,90.45,87.00,87.10,87.70,88.15,126035,1487,66363,52.65
14-Feb-2017,87.70,88.00,88.40,86.75,86.75,87.15,87.50,274023,966,234431,85.55
15-Feb-2017,87.15,87.15,87.95,85.00,85.50,85.70,86.43,114439,1551,67555,59.03
16-Feb-2017,85.70,86.00,86.30,85.05,85.50,85.95,85.85,145882,1054,109518,75.07
17-Feb-2017,85.95,85.95,86.70,84.70,85.00,85.30,85.58,229077,1112,193480,84.46
20-Feb-2017,85.30,85.90,85.90,84.65,85.30,85.40,85.40,387361,1152,330258,85.26
21-Feb-2017,85.40,85.25,86.50,84.80,85.00,85.15,85.49,111610,1104,52442,46.99
22-Feb-2017,85.15,85.60,85.90,84.75,85.00,84.95,85.30,113084,844,67019,59.26
23-Feb-2017,84.95,85.10,85.90,84.10,85.10,85.20,85.30,314658,1133,217257,69.05
27-Feb-2017,85.20,85.20,85.90,84.00,84.95,85.35,85.06,183606,1139,117756,64.14
28-Feb-2017,85.35,85.85,86.95,85.35,85.55,85.70,85.99,78089,987,35314,45.22
01-Mar-2017,85.70,86.00,99.50,85.90,93.70,94.10,93.79,5167533,24842,925613,17.91
02-Mar-2017,94.10,94.00,95.00,90.15,90.35,90.75,92.54,1018021,6350,296942,29.17
03-Mar-2017,90.75,90.40,95.95,90.30,94.00,93.50,93.28,2941937,9746,591837,20.12
06-Mar-2017,93.50,94.30,94.30,92.30,92.55,92.90,93.18,420009,2185,118386,28.19
07-Mar-2017,92.90,93.00,94.80,91.40,91.55,91.85,93.18,346456,2022,55915,16.14
08-Mar-2017,91.85,92.10,92.70,90.20,90.40,90.70,91.44,430024,2533,156409,36.37
09-Mar-2017,90.70,90.60,90.95,89.00,89.00,89.35,90.00,367915,1582,238070,64.71
10-Mar-2017,89.35,89.80,95.90,89.50,93.50,94.55,93.27,1239629,7255,298686,24.09
14-Mar-2017,94.55,96.45,98.00,93.00,93.65,93.85,94.71,1066912,6025,437445,41.00
15-Mar-2017,93.85,93.75,100.90,92.00,98.40,98.80,97.25,3476284,12718,1175259,33.81
16-Mar-2017,98.80,99.00,101.50,97.50,99.15,99.45,99.64,832983,5825,285202,34.24
17-Mar-2017,99.45,99.10,99.75,96.45,98.65,98.50,98.21,585647,8271,318761,54.43
20-Mar-2017,98.50,98.50,101.50,97.25,99.20,99.25,99.20,745587,6692,205186,27.52
21-Mar-2017,99.25,99.75,101.00,98.05,99.25,98.95,99.13,380354,3134,123556,32.48
22-Mar-2017,98.95,98.20,98.75,96.55,97.10,97.00,97.78,230839,2060,80948,35.07
23-Mar-2017,97.00,97.90,99.80,95.00,98.80,99.00,98.29,575466,5071,151608,26.35
24-Mar-2017,99.00,99.55,102.40,98.45,99.30,100.70,101.06,2137295,8171,725329,33.94
27-Mar-2017,100.70,101.10,104.90,99.75,102.55,102.15,102.67,1377492,5785,553501,40.18
28-Mar-2017,102.15,102.00,104.90,99.35,99.70,100.55,102.53,2440003,9651,465980,19.10
29-Mar-2017,100.55,99.95,104.40,99.55,102.30,102.50,102.50,5345882,8184,1332226,24.92
30-Mar-2017,102.50,103.15,104.95,102.55,103.75,104.70,103.75,4063938,4190,1755056,43.19
31-Mar-2017,104.70,104.40,107.20,103.75,105.00,105.65,105.81,4315831,7111,1347502,31.22
03-Apr-2017,105.65,105.95,106.20,103.25,103.60,104.50,104.89,410137,2811,170071,41.47
05-Apr-2017,104.50,104.65,105.90,103.00,105.00,105.35,104.99,480116,2838,200038,41.66
06-Apr-2017,105.35,105.45,105.50,103.10,103.10,103.80,104.08,348978,1966,197540,56.61
07-Apr-2017,103.80,103.80,105.55,100.50,101.90,102.40,103.66,270296,2176,101026,37.38
10-Apr-2017,102.40,103.00,104.50,102.05,103.90,103.10,103.27,250035,2583,68575,27.43
11-Apr-2017,103.10,104.00,105.35,103.10,103.30,103.50,104.22,335233,3806,88803,26.49
12-Apr-2017,103.50,103.75,104.40,101.95,102.55,102.50,103.07,239924,1827,84619,35.27
13-Apr-2017,102.50,102.75,104.00,102.45,103.05,103.00,103.20,187804,1699,76629,40.80
17-Apr-2017,103.00,103.50,104.50,102.15,104.25,104.10,103.53,352513,1782,190809,54.13
18-Apr-2017,104.10,104.25,106.70,102.00,102.15,103.20,104.58,600908,2880,248313,41.32
19-Apr-2017,103.20,103.05,103.30,101.75,101.90,101.80,102.11,260911,1199,133173,51.04
20-Apr-2017,101.80,102.25,103.20,101.95,102.20,102.30,102.53,161562,1505,88358,54.69
21-Apr-2017,102.30,102.50,102.70,101.20,102.00,102.50,102.24,144008,1072,68747,47.74
24-Apr-2017,102.50,102.80,103.35,101.25,102.25,102.15,102.20,212720,1520,76124,35.79
25-Apr-2017,102.15,102.00,103.50,101.90,102.20,102.15,102.63,160108,1414,73377,45.83
26-Apr-2017,102.15,102.90,104.70,101.75,102.50,102.45,103.57,416135,2412,204201,49.07
27-Apr-2017,102.45,102.55,103.25,102.25,102.30,102.55,102.70,102139,991,34706,33.98
28-Apr-2017,102.55,103.20,107.90,102.50,105.80,105.95,105.65,1132635,6997,505947,44.67
02-May-2017,105.95,106.60,109.20,103.50,105.20,104.75,106.73,891110,5752,306514,34.40
03-May-2017,104.75,105.50,107.00,104.25,104.45,104.75,105.55,983696,3562,591060,60.09
04-May-2017,104.75,105.25,112.30,105.25,110.00,110.45,110.30,3518661,16217,1260025,35.81
05-May-2017,110.45,111.35,116.90,108.20,110.05,111.00,113.17,2856105,16462,816565,28.59
08-May-2017,111.00,111.55,119.40,109.60,116.80,116.80,116.45,2455649,11513,609589,24.82
09-May-2017,116.80,117.40,122.40,113.15,119.00,119.75,118.94,3525097,14193,742226,21.06
10-May-2017,119.75,122.30,123.25,116.60,117.50,117.45,119.47,2351067,10681,854918,36.36
11-May-2017,117.45,118.60,118.60,114.00,114.50,114.50,116.19,847576,5384,277488,32.74
12-May-2017,114.50,114.80,116.50,113.50,114.50,114.60,114.71,687052,5934,364454,53.05
15-May-2017,114.60,110.00,115.50,107.10,115.40,114.20,111.55,1573381,9309,461119,29.31
16-May-2017,114.20,114.20,119.40,112.40,119.00,118.90,116.39,2829431,8707,595400,21.04
17-May-2017,118.90,119.00,122.10,117.30,120.55,120.90,120.43,1598762,7432,445728,27.88
18-May-2017,120.90,118.00,122.00,115.50,116.00,116.75,119.14,899071,4400,249585,27.76
19-May-2017,116.75,117.50,119.25,111.90,115.80,115.95,116.21,879395,3390,363325,41.32
22-May-2017,115.95,119.55,119.55,113.00,113.60,113.70,114.48,612863,4234,288260,47.03
23-May-2017,113.70,110.00,113.00,106.60,109.00,109.55,110.22,898463,5373,193280,21.51
24-May-2017,109.55,109.90,111.00,103.30,103.60,104.90,106.72,692087,3833,186910,27.01
25-May-2017,104.90,105.00,106.30,103.15,103.60,104.50,104.49,724812,3652,310072,42.78
26-May-2017,104.50,104.85,106.30,103.40,103.65,104.30,104.84,349618,2134,171708,49.11
29-May-2017,104.30,105.00,105.60,101.60,103.00,102.70,102.72,1026158,2548,596926,58.17
30-May-2017,102.70,102.00,105.90,101.00,102.45,102.60,103.72,399096,2524,42043,10.53
31-May-2017,102.60,103.70,105.80,102.35,102.85,102.95,103.72,613296,2428,64219,10.47
01-Jun-2017,102.95,103.25,103.90,102.30,102.90,103.05,102.76,833781,1677,705655,84.63
02-Jun-2017,103.05,103.10,104.90,102.10,102.50,102.85,103.48,185572,1835,55418,29.86
05-Jun-2017,102.85,103.00,103.45,102.00,102.15,102.25,102.70,225853,1161,149637,66.25
06-Jun-2017,102.25,102.25,103.15,99.65,100.55,100.35,100.91,1802888,1643,1100019,61.01
07-Jun-2017,100.35,100.60,101.65,99.80,101.00,100.75,100.78,152739,1402,35444,23.21
08-Jun-2017,100.75,101.05,101.45,98.80,100.85,100.50,100.57,373805,1339,157967,42.26
09-Jun-2017,100.50,100.25,100.90,99.35,100.90,100.40,100.36,628224,1076,448097,71.33
12-Jun-2017,100.40,100.40,101.45,99.00,101.40,101.05,100.51,424923,1246,266745,62.77
13-Jun-2017,101.05,100.35,101.80,98.40,99.70,99.60,100.37,235398,1467,105190,44.69
14-Jun-2017,99.60,99.80,102.55,99.80,102.40,102.10,101.36,425917,2958,121398,28.50
15-Jun-2017,102.10,101.05,101.35,99.00,100.80,99.75,99.77,681349,2924,294734,43.26
16-Jun-2017,99.75,99.70,100.95,99.30,99.40,99.85,100.00,414617,1771,305474,73.68
19-Jun-2017,99.85,100.25,100.50,97.50,97.60,97.95,98.63,664367,2074,442284,66.57
20-Jun-2017,97.95,97.85,98.15,95.10,95.80,95.70,96.10,218576,2063,68891,31.52
21-Jun-2017,95.70,94.55,95.90,94.20,94.90,94.85,94.83,481261,2025,366239,76.10
22-Jun-2017,94.85,95.00,95.00,91.75,92.50,92.35,94.21,287842,1967,212305,73.76
23-Jun-2017,92.35,92.50,92.90,86.50,87.00,87.95,89.65,472667,2471,360927,76.36
27-Jun-2017,87.95,87.00,89.90,85.00,88.70,88.85,87.92,4273288,6148,2177296,50.95
28-Jun-2017,88.85,88.50,88.90,87.00,87.00,87.40,87.71,754141,2888,534753,70.91
29-Jun-2017,87.40,87.50,89.95,87.00,88.40,89.05,88.80,871871,6440,162779,18.67
30-Jun-2017,89.05,88.35,89.35,87.00,87.50,87.20,88.21,4207737,4114,1739517,41.34
03-Jul-2017,87.20,88.40,88.95,86.85,87.25,87.65,87.77,268164,2113,84327,31.45
04-Jul-2017,87.65,87.75,87.95,86.55,87.30,87.25,87.28,81530,960,30981,38.00
05-Jul-2017,87.25,87.10,88.50,87.00,87.50,87.70,88.02,358361,1317,284943,79.51
06-Jul-2017,87.70,87.95,91.90,87.65,90.85,91.20,90.50,657401,3921,310000,47.16
07-Jul-2017,91.20,92.70,96.00,91.60,92.90,92.70,93.45,875512,4870,274502,31.35
10-Jul-2017,92.70,92.90,93.90,92.00,93.30,93.40,93.40,50833,393,33741,66.38
11-Jul-2017,93.40,93.50,94.20,90.60,91.30,91.90,91.65,866667,1896,427404,49.32
12-Jul-2017,91.90,91.60,93.90,90.40,91.50,91.30,91.75,211565,1620,59932,28.33
13-Jul-2017,91.30,91.90,93.05,90.85,92.30,92.20,91.74,3556131,2813,1692680,47.60
14-Jul-2017,92.20,92.90,100.50,90.85,96.50,97.65,95.96,2088946,8811,620118,29.69
17-Jul-2017,97.65,97.50,98.65,94.00,96.25,96.60,97.22,3536582,5294,1382919,39.10
18-Jul-2017,96.60,95.05,97.40,94.05,94.25,94.40,95.79,268356,2784,85236,31.76
19-Jul-2017,94.40,94.80,95.60,92.00,93.00,93.00,94.06,598312,2662,364967,61.00
20-Jul-2017,93.00,93.80,93.80,91.15,91.90,91.85,92.39,191885,2095,81437,42.44
21-Jul-2017,91.85,92.05,92.85,91.55,91.75,91.90,92.21,211336,2167,111202,52.62
24-Jul-2017,91.90,92.50,93.75,91.00,91.90,92.30,92.82,473134,2511,248853,52.60
25-Jul-2017,92.30,91.00,92.30,90.50,91.55,91.40,91.41,729351,2928,459347,62.98
26-Jul-2017,91.40,91.55,92.55,91.05,91.55,91.50,91.70,247836,2162,140705,56.77
27-Jul-2017,91.50,92.40,93.35,91.10,91.50,91.75,92.11,3487574,3369,1651779,47.36
28-Jul-2017,91.75,92.90,92.90,90.75,91.50,91.25,91.35,244489,2180,123500,50.51
31-Jul-2017,91.25,86.00,91.40,85.90,90.55,90.55,88.72,3510322,7562,1227140,34.96
