DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,229.95,231.35,231.85,222.00,224.35,224.70,225.54,690479,9762,281443,40.76
03-Aug-2016,224.70,225.00,227.05,216.25,219.45,219.55,223.59,416233,6651,252370,60.63
04-Aug-2016,219.55,227.00,227.05,212.30,213.80,213.20,218.63,303553,4873,134723,44.38
05-Aug-2016,213.20,216.65,226.00,215.10,224.25,224.30,223.24,656987,8869,437786,66.64
08-Aug-2016,224.30,226.00,227.00,216.35,218.95,217.70,220.81,249206,4324,140328,56.31
09-Aug-2016,217.70,218.60,221.90,216.55,217.00,217.75,218.96,103974,1596,54503,52.42
10-Aug-2016,217.75,218.95,219.55,208.40,211.00,210.70,212.48,163573,5781,89536,54.74
11-Aug-2016,210.70,211.30,211.65,204.65,210.30,208.40,208.15,144220,6667,61859,42.89
12-Aug-2016,208.40,208.40,216.10,208.00,209.65,210.65,212.13,178892,3163,63136,35.29
16-Aug-2016,210.65,209.65,215.00,207.45,212.40,212.60,211.79,186742,3467,107853,57.76
17-Aug-2016,212.60,212.50,219.95,209.35,217.55,217.75,217.07,516908,7725,219562,42.48
18-Aug-2016,217.75,218.25,222.50,216.25,217.20,218.10,219.65,225405,3536,143209,63.53
19-Aug-2016,218.10,218.10,219.35,213.00,215.00,214.80,216.02,122976,2088,86004,69.94
22-Aug-2016,214.80,214.80,216.55,212.05,213.80,213.80,213.93,96513,1512,55469,57.47
23-Aug-2016,213.80,213.85,222.30,210.55,221.65,220.55,216.29,490149,10055,319807,65.25
24-Aug-2016,220.55,222.30,222.90,218.00,220.80,221.45,220.88,265589,3884,152400,57.38
25-Aug-2016,221.45,227.00,227.00,220.00,222.00,222.55,223.08,256304,5260,116482,45.45
26-Aug-2016,222.55,224.00,224.90,219.75,222.00,222.30,221.46,153699,3018,100675,65.50
29-Aug-2016,222.30,222.45,222.45,217.25,218.75,218.90,219.61,92457,3011,63473,68.65
30-Aug-2016,218.90,221.45,221.45,217.90,218.35,218.65,220.02,302271,2047,266330,88.11
31-Aug-2016,218.65,218.65,220.95,215.00,216.65,217.00,217.81,98077,1972,57572,58.70
01-Sep-2016,217.00,218.00,227.00,217.00,226.45,225.45,224.32,501644,7298,234628,46.77
02-Sep-2016,225.45,225.00,228.80,223.55,225.00,226.40,226.55,225038,3866,97411,43.29
06-Sep-2016,226.40,226.40,235.35,222.95,233.00,233.20,232.16,520173,6597,191712,36.86
07-Sep-2016,233.20,233.00,235.00,229.00,234.00,232.55,231.96,142601,4201,69923,49.03
08-Sep-2016,232.55,234.50,234.50,230.10,231.70,233.20,232.11,104024,2083,67026,64.43
09-Sep-2016,233.20,233.15,233.15,226.25,227.00,227.25,228.56,102636,4304,55424,54.00
12-Sep-2016,227.25,222.55,227.00,218.05,223.10,221.60,223.20,106500,1737,60023,56.36
