DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,63.95,64.00,64.50,63.05,63.40,63.45,63.75,142241,1156,90321,63.50
03-Aug-2016,63.45,63.00,63.10,61.70,62.00,61.80,62.22,230195,3007,145985,63.42
04-Aug-2016,61.80,62.00,62.90,61.70,62.50,61.90,61.89,690781,1659,625780,90.59
05-Aug-2016,61.90,62.70,64.95,62.30,64.55,64.45,63.90,466349,2309,296304,63.54
08-Aug-2016,64.45,65.00,65.70,64.60,65.15,65.15,65.08,295287,3236,162314,54.97
09-Aug-2016,65.15,65.45,66.00,64.80,65.30,65.45,65.50,293882,2667,161843,55.07
10-Aug-2016,65.45,65.60,66.95,64.55,65.80,65.95,65.74,802221,5022,210331,26.22
11-Aug-2016,65.95,65.10,66.40,65.05,65.70,65.85,65.74,167374,1066,98259,58.71
12-Aug-2016,65.85,65.95,66.35,65.40,65.75,65.80,65.93,169716,909,114937,67.72
16-Aug-2016,65.80,65.35,65.95,64.95,65.35,65.55,65.37,129912,1519,77244,59.46
17-Aug-2016,65.55,65.90,66.25,65.30,65.65,65.80,65.77,139848,1521,61182,43.75
18-Aug-2016,65.80,65.35,66.00,65.00,65.80,65.80,65.57,144010,1881,90199,62.63
19-Aug-2016,65.80,65.40,67.20,65.30,66.50,66.70,66.38,437205,3755,199824,45.70
22-Aug-2016,66.70,66.90,68.30,66.30,67.75,67.95,67.47,801193,5876,397793,49.65
23-Aug-2016,67.95,68.45,69.45,67.50,68.05,68.05,68.47,450474,3469,182845,40.59
24-Aug-2016,68.05,68.00,69.70,67.95,69.25,69.20,69.13,559142,4745,259769,46.46
25-Aug-2016,69.20,69.25,69.70,67.95,68.30,68.15,68.78,324658,3772,212084,65.33
26-Aug-2016,68.15,67.90,68.25,67.10,67.50,67.35,67.48,203458,2616,115676,56.85
29-Aug-2016,67.35,67.35,68.40,67.15,67.55,67.70,67.81,226510,4256,120968,53.41
30-Aug-2016,67.70,68.20,68.45,67.70,68.10,68.05,68.01,342556,3140,281322,82.12
31-Aug-2016,68.05,67.50,68.50,67.50,68.00,67.95,68.09,401978,3505,233424,58.07
01-Sep-2016,67.95,65.90,65.90,64.40,64.80,64.65,65.33,312016,4702,194857,62.45
02-Sep-2016,64.65,64.50,65.00,64.35,64.80,64.80,64.72,133005,2383,73630,55.36
06-Sep-2016,64.80,65.90,65.90,64.15,64.50,64.30,64.68,236831,2195,165379,69.83
07-Sep-2016,64.30,64.20,64.95,64.20,64.35,64.40,64.49,169744,2908,115757,68.20
08-Sep-2016,64.40,64.50,65.05,64.10,64.85,64.75,64.76,293675,3194,176767,60.19
09-Sep-2016,64.75,64.80,65.05,64.15,64.30,64.35,64.60,316351,4680,188167,59.48
12-Sep-2016,64.35,63.70,63.80,61.60,61.95,61.90,62.67,262961,2253,206880,78.67
14-Sep-2016,61.90,62.35,62.45,61.40,61.80,61.75,61.92,368724,2303,226728,61.49
15-Sep-2016,61.75,62.00,62.80,61.70,61.85,61.75,62.08,135771,920,94487,69.59
16-Sep-2016,61.75,61.90,62.40,60.00,60.35,60.70,61.36,436122,2537,314815,72.19
19-Sep-2016,60.70,61.10,61.35,60.70,61.00,60.90,60.96,484353,2668,427764,88.32
20-Sep-2016,60.90,60.90,61.25,59.30,60.00,59.95,60.25,315642,3405,241155,76.40
21-Sep-2016,59.95,59.90,60.85,59.60,59.90,59.80,60.09,337745,3268,214030,63.37
22-Sep-2016,59.80,60.40,60.95,59.25,60.10,60.00,60.08,635499,3470,494073,77.75
23-Sep-2016,60.00,60.30,60.80,59.20,59.80,59.95,60.12,781199,5222,543964,69.63
26-Sep-2016,59.95,59.80,60.15,58.90,59.20,59.05,59.43,186907,3039,128882,68.96
27-Sep-2016,59.05,59.05,60.10,59.00,59.40,59.20,59.47,174523,2684,99200,56.84
28-Sep-2016,59.20,59.25,60.05,59.00,59.50,59.50,59.74,253359,2255,157939,62.34
29-Sep-2016,59.50,59.50,60.65,57.20,57.75,58.05,59.14,939160,4893,507028,53.99
30-Sep-2016,58.05,57.20,58.90,57.20,58.40,58.25,58.28,271670,2936,169072,62.23
03-Oct-2016,58.25,58.40,61.00,58.20,60.00,60.05,60.27,1652514,6802,1255218,75.96
04-Oct-2016,60.05,60.85,60.85,59.30,59.50,59.50,59.85,1031062,6981,559677,54.28
05-Oct-2016,59.50,59.80,60.70,59.65,59.80,59.80,59.98,588313,3741,360649,61.30
06-Oct-2016,59.80,60.00,60.20,59.05,59.25,59.20,59.76,390217,3706,263611,67.55
07-Oct-2016,59.20,59.50,60.05,59.30,59.30,59.55,59.66,407911,3161,227722,55.83
10-Oct-2016,59.55,59.85,59.90,58.25,58.80,58.60,59.12,440680,3262,286950,65.12
13-Oct-2016,58.60,58.95,58.95,57.45,57.80,57.70,57.98,494325,4006,383010,77.48
14-Oct-2016,57.70,57.80,57.90,56.70,56.95,57.00,57.14,589905,4049,450230,76.32
