DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,275.80,277.00,293.30,273.40,288.35,286.95,286.52,3708258,41104,775144,20.90
03-Aug-2016,286.95,288.00,289.40,275.05,279.50,278.80,282.07,1515318,28920,477016,31.48
04-Aug-2016,278.80,281.35,292.80,278.30,287.50,288.15,286.46,2490354,29335,559201,22.45
05-Aug-2016,288.15,289.95,297.50,285.10,292.40,292.15,292.96,1979929,22472,501113,25.31
08-Aug-2016,292.15,293.00,297.90,288.70,290.90,290.75,292.91,1514609,19836,367041,24.23
09-Aug-2016,290.75,292.60,293.10,271.60,274.00,274.25,278.65,1955053,34724,770241,39.40
10-Aug-2016,274.25,275.25,275.25,256.30,257.95,258.30,263.04,1526486,23675,636818,41.72
11-Aug-2016,258.30,259.00,266.00,255.65,260.25,260.45,261.27,1027247,19127,240370,23.40
12-Aug-2016,260.45,261.90,268.60,256.30,257.30,257.30,261.47,885151,12384,244472,27.62
16-Aug-2016,257.30,258.85,274.00,258.50,270.40,270.60,268.55,1827675,33755,628182,34.37
17-Aug-2016,270.60,271.90,279.30,270.90,276.00,276.30,276.35,1098165,17318,381514,34.74
18-Aug-2016,276.30,277.00,281.60,274.05,278.95,278.05,278.58,847420,16565,331813,39.16
19-Aug-2016,278.05,278.60,279.10,268.50,270.00,270.40,272.04,706975,11412,282509,39.96
22-Aug-2016,270.40,271.30,275.90,265.00,268.50,269.05,270.57,874018,15372,281724,32.23
23-Aug-2016,269.05,271.00,273.50,261.55,264.00,264.55,267.04,841488,13567,346346,41.16
24-Aug-2016,264.55,264.70,284.00,262.70,282.30,281.95,274.83,2420749,27150,661470,27.33
25-Aug-2016,281.95,283.00,286.85,273.35,276.90,275.80,281.09,1334172,18189,467076,35.01
26-Aug-2016,275.80,277.00,283.80,273.15,280.05,281.10,278.37,1136845,19715,480938,42.30
29-Aug-2016,281.10,281.95,301.00,278.20,283.75,283.30,289.34,4119394,52799,952519,23.12
30-Aug-2016,283.30,282.50,290.60,281.50,289.50,289.05,287.84,1421742,22718,580346,40.82
31-Aug-2016,289.05,289.00,296.30,288.05,295.50,294.50,292.98,1382885,25820,619941,44.83
01-Sep-2016,294.50,296.50,303.00,292.00,296.10,295.75,297.57,1605609,24148,468843,29.20
02-Sep-2016,295.75,297.50,304.00,295.00,300.60,300.50,300.05,1402686,18529,392632,27.99
06-Sep-2016,300.50,302.00,309.50,301.50,304.90,305.35,305.70,1202629,20017,480878,39.99
07-Sep-2016,305.35,307.00,312.40,295.10,296.85,298.20,302.69,2253589,30982,656945,29.15
08-Sep-2016,298.20,294.00,297.70,287.25,288.00,289.00,290.79,1021237,18455,431353,42.24
09-Sep-2016,289.00,285.25,291.00,282.30,284.85,285.25,286.15,1014212,13304,291900,28.78
12-Sep-2016,285.25,276.00,290.40,276.00,285.05,283.10,284.63,914110,24307,319730,34.98
14-Sep-2016,283.10,284.00,293.80,284.00,292.00,291.80,290.26,819809,14683,280404,34.20
15-Sep-2016,291.80,292.95,294.00,286.35,288.05,287.95,289.63,330753,7832,131299,39.70
16-Sep-2016,287.95,290.55,307.00,285.30,302.80,301.70,298.52,1562556,25208,776943,49.72
19-Sep-2016,301.70,304.50,306.50,297.00,300.00,300.05,301.19,651310,15460,268550,41.23
20-Sep-2016,300.05,300.00,309.90,298.30,302.90,303.25,305.18,1114988,17503,247731,22.22
21-Sep-2016,303.25,304.90,307.20,300.10,301.00,301.90,303.73,389701,9218,132245,33.93
22-Sep-2016,301.90,304.00,307.00,302.50,304.00,303.75,304.53,407525,8069,137151,33.65
23-Sep-2016,303.75,303.60,305.70,300.70,301.75,302.90,303.70,371267,8571,154339,41.57
26-Sep-2016,302.90,303.00,309.00,301.05,303.40,302.75,305.50,641975,9920,103251,16.08
27-Sep-2016,302.75,305.00,307.50,299.65,305.30,304.00,304.76,475402,7366,189658,39.89
28-Sep-2016,304.00,305.80,305.80,296.30,297.15,299.20,302.20,344106,5414,103488,30.07
29-Sep-2016,299.20,302.70,303.50,274.15,281.00,280.00,289.49,662478,10671,253222,38.22
30-Sep-2016,280.00,280.10,292.00,279.55,289.00,287.25,286.12,450740,8615,181626,40.30
03-Oct-2016,287.25,290.00,301.80,289.55,297.00,297.30,295.88,509196,9282,164304,32.27
04-Oct-2016,297.30,299.00,300.65,289.70,291.10,291.40,294.43,574441,16162,330867,57.60
05-Oct-2016,291.40,292.50,294.95,287.55,289.35,289.50,290.80,637982,10603,288053,45.15
06-Oct-2016,289.50,290.60,303.25,288.20,295.00,293.95,296.58,1650027,23671,680543,41.24
07-Oct-2016,293.95,297.00,304.00,294.75,297.15,297.75,299.83,1251297,16964,383773,30.67
10-Oct-2016,297.75,299.90,299.90,291.80,292.00,292.90,294.04,390130,6315,163756,41.97
13-Oct-2016,292.90,293.00,296.80,287.20,288.90,289.90,290.83,606535,9425,210732,34.74
14-Oct-2016,289.90,291.35,294.00,286.50,286.65,287.65,290.02,461954,9242,228602,49.49
17-Oct-2016,287.65,291.00,294.65,285.35,286.60,286.85,289.18,541628,11056,181440,33.50
18-Oct-2016,286.85,288.80,292.45,286.10,289.15,290.25,288.79,279703,5827,74480,26.63
19-Oct-2016,290.25,291.60,295.00,288.50,292.45,292.95,291.91,374571,6980,108604,28.99
20-Oct-2016,292.95,293.50,293.90,289.10,289.45,289.80,291.56,335831,6697,139551,41.55
21-Oct-2016,289.80,290.40,291.40,286.00,286.80,287.60,288.56,344059,6979,178580,51.90
24-Oct-2016,287.60,288.00,293.55,286.80,291.40,291.45,290.54,316626,7793,125206,39.54
25-Oct-2016,291.45,293.00,293.00,286.50,287.10,287.20,288.53,184262,4651,84127,45.66
26-Oct-2016,287.20,286.10,289.70,285.20,285.70,286.40,287.13,198168,5656,87547,44.18
27-Oct-2016,286.40,285.10,286.90,281.10,281.10,281.95,283.26,194045,4559,101509,52.31
28-Oct-2016,281.95,282.15,286.70,279.00,280.00,281.15,283.24,237520,5782,119675,50.39
30-Oct-2016,281.15,281.25,284.70,281.15,283.50,283.50,283.27,51912,742,22613,43.56
01-Nov-2016,283.50,284.00,290.80,284.00,284.40,285.65,286.87,359063,10318,156523,43.59
02-Nov-2016,285.65,282.25,284.80,273.30,273.80,274.85,277.86,294842,8347,189187,64.17
03-Nov-2016,274.85,276.00,276.95,257.50,258.20,259.20,266.96,530933,13161,288547,54.35
04-Nov-2016,259.20,261.05,262.50,251.00,253.30,253.00,254.89,402781,8419,217376,53.97
07-Nov-2016,253.00,256.00,272.40,255.50,268.00,268.00,266.94,657914,13104,240823,36.60
08-Nov-2016,268.00,272.10,272.85,267.95,270.00,270.80,270.31,219435,4823,101235,46.13
09-Nov-2016,270.80,226.65,273.25,226.65,270.50,270.05,260.90,676958,13717,234084,34.58
10-Nov-2016,270.05,275.00,280.65,273.20,274.00,274.35,276.82,270135,6713,92181,34.12
11-Nov-2016,274.35,271.60,271.80,260.00,262.95,261.45,265.86,293854,6720,130030,44.25
15-Nov-2016,261.45,262.00,264.00,230.05,233.00,233.85,240.90,579667,11143,324586,56.00
16-Nov-2016,233.85,240.00,248.35,236.20,247.50,245.40,242.90,386512,10513,181308,46.91
17-Nov-2016,245.40,245.40,266.00,244.00,265.45,263.40,258.38,676027,15788,180056,26.63
18-Nov-2016,263.40,263.00,272.45,260.30,267.80,268.20,267.74,705393,11421,267196,37.88
21-Nov-2016,268.20,269.80,269.80,252.80,253.50,253.80,258.76,193917,4819,81714,42.14
22-Nov-2016,253.80,257.40,264.30,250.10,253.20,254.50,255.70,392279,9405,205082,52.28
23-Nov-2016,254.50,257.10,258.00,250.20,255.00,254.90,254.16,156600,4013,44060,28.14
24-Nov-2016,254.90,255.00,258.00,251.10,254.35,254.30,254.76,130571,2470,30655,23.48
25-Nov-2016,254.30,256.00,261.30,255.20,257.60,258.55,258.16,180479,3011,81763,45.30
28-Nov-2016,258.55,258.00,277.95,257.25,271.00,272.00,269.83,738785,9718,146228,19.79
29-Nov-2016,272.00,273.50,276.80,266.75,267.60,268.00,271.95,415813,7950,173432,41.71
