DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
11-Aug-2017,432.00,440.15,528.15,435.00,528.15,528.15,508.26,27617037,348906,14315806,51.84
14-Aug-2017,528.15,572.00,575.00,529.65,543.40,542.30,546.66,9601359,173670,2905532,30.26
16-Aug-2017,542.30,537.55,548.00,529.00,533.50,536.20,536.64,3241033,59019,926996,28.60
17-Aug-2017,536.20,534.80,546.95,532.20,538.90,537.55,539.27,2165189,42139,753981,34.82
18-Aug-2017,537.55,535.00,537.40,518.00,532.05,534.45,528.20,2393064,47991,1066124,44.55
21-Aug-2017,534.45,536.65,539.70,520.85,523.95,524.25,529.42,1110529,25316,594252,53.51
22-Aug-2017,524.25,528.00,530.00,500.00,512.55,512.50,511.29,1519839,36680,714025,46.98
23-Aug-2017,512.50,513.55,517.90,505.05,508.10,508.60,509.82,966549,23892,455197,47.10
24-Aug-2017,508.60,510.00,527.50,507.50,513.00,513.20,519.37,1651118,37655,421818,25.55
28-Aug-2017,513.20,515.00,521.00,508.90,509.50,510.10,514.40,536389,17181,267742,49.92
29-Aug-2017,510.10,508.00,517.00,503.00,503.50,504.25,509.24,814510,17799,355927,43.70
30-Aug-2017,504.25,506.50,516.90,506.50,515.00,514.85,513.09,851036,20943,461486,54.23
31-Aug-2017,514.85,516.50,520.90,508.20,512.50,513.45,516.20,672046,23676,346735,51.59
01-Sep-2017,513.45,515.00,538.85,512.00,533.00,531.60,528.17,2014321,35564,667158,33.12
04-Sep-2017,531.60,529.00,545.50,525.00,535.00,536.60,535.68,1526587,35885,519970,34.06
05-Sep-2017,536.60,539.00,543.80,533.50,539.50,539.20,538.81,644963,13360,195449,30.30
06-Sep-2017,539.20,536.90,545.00,531.00,531.30,532.80,538.16,738552,14412,251631,34.07
07-Sep-2017,532.80,534.00,537.45,530.00,532.45,532.90,533.25,399361,8824,216338,54.17
08-Sep-2017,532.90,534.60,561.10,531.05,546.00,548.90,548.21,2603570,48531,816295,31.35
11-Sep-2017,548.90,551.75,572.95,544.00,561.85,562.20,561.06,2517536,44412,789200,31.35
12-Sep-2017,562.20,578.75,579.80,556.05,558.30,558.60,564.98,1847950,33623,694711,37.59
13-Sep-2017,558.60,558.45,558.45,542.20,542.85,544.00,549.74,673944,13735,313957,46.59
14-Sep-2017,544.00,545.45,549.85,540.55,541.70,542.25,545.45,473625,12098,208270,43.97
15-Sep-2017,542.25,540.00,559.00,537.00,547.60,547.40,549.20,937862,18722,333457,35.56
18-Sep-2017,547.40,551.90,560.95,549.00,554.50,554.10,554.70,815587,23452,395518,48.49
19-Sep-2017,554.10,554.90,556.00,544.35,545.00,545.25,549.52,296005,6178,180667,61.04
