DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,242.45,242.00,247.55,240.10,241.50,241.30,242.76,52856,1514,36184,68.46
03-Aug-2016,241.30,241.30,244.85,235.60,236.00,237.25,238.73,69147,1633,50487,73.01
04-Aug-2016,237.25,237.25,240.60,236.60,237.25,237.10,238.17,24997,829,14930,59.73
05-Aug-2016,237.10,236.10,241.80,236.10,237.55,238.65,239.17,61282,1138,35523,57.97
08-Aug-2016,238.65,240.00,245.90,239.00,244.00,243.65,243.12,59444,1579,39043,65.68
09-Aug-2016,243.65,243.80,245.80,240.10,241.00,241.15,242.75,28714,810,18574,64.69
10-Aug-2016,241.15,241.50,243.90,236.20,237.05,237.35,239.02,26647,898,19649,73.74
11-Aug-2016,237.35,238.00,243.00,235.70,241.40,238.95,238.70,53007,2038,21446,40.46
12-Aug-2016,238.95,245.00,245.00,235.10,235.40,236.50,240.31,154650,2916,70463,45.56
16-Aug-2016,236.50,235.00,238.95,235.00,235.35,235.35,235.96,24608,710,15501,62.99
17-Aug-2016,235.35,235.00,239.60,235.00,238.15,238.05,238.02,63173,2664,38762,61.36
18-Aug-2016,238.05,241.10,242.00,237.55,241.45,241.00,240.54,53772,1172,35757,66.50
19-Aug-2016,241.00,241.00,245.45,240.00,241.60,240.75,242.27,63852,1693,30407,47.62
22-Aug-2016,240.75,239.55,242.10,235.85,237.30,237.05,237.69,93152,1227,68252,73.27
23-Aug-2016,237.05,237.90,248.70,234.30,246.50,246.75,244.79,159567,3339,79683,49.94
24-Aug-2016,246.75,243.50,257.80,243.50,252.50,252.40,252.66,284058,5231,133220,46.90
25-Aug-2016,252.40,252.75,260.80,251.20,253.80,253.90,256.19,129933,2916,66361,51.07
26-Aug-2016,253.90,254.50,254.95,248.10,248.80,250.15,251.99,61439,1348,40124,65.31
29-Aug-2016,250.15,250.00,251.00,241.85,242.00,243.70,246.36,34135,1097,26623,77.99
30-Aug-2016,243.70,242.60,247.05,242.60,245.10,244.50,244.78,47071,1237,31148,66.17
31-Aug-2016,244.50,242.00,247.90,241.00,246.00,246.10,244.50,59673,2191,37895,63.50
01-Sep-2016,246.10,244.40,254.00,243.80,244.00,245.20,248.11,56826,1918,25989,45.73
02-Sep-2016,245.20,246.00,247.20,242.10,243.25,243.05,244.54,27712,693,19901,71.81
06-Sep-2016,243.05,243.20,245.00,240.10,240.80,240.65,241.40,50396,1234,37912,75.23
07-Sep-2016,240.65,242.40,243.00,237.50,239.00,238.35,239.57,61722,1557,49283,79.85
08-Sep-2016,238.35,237.00,242.80,237.00,241.60,240.40,240.32,74054,1405,58217,78.61
09-Sep-2016,240.40,240.05,241.80,238.15,238.20,238.30,238.94,33104,947,26524,80.12
12-Sep-2016,238.30,235.95,237.90,234.40,235.75,235.00,235.54,39723,1125,31340,78.90
14-Sep-2016,235.00,235.15,240.55,235.10,238.20,238.55,238.62,62460,2675,40593,64.99
15-Sep-2016,238.55,236.60,241.00,236.60,237.50,238.45,239.03,43593,2444,29184,66.95
16-Sep-2016,238.45,238.45,239.95,235.00,235.05,235.95,237.94,66161,1666,45042,68.08
19-Sep-2016,235.95,237.00,237.00,234.00,234.10,234.20,235.14,39700,1299,30086,75.78
20-Sep-2016,234.20,234.00,236.90,231.50,232.00,232.70,232.94,50831,1229,39311,77.34
21-Sep-2016,232.70,233.80,234.90,231.50,231.55,231.55,232.18,57616,2440,40115,69.62
22-Sep-2016,231.55,232.50,234.50,230.50,231.70,231.50,231.81,45102,2439,32743,72.60
23-Sep-2016,231.50,233.50,233.50,228.20,229.00,228.95,230.47,65235,3320,48412,74.21
26-Sep-2016,228.95,229.50,230.00,224.90,225.00,225.35,227.73,146790,2997,127410,86.80
27-Sep-2016,225.35,226.95,228.00,224.00,225.00,224.80,225.93,53709,1969,42224,78.62
28-Sep-2016,224.80,226.70,228.00,224.10,225.00,225.00,225.21,181330,4114,163345,90.08
29-Sep-2016,225.00,226.05,227.15,219.00,222.10,222.30,224.34,407815,2517,385804,94.60
30-Sep-2016,222.30,222.00,226.00,215.60,225.45,225.10,224.53,176186,2745,144218,81.86
03-Oct-2016,225.10,226.20,230.00,226.00,229.40,228.45,228.37,56662,1409,31680,55.91
04-Oct-2016,228.45,229.30,229.50,225.75,226.10,226.70,227.70,22556,593,13089,58.03
05-Oct-2016,226.70,227.80,234.60,225.00,232.50,232.15,230.60,108329,2319,47494,43.84
06-Oct-2016,232.15,233.00,234.70,228.10,229.50,229.15,231.27,48731,3487,28598,58.69
07-Oct-2016,229.15,229.50,230.00,225.00,226.50,225.75,227.40,73812,925,62257,84.35
10-Oct-2016,225.75,226.05,227.50,221.50,225.30,225.10,225.91,22966,771,16735,72.87
13-Oct-2016,225.10,227.30,227.30,224.20,225.95,225.50,225.50,27698,950,23084,83.34
14-Oct-2016,225.50,224.55,232.65,224.55,226.90,227.35,227.66,57600,1893,31084,53.97
17-Oct-2016,227.35,225.50,231.40,225.20,225.55,225.70,227.66,50885,1725,28055,55.13
18-Oct-2016,225.70,225.95,228.30,225.50,226.20,226.75,227.34,152189,1029,139680,91.78
19-Oct-2016,226.75,227.30,231.20,227.00,229.50,228.85,229.08,103904,1801,81096,78.05
20-Oct-2016,228.85,229.10,231.75,227.00,227.75,227.45,228.56,580266,2776,561490,96.76
21-Oct-2016,227.45,227.25,230.50,226.55,227.00,227.55,228.31,620928,1427,595738,95.94
24-Oct-2016,227.55,227.15,228.30,224.40,224.50,224.80,225.43,69755,1712,60430,86.63
25-Oct-2016,224.80,224.00,225.90,223.40,224.90,224.30,224.07,260777,995,233808,89.66
26-Oct-2016,224.30,223.00,224.90,222.50,223.30,223.00,223.25,145686,962,131374,90.18
27-Oct-2016,223.00,222.50,223.85,220.70,221.70,221.90,221.52,79924,785,70069,87.67
28-Oct-2016,221.90,221.20,225.40,220.00,221.35,222.05,222.71,44014,1095,24208,55.00
30-Oct-2016,222.05,227.00,227.00,222.00,223.20,223.75,223.44,13941,441,10644,76.35
01-Nov-2016,223.75,225.50,225.50,221.50,224.80,224.25,223.45,72294,5125,54414,75.27
02-Nov-2016,224.25,223.75,229.25,221.05,221.20,221.70,223.80,73222,4248,47690,65.13
03-Nov-2016,221.70,220.10,223.50,220.10,221.50,221.95,221.58,47841,5490,37971,79.37
04-Nov-2016,221.95,222.00,222.95,215.00,218.00,218.10,219.33,93286,5749,82125,88.04
07-Nov-2016,218.10,220.15,222.10,218.00,218.00,218.05,218.89,36728,3192,25925,70.59
08-Nov-2016,218.05,218.45,225.00,217.65,224.15,223.80,221.35,79488,6316,58132,73.13
