DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,951.65,952.00,987.70,950.00,972.50,968.65,972.76,305684,15480,157423,51.50
03-Aug-2016,968.65,969.85,969.85,930.55,938.00,936.15,945.59,459212,12497,285562,62.19
04-Aug-2016,936.15,945.00,953.75,930.75,944.00,942.70,942.78,449301,7023,352138,78.37
05-Aug-2016,942.70,944.30,961.55,944.20,958.85,959.85,954.53,125932,6398,66877,53.11
08-Aug-2016,959.85,962.00,1033.00,944.00,1009.90,1015.25,999.75,2207134,62973,483774,21.92
09-Aug-2016,1015.25,1014.90,1014.90,962.00,972.00,970.70,976.69,673190,27673,282320,41.94
10-Aug-2016,970.70,970.70,983.45,943.00,963.00,959.80,962.69,463907,17277,177107,38.18
11-Aug-2016,959.80,966.90,973.00,953.05,963.00,962.60,963.96,236784,8892,98952,41.79
12-Aug-2016,962.60,964.55,970.50,954.10,955.35,957.50,962.78,84251,3465,31209,37.04
16-Aug-2016,957.50,958.00,967.10,948.55,958.00,956.05,959.44,139632,8129,52654,37.71
17-Aug-2016,956.05,959.00,975.15,953.00,974.05,972.40,966.67,234040,8789,129892,55.50
18-Aug-2016,972.40,975.15,979.00,965.10,965.15,967.90,974.25,150158,5292,73881,49.20
19-Aug-2016,967.90,965.50,970.00,955.00,958.00,958.05,960.27,98999,5567,37993,38.38
22-Aug-2016,958.05,959.80,960.00,944.00,946.00,947.90,951.96,116274,6308,57462,49.42
23-Aug-2016,947.90,947.75,948.90,934.10,937.60,936.50,941.74,129978,11887,68349,52.59
24-Aug-2016,936.50,944.90,954.85,935.00,952.00,949.90,948.98,193194,8420,90390,46.79
25-Aug-2016,949.90,949.90,957.25,935.80,949.70,949.15,946.88,639562,13951,418654,65.46
26-Aug-2016,949.15,949.15,956.95,945.00,947.95,948.65,950.77,126349,10569,54822,43.39
29-Aug-2016,948.65,948.60,948.85,936.00,937.30,937.85,940.76,97162,3349,50897,52.38
30-Aug-2016,937.85,940.00,956.10,937.90,954.00,953.15,950.89,180782,9391,85457,47.27
31-Aug-2016,953.15,954.00,957.95,943.50,946.00,948.35,950.84,110547,7391,40206,36.37
01-Sep-2016,948.35,949.95,954.45,942.55,953.00,950.65,948.66,102001,5210,50423,49.43
02-Sep-2016,950.65,950.30,967.05,946.25,952.50,951.75,955.22,185528,7384,65239,35.16
06-Sep-2016,951.75,953.00,978.00,952.15,977.00,975.25,969.62,333693,18813,172859,51.80
07-Sep-2016,975.25,976.35,995.40,974.00,991.50,990.75,987.61,455726,18331,265449,58.25
08-Sep-2016,990.75,991.85,998.70,982.40,990.05,991.40,991.10,320581,15334,225058,70.20
09-Sep-2016,991.40,992.00,994.90,980.15,980.15,984.65,985.09,216515,13411,149937,69.25
12-Sep-2016,984.65,975.00,982.00,966.80,982.00,977.90,973.47,189756,6237,132222,69.68
14-Sep-2016,977.90,977.75,986.15,964.20,974.80,970.40,970.13,135420,6495,80318,59.31
15-Sep-2016,970.40,970.45,982.85,950.85,965.00,963.10,959.59,175491,7158,73990,42.16
16-Sep-2016,963.10,964.70,977.00,961.55,969.95,969.55,972.08,138503,8431,78810,56.90
19-Sep-2016,969.55,971.55,978.90,955.00,969.70,969.05,963.57,193344,7953,103033,53.29
20-Sep-2016,969.05,970.05,972.65,958.25,963.00,962.05,961.96,145947,6341,99083,67.89
21-Sep-2016,962.05,961.90,975.90,958.00,972.00,969.60,966.71,292384,9314,180643,61.78
22-Sep-2016,969.60,975.00,978.70,966.90,975.50,975.20,972.36,126798,10988,77326,60.98
23-Sep-2016,975.20,975.20,981.40,961.35,981.40,978.75,970.56,283494,8357,202221,71.33
26-Sep-2016,978.75,979.95,991.90,968.00,976.65,973.65,981.78,208613,5660,109024,52.26
27-Sep-2016,973.65,974.75,982.50,969.00,982.50,978.75,977.48,155034,6818,87333,56.33
28-Sep-2016,978.75,981.20,982.50,967.25,974.40,974.95,975.10,270234,6365,203688,75.37
29-Sep-2016,974.95,975.00,982.00,957.90,982.00,974.45,970.38,1201503,7501,1023594,85.19
30-Sep-2016,974.45,975.00,980.00,959.05,973.95,970.65,971.90,357586,11042,268979,75.22
03-Oct-2016,970.65,971.75,989.00,971.50,984.35,982.85,982.51,336680,12309,224954,66.82
04-Oct-2016,982.85,984.95,999.00,977.40,983.05,979.95,988.35,236064,11572,94285,39.94
05-Oct-2016,979.95,979.95,986.30,968.30,979.00,979.25,977.86,173714,6980,99308,57.17
06-Oct-2016,979.25,979.20,993.80,971.40,974.00,976.90,980.57,264953,10160,99343,37.49
07-Oct-2016,976.90,976.00,984.00,962.60,967.85,969.25,971.44,218229,9547,121529,55.69
10-Oct-2016,969.25,970.35,978.00,963.20,966.00,965.40,969.53,114425,3901,56452,49.34
13-Oct-2016,965.40,955.25,965.00,927.00,933.15,932.70,937.66,424819,14788,275138,64.77
14-Oct-2016,932.70,932.00,938.75,911.10,922.05,920.45,920.75,234547,9007,125519,53.52
17-Oct-2016,920.45,920.05,927.90,908.15,913.75,912.55,914.50,159201,6443,72465,45.52
18-Oct-2016,912.55,913.60,922.00,912.35,922.00,918.75,918.22,182804,10522,124056,67.86
19-Oct-2016,918.75,921.10,941.35,916.05,938.75,937.40,934.08,309025,10409,146304,47.34
20-Oct-2016,937.40,930.00,949.40,930.00,943.25,943.95,945.05,186333,21344,107510,57.70
21-Oct-2016,943.95,942.95,959.85,936.95,953.70,954.60,948.48,159894,4973,100834,63.06
24-Oct-2016,954.60,954.00,966.85,954.00,960.15,963.20,961.41,168511,4832,90772,53.87
25-Oct-2016,963.20,964.25,964.25,940.05,944.90,944.10,944.73,182264,6691,98693,54.15
26-Oct-2016,944.10,941.10,944.90,918.00,925.00,926.95,928.39,200407,7839,77691,38.77
27-Oct-2016,926.95,925.00,949.00,924.95,939.75,936.20,936.52,1335055,28566,1012584,75.85
28-Oct-2016,936.20,937.25,992.80,936.20,971.00,973.15,966.09,530474,15557,91255,17.20
30-Oct-2016,973.15,963.00,977.40,963.00,970.00,970.85,971.86,63906,1917,38977,60.99
01-Nov-2016,970.85,972.00,977.00,957.15,970.95,973.05,967.00,158688,5841,79176,49.89
02-Nov-2016,973.05,960.10,967.80,954.80,960.00,956.55,960.99,128775,3849,67193,52.18
03-Nov-2016,956.55,956.00,964.50,950.00,951.65,954.45,957.88,85959,2668,41518,48.30
04-Nov-2016,954.45,980.00,1031.20,972.15,983.70,984.15,997.54,1792996,53169,601624,33.55
07-Nov-2016,984.15,987.00,993.90,972.40,977.60,977.00,984.62,340385,17616,162212,47.66
08-Nov-2016,977.00,978.00,984.20,969.25,976.90,979.10,976.99,181442,12146,83942,46.26
09-Nov-2016,979.10,917.35,979.10,899.20,974.85,972.50,950.02,249019,8987,96498,38.75
10-Nov-2016,972.50,972.50,987.80,957.00,966.00,963.75,974.93,138258,6841,58096,42.02
11-Nov-2016,963.75,959.00,963.10,945.05,945.05,949.05,954.10,140665,8640,57376,40.79
15-Nov-2016,949.05,949.10,949.15,895.35,917.00,914.80,913.36,304832,23921,159801,52.42
16-Nov-2016,914.80,917.00,938.00,914.10,926.50,926.55,927.35,228147,14421,134705,59.04
17-Nov-2016,926.55,920.15,935.10,920.15,925.10,926.85,926.04,172074,30465,113510,65.97
18-Nov-2016,926.85,929.00,934.00,915.35,918.00,917.40,926.45,162148,22368,73280,45.19
21-Nov-2016,917.40,920.00,921.85,884.50,888.20,886.65,900.47,303185,20723,170314,56.17
22-Nov-2016,886.65,888.15,908.45,880.00,899.60,903.60,888.81,358543,24960,263171,73.40
23-Nov-2016,903.60,906.00,927.50,901.30,925.00,923.80,914.14,216232,14378,129398,59.84
24-Nov-2016,923.80,925.00,937.90,912.70,931.90,934.65,929.95,367814,20141,183271,49.83
25-Nov-2016,934.65,934.65,935.00,920.00,925.00,924.15,926.95,139503,4989,85147,61.04
28-Nov-2016,924.15,929.95,940.80,920.05,929.05,932.95,930.28,105641,13684,38736,36.67
29-Nov-2016,932.95,930.00,946.00,930.00,940.65,940.30,938.66,129988,8176,58377,44.91
30-Nov-2016,940.30,941.80,946.90,931.00,933.10,933.70,934.39,254367,26393,162807,64.00
01-Dec-2016,933.70,936.00,946.55,924.00,932.00,930.75,932.10,245726,17003,111323,45.30
02-Dec-2016,930.75,933.50,941.45,923.20,927.00,927.40,931.98,268430,16838,141532,52.73
05-Dec-2016,927.40,931.50,935.55,921.00,922.50,924.55,927.29,238280,28076,148726,62.42
06-Dec-2016,924.55,923.00,926.40,917.90,923.45,923.70,922.24,203725,18078,149600,73.43
07-Dec-2016,923.70,927.00,927.70,917.00,921.00,921.10,921.84,150040,12498,100974,67.30
08-Dec-2016,921.10,925.00,944.80,919.95,921.65,922.10,926.24,347699,17884,191036,54.94
09-Dec-2016,922.10,924.80,925.00,919.00,920.00,920.25,921.60,248254,18696,182510,73.52
12-Dec-2016,920.25,918.00,920.00,902.45,907.25,907.90,909.14,217045,12263,143554,66.14
13-Dec-2016,907.90,908.95,918.00,905.60,915.00,915.15,910.64,179744,9178,127800,71.10
14-Dec-2016,915.15,918.05,920.00,901.85,905.00,903.85,911.45,192667,20350,125433,65.10
15-Dec-2016,903.85,904.00,912.60,897.00,912.00,909.90,907.52,166315,13340,101792,61.20
16-Dec-2016,909.90,911.10,917.80,903.20,910.00,910.20,911.35,145316,7153,93492,64.34
19-Dec-2016,910.20,911.25,911.95,901.00,909.00,909.95,907.81,121574,7105,81941,67.40
20-Dec-2016,909.95,902.10,911.70,901.10,910.00,909.75,907.36,178902,10192,123260,68.90
21-Dec-2016,909.75,910.00,910.95,899.40,908.00,906.10,905.42,197704,15912,151519,76.64
22-Dec-2016,906.10,906.10,908.90,895.50,908.90,904.65,901.34,152772,8185,118970,77.87
23-Dec-2016,904.65,905.70,905.70,890.55,901.25,902.15,900.59,171659,23355,117755,68.60
26-Dec-2016,902.15,900.35,905.50,890.80,893.00,895.55,897.57,119058,8335,56520,47.47
27-Dec-2016,895.55,891.50,893.90,863.05,888.80,886.10,877.59,311628,10773,68051,21.84
28-Dec-2016,886.10,891.00,897.70,884.00,891.00,890.90,892.40,201892,12992,109662,54.32
29-Dec-2016,890.90,891.00,898.85,889.15,893.00,892.00,893.69,326634,14305,272626,83.47
30-Dec-2016,892.00,894.95,908.00,894.95,901.50,904.60,904.19,195115,23618,139075,71.28
02-Jan-2017,904.60,905.70,907.25,897.60,898.35,900.30,901.48,177081,13853,97131,54.85
03-Jan-2017,900.30,901.35,901.35,891.90,900.00,898.30,896.97,201444,14629,118667,58.91
04-Jan-2017,898.30,899.50,904.90,892.00,895.25,897.65,898.88,334806,20898,251833,75.22
05-Jan-2017,897.65,898.10,902.95,896.90,899.00,898.65,899.42,302955,5882,252261,83.27
06-Jan-2017,898.65,898.10,903.95,896.30,899.00,899.15,899.17,499446,20468,440902,88.28
09-Jan-2017,899.15,900.20,901.00,890.05,891.80,893.55,893.11,88165,7299,47430,53.80
10-Jan-2017,893.55,891.00,894.85,882.00,894.00,891.90,890.55,511398,8848,435293,85.12
11-Jan-2017,891.90,893.00,898.80,886.20,894.90,895.00,890.49,275325,17307,198429,72.07
12-Jan-2017,895.00,898.00,898.00,884.05,891.00,890.65,889.31,247058,16561,170243,68.91
13-Jan-2017,890.65,892.00,903.90,892.00,897.25,899.35,898.11,212269,20069,108932,51.32
16-Jan-2017,899.35,897.65,913.95,895.55,911.00,911.00,905.95,192296,18179,101484,52.77
17-Jan-2017,911.00,912.00,915.95,905.30,910.00,912.45,910.80,136565,7743,59594,43.64
18-Jan-2017,912.45,912.45,924.00,907.25,912.50,915.35,917.00,278780,10559,158202,56.75
19-Jan-2017,915.35,917.00,919.95,906.55,906.80,908.15,910.73,113383,8139,60350,53.23
20-Jan-2017,908.15,910.20,910.20,900.65,902.00,902.35,904.16,180791,15594,122639,67.83
23-Jan-2017,902.35,902.50,910.85,895.60,905.00,903.55,904.33,91835,11168,42564,46.35
24-Jan-2017,903.55,904.60,906.30,895.05,898.90,898.80,899.78,234915,22783,178461,75.97
25-Jan-2017,898.80,900.60,903.45,892.10,896.20,897.45,897.10,354684,35342,229455,64.69
27-Jan-2017,897.45,900.00,914.70,875.85,878.50,878.90,889.99,864410,30170,304962,35.28
30-Jan-2017,878.90,864.55,887.20,861.30,884.75,885.65,877.58,802119,34411,498316,62.12
31-Jan-2017,885.65,882.00,895.00,880.00,889.90,887.65,890.11,316931,15238,222915,70.34
01-Feb-2017,887.65,887.00,897.90,885.40,894.40,894.50,891.84,217014,10134,130145,59.97
02-Feb-2017,894.50,890.00,910.60,885.70,904.70,905.65,898.83,452707,24567,283726,62.67
03-Feb-2017,905.65,906.00,908.55,898.30,900.10,902.70,900.78,591471,16797,489797,82.81
06-Feb-2017,902.70,902.00,914.40,889.00,893.00,892.85,895.99,455516,16239,298989,65.64
07-Feb-2017,892.85,897.00,902.00,889.80,896.00,893.15,896.63,933995,13037,828414,88.70
08-Feb-2017,893.15,896.10,897.00,880.50,885.10,884.35,886.41,401889,31395,286153,71.20
09-Feb-2017,884.35,887.00,891.00,879.60,886.00,884.20,883.53,389055,11172,285230,73.31
10-Feb-2017,884.20,891.90,898.50,885.60,891.75,890.90,891.30,322347,10621,194077,60.21
13-Feb-2017,890.90,891.00,895.00,886.25,890.00,889.55,889.39,212907,9649,143207,67.26
14-Feb-2017,889.55,894.50,894.50,880.00,883.00,881.80,882.14,237461,14206,174534,73.50
15-Feb-2017,881.80,883.70,884.65,878.00,884.40,883.15,882.39,216902,10401,148489,68.46
16-Feb-2017,883.15,885.00,912.25,879.95,906.50,907.35,896.22,5167839,13781,5014792,97.04
17-Feb-2017,907.35,910.00,923.95,901.10,917.05,911.50,914.62,501750,20073,262896,52.40
20-Feb-2017,911.50,904.60,928.80,904.60,921.50,923.10,921.05,595321,27820,430062,72.24
21-Feb-2017,923.10,924.00,927.30,910.30,912.00,913.55,918.03,406933,21666,294128,72.28
22-Feb-2017,913.55,913.00,913.00,895.10,899.40,899.85,903.62,241649,33893,170840,70.70
23-Feb-2017,899.85,901.15,902.95,886.15,895.00,893.20,894.84,641831,46717,463198,72.17
27-Feb-2017,893.20,895.10,901.70,887.25,891.55,889.85,894.00,394352,24400,295375,74.90
28-Feb-2017,889.85,890.00,915.95,890.00,898.60,900.25,901.77,561745,30701,378457,67.37
01-Mar-2017,900.25,900.50,900.95,888.60,894.00,897.30,893.27,496112,11876,350921,70.73
02-Mar-2017,897.30,896.90,906.30,890.05,892.00,892.20,894.73,426378,9750,299116,70.15
03-Mar-2017,892.20,892.90,914.00,889.55,913.00,910.35,906.02,308640,15051,145006,46.98
06-Mar-2017,910.35,909.00,915.65,905.90,910.00,909.75,909.24,108270,4491,55226,51.01
07-Mar-2017,909.75,911.50,929.00,907.30,928.50,927.30,920.68,634523,17928,472059,74.40
08-Mar-2017,927.30,933.10,940.00,928.55,932.00,933.75,934.85,574423,16094,238374,41.50
09-Mar-2017,933.75,938.00,947.60,927.30,944.90,944.40,939.08,495105,14298,291315,58.84
10-Mar-2017,944.40,945.10,948.80,936.60,943.00,946.10,943.38,200127,5484,92526,46.23
14-Mar-2017,946.10,950.00,964.80,948.05,952.50,953.10,958.50,581162,14845,376601,64.80
15-Mar-2017,953.10,959.95,961.45,949.05,956.90,956.70,954.54,239642,7077,137883,57.54
16-Mar-2017,956.70,965.00,981.80,964.40,975.50,978.70,973.89,650499,19346,487377,74.92
17-Mar-2017,978.70,980.00,995.80,977.50,989.55,988.90,987.40,615074,14242,325432,52.91
20-Mar-2017,988.90,990.00,993.00,978.25,982.00,981.50,987.39,326820,14722,204264,62.50
21-Mar-2017,981.50,981.55,993.00,978.80,979.00,980.65,981.42,753702,13619,651450,86.43
22-Mar-2017,980.65,975.00,984.70,971.25,977.85,980.15,979.69,433198,20678,264601,61.08
23-Mar-2017,980.15,981.25,989.45,980.00,980.55,981.60,982.83,200423,9177,135844,67.78
24-Mar-2017,981.60,982.70,986.10,976.00,979.50,979.90,980.67,138160,15098,99858,72.28
27-Mar-2017,979.90,989.40,989.40,979.15,983.00,983.10,983.05,208728,5383,127229,60.95
28-Mar-2017,983.10,984.25,990.00,980.10,986.80,987.55,985.13,101786,5253,69023,67.81
29-Mar-2017,987.55,995.00,998.05,986.75,990.00,991.20,993.06,381954,20756,296145,77.53
30-Mar-2017,991.20,993.00,1016.80,990.95,1004.15,1008.10,1006.44,533544,27618,357938,67.09
31-Mar-2017,1008.10,1010.00,1011.95,990.95,992.50,995.50,999.29,653621,16715,571439,87.43
03-Apr-2017,995.50,997.60,1011.45,995.60,1004.05,1006.60,1007.39,579938,11376,507067,87.43
05-Apr-2017,1006.60,1007.75,1028.00,999.15,1003.00,1002.70,1012.51,615910,21607,410956,66.72
06-Apr-2017,1002.70,1003.90,1010.70,1001.30,1007.65,1006.15,1007.13,151046,7738,93665,62.01
07-Apr-2017,1006.15,1014.40,1021.75,1003.20,1012.50,1011.25,1015.46,381504,20877,264533,69.34
10-Apr-2017,1011.25,997.15,1030.45,997.15,1015.20,1015.25,1019.57,363009,16824,212806,58.62
11-Apr-2017,1015.25,1009.00,1024.90,1008.10,1019.05,1021.05,1019.35,272397,18353,189184,69.45
12-Apr-2017,1021.05,1019.90,1027.00,1011.60,1022.00,1022.15,1022.95,553293,20472,433355,78.32
13-Apr-2017,1022.15,1022.00,1026.40,1010.30,1015.00,1015.35,1017.78,325891,6790,265115,81.35
17-Apr-2017,1015.35,1012.30,1013.85,998.00,1001.00,1002.65,1003.97,128164,4723,75228,58.70
18-Apr-2017,1002.65,1005.00,1009.25,988.05,991.00,990.40,995.78,144622,8089,93794,64.85
19-Apr-2017,990.40,990.25,992.85,980.00,989.40,989.05,988.55,263447,4604,195659,74.27
20-Apr-2017,989.05,985.00,1008.80,985.00,1006.00,1006.50,995.51,468861,19001,355569,75.84
21-Apr-2017,1006.50,1008.00,1044.35,1007.00,1040.65,1032.95,1022.33,967995,34300,738375,76.28
24-Apr-2017,1032.95,1037.50,1045.00,1025.50,1029.00,1036.35,1034.96,228892,11506,109944,48.03
25-Apr-2017,1036.35,1026.00,1045.15,1016.80,1045.00,1040.70,1031.40,241957,5727,168500,69.64
26-Apr-2017,1040.70,1041.85,1047.25,1025.00,1041.00,1040.45,1040.97,244362,8201,156206,63.92
27-Apr-2017,1040.45,1035.00,1047.80,1031.30,1035.95,1035.40,1040.00,126187,5587,70101,55.55
28-Apr-2017,1035.40,1036.55,1044.00,1029.95,1031.80,1035.75,1038.44,96981,5598,49214,50.75
02-May-2017,1035.75,1025.75,1036.90,994.00,1035.00,1033.45,1025.28,726316,13380,593739,81.75
03-May-2017,1033.45,1036.50,1039.00,1028.00,1032.35,1037.30,1033.03,103206,8537,48496,46.99
04-May-2017,1037.30,1033.00,1049.00,1031.05,1038.00,1041.90,1042.42,428114,17204,314753,73.52
05-May-2017,1041.90,1044.80,1045.90,1008.65,1010.00,1012.95,1020.97,230131,18619,141190,61.35
08-May-2017,1012.95,1016.00,1020.95,980.70,982.25,986.15,997.76,186500,15227,128651,68.98
09-May-2017,986.15,996.80,1010.00,982.10,1005.00,1005.75,1002.20,295545,11032,161878,54.77
10-May-2017,1005.75,1008.00,1032.45,1004.85,1015.15,1019.45,1019.72,242587,8679,125149,51.59
11-May-2017,1019.45,1017.00,1026.00,1006.50,1013.00,1009.65,1017.84,155938,8356,93607,60.03
12-May-2017,1009.65,1012.00,1020.70,1007.00,1010.20,1014.10,1013.74,202159,6981,122797,60.74
15-May-2017,1014.10,1014.00,1029.95,978.00,996.60,994.35,996.27,916348,30748,229405,25.03
16-May-2017,994.35,969.85,985.00,966.75,985.00,976.60,975.63,1007946,18348,697531,69.20
17-May-2017,976.60,977.00,980.10,971.20,976.25,976.50,975.32,852062,12841,748593,87.86
18-May-2017,976.50,987.00,995.35,975.95,983.00,980.00,983.01,394384,12289,194801,49.39
19-May-2017,980.00,1018.00,1044.95,1009.55,1016.00,1016.40,1023.41,1211956,37461,428211,35.33
22-May-2017,1016.40,1025.00,1031.80,1000.50,1002.00,1003.60,1014.37,156396,6558,57268,36.62
23-May-2017,1003.60,1008.50,1010.95,985.00,987.00,987.10,993.69,153100,7680,54315,35.48
24-May-2017,987.10,988.75,1010.30,983.90,990.00,989.90,998.39,342061,10726,194733,56.93
