DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,1508.50,1508.00,1540.00,1505.00,1517.20,1517.95,1528.23,233551,16401,88698,37.98
03-Aug-2016,1517.95,1524.90,1530.10,1476.80,1478.00,1485.15,1501.53,119004,13169,53856,45.26
04-Aug-2016,1485.15,1506.90,1507.30,1426.80,1437.00,1437.70,1448.77,228393,18247,125249,54.84
05-Aug-2016,1437.70,1444.00,1455.00,1410.00,1437.55,1442.65,1430.72,186667,15421,84260,45.14
08-Aug-2016,1442.65,1450.00,1454.25,1403.55,1429.90,1431.95,1427.70,108955,10778,53525,49.13
09-Aug-2016,1431.95,1443.00,1482.55,1425.35,1460.00,1458.95,1458.32,270677,20746,92927,34.33
10-Aug-2016,1458.95,1425.00,1495.00,1425.00,1458.00,1467.35,1469.47,392793,24695,150513,38.32
11-Aug-2016,1467.35,1452.00,1460.00,1405.10,1421.15,1418.90,1422.45,122594,11197,48084,39.22
12-Aug-2016,1418.90,1431.40,1437.00,1391.60,1399.00,1397.55,1408.42,153165,16748,85092,55.56
16-Aug-2016,1397.55,1400.00,1416.55,1395.30,1398.25,1399.15,1400.43,135818,25914,97734,71.96
17-Aug-2016,1399.15,1399.00,1414.40,1396.70,1411.50,1410.05,1408.42,157526,23980,112330,71.31
18-Aug-2016,1410.05,1414.00,1416.90,1386.20,1389.00,1388.90,1398.89,110945,17696,58412,52.65
19-Aug-2016,1388.90,1390.00,1390.00,1362.20,1362.50,1366.45,1372.85,183810,21104,122507,66.65
22-Aug-2016,1366.45,1366.00,1383.80,1358.00,1368.90,1364.20,1368.47,100456,6798,52053,51.82
23-Aug-2016,1364.20,1374.40,1378.45,1341.00,1353.45,1354.35,1357.06,95027,9553,53691,56.50
24-Aug-2016,1354.35,1354.35,1369.00,1350.00,1360.00,1362.10,1360.73,75620,9913,38502,50.92
25-Aug-2016,1362.10,1362.00,1390.00,1351.00,1363.05,1376.35,1375.78,366865,10845,63517,17.31
26-Aug-2016,1376.35,1369.00,1380.70,1360.00,1369.95,1366.05,1367.81,65700,7267,32639,49.68
29-Aug-2016,1366.05,1377.70,1382.00,1359.10,1369.85,1373.75,1368.22,45443,6539,20078,44.18
30-Aug-2016,1373.75,1383.75,1383.75,1365.80,1372.00,1373.05,1373.70,119095,18256,74195,62.30
31-Aug-2016,1373.05,1375.00,1414.70,1365.00,1401.00,1394.55,1397.07,178283,16599,95214,53.41
01-Sep-2016,1394.55,1400.00,1406.95,1380.10,1387.00,1389.10,1393.19,54100,4173,25901,47.88
02-Sep-2016,1389.10,1395.00,1395.35,1365.00,1372.05,1374.05,1374.88,101990,10241,70689,69.31
06-Sep-2016,1374.05,1376.40,1384.80,1363.00,1373.55,1375.20,1376.18,219819,22695,179049,81.45
07-Sep-2016,1375.20,1380.85,1391.55,1374.10,1379.95,1379.65,1381.00,79003,9809,46110,58.36
08-Sep-2016,1379.65,1386.65,1387.45,1370.65,1377.00,1382.20,1380.70,58564,7493,38496,65.73
09-Sep-2016,1382.20,1389.90,1391.00,1366.00,1369.45,1371.05,1376.26,72053,9850,42117,58.45
12-Sep-2016,1371.05,1355.30,1363.45,1311.00,1318.95,1319.55,1329.60,95919,9784,49546,51.65
14-Sep-2016,1319.55,1328.00,1336.50,1287.70,1300.00,1299.10,1301.69,211345,12882,138265,65.42
15-Sep-2016,1299.10,1300.00,1305.00,1265.55,1286.00,1286.20,1280.63,191583,14292,113518,59.25
16-Sep-2016,1286.20,1298.00,1327.00,1290.00,1304.85,1299.85,1303.81,290364,18903,183095,63.06
19-Sep-2016,1299.85,1311.90,1317.90,1296.45,1300.05,1308.40,1303.45,158030,14508,120975,76.55
20-Sep-2016,1308.40,1308.40,1323.00,1303.95,1308.00,1309.35,1310.10,84135,8435,48203,57.29
21-Sep-2016,1309.35,1308.95,1336.95,1305.00,1321.50,1324.45,1314.45,214402,14993,152824,71.28
22-Sep-2016,1324.45,1335.00,1344.00,1324.20,1335.00,1336.10,1334.39,76539,5254,25484,33.30
23-Sep-2016,1336.10,1340.00,1364.50,1334.40,1336.10,1336.85,1343.26,284737,19946,224968,79.01
26-Sep-2016,1336.85,1336.90,1351.85,1330.00,1337.00,1336.90,1338.18,92791,9249,65922,71.04
27-Sep-2016,1336.90,1339.35,1355.00,1335.70,1350.00,1351.70,1349.76,174303,14612,128075,73.48
28-Sep-2016,1351.70,1352.40,1369.95,1350.80,1363.00,1362.65,1362.14,96045,9369,65738,68.44
29-Sep-2016,1362.65,1368.15,1374.00,1304.00,1347.20,1356.25,1354.85,928504,20754,412573,44.43
30-Sep-2016,1356.25,1354.90,1385.20,1312.00,1373.10,1379.40,1351.90,192317,15390,97248,50.57
03-Oct-2016,1379.40,1379.00,1390.00,1364.30,1380.85,1385.00,1379.20,56499,4782,31852,56.38
04-Oct-2016,1385.00,1382.00,1389.60,1371.00,1377.10,1381.80,1379.55,50149,5458,28541,56.91
05-Oct-2016,1381.80,1381.00,1415.00,1378.45,1404.10,1404.10,1393.01,107777,6611,45005,41.76
06-Oct-2016,1404.10,1405.10,1422.80,1386.70,1396.25,1396.70,1399.29,111926,5153,42407,37.89
07-Oct-2016,1396.70,1396.00,1413.05,1382.00,1389.50,1401.70,1401.42,111299,4606,75801,68.11
