DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,258.40,258.50,259.90,243.65,249.50,247.50,251.29,799339,7079,460691,57.63
03-Aug-2016,247.50,248.00,251.00,243.00,245.00,244.10,247.29,421328,4350,293968,69.77
04-Aug-2016,244.10,245.00,254.00,242.70,253.50,252.35,249.13,367794,5828,187281,50.92
05-Aug-2016,252.35,253.00,258.90,252.00,254.00,256.05,255.62,382232,4643,210324,55.03
08-Aug-2016,256.05,257.00,260.50,255.00,260.00,259.80,258.21,378616,11181,193684,51.16
09-Aug-2016,259.80,258.05,262.40,250.75,257.00,258.05,257.31,324029,4395,154783,47.77
10-Aug-2016,258.05,256.65,264.90,254.10,262.00,263.35,260.96,432907,4378,287922,66.51
11-Aug-2016,263.35,263.85,266.85,257.25,258.40,259.45,261.95,199414,3496,85950,43.10
12-Aug-2016,259.45,261.80,263.70,255.00,258.10,257.75,259.71,154043,2432,79874,51.85
16-Aug-2016,257.75,256.10,264.80,256.10,263.50,263.75,262.29,150810,4565,75016,49.74
17-Aug-2016,263.75,264.50,276.60,261.30,271.00,270.95,271.40,748505,6556,508013,67.87
18-Aug-2016,270.95,272.10,275.05,270.10,273.50,272.45,273.10,269629,5262,169804,62.98
19-Aug-2016,272.45,274.25,274.30,268.05,270.05,270.65,270.76,99103,1437,60379,60.93
22-Aug-2016,270.65,269.00,278.80,266.50,276.00,275.40,274.72,324875,4471,128470,39.54
23-Aug-2016,275.40,277.45,277.45,268.50,268.65,269.45,273.12,201856,3788,80028,39.65
24-Aug-2016,269.45,268.00,274.90,268.00,270.00,270.20,271.45,127403,2614,52455,41.17
25-Aug-2016,270.20,271.50,274.85,269.75,272.65,271.75,272.31,94534,2734,36144,38.23
26-Aug-2016,271.75,273.65,273.65,265.00,267.40,267.35,268.36,105300,2550,41608,39.51
29-Aug-2016,267.35,268.00,269.00,261.35,264.10,264.10,264.74,75981,3349,41516,54.64
30-Aug-2016,264.10,266.50,272.30,260.65,271.00,270.40,268.79,118713,2577,63917,53.84
31-Aug-2016,270.40,271.00,272.50,266.00,269.75,269.15,268.76,89652,2565,46215,51.55
01-Sep-2016,269.15,270.00,271.30,262.40,265.00,264.30,266.33,50042,1351,35049,70.04
02-Sep-2016,264.30,267.00,268.80,264.00,265.50,266.75,267.14,50022,1047,29583,59.14
06-Sep-2016,266.75,267.80,281.05,265.60,267.80,272.05,274.26,322168,5259,165109,51.25
07-Sep-2016,272.05,274.95,274.95,263.00,263.00,264.25,267.50,121329,4148,81793,67.41
08-Sep-2016,264.25,264.25,269.95,263.05,266.70,266.95,267.43,163328,4479,99286,60.79
09-Sep-2016,266.95,268.60,268.60,256.00,259.35,257.25,259.38,119111,4306,83539,70.14
12-Sep-2016,257.25,252.00,256.50,247.15,249.00,251.30,253.44,91467,1775,61511,67.25
14-Sep-2016,251.30,251.15,262.90,249.15,251.50,253.80,254.83,205157,3538,128289,62.53
15-Sep-2016,253.80,251.85,255.70,251.00,253.90,252.95,253.31,98797,1296,70914,71.78
