DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,128.00,127.70,128.50,124.15,126.00,125.55,125.13,418817,11930,249295,59.52
03-Aug-2016,125.55,125.75,128.55,124.05,124.40,124.75,125.56,201629,2211,109164,54.14
04-Aug-2016,124.75,124.30,125.95,123.30,123.75,124.30,124.34,210096,3387,121671,57.91
05-Aug-2016,124.30,124.80,125.70,124.00,124.05,124.85,124.80,152332,3340,114968,75.47
08-Aug-2016,124.85,125.00,128.00,124.40,128.00,127.65,126.07,186676,2560,122559,65.65
09-Aug-2016,127.65,127.15,130.50,126.65,130.30,130.00,129.02,235678,1975,157096,66.66
10-Aug-2016,130.00,131.00,136.40,128.10,130.60,130.75,131.69,1960256,14116,481705,24.57
11-Aug-2016,130.75,130.75,130.90,128.35,129.00,129.30,129.22,250285,2100,172574,68.95
12-Aug-2016,129.30,128.30,129.30,125.85,128.00,127.95,127.27,282680,3120,191403,67.71
16-Aug-2016,127.95,127.50,129.95,126.95,129.80,129.55,128.68,228756,1886,131238,57.37
17-Aug-2016,129.55,130.00,130.20,127.90,129.00,129.15,129.07,135325,1109,77609,57.35
18-Aug-2016,129.15,129.65,134.40,129.25,134.30,133.80,131.79,487546,3906,356369,73.09
19-Aug-2016,133.80,135.00,136.40,133.85,134.20,134.90,135.18,292163,3385,156929,53.71
22-Aug-2016,134.90,134.40,134.40,125.45,133.45,133.45,132.30,282330,7561,167637,59.38
23-Aug-2016,133.45,133.10,133.80,131.00,133.40,132.85,132.40,155629,1164,97982,62.96
24-Aug-2016,132.85,132.40,133.50,128.10,128.20,129.60,131.19,247875,1870,183648,74.09
25-Aug-2016,129.60,130.10,131.90,129.80,131.00,131.15,130.99,273793,2984,157810,57.64
26-Aug-2016,131.15,131.60,131.60,127.65,130.05,129.95,129.44,235995,1424,161279,68.34
29-Aug-2016,129.95,129.75,131.90,128.10,130.80,131.05,130.04,185114,2154,119266,64.43
30-Aug-2016,131.05,131.55,134.95,130.85,133.90,134.10,133.07,336521,3031,167046,49.64
31-Aug-2016,134.10,134.25,136.00,129.60,131.70,131.70,133.48,296749,1784,184522,62.18
01-Sep-2016,131.70,132.20,132.50,130.00,131.55,131.90,131.43,183972,1631,107358,58.36
02-Sep-2016,131.90,132.35,133.95,131.00,133.30,133.25,132.45,316984,1442,237843,75.03
06-Sep-2016,133.25,133.20,134.50,128.20,130.45,129.55,130.82,775384,6438,501525,64.68
07-Sep-2016,129.55,132.55,133.00,129.75,131.00,131.75,131.50,295775,3115,144190,48.75
08-Sep-2016,131.75,131.35,135.90,131.35,135.00,135.15,134.61,571333,2910,268486,46.99
09-Sep-2016,135.15,134.65,147.90,131.90,139.00,139.15,140.47,1809928,11472,788455,43.56
12-Sep-2016,139.15,138.15,138.15,133.80,135.65,135.75,136.04,501681,5801,401704,80.07
14-Sep-2016,135.75,134.10,135.80,132.35,133.00,133.65,134.09,534423,9333,410332,76.78
15-Sep-2016,133.65,134.15,134.65,131.60,132.50,132.25,132.50,236497,2547,152924,64.66
16-Sep-2016,132.25,133.00,135.25,131.70,131.85,132.15,134.11,728590,7336,542087,74.40
19-Sep-2016,132.15,133.45,133.45,130.40,130.90,130.95,131.32,284893,2226,202366,71.03
20-Sep-2016,130.95,130.15,132.00,129.10,129.85,130.35,130.25,271304,1963,197970,72.97
21-Sep-2016,130.35,130.35,132.40,129.65,131.50,131.65,131.23,157645,1316,80969,51.36
22-Sep-2016,131.65,132.00,134.00,129.55,130.00,130.35,131.13,329800,2168,201237,61.02
23-Sep-2016,130.35,130.85,131.10,128.20,129.20,128.75,129.78,354181,1494,281516,79.48
26-Sep-2016,128.75,129.20,131.50,128.75,131.25,130.60,129.88,290877,1764,183429,63.06
27-Sep-2016,130.60,131.10,132.00,130.20,131.00,130.95,130.98,448375,2111,368547,82.20
28-Sep-2016,130.95,131.00,133.50,130.95,132.80,132.85,132.25,523954,2851,364824,69.63
29-Sep-2016,132.85,133.00,133.90,130.50,133.25,132.95,131.84,902771,3030,646766,71.64
30-Sep-2016,132.95,131.55,133.00,130.05,132.60,132.10,131.33,500039,3764,315856,63.17
03-Oct-2016,132.10,131.60,142.00,131.55,135.50,135.30,133.76,1491254,4736,1240575,83.19
04-Oct-2016,135.30,136.30,139.90,134.00,139.00,138.60,136.59,556290,3180,397795,71.51
05-Oct-2016,138.60,138.60,139.10,134.50,137.95,137.60,135.61,840854,2861,682977,81.22
06-Oct-2016,137.60,137.90,138.90,135.05,136.50,136.70,136.40,200908,1920,104930,52.23
07-Oct-2016,136.70,138.80,138.80,134.90,137.25,137.60,136.42,204105,1590,125134,61.31
10-Oct-2016,137.60,137.55,140.80,137.50,139.45,140.05,138.90,263168,11254,182413,69.31
13-Oct-2016,140.05,140.00,141.60,135.80,140.00,140.65,138.88,737332,5811,572001,77.58
14-Oct-2016,140.65,140.15,145.95,140.00,143.10,143.90,143.70,439179,5199,252010,57.38
17-Oct-2016,143.90,145.40,145.40,140.20,142.50,143.00,142.45,756661,2394,632569,83.60
18-Oct-2016,143.00,142.50,144.50,141.70,142.45,142.30,142.58,207107,2233,132418,63.94
19-Oct-2016,142.30,141.80,143.90,141.40,142.45,143.00,142.67,1403717,1409,1319240,93.98
20-Oct-2016,143.00,142.55,150.00,141.65,147.00,146.00,148.20,2947495,8636,1858629,63.06
21-Oct-2016,146.00,147.10,147.25,143.80,144.00,144.20,144.62,961087,6526,884785,92.06
24-Oct-2016,144.20,146.80,148.00,141.50,141.95,142.50,143.98,673722,11733,497840,73.89
25-Oct-2016,142.50,143.00,145.40,142.95,144.50,143.95,144.05,430459,6285,258927,60.15
26-Oct-2016,143.95,144.95,145.90,143.10,144.00,144.40,144.70,279521,5259,177755,63.59
27-Oct-2016,144.40,144.40,146.15,142.70,145.00,145.25,144.46,1222782,2218,1134828,92.81
28-Oct-2016,145.25,145.65,150.00,145.05,150.00,149.15,148.87,4289189,7440,3605288,84.06
30-Oct-2016,149.15,149.40,150.90,149.00,149.50,149.60,149.78,77623,910,50706,65.32
01-Nov-2016,149.60,149.10,150.95,147.50,149.05,149.60,148.71,615890,8300,491081,79.74
02-Nov-2016,149.60,149.00,150.90,147.95,150.00,150.05,149.64,694983,5161,584150,84.05
03-Nov-2016,150.05,150.00,150.55,148.80,149.50,149.50,149.56,355867,4739,269801,75.82
04-Nov-2016,149.50,150.00,150.00,144.50,149.50,149.55,148.39,650508,5799,460848,70.84
07-Nov-2016,149.55,151.00,151.00,149.15,150.05,150.50,149.74,2904311,7752,2761792,95.09
08-Nov-2016,150.50,152.00,152.00,150.55,151.50,151.60,151.51,383125,2804,263310,68.73
09-Nov-2016,151.60,145.60,149.90,143.45,147.90,147.50,146.87,2067436,7946,1846324,89.31
10-Nov-2016,147.50,149.80,152.50,147.70,151.00,151.15,150.18,3866092,15588,2732852,70.69
11-Nov-2016,151.15,151.50,153.00,142.80,143.00,148.85,149.97,2697015,12169,2396654,88.86
15-Nov-2016,148.85,145.85,146.65,138.00,138.75,139.55,141.59,724047,16567,509011,70.30
16-Nov-2016,139.55,141.00,143.25,133.35,134.60,134.85,137.89,371782,7487,270818,72.84
17-Nov-2016,134.85,136.00,138.00,131.00,131.50,131.60,133.81,503464,24226,313735,62.32
18-Nov-2016,131.60,131.60,139.20,128.00,137.50,137.50,132.87,649847,18322,389860,59.99
21-Nov-2016,137.50,138.00,141.00,128.50,128.80,129.90,135.26,1294254,40612,926508,71.59
22-Nov-2016,129.90,131.00,134.95,129.40,134.30,134.45,133.42,696513,4012,583767,83.81
23-Nov-2016,134.45,136.90,136.90,131.10,134.50,134.30,133.26,282476,4079,146312,51.80
24-Nov-2016,134.30,134.70,134.70,130.20,130.95,130.90,131.62,517397,7358,310259,59.97
25-Nov-2016,130.90,133.25,139.00,131.50,136.20,137.45,135.46,550646,7457,357385,64.90
28-Nov-2016,137.45,137.40,137.40,133.50,134.70,134.30,135.26,244937,3860,164918,67.33
29-Nov-2016,134.30,137.00,137.00,133.00,133.70,134.30,135.15,174437,4201,104398,59.85
30-Nov-2016,134.30,135.30,138.60,133.65,135.00,134.70,135.24,1937180,8561,1675104,86.47
01-Dec-2016,134.70,135.70,137.10,133.10,135.10,136.45,135.17,925194,3635,764461,82.63
02-Dec-2016,136.45,135.45,137.00,133.70,135.05,135.40,135.13,285761,1744,174141,60.94
05-Dec-2016,135.40,136.35,138.75,134.15,138.40,137.60,136.67,430287,10474,273346,63.53
06-Dec-2016,137.60,138.00,140.00,137.20,139.90,139.55,138.48,350840,3980,252790,72.05
07-Dec-2016,139.55,140.00,140.90,138.10,138.10,139.10,139.84,216986,2846,97293,44.84
08-Dec-2016,139.10,138.40,139.00,137.50,137.90,138.00,138.14,152310,2587,109271,71.74
09-Dec-2016,138.00,138.00,138.70,134.80,135.30,135.25,135.99,726668,3128,651525,89.66
12-Dec-2016,135.25,135.50,135.65,133.15,134.50,134.10,134.18,146537,1938,83677,57.10
13-Dec-2016,134.10,133.80,135.50,133.55,133.75,133.90,134.03,613686,3300,566395,92.29
14-Dec-2016,133.90,134.00,135.00,129.40,129.80,130.15,133.05,568206,4861,428798,75.47
15-Dec-2016,130.15,130.00,132.15,129.55,130.90,130.15,130.79,283473,5124,166121,58.60
16-Dec-2016,130.15,131.65,131.65,128.10,128.50,129.65,130.32,213750,3592,140677,65.81
19-Dec-2016,129.65,132.25,132.25,129.20,129.20,129.65,129.99,190149,4266,125552,66.03
20-Dec-2016,129.65,129.65,132.90,128.00,132.70,132.70,130.54,818506,5748,722988,88.33
21-Dec-2016,132.70,132.10,132.85,129.50,129.80,129.65,130.26,331774,7742,244742,73.77
22-Dec-2016,129.65,128.75,130.85,128.75,129.50,129.75,129.88,179518,4602,126456,70.44
23-Dec-2016,129.75,129.35,132.70,129.10,130.60,131.25,130.78,147184,4785,85105,57.82
26-Dec-2016,131.25,132.60,132.60,129.10,131.80,131.55,130.48,151912,4505,96470,63.50
27-Dec-2016,131.55,131.25,132.40,129.50,130.20,130.70,130.92,117513,1730,53066,45.16
28-Dec-2016,130.70,129.65,131.00,127.10,128.00,128.40,129.41,263182,1990,167182,63.52
29-Dec-2016,128.40,130.00,130.40,128.00,129.00,128.85,129.15,149730,1171,108540,72.49
30-Dec-2016,128.85,130.05,131.00,128.20,129.10,129.15,129.52,2769481,2034,2639732,95.32
02-Jan-2017,129.15,130.15,131.80,128.20,129.05,129.70,129.62,238176,3719,144396,60.63
03-Jan-2017,129.70,130.90,132.75,128.70,132.55,132.35,130.51,459450,2119,348665,75.89
04-Jan-2017,132.35,133.90,133.90,130.30,131.70,131.35,131.61,251694,4015,168006,66.75
05-Jan-2017,131.35,133.70,135.35,132.05,135.30,135.05,133.72,277518,3294,200639,72.30
06-Jan-2017,135.05,139.55,139.55,136.05,139.00,138.80,137.86,258934,4357,182326,70.41
09-Jan-2017,138.80,139.75,140.00,137.55,138.00,139.35,139.21,311180,5932,232268,74.64
10-Jan-2017,139.35,138.80,139.00,136.55,138.95,138.35,137.70,319985,4221,254153,79.43
11-Jan-2017,138.35,138.35,139.90,138.20,139.25,139.05,139.13,348517,2274,305356,87.62
12-Jan-2017,139.05,140.00,140.00,135.50,137.00,136.20,137.09,231074,2417,162525,70.33
13-Jan-2017,136.20,138.50,142.65,136.55,142.25,141.50,140.05,281832,2796,162929,57.81
16-Jan-2017,141.50,141.00,143.00,138.05,142.05,142.60,141.28,260862,5598,153539,58.86
17-Jan-2017,142.60,142.30,144.00,139.60,143.85,143.05,141.97,218288,4016,152054,69.66
18-Jan-2017,143.05,142.60,144.00,140.00,141.20,141.25,141.62,265540,2296,190297,71.66
19-Jan-2017,141.25,141.30,143.50,139.50,139.80,140.00,141.40,389530,3302,275251,70.66
20-Jan-2017,140.00,140.45,142.70,139.00,142.00,142.00,140.74,292003,4267,201223,68.91
23-Jan-2017,142.00,140.50,145.35,139.45,144.70,144.95,141.99,544236,2837,374456,68.80
24-Jan-2017,144.95,145.60,145.60,142.95,144.00,143.80,144.24,631293,3439,535945,84.90
25-Jan-2017,143.80,143.85,150.00,143.50,149.05,148.10,145.70,950774,3090,805594,84.73
27-Jan-2017,148.10,149.35,155.00,148.50,153.90,154.60,152.67,935141,7135,611437,65.38
30-Jan-2017,154.60,154.10,154.10,143.75,144.20,144.95,147.04,619758,4800,384618,62.06
31-Jan-2017,144.95,145.95,151.00,143.05,147.95,150.05,147.45,346402,3209,186830,53.93
01-Feb-2017,150.05,149.90,154.50,147.55,152.50,153.55,151.89,500169,4364,265385,53.06
02-Feb-2017,153.55,153.05,161.00,150.10,160.05,160.15,157.30,826574,8598,547596,66.25
03-Feb-2017,160.15,159.15,166.00,159.15,165.00,165.50,163.61,1028290,7851,813861,79.15
06-Feb-2017,165.50,165.00,168.50,163.50,166.00,166.70,166.42,474649,7648,280387,59.07
07-Feb-2017,166.70,166.70,166.70,161.75,162.70,162.55,164.21,255211,5302,185543,72.70
08-Feb-2017,162.55,163.80,166.95,155.55,157.55,157.40,160.68,1038473,10949,297976,28.69
09-Feb-2017,157.40,160.60,160.60,147.35,151.00,150.15,150.99,1311770,13552,922770,70.35
10-Feb-2017,150.15,150.85,158.50,150.55,155.80,156.55,155.54,938326,10862,604833,64.46
13-Feb-2017,156.55,157.00,157.00,152.40,153.30,153.85,154.10,388358,5838,301939,77.75
14-Feb-2017,153.85,154.15,155.60,149.00,150.00,150.50,150.75,458170,7184,307933,67.21
15-Feb-2017,150.50,150.50,155.95,149.90,154.95,155.25,153.87,582303,9579,296046,50.84
16-Feb-2017,155.25,154.95,155.50,151.95,152.75,152.60,153.55,232763,5529,138195,59.37
17-Feb-2017,152.60,154.75,154.75,149.50,150.40,151.05,150.46,1710323,4119,1567387,91.64
20-Feb-2017,151.05,151.95,152.50,149.20,150.00,150.00,150.50,662720,4279,526841,79.50
21-Feb-2017,150.00,151.00,152.50,148.55,150.50,150.85,149.50,1925715,3989,1429489,74.23
22-Feb-2017,150.85,153.50,153.50,149.55,150.00,149.95,150.82,662104,6609,244526,36.93
23-Feb-2017,149.95,150.90,150.90,147.50,147.50,148.10,149.13,435503,2975,167984,38.57
27-Feb-2017,148.10,147.40,148.60,144.30,145.30,145.80,145.56,926352,7344,805469,86.95
28-Feb-2017,145.80,146.00,146.00,144.00,144.15,144.30,144.42,773407,2651,631922,81.71
01-Mar-2017,144.30,145.50,148.60,145.15,145.70,146.55,147.16,1112200,7728,642018,57.73
02-Mar-2017,146.55,148.50,148.50,144.00,144.25,144.45,145.68,301970,4278,196641,65.12
03-Mar-2017,144.45,145.10,145.70,143.20,144.00,143.95,144.77,341500,2573,194330,56.90
06-Mar-2017,143.95,145.90,147.90,142.35,143.55,143.20,144.22,311990,3161,177791,56.99
07-Mar-2017,143.20,142.30,144.55,140.70,140.75,141.40,142.58,329366,3327,198199,60.18
08-Mar-2017,141.40,141.80,143.15,140.20,140.80,141.05,141.31,415675,6159,248354,59.75
09-Mar-2017,141.05,141.70,141.70,136.50,137.50,137.60,138.76,431728,6557,291714,67.57
10-Mar-2017,137.60,139.20,140.15,137.05,137.50,137.75,138.28,976079,9060,613575,62.86
14-Mar-2017,137.75,142.00,142.40,138.65,139.75,139.85,140.41,853920,14415,553562,64.83
15-Mar-2017,139.85,141.35,148.50,141.00,148.50,148.10,146.48,1212658,11602,596013,49.15
16-Mar-2017,148.10,149.00,150.00,147.05,147.95,147.95,148.20,3156082,5779,2913603,92.32
17-Mar-2017,147.95,148.00,148.95,144.10,147.40,146.75,147.49,636265,5014,519637,81.67
20-Mar-2017,146.75,147.65,148.20,144.50,145.20,145.70,145.86,668864,5145,545809,81.60
21-Mar-2017,145.70,146.70,146.70,143.55,145.70,146.00,145.39,377075,4001,264253,70.08
22-Mar-2017,146.00,145.00,147.90,143.00,143.55,143.75,145.32,524409,8776,282252,53.82
23-Mar-2017,143.75,145.05,146.00,142.15,142.60,142.50,143.35,347422,3423,266826,76.80
24-Mar-2017,142.50,143.00,146.00,143.00,143.90,143.95,144.59,413853,9595,244704,59.13
27-Mar-2017,143.95,146.00,146.00,141.50,142.00,142.30,143.67,928866,10965,586887,63.18
28-Mar-2017,142.30,143.70,144.90,142.00,143.00,142.60,142.93,527389,6798,275354,52.21
29-Mar-2017,142.60,144.15,144.90,141.20,141.75,142.05,143.26,839878,6772,498095,59.31
30-Mar-2017,142.05,143.30,145.90,142.55,144.60,145.00,144.14,505790,6548,332211,65.68
31-Mar-2017,145.00,145.00,152.65,144.60,151.50,151.60,149.27,1078588,15654,663457,61.51
03-Apr-2017,151.60,151.00,153.50,150.20,151.15,151.65,151.62,378845,4373,217038,57.29
05-Apr-2017,151.65,152.90,154.40,151.10,152.25,152.65,152.40,373215,3502,204949,54.91
06-Apr-2017,152.65,152.65,154.85,151.85,152.35,152.85,153.50,389274,4606,211536,54.34
07-Apr-2017,152.85,153.40,155.00,152.05,153.30,152.95,153.28,364425,7824,146392,40.17
10-Apr-2017,152.95,153.90,154.00,151.50,153.40,153.10,152.62,1500432,1948,1414583,94.28
11-Apr-2017,153.10,153.90,154.50,152.65,153.60,153.50,153.73,273924,1918,168576,61.54
12-Apr-2017,153.50,154.90,154.90,147.25,150.10,149.35,150.33,1290777,7799,572806,44.38
13-Apr-2017,149.35,150.90,151.75,147.10,150.85,150.60,149.91,1131843,11372,712490,62.95
17-Apr-2017,150.60,152.00,152.00,148.35,150.35,150.20,150.05,278556,2942,139832,50.20
18-Apr-2017,150.20,151.50,153.00,147.90,148.60,148.60,151.79,929722,6712,689578,74.17
19-Apr-2017,148.60,148.50,149.05,146.95,148.50,148.55,148.07,555548,4948,419780,75.56
20-Apr-2017,148.55,149.95,149.95,147.60,148.80,148.60,148.53,250215,2141,140632,56.20
21-Apr-2017,148.60,149.00,151.50,148.50,150.20,149.20,149.65,350777,3218,214584,61.17
24-Apr-2017,149.20,150.00,152.10,148.50,151.30,151.80,150.91,330236,5739,190662,57.74
25-Apr-2017,151.80,151.90,153.90,149.40,152.80,152.95,152.36,1046330,4364,765041,73.12
26-Apr-2017,152.95,154.05,161.30,154.05,160.30,160.30,158.48,1911727,28094,1136358,59.44
27-Apr-2017,160.30,162.00,162.25,158.50,158.50,159.25,160.51,899524,8866,538333,59.85
28-Apr-2017,159.25,161.00,165.80,159.40,164.60,164.80,162.96,1027278,6349,600519,58.46
02-May-2017,164.80,164.95,165.00,161.75,164.45,164.30,163.69,644058,3529,457425,71.02
03-May-2017,164.30,165.90,167.95,163.50,165.20,165.60,165.82,991346,5672,654015,65.97
04-May-2017,165.60,167.25,167.50,163.15,164.55,164.55,164.47,672301,4904,520089,77.36
05-May-2017,164.55,166.85,170.20,164.15,167.40,166.95,167.90,811687,9128,435804,53.69
08-May-2017,166.95,166.80,166.80,163.80,166.30,165.65,164.93,673628,6815,449861,66.78
09-May-2017,165.65,166.25,169.15,165.50,169.15,168.50,167.92,340112,3454,205636,60.46
10-May-2017,168.50,168.10,169.90,167.85,168.55,168.40,168.43,835187,19231,744195,89.11
11-May-2017,168.40,168.40,175.75,168.40,173.30,173.25,173.09,843354,13840,511295,60.63
12-May-2017,173.25,174.95,174.95,171.20,174.00,173.80,173.70,581085,10455,406954,70.03
15-May-2017,173.80,173.50,184.00,172.00,180.90,181.80,180.54,1034957,12121,528529,51.07
16-May-2017,181.80,181.85,183.70,178.00,180.45,179.65,180.98,487004,7006,241453,49.58
17-May-2017,179.65,180.00,182.65,174.55,177.50,176.65,177.01,1240592,8267,922164,74.33
18-May-2017,176.65,177.50,177.75,174.10,174.60,174.70,175.12,276742,12847,187080,67.60
19-May-2017,174.70,174.00,175.40,166.50,169.50,169.35,170.59,284585,3884,199458,70.09
22-May-2017,169.35,172.00,172.00,163.05,163.85,164.05,166.34,277726,4321,200195,72.08
23-May-2017,164.05,168.00,169.85,162.05,168.20,168.15,166.10,378919,5793,226006,59.64
24-May-2017,168.15,168.00,170.90,165.80,167.90,167.50,167.95,381669,7049,296434,77.67
25-May-2017,167.50,167.00,169.00,164.75,168.35,168.30,167.06,318179,5552,207723,65.28
26-May-2017,168.30,169.90,172.90,163.75,172.00,171.90,168.11,501950,5126,295648,58.90
29-May-2017,171.90,172.90,181.85,164.25,165.00,165.20,171.90,1722527,14376,299587,17.39
30-May-2017,165.20,167.00,168.95,166.00,167.00,167.00,167.33,214797,2733,99248,46.21
31-May-2017,167.00,167.00,172.00,167.00,171.60,171.15,170.47,227387,3000,133548,58.73
01-Jun-2017,171.15,169.60,175.60,169.60,173.00,173.75,173.69,465698,5879,284275,61.04
02-Jun-2017,173.75,175.80,176.75,172.50,173.20,173.25,174.34,401661,4862,271829,67.68
05-Jun-2017,173.25,174.05,174.95,172.00,172.00,172.30,173.42,120640,1430,83419,69.15
06-Jun-2017,172.30,172.85,173.70,169.50,170.00,169.85,171.00,161368,1416,101220,62.73
07-Jun-2017,169.85,169.85,173.80,169.85,173.60,173.35,172.28,216118,2430,147736,68.36
08-Jun-2017,173.35,174.50,174.80,172.00,173.10,173.75,173.72,201180,1593,152596,75.85
09-Jun-2017,173.75,174.70,175.00,172.80,174.95,174.80,174.30,230204,2037,157502,68.42
12-Jun-2017,174.80,176.05,178.20,173.00,174.10,174.65,175.76,1872184,4439,1728324,92.32
13-Jun-2017,174.65,175.95,175.95,173.65,174.85,174.75,174.94,324428,5596,223586,68.92
14-Jun-2017,174.75,175.95,204.65,172.10,198.70,192.30,183.66,1330333,8343,1041354,78.28
15-Jun-2017,192.30,191.90,191.90,177.50,178.25,179.05,182.21,1181758,11667,485268,41.06
16-Jun-2017,179.05,178.00,184.85,178.00,182.70,182.65,182.51,1458845,6517,1106193,75.83
19-Jun-2017,182.65,184.90,184.90,181.50,183.40,183.40,183.30,188203,2123,115903,61.58
20-Jun-2017,183.40,184.90,184.90,177.60,178.45,178.60,181.94,659366,8579,569546,86.38
21-Jun-2017,178.60,179.80,182.10,179.00,180.30,180.85,180.83,176505,3576,97335,55.15
22-Jun-2017,180.85,180.00,182.45,178.50,180.00,179.75,180.07,311666,4218,167260,53.67
23-Jun-2017,179.75,181.70,181.70,178.60,179.75,179.35,179.74,227286,2421,145725,64.12
27-Jun-2017,179.35,180.05,182.05,177.70,178.50,178.85,179.01,847417,3977,771318,91.02
28-Jun-2017,178.85,180.85,181.50,176.75,178.00,177.50,177.79,170682,2257,99055,58.03
29-Jun-2017,177.50,177.60,183.70,177.60,181.80,182.20,179.88,811817,4871,657267,80.96
30-Jun-2017,182.20,181.00,182.10,176.20,177.70,176.85,178.31,365600,13792,264133,72.25
03-Jul-2017,176.85,178.45,182.00,176.40,181.80,180.80,179.13,242276,5569,164196,67.77
04-Jul-2017,180.80,184.35,184.70,180.65,183.00,182.10,182.48,284168,3006,187226,65.89
05-Jul-2017,182.10,183.00,184.00,177.60,177.85,179.60,180.46,355454,6909,285955,80.45
06-Jul-2017,179.60,179.25,181.00,178.80,180.10,180.00,180.04,513327,4265,457813,89.19
07-Jul-2017,180.00,182.00,182.75,179.40,182.20,181.55,181.40,150843,2074,88526,58.69
10-Jul-2017,181.55,180.00,185.35,180.00,184.80,184.80,184.11,90882,776,68791,75.69
11-Jul-2017,184.80,186.90,187.60,182.10,183.00,183.50,182.90,1138652,5030,987514,86.73
12-Jul-2017,183.50,184.40,184.75,182.30,182.50,183.05,183.39,313207,3905,244864,78.18
13-Jul-2017,183.05,173.00,178.00,169.55,173.80,174.15,174.39,881346,37883,449353,50.98
