DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,505.10,509.50,515.00,507.00,514.10,513.00,511.20,32555,2606,23399,71.88
03-Aug-2016,513.00,511.60,525.00,506.65,517.00,517.10,519.21,48293,3258,24801,51.36
04-Aug-2016,517.10,513.00,524.75,513.00,520.05,520.50,520.01,16963,1119,10197,60.11
05-Aug-2016,520.50,520.10,523.00,517.00,522.00,522.40,522.03,68704,705,65025,94.65
08-Aug-2016,522.40,522.00,524.70,494.00,511.00,513.40,515.33,16825,754,12293,73.06
09-Aug-2016,513.40,511.60,519.50,506.00,511.00,514.75,514.49,14774,1563,8409,56.92
10-Aug-2016,514.75,515.00,515.95,504.10,507.00,508.25,509.18,6976,820,3119,44.71
11-Aug-2016,508.25,509.95,510.00,495.10,499.80,499.95,502.64,14372,941,11101,77.24
12-Aug-2016,499.95,503.95,508.50,495.35,498.00,496.80,498.79,11093,923,6545,59.00
16-Aug-2016,496.80,500.00,500.00,491.90,494.50,494.35,498.20,18672,589,14551,77.93
17-Aug-2016,494.35,490.15,497.40,490.15,491.45,493.75,494.12,38581,731,35137,91.07
18-Aug-2016,493.75,493.95,507.80,490.95,501.00,503.00,500.95,18685,1900,10373,55.52
19-Aug-2016,503.00,505.00,517.00,502.15,511.90,509.90,510.52,19665,1085,13044,66.33
22-Aug-2016,509.90,511.15,517.70,506.35,510.00,509.85,511.02,12890,1618,8127,63.05
23-Aug-2016,509.85,511.45,520.95,507.35,510.50,512.50,515.69,41475,1077,35546,85.70
24-Aug-2016,512.50,519.85,538.80,508.45,521.10,522.45,530.15,132737,5411,29177,21.98
25-Aug-2016,522.45,533.20,533.20,519.15,524.75,526.40,525.56,20596,1549,11374,55.22
26-Aug-2016,526.40,526.40,527.95,516.00,525.90,523.15,521.81,13854,511,9655,69.69
29-Aug-2016,523.15,525.00,530.00,510.00,511.00,511.75,521.79,19029,2520,11072,58.18
30-Aug-2016,511.75,521.80,521.80,500.50,504.95,506.00,511.69,21270,1300,10738,50.48
31-Aug-2016,506.00,514.70,514.70,495.00,499.50,498.40,504.70,95468,1591,88115,92.30
01-Sep-2016,498.40,492.80,499.05,482.00,487.90,487.75,491.72,21911,1422,13751,62.76
02-Sep-2016,487.75,481.15,493.45,478.00,481.00,481.55,485.47,17903,1179,12209,68.20
06-Sep-2016,481.55,480.00,485.00,476.20,482.00,482.10,480.28,19620,2247,12492,63.67
07-Sep-2016,482.10,490.00,490.00,476.00,482.00,479.95,480.11,285901,4956,263776,92.26
08-Sep-2016,479.95,479.95,484.65,459.20,465.60,467.40,471.40,57418,3419,28943,50.41
09-Sep-2016,467.40,467.10,476.00,455.40,461.95,460.25,457.69,399631,3942,363487,90.96
12-Sep-2016,460.25,458.00,498.90,456.45,491.10,489.20,476.62,387603,8841,220931,57.00
14-Sep-2016,489.20,489.20,495.00,473.10,474.90,475.40,479.46,72865,4756,37665,51.69
15-Sep-2016,475.40,478.00,484.40,471.00,484.40,475.95,474.46,58616,2603,47677,81.34
16-Sep-2016,475.95,483.00,488.00,454.85,459.05,463.10,465.68,1009077,15822,926530,91.82
19-Sep-2016,463.10,465.00,474.95,465.00,472.00,469.90,470.50,55237,2765,41754,75.59
20-Sep-2016,469.90,470.20,474.70,468.45,470.90,470.35,470.78,14901,1561,10115,67.88
21-Sep-2016,470.35,470.50,475.50,466.65,472.50,473.80,470.61,69948,4349,55945,79.98
22-Sep-2016,473.80,475.10,477.00,471.95,474.60,474.75,474.57,24466,3444,18611,76.07
23-Sep-2016,474.75,476.00,485.00,474.00,483.90,482.20,480.42,21277,1841,13141,61.76
26-Sep-2016,482.20,476.00,484.00,475.65,476.00,477.70,479.56,29243,1288,22804,77.98
27-Sep-2016,477.70,478.95,483.00,476.15,481.90,479.85,479.87,22899,1225,20346,88.85
28-Sep-2016,479.85,477.65,483.80,470.00,470.55,471.85,473.64,47422,1784,42012,88.59
29-Sep-2016,471.85,472.50,477.45,462.00,463.80,467.75,467.65,62241,3677,49883,80.14
30-Sep-2016,467.75,460.55,474.70,455.15,471.00,470.60,462.24,17188,1122,10423,60.64
03-Oct-2016,470.60,470.00,489.00,463.00,482.00,484.90,479.48,31682,3896,21023,66.36
04-Oct-2016,484.90,485.00,485.85,479.00,482.70,484.00,483.42,7250,713,4288,59.14
05-Oct-2016,484.00,484.55,488.60,480.60,484.45,484.90,484.25,26894,1330,22487,83.61
06-Oct-2016,484.90,483.95,487.00,480.00,485.00,484.90,483.54,11196,1492,7349,65.64
07-Oct-2016,484.90,484.90,489.50,478.00,480.00,482.65,482.88,10187,1397,6925,67.98
10-Oct-2016,482.65,483.10,487.85,482.10,484.35,484.70,484.61,21673,1425,18110,83.56
13-Oct-2016,484.70,487.95,554.00,482.00,542.00,537.90,530.71,1095593,27750,113927,10.40
14-Oct-2016,537.90,542.50,546.00,499.00,500.10,502.50,515.52,301374,9872,93702,31.09
17-Oct-2016,502.50,505.00,527.60,496.00,502.65,502.60,507.52,409575,13173,219454,53.58
18-Oct-2016,502.60,507.50,513.85,504.00,511.00,511.00,509.01,98599,7288,55989,56.78
19-Oct-2016,511.00,512.00,515.60,506.50,510.65,512.10,512.27,69382,5482,43536,62.75
20-Oct-2016,512.10,516.75,520.20,512.05,513.00,515.30,516.19,70531,4281,45267,64.18
21-Oct-2016,515.30,518.00,518.00,505.00,505.70,506.55,509.90,27612,1413,17955,65.03
24-Oct-2016,506.55,511.00,513.05,500.10,502.50,503.30,506.81,27444,2409,18164,66.19
25-Oct-2016,503.30,505.00,507.95,497.40,503.75,503.00,502.90,24295,1336,14135,58.18
26-Oct-2016,503.00,503.20,503.20,495.20,498.70,496.95,497.86,20976,1915,10816,51.56
27-Oct-2016,496.95,504.85,504.85,491.00,491.00,492.30,494.86,13526,1252,8495,62.80
28-Oct-2016,492.30,497.85,501.90,487.00,488.00,489.55,491.44,36701,4973,24561,66.92
30-Oct-2016,489.55,499.95,499.95,491.25,497.50,496.50,495.64,4326,323,2269,52.45
01-Nov-2016,496.50,503.95,503.95,481.00,485.00,485.15,488.97,77281,6572,62246,80.55
02-Nov-2016,485.15,485.00,488.00,477.15,480.00,479.25,480.49,15447,1776,9957,64.46
03-Nov-2016,479.25,480.05,480.05,458.00,460.00,461.65,467.68,40649,3561,25951,63.84
04-Nov-2016,461.65,461.70,474.15,460.00,464.00,465.75,464.82,22043,2935,14095,63.94
07-Nov-2016,465.75,466.00,494.00,456.00,456.60,459.55,470.87,75266,8387,31170,41.41
08-Nov-2016,459.55,456.00,465.00,456.00,458.00,458.40,460.27,21540,1016,15367,71.34
09-Nov-2016,458.40,453.80,460.00,405.00,453.80,453.25,446.82,30156,3637,21697,71.95
10-Nov-2016,453.25,455.00,468.00,455.00,457.50,456.60,461.65,24453,2177,11582,47.36
11-Nov-2016,456.60,459.00,465.80,452.00,460.00,458.15,458.09,15367,2347,9926,64.59
15-Nov-2016,458.15,458.95,465.00,440.00,465.00,460.95,451.17,30137,5511,23528,78.07
16-Nov-2016,460.95,465.00,476.50,453.30,472.35,471.15,467.51,27856,3207,19580,70.29
17-Nov-2016,471.15,466.00,485.00,462.00,475.00,469.80,470.11,28287,4401,19546,69.10
18-Nov-2016,469.80,476.15,484.20,468.55,481.20,480.65,472.26,379370,2625,372859,98.28
21-Nov-2016,480.65,483.00,485.95,472.05,485.95,480.25,477.80,13720,999,10291,75.01
22-Nov-2016,480.25,484.00,499.80,475.35,499.35,499.05,482.51,192798,4227,176533,91.56
23-Nov-2016,499.05,504.00,504.00,479.30,488.00,486.70,482.42,136576,1879,126894,92.91
24-Nov-2016,486.70,490.00,500.00,482.55,487.00,487.75,491.03,7742,984,4197,54.21
25-Nov-2016,487.75,499.00,499.00,468.80,491.90,490.05,490.28,141320,3635,125215,88.60
28-Nov-2016,490.05,499.00,512.30,490.00,492.95,493.60,500.08,26641,1992,10929,41.02
29-Nov-2016,493.60,495.00,495.00,483.70,493.00,489.80,490.21,358662,1696,353925,98.68
30-Nov-2016,489.80,499.00,499.00,488.80,499.00,496.55,495.39,28730,2683,24022,83.61
01-Dec-2016,496.55,494.85,504.00,487.10,487.95,492.50,496.81,18876,1513,10519,55.73
02-Dec-2016,492.50,489.25,497.00,488.50,489.90,493.20,491.22,324251,1946,314527,97.00
05-Dec-2016,493.20,503.00,503.00,491.15,498.00,497.60,494.79,7295,1011,4982,68.29
06-Dec-2016,497.60,500.00,502.50,496.00,496.10,496.30,497.72,6774,714,4065,60.01
07-Dec-2016,496.30,497.00,504.95,496.00,504.95,503.30,500.79,21362,2008,15558,72.83
08-Dec-2016,503.30,505.20,514.00,498.15,513.70,512.65,507.70,28857,3989,16025,55.53
09-Dec-2016,512.65,513.75,515.50,501.00,507.90,504.45,509.62,15959,1836,9298,58.26
12-Dec-2016,504.45,500.50,516.50,500.05,508.65,506.65,508.79,21310,2290,11337,53.20
13-Dec-2016,506.65,506.65,517.35,500.00,500.50,502.55,507.98,42340,10544,23282,54.99
14-Dec-2016,502.55,505.00,515.90,501.50,510.75,511.30,513.71,72134,3395,13730,19.03
15-Dec-2016,511.30,510.85,513.95,504.10,511.85,510.70,511.61,19267,872,14731,76.46
16-Dec-2016,510.70,511.85,513.90,506.05,511.00,512.05,511.80,13226,1447,10675,80.71
19-Dec-2016,512.05,511.50,516.20,506.00,506.55,506.95,510.32,4917,421,3080,62.64
20-Dec-2016,506.95,508.90,512.10,492.05,496.90,494.35,495.83,44292,1280,36827,83.15
21-Dec-2016,494.35,500.30,502.20,489.00,492.00,491.25,494.92,571977,1007,567565,99.23
22-Dec-2016,491.25,495.40,495.40,474.40,485.95,484.05,482.51,16876,2838,10122,59.98
23-Dec-2016,484.05,488.00,488.60,482.65,483.00,483.15,483.74,8158,452,6405,78.51
26-Dec-2016,483.15,486.05,489.95,475.00,476.20,479.20,480.98,7992,497,6091,76.21
27-Dec-2016,479.20,488.40,488.40,474.00,474.70,475.75,478.63,11116,660,7345,66.08
28-Dec-2016,475.75,479.05,498.50,470.00,486.10,488.75,485.73,19267,1523,7146,37.09
29-Dec-2016,488.75,483.00,504.25,479.00,495.00,490.70,485.85,10607,849,2752,25.95
30-Dec-2016,490.70,491.00,509.90,479.95,505.50,504.90,493.84,34640,2878,10201,29.45
02-Jan-2017,504.90,504.90,508.90,490.10,495.30,492.25,495.91,21647,998,11894,54.95
03-Jan-2017,492.25,493.00,496.00,491.00,491.30,491.95,492.81,6932,551,4624,66.71
04-Jan-2017,491.95,491.20,501.00,490.70,491.30,491.90,491.55,73604,1055,67745,92.04
05-Jan-2017,491.90,499.00,499.00,490.00,491.50,491.40,493.90,9687,738,5401,55.76
06-Jan-2017,491.40,496.95,496.95,485.00,488.00,486.95,492.22,104478,751,100585,96.27
09-Jan-2017,486.95,493.95,493.95,482.50,486.00,485.55,486.46,9168,819,6974,76.07
10-Jan-2017,485.55,489.90,492.00,484.35,489.20,487.05,488.86,10492,1407,7293,69.51
11-Jan-2017,487.05,489.95,493.95,487.05,493.80,492.20,491.19,21126,3544,14625,69.23
12-Jan-2017,492.20,499.00,542.95,491.25,494.00,496.65,503.82,1675618,29920,752085,44.88
13-Jan-2017,496.65,497.00,507.05,496.65,502.00,502.25,500.20,121570,3793,53230,43.79
16-Jan-2017,502.25,504.00,509.05,495.00,495.00,496.15,499.57,21245,1325,11192,52.68
17-Jan-2017,496.15,499.00,503.00,488.00,488.50,489.20,492.68,45319,8370,29684,65.50
18-Jan-2017,489.20,488.30,488.55,478.00,478.10,479.30,483.12,38042,2423,23278,61.19
19-Jan-2017,479.30,484.00,484.00,471.10,477.80,477.55,475.85,91845,4228,76777,83.59
20-Jan-2017,477.55,478.00,483.30,462.00,463.00,465.00,465.47,108770,7480,76894,70.69
23-Jan-2017,465.00,465.05,472.40,461.00,465.65,466.60,467.14,42810,4812,30833,72.02
24-Jan-2017,466.60,467.25,492.00,467.20,470.50,471.75,481.86,135565,12580,48887,36.06
25-Jan-2017,471.75,474.90,480.00,470.20,470.50,472.10,474.81,24478,1553,13403,54.76
27-Jan-2017,472.10,474.50,474.50,465.00,468.00,467.20,468.98,27904,2664,16137,57.83
30-Jan-2017,467.20,469.00,473.00,467.00,469.90,468.35,470.59,18932,1020,10328,54.55
31-Jan-2017,468.35,472.00,472.00,459.00,459.05,460.95,462.96,23010,1024,13091,56.89
01-Feb-2017,460.95,459.00,459.00,440.20,449.00,448.40,447.85,38585,2666,20944,54.28
02-Feb-2017,448.40,452.40,456.00,443.60,453.50,454.30,451.12,28403,2485,12821,45.14
03-Feb-2017,454.30,459.95,459.95,453.85,458.00,456.90,457.24,52215,2177,38941,74.58
06-Feb-2017,456.90,459.00,499.00,453.10,464.00,464.60,460.26,759078,10067,607928,80.09
07-Feb-2017,464.60,469.50,469.80,461.25,463.05,464.60,466.52,21375,1084,9653,45.16
08-Feb-2017,464.60,466.00,470.00,460.10,464.40,463.60,463.00,15636,986,8651,55.33
09-Feb-2017,463.60,463.80,468.90,461.00,467.05,466.75,465.39,12708,738,7601,59.81
10-Feb-2017,466.75,463.45,471.95,463.00,468.00,468.85,466.98,17886,1186,12792,71.52
13-Feb-2017,468.85,470.25,470.25,455.00,468.50,468.10,466.95,30692,2550,21712,70.74
14-Feb-2017,468.10,463.10,480.00,456.65,465.65,468.00,468.06,1174707,3304,1120371,95.37
