DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,408.25,402.25,418.00,402.25,414.65,416.10,411.32,30246,580,23567,77.92
03-Aug-2016,416.10,418.00,424.00,404.50,413.00,414.45,411.76,12605,722,7002,55.55
04-Aug-2016,414.45,409.65,412.30,407.45,409.00,409.20,409.40,14558,313,11704,80.40
05-Aug-2016,409.20,410.00,414.95,402.85,403.00,409.90,410.87,75289,3656,67104,89.13
08-Aug-2016,409.90,413.85,415.95,406.95,408.00,409.80,410.03,26646,1747,20898,78.43
09-Aug-2016,409.80,412.75,412.75,403.05,404.00,406.45,408.20,46073,1253,40286,87.44
10-Aug-2016,406.45,406.05,410.85,404.00,406.30,408.25,407.92,21742,868,9500,43.69
11-Aug-2016,408.25,407.55,408.80,390.55,402.00,402.35,399.06,35333,2720,18876,53.42
12-Aug-2016,402.35,401.00,406.00,395.05,402.00,403.85,402.57,7286,605,5771,79.21
16-Aug-2016,403.85,407.00,410.40,400.05,407.10,409.00,408.08,18953,1874,15094,79.64
17-Aug-2016,409.00,407.55,411.95,402.35,410.00,409.75,409.38,18190,1394,14735,81.01
18-Aug-2016,409.75,412.00,412.00,405.05,410.00,407.30,407.06,4554,311,2616,57.44
19-Aug-2016,407.30,410.00,423.35,398.90,408.00,406.95,411.08,44000,2342,16280,37.00
22-Aug-2016,406.95,406.95,412.85,405.30,405.50,405.65,407.28,47796,288,46721,97.75
23-Aug-2016,405.65,407.95,411.00,402.60,407.40,409.80,406.98,46821,410,45506,97.19
24-Aug-2016,409.80,408.70,412.95,405.40,406.20,407.40,409.91,42133,1502,37538,89.09
25-Aug-2016,407.40,409.00,410.50,406.70,409.75,410.00,409.67,92653,783,91589,98.85
26-Aug-2016,410.00,410.20,418.80,405.50,409.00,408.00,411.57,60669,1951,55846,92.05
29-Aug-2016,408.00,412.35,412.35,401.55,408.05,408.55,407.46,21941,2515,13870,63.21
30-Aug-2016,408.55,411.40,413.95,406.55,410.00,409.90,409.98,31832,2893,30390,95.47
31-Aug-2016,409.90,412.05,416.90,406.05,409.70,411.25,410.12,62688,649,57112,91.11
01-Sep-2016,411.25,410.00,413.80,407.55,410.00,409.85,410.29,2357,117,1851,78.53
02-Sep-2016,409.85,405.00,413.05,402.55,405.05,406.45,409.79,20949,353,20009,95.51
06-Sep-2016,406.45,406.40,412.00,406.40,412.00,411.90,411.27,13255,1213,10692,80.66
07-Sep-2016,411.90,419.00,421.50,410.05,412.00,411.70,412.18,11636,678,7811,67.13
08-Sep-2016,411.70,408.95,413.00,406.70,412.00,412.00,411.88,30060,2366,28066,93.37
09-Sep-2016,412.00,408.30,412.00,401.25,404.00,405.25,408.94,19849,285,17934,90.35
12-Sep-2016,405.25,409.00,409.00,396.05,398.00,400.00,400.42,11339,981,8496,74.93
14-Sep-2016,400.00,395.00,401.00,394.05,398.25,399.90,399.64,21778,500,18960,87.06
15-Sep-2016,399.90,400.00,404.70,394.00,400.00,400.00,398.65,152605,2378,144885,94.94
16-Sep-2016,400.00,400.00,401.00,391.05,400.00,397.15,398.89,58542,4710,47412,80.99
19-Sep-2016,397.15,400.00,401.45,392.50,400.00,399.10,398.71,14920,1325,10778,72.24
20-Sep-2016,399.10,404.85,404.85,394.20,400.00,399.45,398.82,8354,367,6933,82.99
