DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,54.05,54.30,55.15,53.10,53.15,53.25,54.28,245066,1563,95380,38.92
03-Aug-2016,53.25,53.25,53.60,51.10,51.55,51.60,52.32,182345,1451,114733,62.92
04-Aug-2016,51.60,51.70,53.75,51.70,52.75,52.75,52.67,209412,1656,93343,44.57
05-Aug-2016,52.75,52.60,54.95,51.50,53.25,53.70,53.53,350518,2190,117976,33.66
08-Aug-2016,53.70,53.70,54.60,53.15,53.15,53.50,53.90,259874,1561,97476,37.51
09-Aug-2016,53.50,53.80,53.80,52.00,52.55,52.70,52.91,197093,1398,92709,47.04
10-Aug-2016,52.70,52.30,53.55,51.50,51.60,51.65,52.21,143677,1121,60391,42.03
11-Aug-2016,51.65,52.00,54.30,48.70,53.70,53.70,52.78,422692,2801,189070,44.73
12-Aug-2016,53.70,55.00,55.00,52.20,53.05,53.00,53.59,578990,3934,234058,40.43
16-Aug-2016,53.00,52.70,53.00,51.85,52.00,52.05,52.20,115412,704,54352,47.09
17-Aug-2016,52.05,52.55,52.90,49.75,49.90,49.95,50.83,280675,1952,177289,63.17
18-Aug-2016,49.95,49.95,51.25,49.95,51.00,51.00,50.90,318768,2003,210579,66.06
19-Aug-2016,51.00,51.05,52.30,51.05,51.50,51.45,51.65,249559,3146,127952,51.27
22-Aug-2016,51.45,53.00,53.50,52.05,52.10,52.35,52.72,324147,4847,137686,42.48
23-Aug-2016,52.35,52.40,52.90,50.30,50.85,51.00,51.65,210521,3667,105271,50.00
24-Aug-2016,51.00,51.00,52.30,50.90,51.55,51.40,51.69,211054,2407,70867,33.58
25-Aug-2016,51.40,51.55,51.95,50.40,50.80,50.65,51.21,207788,3325,122745,59.07
26-Aug-2016,50.65,50.90,51.20,49.50,49.80,50.15,50.30,188852,2812,117289,62.11
29-Aug-2016,50.15,50.15,50.15,48.40,48.85,48.95,49.26,132504,2430,77437,58.44
30-Aug-2016,48.95,49.40,49.95,48.60,48.80,48.85,49.26,329333,4508,190649,57.89
31-Aug-2016,48.85,49.80,51.45,49.25,49.55,49.60,50.03,1010896,4535,448138,44.33
01-Sep-2016,49.60,49.70,50.45,49.00,49.50,49.30,49.77,262725,1550,132308,50.36
02-Sep-2016,49.30,48.75,51.35,48.70,50.15,50.05,50.49,895341,4550,401985,44.90
06-Sep-2016,50.05,50.10,50.35,49.00,49.20,49.30,49.71,300535,1907,183838,61.17
07-Sep-2016,49.30,49.35,51.20,48.90,49.90,49.90,50.13,704948,2979,289073,41.01
08-Sep-2016,49.90,49.90,52.40,49.90,51.80,51.90,51.44,1464041,7568,507327,34.65
09-Sep-2016,51.90,51.85,52.70,50.15,51.50,51.85,51.27,1150641,5750,389806,33.88
12-Sep-2016,51.85,50.90,50.90,48.50,48.80,48.70,49.84,934707,7561,506266,54.16
14-Sep-2016,48.70,48.70,50.00,48.70,49.30,49.40,49.55,415705,2177,175239,42.15
15-Sep-2016,49.40,47.50,48.80,45.50,47.15,47.55,47.60,679947,4162,227929,33.52
16-Sep-2016,47.55,47.80,49.15,46.60,47.00,47.05,47.90,428225,2553,172784,40.35
19-Sep-2016,47.05,47.10,48.70,46.50,47.90,47.95,47.82,634582,3810,152943,24.10
20-Sep-2016,47.95,48.30,48.40,46.90,47.15,47.15,47.49,180203,1192,87368,48.48
21-Sep-2016,47.15,47.60,47.90,47.00,47.00,47.25,47.41,110806,875,54396,49.09
22-Sep-2016,47.25,47.85,48.30,47.20,47.75,47.80,47.73,243261,1471,83563,34.35
23-Sep-2016,47.80,48.05,48.40,47.00,47.10,47.25,47.65,499626,2470,178165,35.66
26-Sep-2016,47.25,47.30,47.90,46.65,46.80,47.00,47.22,220320,1409,91276,41.43
27-Sep-2016,47.00,47.05,47.55,46.20,46.65,46.60,46.87,156686,952,71748,45.79
28-Sep-2016,46.60,46.70,47.90,46.70,47.50,47.40,47.30,369809,2313,116639,31.54
29-Sep-2016,47.40,47.50,48.15,42.95,44.00,43.90,44.84,678082,5231,284176,41.91
30-Sep-2016,43.90,43.50,45.45,43.50,44.90,44.60,44.38,498347,2809,271879,54.56
03-Oct-2016,44.60,44.65,46.30,44.65,45.70,45.70,45.51,400696,3084,128811,32.15
04-Oct-2016,45.70,45.75,46.70,45.70,46.35,46.45,46.31,312467,2151,103169,33.02
05-Oct-2016,46.45,46.50,48.00,46.10,46.90,47.15,47.02,466139,2627,167655,35.97
06-Oct-2016,47.15,47.60,52.35,47.10,48.75,48.70,49.56,4757728,19814,2263574,47.58
07-Oct-2016,48.70,49.25,50.00,47.10,49.30,49.30,49.08,2543263,7953,1385578,54.48
10-Oct-2016,49.30,49.60,49.90,48.50,49.05,48.95,49.09,279816,2081,110579,39.52
13-Oct-2016,48.95,49.40,49.40,46.50,47.05,47.15,47.45,467923,2101,239277,51.14
14-Oct-2016,47.15,47.60,47.90,46.80,47.10,47.20,47.35,361373,2389,84714,23.44
17-Oct-2016,47.20,47.40,49.10,45.70,48.35,48.45,47.52,435167,2214,146731,33.72
18-Oct-2016,48.45,48.75,48.85,47.65,48.30,48.30,48.24,286734,1665,103573,36.12
19-Oct-2016,48.30,48.80,48.80,47.10,47.85,47.55,47.81,194440,1291,85660,44.05
20-Oct-2016,47.55,47.90,48.30,47.55,47.85,47.85,47.87,198179,1155,75813,38.25
21-Oct-2016,47.85,47.90,48.25,47.25,47.35,47.60,47.73,217645,1282,104275,47.91
24-Oct-2016,47.60,48.00,48.75,47.60,48.10,48.10,48.24,393978,2104,112441,28.54
25-Oct-2016,48.10,48.30,48.35,47.50,47.65,47.75,47.91,185130,1239,62057,33.52
26-Oct-2016,47.75,47.80,49.85,47.40,48.55,48.60,48.79,716496,3709,258462,36.07
27-Oct-2016,48.60,48.50,48.80,47.00,47.65,47.80,47.98,190770,1823,70576,37.00
28-Oct-2016,47.80,48.25,48.30,47.50,47.90,48.05,47.96,198204,1311,85888,43.33
30-Oct-2016,48.05,48.40,48.45,47.70,48.00,48.10,48.20,53785,441,35264,65.56
01-Nov-2016,48.10,48.10,48.45,47.55,48.15,48.15,47.94,202070,1120,63545,31.45
02-Nov-2016,48.15,48.00,48.00,46.90,47.50,47.45,47.40,245779,1000,136106,55.38
03-Nov-2016,47.45,47.50,47.75,46.15,46.20,46.40,46.78,214114,1413,92529,43.21
04-Nov-2016,46.40,46.50,47.05,44.30,44.70,44.90,45.65,314191,1566,189624,60.35
07-Nov-2016,44.90,45.65,46.90,45.40,46.05,45.85,45.97,293176,1843,115405,39.36
08-Nov-2016,45.85,45.55,46.40,45.30,45.45,45.60,45.76,126691,553,83530,65.93
09-Nov-2016,45.60,38.20,42.00,36.50,39.85,40.15,39.64,654491,3075,323615,49.45
10-Nov-2016,40.15,41.80,44.15,41.30,42.50,42.50,42.56,483660,3025,155456,32.14
11-Nov-2016,42.50,41.00,41.60,39.00,40.00,39.80,40.46,237136,1790,142318,60.02
15-Nov-2016,39.80,39.00,46.20,38.10,39.10,39.25,39.86,282962,1567,170147,60.13
16-Nov-2016,39.25,40.20,41.20,39.00,39.55,39.20,39.26,183754,735,113245,61.63
17-Nov-2016,39.20,38.00,40.55,38.00,40.35,39.85,39.23,118388,749,60461,51.07
18-Nov-2016,39.85,39.00,40.00,38.85,39.65,39.50,39.25,180145,914,67060,37.23
21-Nov-2016,39.50,40.50,40.50,37.20,37.80,37.95,38.29,137944,954,71000,51.47
22-Nov-2016,37.95,37.55,38.95,36.00,37.00,37.10,36.73,255711,1210,116638,45.61
23-Nov-2016,37.10,37.30,38.40,37.30,38.25,38.10,37.82,240655,1095,94685,39.34
24-Nov-2016,38.10,38.10,38.90,37.55,38.20,38.20,38.33,83344,528,35097,42.11
25-Nov-2016,38.20,38.30,39.60,38.00,39.10,38.85,38.77,183092,1042,51425,28.09
28-Nov-2016,38.85,38.90,40.50,38.20,40.00,39.85,39.46,168874,1180,50344,29.81
29-Nov-2016,39.85,39.90,41.40,39.20,40.25,40.50,40.65,193342,1199,55915,28.92
30-Nov-2016,40.50,40.55,41.35,40.50,40.85,41.00,40.91,128636,896,48612,37.79
01-Dec-2016,41.00,41.10,41.80,40.10,40.95,40.65,40.88,139352,1124,44169,31.70
02-Dec-2016,40.65,40.00,41.30,39.20,39.75,39.95,39.83,122730,932,32154,26.20
05-Dec-2016,39.95,39.95,40.40,39.20,40.05,40.05,39.73,145293,971,28654,19.72
06-Dec-2016,40.05,41.20,41.80,40.40,41.10,40.90,41.01,277641,2288,56309,20.28
07-Dec-2016,40.90,41.00,41.45,40.05,40.35,40.25,40.68,134029,1025,46544,34.73
08-Dec-2016,40.25,40.30,41.00,40.15,40.15,40.30,40.43,130886,832,61409,46.92
09-Dec-2016,40.30,40.60,41.45,40.30,41.05,41.00,40.99,158019,1079,63953,40.47
12-Dec-2016,41.00,39.10,40.20,39.10,39.70,39.65,39.74,135426,1032,55568,41.03
13-Dec-2016,39.65,39.65,41.70,39.25,41.00,41.00,40.45,177580,1080,66803,37.62
