DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,232.40,234.85,237.70,222.70,225.90,225.15,231.33,117003,4038,47320,40.44
03-Aug-2016,225.15,226.00,226.90,217.90,219.00,219.15,220.40,49669,1085,25470,51.28
04-Aug-2016,219.15,222.00,228.00,216.05,221.90,218.40,220.69,55965,1704,21052,37.62
05-Aug-2016,218.40,218.25,234.20,218.25,233.00,233.10,228.50,120012,3073,59263,49.38
08-Aug-2016,233.10,235.00,244.95,232.10,236.95,237.75,237.60,201910,6564,79042,39.15
09-Aug-2016,237.75,238.50,238.50,220.00,227.90,230.70,230.95,336907,6692,83389,24.75
10-Aug-2016,230.70,231.10,237.00,221.50,223.00,223.25,228.56,268836,5692,64438,23.97
11-Aug-2016,223.25,226.70,231.95,222.30,227.00,225.00,226.93,98333,2746,33675,34.25
12-Aug-2016,225.00,225.75,228.70,221.15,221.50,222.40,224.94,56339,1553,29876,53.03
16-Aug-2016,222.40,222.00,224.50,212.25,215.00,216.40,219.05,94391,4480,49929,52.90
17-Aug-2016,216.40,217.70,225.00,210.20,213.00,212.25,214.26,104242,4060,46683,44.78
18-Aug-2016,212.25,211.05,221.45,211.05,214.65,215.75,216.95,123356,2973,41128,33.34
19-Aug-2016,215.75,216.05,219.00,213.00,215.30,214.40,216.13,76843,3537,36534,47.54
22-Aug-2016,214.40,215.15,223.60,215.00,220.00,221.05,220.00,155398,6204,68842,44.30
23-Aug-2016,221.05,224.00,229.00,219.60,219.70,221.50,225.38,186749,3614,63832,34.18
24-Aug-2016,221.50,220.60,227.50,218.10,225.35,224.65,224.15,129264,4880,57629,44.58
25-Aug-2016,224.65,226.90,227.00,221.55,222.95,223.90,223.78,78970,2227,47623,60.31
26-Aug-2016,223.90,223.90,225.05,219.90,221.50,221.40,222.50,49843,1343,27530,55.23
29-Aug-2016,221.40,221.40,231.00,220.00,223.00,224.15,227.08,150984,3179,43385,28.73
30-Aug-2016,224.15,226.30,231.90,224.55,228.65,227.70,228.72,152161,4344,75441,49.58
31-Aug-2016,227.70,229.90,233.00,225.55,226.00,227.05,229.98,131159,3068,43826,33.41
01-Sep-2016,227.05,226.95,228.50,223.25,224.20,225.35,225.16,58492,1972,35959,61.48
02-Sep-2016,225.35,224.00,227.75,219.10,220.00,221.15,223.05,35277,1345,18958,53.74
06-Sep-2016,221.15,221.20,229.50,218.80,222.70,223.50,223.82,40636,1930,18312,45.06
07-Sep-2016,223.50,223.50,228.00,221.05,226.05,226.05,225.57,72500,3189,39786,54.88
08-Sep-2016,226.05,225.00,236.90,225.00,231.00,231.35,233.62,339161,6473,132766,39.15
09-Sep-2016,231.35,231.60,232.50,226.00,226.25,226.95,228.30,91444,3190,53930,58.98
