DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,37.35,37.35,37.85,36.70,36.95,37.10,37.34,473987,2147,217009,45.78
03-Aug-2016,37.10,37.15,37.75,36.85,37.50,37.35,37.35,360438,1599,118329,32.83
04-Aug-2016,37.35,37.60,38.00,37.10,37.35,37.35,37.42,383328,1969,133552,34.84
05-Aug-2016,37.35,37.85,38.20,37.60,37.90,38.00,37.96,437476,2076,181070,41.39
08-Aug-2016,38.00,38.35,38.45,37.10,37.35,37.45,37.81,268689,1618,113636,42.29
09-Aug-2016,37.45,37.45,38.15,37.25,37.35,37.35,37.65,349190,1741,121389,34.76
10-Aug-2016,37.35,37.35,37.55,36.60,36.90,36.80,36.96,281297,1438,110450,39.26
11-Aug-2016,36.80,36.80,36.80,36.05,36.30,36.20,36.35,309423,1524,137056,44.29
12-Aug-2016,36.20,36.30,38.35,36.00,36.90,37.40,37.25,3492533,12090,304435,8.72
16-Aug-2016,37.40,37.30,37.30,36.25,36.80,36.75,36.79,406486,2015,133567,32.86
17-Aug-2016,36.75,36.75,37.55,36.60,37.10,37.10,37.09,355248,1815,132403,37.27
18-Aug-2016,37.10,37.30,37.50,37.00,37.10,37.10,37.28,274104,1219,161233,58.82
19-Aug-2016,37.10,37.40,37.50,37.05,37.35,37.40,37.31,448746,1556,216076,48.15
22-Aug-2016,37.40,37.60,38.15,37.25,37.40,37.50,37.62,305030,1951,131304,43.05
23-Aug-2016,37.50,37.45,37.80,36.80,37.15,37.10,37.20,882537,1743,622726,70.56
24-Aug-2016,37.10,37.15,37.70,37.05,37.35,37.35,37.36,314647,1099,157670,50.11
25-Aug-2016,37.35,37.45,37.60,37.10,37.25,37.25,37.37,232653,1092,122130,52.49
26-Aug-2016,37.25,37.30,37.40,36.90,37.20,37.15,37.12,210658,1150,127318,60.44
29-Aug-2016,37.15,37.30,37.50,36.80,36.80,36.90,37.04,227909,1288,113281,49.70
30-Aug-2016,36.90,36.95,37.55,36.80,37.30,37.45,37.28,539337,2145,289429,53.66
31-Aug-2016,37.45,37.60,37.95,36.90,37.00,37.00,37.44,786253,2808,400820,50.98
01-Sep-2016,37.00,37.00,37.25,35.30,36.10,35.90,36.36,486237,2473,248582,51.12
02-Sep-2016,35.90,36.05,36.45,36.00,36.20,36.25,36.23,365957,1843,158604,43.34
06-Sep-2016,36.25,36.50,36.95,36.15,36.25,36.35,36.50,471388,1895,238402,50.57
07-Sep-2016,36.35,36.40,38.50,36.40,37.65,37.75,37.66,1471837,5444,571767,38.85
08-Sep-2016,37.75,37.75,42.65,37.75,40.75,40.50,40.73,3480375,13784,1170384,33.63
09-Sep-2016,40.50,40.75,41.15,39.50,40.10,39.85,40.19,961545,3990,358154,37.25
12-Sep-2016,39.85,39.00,39.35,37.50,37.70,37.70,38.37,774976,3110,409234,52.81
14-Sep-2016,37.70,37.70,38.40,37.05,38.25,38.20,38.05,646424,2472,293063,45.34
15-Sep-2016,38.20,38.20,38.80,38.00,38.60,38.50,38.40,388089,1746,190190,49.01
16-Sep-2016,38.50,38.90,39.40,37.10,38.25,38.10,38.60,667718,2918,325120,48.69
19-Sep-2016,38.10,38.25,38.25,37.60,37.70,37.75,37.98,218441,1243,121624,55.68
20-Sep-2016,37.75,37.75,38.10,37.60,37.65,37.70,37.82,220579,1162,119195,54.04
21-Sep-2016,37.70,37.70,38.20,37.50,37.70,37.80,37.82,239647,1553,98418,41.07
22-Sep-2016,37.80,38.20,39.00,38.05,38.30,38.45,38.45,462759,2097,150942,32.62
23-Sep-2016,38.45,38.60,38.60,37.65,37.80,37.85,38.10,322437,1308,132980,41.24
26-Sep-2016,37.85,37.80,37.95,37.50,37.65,37.60,37.70,204855,1023,101828,49.71
27-Sep-2016,37.60,37.60,39.00,37.25,37.40,37.55,38.01,538023,1932,154118,28.65
28-Sep-2016,37.55,37.60,38.90,37.60,38.40,38.55,38.44,592642,2048,297755,50.24
29-Sep-2016,38.55,38.80,39.20,34.15,36.50,36.25,37.10,891766,3631,393617,44.14
