DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,223.05,225.00,228.40,222.80,224.25,224.20,225.58,2056534,19670,719699,35.00
03-Aug-2016,224.20,224.70,227.00,221.45,222.50,224.20,224.21,1688081,15133,653787,38.73
04-Aug-2016,224.20,226.20,235.50,223.65,234.45,234.35,231.37,3819466,34121,981339,25.69
05-Aug-2016,234.35,236.85,248.90,235.00,246.75,247.50,242.27,4391691,42005,1264111,28.78
08-Aug-2016,247.50,248.00,254.50,243.60,247.00,247.30,249.65,2791533,25968,852601,30.54
09-Aug-2016,247.30,247.55,253.00,245.00,252.10,251.70,249.64,2490220,30168,661970,26.58
10-Aug-2016,251.70,253.70,257.00,250.20,254.00,253.35,253.52,4817435,57876,2435151,50.55
11-Aug-2016,253.35,255.90,260.65,253.00,259.00,258.75,257.55,3764751,36740,1616812,42.95
12-Aug-2016,258.75,260.40,268.50,260.20,265.75,265.15,265.35,3590754,42752,1202159,33.48
16-Aug-2016,265.15,266.00,268.60,253.80,263.35,262.90,260.66,2780846,31079,644383,23.17
17-Aug-2016,262.90,263.00,265.00,259.55,263.80,264.05,262.65,2568660,26438,726851,28.30
18-Aug-2016,264.05,265.90,269.90,265.30,266.00,266.35,267.60,1773271,26999,578983,32.65
19-Aug-2016,266.35,266.45,266.75,261.45,263.55,263.40,263.51,1869295,33884,915540,48.98
22-Aug-2016,263.40,264.05,267.60,260.60,265.15,265.05,264.14,2682208,33383,1294022,48.24
23-Aug-2016,265.05,265.05,274.10,261.85,274.00,272.55,268.71,3184207,32986,1097770,34.48
24-Aug-2016,272.55,274.00,282.95,272.60,281.40,282.00,278.22,4385924,40055,782097,17.83
25-Aug-2016,282.00,282.40,284.25,277.85,280.50,280.65,280.94,3057016,27418,533203,17.44
26-Aug-2016,280.65,281.50,285.80,281.25,283.10,283.50,283.64,2165496,22563,445788,20.59
29-Aug-2016,283.50,283.35,284.25,273.85,281.00,280.40,279.49,1880563,37299,578325,30.75
30-Aug-2016,280.40,284.00,291.35,284.00,289.60,289.80,288.46,3161951,28949,708267,22.40
31-Aug-2016,289.80,290.50,294.65,284.45,289.75,290.60,289.52,2673780,23753,713629,26.69
01-Sep-2016,290.60,291.15,293.10,284.00,286.05,285.50,289.23,2063826,22459,366401,17.75
02-Sep-2016,285.50,285.50,288.90,283.30,287.35,287.30,286.60,1697677,16040,344440,20.29
06-Sep-2016,287.30,288.45,296.75,287.55,295.30,295.25,293.14,1774669,21030,496887,28.00
07-Sep-2016,295.25,296.00,299.00,294.10,297.30,296.90,296.78,1753606,20033,647266,36.91
08-Sep-2016,296.90,296.00,303.50,295.20,302.50,302.05,300.67,3131453,29930,1569365,50.12
09-Sep-2016,302.05,302.05,304.45,295.50,299.90,299.90,299.29,2513771,22107,1274660,50.71
12-Sep-2016,299.90,293.05,293.95,275.40,278.00,278.05,284.32,3233133,29778,1253135,38.76
14-Sep-2016,278.05,276.35,289.70,273.90,288.50,288.15,281.94,2680481,24638,943509,35.20
15-Sep-2016,288.15,288.15,289.15,282.65,284.00,284.85,285.11,1122387,14216,305180,27.19
16-Sep-2016,284.85,286.50,295.70,279.45,281.55,281.00,286.40,4792510,36801,2601143,54.28
19-Sep-2016,281.00,282.20,287.75,279.50,284.65,283.95,284.46,1973747,20496,591728,29.98
20-Sep-2016,283.95,285.40,285.60,281.25,282.00,282.40,283.17,957502,9918,365551,38.18
21-Sep-2016,282.40,283.10,287.05,281.10,282.00,282.30,284.37,1265654,18832,383441,30.30
22-Sep-2016,282.30,285.70,292.50,284.50,292.00,291.55,288.04,2141664,24657,874072,40.81
23-Sep-2016,291.55,293.00,296.10,289.50,292.35,292.75,292.90,2013683,15367,683150,33.93
