DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,104.80,105.70,106.95,101.95,103.75,103.50,104.83,8585282,30820,1978966,23.05
03-Aug-2016,103.50,103.75,104.65,100.50,101.40,101.40,102.57,6174173,25042,2092294,33.89
04-Aug-2016,101.40,105.00,105.00,96.60,97.30,97.40,98.73,11387102,43843,2949991,25.91
05-Aug-2016,97.40,98.00,99.10,96.75,98.10,98.20,97.96,3811891,17532,722765,18.96
08-Aug-2016,98.20,99.00,101.45,98.65,99.60,100.10,100.18,5399589,34272,1572279,29.12
09-Aug-2016,100.10,99.80,99.80,94.50,95.75,95.80,96.05,19676082,49714,9832730,49.97
10-Aug-2016,95.80,95.70,95.80,89.20,89.75,90.20,91.72,10534630,37459,3907804,37.09
11-Aug-2016,90.20,90.50,91.80,87.65,88.90,89.40,90.02,6053767,20019,1605692,26.52
12-Aug-2016,89.40,89.50,90.80,86.00,86.70,87.95,89.02,4695792,20913,1929732,41.09
16-Aug-2016,87.95,86.60,92.00,86.60,91.35,91.35,89.59,7151754,26697,2449750,34.25
17-Aug-2016,91.35,91.90,95.50,91.55,92.35,92.40,93.68,10381997,35433,2439613,23.50
18-Aug-2016,92.40,93.40,96.70,93.20,96.40,96.35,95.60,10332333,35897,3744929,36.24
19-Aug-2016,96.35,96.55,97.50,93.50,93.65,94.15,95.20,7531122,27473,2660578,35.33
22-Aug-2016,94.15,94.15,94.15,92.25,92.95,93.05,93.10,4212173,14323,914635,21.71
23-Aug-2016,93.05,92.90,96.30,92.80,96.05,96.00,95.06,9757455,23618,4960337,50.84
24-Aug-2016,96.00,96.45,98.10,96.15,97.65,97.75,97.01,6571991,32653,2603106,39.61
25-Aug-2016,97.75,98.20,98.25,93.75,94.25,94.20,95.53,7591310,17178,3391328,44.67
26-Aug-2016,94.20,94.85,96.90,93.35,95.60,95.55,95.33,6657173,32315,1584754,23.81
29-Aug-2016,95.55,95.70,96.00,93.00,95.80,95.35,94.39,4072889,14165,971753,23.86
30-Aug-2016,95.35,95.90,97.35,94.30,97.10,97.00,96.50,3703067,15329,1014620,27.40
31-Aug-2016,97.00,97.30,99.45,96.25,98.70,98.65,98.31,7581003,25936,2679165,35.34
01-Sep-2016,98.65,98.30,98.35,91.85,93.00,93.00,94.69,7311532,23312,2541846,34.76
02-Sep-2016,93.00,93.00,95.65,92.90,94.70,94.95,94.11,3893347,17964,1459772,37.49
06-Sep-2016,94.95,94.85,96.50,94.55,96.05,96.00,95.86,3743520,13090,1532651,40.94
07-Sep-2016,96.00,96.00,96.90,95.10,95.95,96.35,95.99,4717220,25474,2524845,53.52
08-Sep-2016,96.35,96.35,98.30,96.35,97.20,97.55,97.34,2861442,10729,645590,22.56
09-Sep-2016,97.55,97.10,97.70,95.15,95.80,96.05,96.23,3864090,21762,1776101,45.96
12-Sep-2016,96.05,94.80,94.80,91.20,91.90,91.80,93.16,5002837,35938,2847089,56.91
