DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,1175.35,1177.00,1191.40,1173.10,1185.90,1181.40,1183.74,109773,10716,42371,38.60
03-Aug-2016,1181.40,1182.00,1191.00,1170.00,1171.80,1172.70,1177.62,150079,10254,63881,42.56
04-Aug-2016,1172.70,1175.70,1185.00,1141.00,1150.00,1150.75,1162.51,228739,15925,137848,60.26
05-Aug-2016,1150.75,1155.00,1189.95,1153.25,1182.00,1184.15,1173.94,165700,13236,46177,27.87
08-Aug-2016,1184.15,1188.00,1199.70,1175.50,1190.60,1192.90,1191.25,124723,14019,46872,37.58
09-Aug-2016,1192.90,1195.00,1195.85,1175.35,1178.00,1184.65,1185.13,185024,12480,77949,42.13
10-Aug-2016,1184.65,1185.90,1185.90,1152.50,1156.10,1159.90,1164.74,182258,13332,68072,37.35
11-Aug-2016,1159.90,1161.10,1185.00,1144.30,1184.80,1175.95,1166.96,364846,22061,220749,60.50
12-Aug-2016,1175.95,1180.05,1199.75,1173.00,1191.95,1194.05,1193.09,444729,17808,275003,61.84
16-Aug-2016,1194.05,1210.15,1281.60,1210.15,1259.00,1261.90,1254.41,1254941,56863,371343,29.59
17-Aug-2016,1261.90,1261.00,1285.00,1253.40,1268.75,1274.15,1274.78,630246,46840,411313,65.26
18-Aug-2016,1274.15,1279.45,1285.00,1248.75,1274.75,1275.60,1264.77,573970,26775,397761,69.30
19-Aug-2016,1275.60,1275.60,1305.50,1275.60,1298.90,1300.00,1296.33,600203,20304,343722,57.27
22-Aug-2016,1300.00,1300.50,1324.30,1295.25,1300.50,1303.60,1308.23,342572,18770,106996,31.23
23-Aug-2016,1303.60,1306.55,1319.70,1290.25,1319.70,1314.30,1308.19,266945,25327,97872,36.66
24-Aug-2016,1314.30,1318.85,1357.25,1315.90,1354.00,1347.85,1340.87,665901,31690,310671,46.65
25-Aug-2016,1347.85,1350.00,1381.60,1331.75,1331.75,1337.80,1355.83,624369,32631,279687,44.80
26-Aug-2016,1337.80,1329.95,1350.00,1321.65,1344.00,1331.75,1330.48,358191,30682,200799,56.06
29-Aug-2016,1331.75,1335.10,1344.70,1294.20,1308.60,1303.30,1309.28,396327,33247,212689,53.67
30-Aug-2016,1303.30,1310.05,1339.50,1303.55,1315.00,1314.05,1319.72,483127,30174,268758,55.63
31-Aug-2016,1314.05,1315.00,1335.10,1311.60,1320.00,1322.50,1321.04,635036,31577,415633,65.45
01-Sep-2016,1322.50,1320.00,1332.00,1300.10,1321.95,1317.85,1312.14,389591,33125,187675,48.17
02-Sep-2016,1317.85,1317.90,1326.80,1305.25,1316.90,1314.75,1313.28,309086,15177,169237,54.75
06-Sep-2016,1314.75,1319.00,1332.00,1307.95,1330.00,1329.80,1324.45,251201,12576,80862,32.19
07-Sep-2016,1329.80,1325.00,1345.00,1310.65,1322.05,1317.55,1326.78,247033,11342,74949,30.34
08-Sep-2016,1317.55,1324.80,1334.95,1315.25,1331.00,1331.55,1326.62,333250,14565,137312,41.20
09-Sep-2016,1331.55,1339.00,1355.55,1312.20,1323.00,1324.15,1341.10,293125,11461,66028,22.53
12-Sep-2016,1324.15,1311.15,1318.25,1294.00,1303.00,1304.00,1307.05,251865,14210,129046,51.24
