DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
18-Sep-2017,1766.00,2725.00,3024.00,2725.00,2903.70,2891.55,2891.12,6019374,351777,1561829,25.95
19-Sep-2017,2891.55,2946.00,2995.00,2872.40,2894.10,2892.50,2940.40,793984,60347,189771,23.90
20-Sep-2017,2892.50,2888.00,2888.00,2752.85,2801.50,2806.85,2811.81,502724,34295,102847,20.46
21-Sep-2017,2806.85,2803.60,2803.60,2684.00,2765.00,2764.35,2744.47,319940,33093,91466,28.59
22-Sep-2017,2764.35,2790.45,2790.45,2635.00,2640.00,2659.65,2701.96,188337,15695,67713,35.95
25-Sep-2017,2659.65,2620.00,2705.60,2506.35,2619.00,2612.75,2591.12,331770,26089,105645,31.84
26-Sep-2017,2612.75,2616.10,2679.00,2616.10,2625.00,2634.95,2644.40,106349,8882,29234,27.49
27-Sep-2017,2634.95,2658.00,2708.80,2569.90,2570.00,2599.80,2641.83,135647,10161,40821,30.09
28-Sep-2017,2599.80,2608.00,2660.00,2590.55,2614.00,2633.90,2631.70,66796,6026,19539,29.25
29-Sep-2017,2633.90,2646.00,2683.90,2640.00,2642.00,2648.75,2661.33,58554,6324,18152,31.00
03-Oct-2017,2648.75,2665.00,2715.00,2578.80,2715.00,2695.90,2678.52,81130,8051,24114,29.72
04-Oct-2017,2695.90,2710.15,2749.00,2677.00,2724.95,2722.80,2720.25,78968,7748,22241,28.16
05-Oct-2017,2722.80,2715.00,2741.00,2687.00,2700.00,2697.15,2712.94,73062,5128,30593,41.87
06-Oct-2017,2697.15,2701.25,2745.00,2663.50,2670.50,2677.20,2706.08,49385,3449,27664,56.02
09-Oct-2017,2677.20,2677.00,2709.95,2601.50,2617.55,2631.65,2666.59,45353,4046,22821,50.32
10-Oct-2017,2631.65,2635.00,2681.30,2622.00,2665.05,2662.75,2649.41,48630,3879,21368,43.94
11-Oct-2017,2662.75,2745.00,2755.00,2651.25,2660.00,2667.45,2705.71,121158,7969,39494,32.60
12-Oct-2017,2667.45,2696.00,2754.00,2670.00,2742.10,2742.70,2715.60,83492,6029,47948,57.43
13-Oct-2017,2742.70,2746.00,2787.00,2720.10,2733.00,2734.05,2758.17,49186,3462,22329,45.40
16-Oct-2017,2734.05,2740.00,2745.45,2660.30,2667.00,2671.85,2693.31,29702,2808,16463,55.43
17-Oct-2017,2671.85,2656.00,2682.00,2632.05,2646.00,2651.15,2658.82,22621,2391,9517,42.07
18-Oct-2017,2651.15,2645.50,2680.00,2634.40,2666.00,2662.70,2657.05,18340,2445,8462,46.14
19-Oct-2017,2662.70,2660.00,2686.95,2630.10,2638.00,2654.85,2660.04,4823,649,2842,58.93
23-Oct-2017,2654.85,2655.00,2670.35,2646.05,2660.00,2655.95,2656.16,28403,1694,16854,59.34
24-Oct-2017,2655.95,2658.90,2805.00,2651.95,2764.00,2760.30,2746.72,127849,11370,56556,44.24
25-Oct-2017,2760.30,2780.00,2805.70,2680.00,2768.00,2768.15,2752.72,50483,5437,21888,43.36
26-Oct-2017,2768.15,2723.10,2778.45,2723.00,2755.00,2754.25,2754.07,35734,4786,20005,55.98
27-Oct-2017,2754.25,2765.00,2765.00,2720.00,2732.80,2737.30,2744.32,26625,2683,18687,70.19
30-Oct-2017,2737.30,2740.00,2780.00,2730.00,2730.00,2736.70,2752.15,62954,6398,42322,67.23
31-Oct-2017,2736.70,2730.00,2759.00,2675.00,2726.00,2724.30,2716.43,49346,7500,28795,58.35
01-Nov-2017,2724.30,2729.00,2742.20,2705.00,2705.00,2712.30,2721.22,6784,983,3363,49.57
02-Nov-2017,2712.30,2731.90,2740.00,2700.00,2700.00,2704.00,2710.41,9387,1510,5822,62.02
03-Nov-2017,2704.00,2713.90,2714.00,2683.10,2685.00,2688.35,2692.46,12047,2524,7480,62.09
06-Nov-2017,2688.35,2688.00,2720.00,2669.05,2700.00,2692.40,2694.87,11698,2275,5320,45.48
07-Nov-2017,2692.40,2699.00,2703.00,2650.00,2685.00,2667.60,2673.66,13244,1688,6959,52.54
08-Nov-2017,2667.60,2661.05,2708.80,2651.00,2675.00,2683.25,2679.28,13108,3388,6259,47.75
09-Nov-2017,2683.25,2663.00,2720.00,2660.00,2660.95,2677.60,2692.59,13395,3281,6926,51.71
10-Nov-2017,2677.60,2659.00,2713.90,2659.00,2680.55,2695.30,2690.75,17773,5601,9276,52.19
13-Nov-2017,2695.30,2695.00,2725.00,2683.45,2696.00,2704.85,2708.19,16599,2891,8851,53.32
14-Nov-2017,2704.85,2686.80,2750.00,2686.80,2730.05,2731.20,2729.47,18111,3239,10555,58.28
