DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,161.50,161.75,161.95,156.60,158.55,158.10,159.38,5391899,24622,800775,14.85
03-Aug-2016,158.10,158.30,159.30,153.65,153.95,154.65,156.73,4905592,22728,668030,13.62
04-Aug-2016,154.65,155.95,163.40,152.60,163.25,162.15,158.41,7739610,40344,1181758,15.27
05-Aug-2016,162.15,163.50,165.95,161.15,164.20,164.50,163.71,7706238,31873,1212220,15.73
08-Aug-2016,164.50,165.10,167.70,164.10,165.15,165.55,166.03,6357438,34750,827780,13.02
09-Aug-2016,165.55,166.00,168.90,163.05,168.50,167.35,165.42,7704784,32514,1845482,23.95
10-Aug-2016,167.35,167.05,169.20,163.65,166.00,166.95,166.84,7330513,31247,1117094,15.24
11-Aug-2016,166.95,166.45,166.65,158.70,161.95,161.90,162.88,9195450,33715,2796740,30.41
12-Aug-2016,161.90,162.75,164.00,161.05,162.20,162.60,162.79,3747892,14946,292466,7.80
16-Aug-2016,162.60,162.35,165.90,159.10,165.55,165.20,162.68,5812605,24982,567444,9.76
17-Aug-2016,165.20,165.95,168.15,163.90,165.50,165.75,166.01,6975285,24771,1220316,17.49
18-Aug-2016,165.75,166.10,168.90,165.45,167.10,167.35,167.47,4291420,20212,568964,13.26
19-Aug-2016,167.35,167.00,169.60,166.10,167.40,167.75,167.76,5937716,26943,993684,16.74
22-Aug-2016,167.75,167.10,168.25,163.70,164.30,164.60,165.51,5088269,20824,949550,18.66
23-Aug-2016,164.60,164.35,164.60,161.10,162.70,162.90,162.72,5141350,20352,1300507,25.30
24-Aug-2016,162.90,162.90,164.75,161.15,163.95,164.20,163.87,3535845,19941,471191,13.33
25-Aug-2016,164.20,164.15,165.65,161.00,161.90,161.55,163.16,5398380,19599,1622527,30.06
26-Aug-2016,161.55,162.60,163.70,158.50,160.20,159.70,160.78,7094058,37555,1365556,19.25
29-Aug-2016,159.70,160.20,160.20,156.60,158.00,158.30,158.35,6296807,27867,661803,10.51
30-Aug-2016,158.30,156.90,163.65,155.00,162.10,162.15,161.11,12708939,54970,1381620,10.87
31-Aug-2016,162.15,164.25,165.25,153.85,154.60,154.85,159.10,15020668,57086,4052427,26.98
01-Sep-2016,154.85,155.00,156.30,146.60,149.70,148.75,151.05,12773096,59277,2583712,20.23
02-Sep-2016,148.75,150.95,151.95,148.35,149.50,150.00,149.82,9634895,32119,2919883,30.31
06-Sep-2016,150.00,152.65,152.65,149.05,150.10,150.50,150.55,6318529,31116,1211027,19.17
07-Sep-2016,150.50,151.00,154.35,149.35,152.25,151.85,152.16,7441241,35903,1030969,13.85
08-Sep-2016,151.85,152.50,157.75,152.00,156.50,156.70,155.25,8597979,42536,1356603,15.78
09-Sep-2016,156.70,156.90,159.40,152.55,156.65,158.00,155.88,7787823,42705,875302,11.24
12-Sep-2016,158.00,152.75,154.00,143.10,145.50,145.40,148.57,11042338,46526,2155332,19.52
14-Sep-2016,145.40,144.80,148.10,142.50,143.30,144.45,145.21,11765899,61274,2503630,21.28
15-Sep-2016,144.45,144.25,146.40,142.25,144.20,144.50,144.47,10577943,45429,1472457,13.92
16-Sep-2016,144.50,145.70,149.35,145.20,146.90,146.30,147.28,12364546,43935,3651069,29.53
19-Sep-2016,146.30,147.10,152.60,145.60,152.00,152.00,149.84,12049100,45688,2349927,19.50
20-Sep-2016,152.00,152.65,152.70,146.15,147.40,147.55,148.32,8883681,44276,2162840,24.35
21-Sep-2016,147.55,148.40,150.20,147.50,147.50,148.15,148.90,4976653,24543,793660,15.95
22-Sep-2016,148.15,150.10,154.20,149.35,153.85,153.75,151.77,8962007,44200,1810613,20.20
23-Sep-2016,153.75,155.45,159.20,153.25,155.50,155.90,156.10,17333176,80973,1689065,9.74
26-Sep-2016,155.90,154.80,156.65,150.10,153.00,152.95,153.69,9509307,39480,1327919,13.96
27-Sep-2016,152.95,153.70,154.75,151.20,153.85,153.40,153.17,6374076,29711,1174760,18.43
28-Sep-2016,153.40,153.75,156.90,152.90,156.50,156.00,155.14,6905698,26464,1514060,21.92
29-Sep-2016,156.00,157.60,158.00,138.10,142.30,140.05,146.02,16630508,51847,3977343,23.92
30-Sep-2016,140.05,140.05,147.15,140.00,146.25,146.15,144.19,10650160,56003,1650154,15.49
03-Oct-2016,146.15,148.00,153.70,148.00,152.70,152.85,151.82,10778413,42558,2808624,26.06
04-Oct-2016,152.85,153.95,154.30,151.10,153.40,153.40,152.83,7469692,27651,1011885,13.55
05-Oct-2016,153.40,154.35,160.30,152.30,157.65,158.90,157.34,15224569,55986,2455043,16.13
06-Oct-2016,158.90,158.55,160.10,153.40,155.95,155.15,156.99,8221064,33133,858988,10.45
07-Oct-2016,155.15,155.80,157.25,154.10,155.80,155.95,155.68,6472064,26263,408234,6.31
10-Oct-2016,155.95,156.80,156.90,152.75,154.25,154.00,154.58,3988033,19913,421921,10.58
13-Oct-2016,154.00,152.90,152.90,144.85,147.50,147.75,148.28,7214854,29361,1012924,14.04
