DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
21-Mar-2017,299.00,600.00,648.90,558.30,647.80,641.60,607.18,85728445,997334,25455640,29.69
22-Mar-2017,641.60,641.55,657.45,625.10,636.95,638.55,644.03,15817671,230754,1980297,12.52
23-Mar-2017,638.55,637.90,648.00,628.15,635.00,634.85,639.24,4690121,82509,918026,19.57
24-Mar-2017,634.85,635.45,640.45,612.60,615.25,616.90,621.12,4865013,91530,1091968,22.45
27-Mar-2017,616.90,615.00,623.00,602.35,617.05,614.40,613.09,3535098,63894,809694,22.90
28-Mar-2017,614.40,617.20,633.40,615.10,626.00,628.80,626.77,2981122,57419,595667,19.98
29-Mar-2017,628.80,632.90,637.00,622.40,624.00,628.25,631.74,2407007,46378,853427,35.46
30-Mar-2017,628.25,624.20,635.00,622.20,634.95,631.85,629.89,1324054,22366,407697,30.79
31-Mar-2017,631.85,634.40,652.30,630.00,637.30,637.85,639.97,2075789,36350,525707,25.33
03-Apr-2017,637.85,638.00,643.00,633.00,635.00,634.25,636.91,992545,23829,431552,43.48
05-Apr-2017,634.25,636.00,645.10,628.30,633.00,632.15,635.45,820437,18085,288605,35.18
06-Apr-2017,632.15,632.00,668.40,630.20,663.90,664.40,654.46,5166823,75897,1084664,20.99
07-Apr-2017,664.40,665.90,761.35,664.00,758.90,751.20,722.72,16504569,249684,1925387,11.67
10-Apr-2017,751.20,769.00,806.90,759.05,777.70,774.10,789.07,14333464,226380,1663038,11.60
11-Apr-2017,774.10,778.90,791.10,768.35,778.00,778.55,780.12,4283589,77233,536186,12.52
12-Apr-2017,778.55,779.00,782.90,755.00,758.00,762.20,766.28,2435513,45432,364931,14.98
13-Apr-2017,762.20,756.90,806.90,756.00,780.50,783.25,788.52,6262741,114670,769821,12.29
17-Apr-2017,783.25,785.90,789.70,766.60,773.75,774.05,774.37,2786771,64792,1534411,55.06
18-Apr-2017,774.05,774.90,774.90,725.10,732.00,730.15,740.24,4750180,128369,2535888,53.39
19-Apr-2017,730.15,735.00,752.00,722.00,736.00,732.80,736.68,2052184,46838,529283,25.79
20-Apr-2017,732.80,740.00,765.00,732.40,753.45,756.30,751.83,3218061,63725,826302,25.68
21-Apr-2017,756.30,760.00,765.00,739.00,742.50,743.20,751.08,1237439,27577,386299,31.22
24-Apr-2017,743.20,748.00,748.00,724.15,725.20,726.30,733.21,1249610,24345,575519,46.06
25-Apr-2017,726.30,731.00,739.90,721.15,735.00,734.80,732.76,1519949,29142,580108,38.17
26-Apr-2017,734.80,736.45,753.95,731.00,746.00,747.90,747.28,2080565,49463,669426,32.18
27-Apr-2017,747.90,749.00,749.70,736.10,739.25,740.10,740.92,614735,12951,313189,50.95
28-Apr-2017,740.10,743.85,747.00,735.00,736.15,736.50,739.17,516172,10952,229610,44.48
02-May-2017,736.50,737.25,762.90,737.25,749.65,752.30,750.44,1808851,40605,781262,43.19
03-May-2017,752.30,753.00,762.00,746.80,758.50,756.85,754.74,1083002,24359,517897,47.82
04-May-2017,756.85,762.20,793.00,762.20,772.00,773.25,780.32,2607954,43004,538434,20.65
05-May-2017,773.25,778.00,814.40,766.10,806.55,808.90,796.10,4332891,72556,1067044,24.63
08-May-2017,808.90,823.65,824.50,770.20,780.05,780.15,788.35,3972924,72004,962974,24.24
09-May-2017,780.15,782.90,793.00,775.60,780.00,780.05,783.09,1199297,32723,345615,28.82
10-May-2017,780.05,781.90,795.00,780.00,789.00,790.85,788.12,1251054,22605,325958,26.05
11-May-2017,790.85,789.70,790.50,756.00,763.00,761.80,773.79,1038372,25110,485856,46.79
12-May-2017,761.80,763.90,768.00,736.70,752.80,751.80,754.67,1137225,25970,412172,36.24
15-May-2017,751.80,755.50,761.45,744.00,750.20,752.15,753.35,617269,15677,193827,31.40
16-May-2017,752.15,752.10,757.90,741.00,751.40,750.40,750.41,600525,13796,182949,30.46
17-May-2017,750.40,751.70,756.90,742.90,743.65,744.90,748.83,458274,11883,129806,28.32
18-May-2017,744.90,739.95,748.00,724.50,730.00,727.45,737.50,698857,16108,293978,42.07
19-May-2017,727.45,730.00,738.65,713.65,726.95,722.90,725.04,686573,21237,253482,36.92
22-May-2017,722.90,729.40,734.50,720.10,721.00,721.55,724.23,361363,10860,162397,44.94
23-May-2017,721.55,724.95,725.00,691.55,708.00,708.40,707.64,1362902,27324,780365,57.26
24-May-2017,708.40,710.40,722.90,701.00,715.05,714.20,706.17,748251,18942,328471,43.90
25-May-2017,714.20,720.00,720.00,705.50,712.55,712.40,712.94,508214,15610,227223,44.71
26-May-2017,712.40,714.00,732.00,709.45,713.00,714.90,718.91,790476,22517,367123,46.44
29-May-2017,714.90,715.00,719.75,710.00,715.00,714.80,714.26,307830,8653,115743,37.60
30-May-2017,714.80,715.00,742.85,710.00,729.10,727.85,730.47,912185,21565,217550,23.85
31-May-2017,727.85,731.80,750.80,726.40,749.00,745.15,743.33,883930,20355,338701,38.32
01-Jun-2017,745.15,749.90,782.00,745.00,781.00,776.85,769.35,1557053,40650,466813,29.98
02-Jun-2017,776.85,783.85,794.60,776.85,779.50,779.65,785.29,738963,16363,251937,34.09
05-Jun-2017,779.65,782.70,811.00,775.30,793.00,789.75,795.00,1662267,34986,516069,31.05
06-Jun-2017,789.75,792.80,800.50,772.55,776.00,775.35,783.51,761302,20907,236797,31.10
07-Jun-2017,775.35,777.00,784.50,771.25,775.00,774.30,776.61,335268,8123,93776,27.97
08-Jun-2017,774.30,776.95,799.80,768.05,788.10,790.25,789.27,1170440,25184,403406,34.47
09-Jun-2017,790.25,789.95,811.00,783.15,802.00,802.35,801.79,1485266,32383,314588,21.18
12-Jun-2017,802.35,804.00,823.00,797.00,806.00,804.10,811.82,1211793,32734,284170,23.45
13-Jun-2017,804.10,807.70,815.00,795.10,799.80,798.65,805.57,679152,21688,214628,31.60
14-Jun-2017,798.65,802.00,807.00,792.00,799.80,798.55,799.30,406225,10423,100773,24.81
15-Jun-2017,798.55,800.00,807.00,793.00,799.40,797.95,799.78,376579,9096,97865,25.99
16-Jun-2017,797.95,802.40,812.00,796.95,801.50,800.10,803.55,579782,13166,123705,21.34
19-Jun-2017,800.10,804.80,806.25,791.00,796.00,796.40,800.03,302416,7976,94775,31.34
20-Jun-2017,796.40,796.00,836.70,796.00,824.50,822.05,817.93,1759720,24384,638494,36.28
21-Jun-2017,822.05,825.80,838.80,813.30,815.40,817.80,825.67,1466750,29162,346375,23.62
22-Jun-2017,817.80,819.95,824.00,800.00,802.50,803.90,814.33,674073,14370,177838,26.38
23-Jun-2017,803.90,805.80,809.25,789.80,803.90,801.60,798.59,799811,18710,251147,31.40
27-Jun-2017,801.60,803.90,807.00,794.70,804.00,804.60,801.22,472470,11958,175269,37.10
28-Jun-2017,804.60,802.40,822.90,797.00,820.65,818.05,812.42,842867,23696,270361,32.08
29-Jun-2017,818.05,825.00,826.45,813.00,815.00,815.50,819.33,443572,14775,129172,29.12
30-Jun-2017,815.50,810.90,820.00,805.00,809.50,815.10,813.37,365653,16340,122428,33.48
03-Jul-2017,815.10,811.60,847.90,808.00,839.70,840.05,835.88,1577531,31850,644343,40.85
04-Jul-2017,840.05,843.00,843.00,829.00,836.25,836.20,835.58,590080,28432,212252,35.97
05-Jul-2017,836.20,834.90,854.95,830.85,845.00,846.05,846.72,795100,22675,176573,22.21
06-Jul-2017,846.05,847.55,909.00,847.55,879.10,880.30,883.83,3412326,73764,605134,17.73
07-Jul-2017,880.30,882.80,910.00,882.00,895.00,895.45,898.16,2129887,57897,446084,20.94
10-Jul-2017,895.45,940.20,944.00,900.00,942.20,934.60,927.95,646394,13896,197695,30.58
11-Jul-2017,934.60,946.00,954.90,907.50,911.00,913.95,933.44,1185183,33392,391465,33.03
12-Jul-2017,913.95,914.00,934.40,905.00,909.15,910.30,918.89,1206562,29715,330186,27.37
13-Jul-2017,910.30,915.00,933.70,910.25,911.50,915.15,921.52,1139296,33192,274379,24.08
14-Jul-2017,915.15,920.00,921.90,872.50,890.00,891.35,895.93,1325017,37765,427404,32.26
17-Jul-2017,891.35,894.90,917.70,886.05,913.50,911.70,905.36,951306,25320,235903,24.80
18-Jul-2017,911.70,908.90,920.00,901.05,913.00,910.65,911.57,509382,20787,111282,21.85
19-Jul-2017,910.65,914.20,924.95,907.45,911.10,911.70,917.72,524342,16594,180495,34.42
20-Jul-2017,911.70,914.80,918.80,905.10,908.00,909.20,911.09,504126,17108,165473,32.82
21-Jul-2017,909.20,912.50,921.00,907.00,914.00,914.75,915.14,648124,12822,318649,49.16
24-Jul-2017,914.75,937.00,964.00,911.00,912.95,916.55,935.90,2518684,64880,719032,28.55
25-Jul-2017,916.55,917.50,933.30,905.65,929.25,925.65,919.73,1018767,28176,375825,36.89
26-Jul-2017,925.65,930.00,932.90,893.00,906.00,909.60,909.03,1512281,41027,698587,46.19
27-Jul-2017,909.60,907.90,915.00,892.40,894.50,896.90,903.66,534158,17032,159092,29.78
28-Jul-2017,896.90,894.00,908.00,888.10,898.00,898.55,899.81,501864,13095,123729,24.65
31-Jul-2017,898.55,904.00,925.50,897.00,920.40,919.70,913.92,925153,29892,289846,31.33
01-Aug-2017,919.70,921.00,930.00,913.10,914.00,916.05,920.10,388020,11740,117614,30.31
02-Aug-2017,916.05,914.50,919.00,902.25,903.75,906.80,910.72,230945,7831,69553,30.12
03-Aug-2017,906.80,905.95,909.90,895.00,897.05,898.10,902.86,242241,9323,69078,28.52
04-Aug-2017,898.10,898.90,922.40,894.25,920.00,911.35,907.50,649179,15775,380885,58.67
07-Aug-2017,911.35,921.00,933.00,915.00,922.10,923.80,924.74,418558,10396,149886,35.81
08-Aug-2017,923.80,923.00,927.65,900.00,901.00,902.30,909.46,372966,12453,156977,42.09
09-Aug-2017,902.30,901.00,910.90,882.40,888.00,889.25,896.18,358608,13518,133783,37.31
10-Aug-2017,889.25,888.80,894.85,871.10,885.00,880.80,882.86,359649,13761,149943,41.69
11-Aug-2017,880.80,867.90,903.40,860.00,890.00,890.10,881.23,495041,18255,194402,39.27
14-Aug-2017,890.10,899.85,911.55,892.00,899.20,902.45,902.57,262198,11483,110565,42.17
16-Aug-2017,902.45,903.90,917.45,903.00,905.50,907.80,909.26,241073,9280,81077,33.63
17-Aug-2017,907.80,909.95,941.80,906.30,922.00,920.80,926.08,674395,24311,160991,23.87
18-Aug-2017,920.80,917.20,931.80,908.00,924.00,926.25,919.25,401717,13098,96089,23.92
21-Aug-2017,926.25,929.85,948.90,923.15,930.00,927.10,937.25,693305,31131,204508,29.50
22-Aug-2017,927.10,937.00,968.00,932.00,968.00,958.05,950.30,1103036,31967,297978,27.01
23-Aug-2017,958.05,977.00,999.00,967.55,985.00,989.50,988.41,2107260,49493,359883,17.08
24-Aug-2017,989.50,990.80,1019.00,986.00,992.30,994.60,1003.52,1441084,54869,403683,28.01
28-Aug-2017,994.60,999.50,1057.00,990.20,1052.90,1046.15,1026.33,1489836,45263,343877,23.08
29-Aug-2017,1046.15,1049.00,1068.20,1026.00,1036.65,1032.85,1049.72,1703113,61206,469170,27.55
30-Aug-2017,1032.85,1044.90,1059.00,1041.50,1050.00,1050.90,1051.63,599048,31851,203219,33.92
31-Aug-2017,1050.90,1055.80,1055.80,1032.00,1042.50,1039.80,1039.83,495126,40428,198401,40.07
01-Sep-2017,1039.80,1045.80,1054.00,1037.00,1044.00,1048.40,1044.96,338544,17333,100737,29.76
04-Sep-2017,1048.40,1045.00,1049.35,1007.40,1025.00,1020.65,1024.28,498521,28926,224669,45.07
05-Sep-2017,1020.65,1026.00,1094.70,1026.00,1074.95,1077.70,1068.34,1667985,42866,543783,32.60
06-Sep-2017,1077.70,1067.00,1103.00,1061.05,1064.00,1066.60,1078.72,1476806,52908,442364,29.95
07-Sep-2017,1066.60,1071.00,1090.00,1070.00,1074.10,1076.20,1079.64,510790,22589,158625,31.05
08-Sep-2017,1076.20,1081.60,1088.00,1055.00,1070.00,1070.85,1072.95,503514,24412,173265,34.41
11-Sep-2017,1070.85,1079.95,1099.00,1060.25,1089.70,1088.80,1086.47,698741,27885,197421,28.25
12-Sep-2017,1088.80,1096.00,1099.00,1085.00,1089.30,1088.45,1090.74,379312,22263,144422,38.07
13-Sep-2017,1088.45,1095.00,1113.30,1085.00,1091.50,1091.50,1099.60,677114,22779,167781,24.78
14-Sep-2017,1091.50,1093.00,1104.90,1080.40,1090.00,1089.75,1092.28,360997,16674,101815,28.20
15-Sep-2017,1089.75,1103.35,1119.80,1080.10,1084.00,1087.75,1094.56,1564001,44292,938195,59.99
18-Sep-2017,1087.75,1092.50,1099.00,1086.90,1089.55,1089.50,1092.24,360118,19154,160608,44.60
19-Sep-2017,1089.50,1089.55,1094.95,1073.05,1076.10,1077.55,1081.09,297636,17056,134323,45.13
20-Sep-2017,1077.55,1080.50,1094.00,1070.40,1084.50,1084.75,1082.31,342872,16762,116594,34.01
21-Sep-2017,1084.75,1085.00,1088.00,1065.00,1068.50,1069.05,1075.36,281126,23393,125007,44.47
22-Sep-2017,1069.05,1067.95,1067.95,1028.80,1039.20,1039.15,1047.79,367612,19095,153483,41.75
25-Sep-2017,1039.15,1042.00,1047.60,982.05,1037.80,1029.00,1010.40,541800,25724,158857,29.32
26-Sep-2017,1029.00,1060.50,1218.00,1054.25,1107.00,1116.05,1145.60,6738985,188279,962509,14.28
27-Sep-2017,1116.05,1116.00,1153.60,1069.05,1075.15,1076.75,1117.74,2905722,97146,539492,18.57
28-Sep-2017,1076.75,1077.75,1087.00,1021.30,1037.85,1043.95,1052.73,1545452,65371,495818,32.08
29-Sep-2017,1043.95,1049.25,1094.80,1048.90,1086.00,1078.45,1077.36,1633060,64368,428122,26.22
03-Oct-2017,1078.45,1095.45,1109.65,1078.80,1102.00,1100.95,1093.82,903689,26918,195882,21.68
04-Oct-2017,1100.95,1107.50,1128.70,1087.85,1098.00,1099.35,1105.36,1449647,36662,303899,20.96
05-Oct-2017,1099.35,1105.00,1118.00,1092.35,1108.00,1104.00,1105.47,1044277,29566,301228,28.85
06-Oct-2017,1104.00,1110.00,1120.00,1100.00,1106.00,1105.25,1110.76,635948,31851,314136,49.40
09-Oct-2017,1105.25,1108.50,1126.80,1105.05,1116.40,1116.75,1116.69,773906,30035,318349,41.14
10-Oct-2017,1116.75,1124.40,1202.90,1120.10,1193.00,1184.65,1169.94,3365543,79790,780270,23.18
11-Oct-2017,1184.65,1201.00,1244.00,1190.00,1222.90,1213.10,1221.92,2717138,79162,452192,16.64
