DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,419.55,419.55,423.70,405.70,415.50,415.15,415.00,30305,1503,19223,63.43
03-Aug-2016,415.15,415.00,416.90,406.50,411.00,414.00,411.97,24323,865,14609,60.06
04-Aug-2016,414.00,412.00,419.85,410.00,410.10,411.30,411.57,11023,1256,7803,70.79
05-Aug-2016,411.30,416.15,418.25,406.00,407.00,408.30,410.61,42690,1986,21486,50.33
08-Aug-2016,408.30,411.00,420.00,411.00,412.25,413.05,414.33,23681,1907,15601,65.88
09-Aug-2016,413.05,413.05,419.40,413.05,417.00,416.60,417.39,19114,1210,14795,77.40
10-Aug-2016,416.60,416.00,416.95,406.15,407.00,407.10,410.56,14789,948,10227,69.15
11-Aug-2016,407.10,407.10,414.00,404.00,407.45,406.45,407.23,8874,656,5603,63.14
12-Aug-2016,406.45,408.90,416.00,398.20,401.05,400.35,409.20,66470,4150,28102,42.28
16-Aug-2016,400.35,403.85,403.90,398.85,402.00,400.40,401.64,12930,776,8077,62.47
17-Aug-2016,400.40,403.85,403.85,396.45,397.95,397.85,399.95,18615,1595,12812,68.83
18-Aug-2016,397.85,403.00,408.85,397.70,401.45,400.50,403.17,26502,1909,14550,54.90
19-Aug-2016,400.50,403.50,428.00,401.00,421.00,421.40,419.83,106403,4049,34607,32.52
22-Aug-2016,421.40,423.00,426.95,411.00,411.00,413.40,419.13,45833,1682,16564,36.14
23-Aug-2016,413.40,410.15,416.70,410.00,412.00,411.65,412.83,12724,631,5952,46.78
24-Aug-2016,411.65,414.00,428.00,414.00,420.10,420.45,421.53,43014,1799,18886,43.91
25-Aug-2016,420.45,422.00,441.70,420.45,431.00,430.75,431.74,67665,2652,36313,53.67
26-Aug-2016,430.75,434.90,439.90,428.00,433.50,435.25,434.76,44635,2777,23462,52.56
29-Aug-2016,435.25,436.00,441.00,426.85,435.00,435.30,434.53,33299,1407,18257,54.83
30-Aug-2016,435.30,441.40,456.95,432.85,449.45,449.20,448.73,124417,3786,55308,44.45
31-Aug-2016,449.20,446.00,466.00,446.00,452.00,452.35,458.11,179424,5324,61191,34.10
