DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,1529.30,1530.00,1578.00,1520.00,1522.10,1534.45,1553.86,14519,2498,8546,58.86
03-Aug-2016,1534.45,1534.00,1547.25,1502.00,1526.00,1525.05,1520.85,3982,837,2340,58.76
04-Aug-2016,1525.05,1526.50,1557.90,1520.00,1533.95,1536.15,1536.67,5736,1020,2793,48.69
05-Aug-2016,1536.15,1513.00,1555.00,1513.00,1515.05,1541.15,1538.63,4630,1002,2723,58.81
08-Aug-2016,1541.15,1541.00,1574.95,1515.00,1549.00,1565.60,1543.01,45245,1485,43164,95.40
09-Aug-2016,1565.60,1573.55,1590.00,1536.50,1569.90,1573.20,1570.30,5110,1211,2907,56.89
10-Aug-2016,1573.20,1573.00,1588.80,1513.60,1520.25,1524.85,1543.70,8013,992,3665,45.74
11-Aug-2016,1524.85,1536.00,1536.70,1505.00,1513.00,1515.75,1521.37,9733,1148,8056,82.77
12-Aug-2016,1515.75,1522.00,1530.00,1507.55,1512.00,1517.70,1520.43,2124,625,955,44.96
16-Aug-2016,1517.70,1529.05,1642.35,1520.00,1612.00,1606.65,1599.57,49461,5917,19976,40.39
17-Aug-2016,1606.65,1606.00,1655.00,1537.20,1540.20,1555.05,1615.73,65549,6847,29946,45.68
18-Aug-2016,1555.05,1557.00,1597.30,1557.00,1582.45,1579.65,1581.35,9929,1790,4397,44.28
19-Aug-2016,1579.65,1593.95,1594.95,1561.90,1568.95,1570.95,1573.77,5042,879,3296,65.37
22-Aug-2016,1570.95,1589.45,1589.85,1551.00,1558.20,1563.75,1566.74,5737,1605,3627,63.22
23-Aug-2016,1563.75,1575.00,1588.00,1552.35,1565.95,1567.95,1574.37,5900,1061,2885,48.90
24-Aug-2016,1567.95,1590.00,1617.70,1580.25,1585.40,1587.55,1598.96,23611,2780,8716,36.91
25-Aug-2016,1587.55,1586.00,1614.00,1582.40,1590.00,1589.90,1594.00,12469,1849,8000,64.16
26-Aug-2016,1589.90,1584.00,1636.00,1580.25,1623.90,1628.75,1613.22,16261,2733,8699,53.50
29-Aug-2016,1628.75,1640.00,1661.30,1590.00,1610.00,1623.30,1631.01,30390,4299,12565,41.35
30-Aug-2016,1623.30,1687.00,1784.40,1595.10,1602.20,1613.10,1653.02,329613,41326,115131,34.93
31-Aug-2016,1613.10,1623.90,1630.65,1591.10,1608.00,1610.15,1611.81,52695,10453,33977,64.48
01-Sep-2016,1610.15,1622.00,1622.00,1562.20,1575.95,1571.35,1589.02,81883,7189,67053,81.89
02-Sep-2016,1571.35,1584.00,1590.00,1565.00,1569.80,1569.30,1570.71,48487,4522,39536,81.54
06-Sep-2016,1569.30,1572.00,1597.70,1563.50,1588.00,1585.10,1581.96,9767,1828,5555,56.88
07-Sep-2016,1585.10,1598.85,1598.90,1550.00,1558.00,1553.95,1567.37,31408,3879,27026,86.05
08-Sep-2016,1553.95,1579.95,1586.00,1550.00,1551.15,1560.90,1566.84,14974,3350,10027,66.96
09-Sep-2016,1560.90,1564.85,1569.75,1535.00,1538.65,1537.45,1546.17,18450,3209,13221,71.66
12-Sep-2016,1537.45,1530.10,1530.10,1505.10,1520.00,1514.70,1517.46,9336,1348,6925,74.18
